"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","603508","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","F. L. R. Filardi","R. A. Wasum","s.n.","1992","02","11","Brazil","Rio Grande do Sul",NA,"Imigrante",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603508","NY00603508_01","400","400",NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","603974","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","V. E. Rudd","P. K. H. Dusén","11267","1911","01","29","Brazil","Paraná",NA,"Inter Therezinha et Barra Grande",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603974","NY00603974_01",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","603977","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","V. E. Rudd","T. S. Ibarrola","1913","1944","12","31","Argentina","Corrientes",NA,"Dep. San Martin. Yopeyú Guavirolí al Este",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603977",NA,NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-10-21 16:49:00-02","NY","NYBG","16252","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense cuspidatum","Hassl. ex Tamayo",NA,"E. Hassler","12408a","1913",NA,NA,"Paraguay",NA,NA,"Paraguaria Centralis: In regione lacus Ypacaray.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016252","NY00016252_01",NA,NA,NA,"Magnoliophyta","Fabales","isotype","South America","sheet","cuspidatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01054801","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","F. L. R. Filardi","W. R. Anderson","11250","1975","02","07","Brazil","Mato Grosso do Sul","Rio Verde de Mato Grosso","Cerrado above the town of Rio Verde","-54.8667","-18.9333",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162882' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054801","NY01054801_01",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","16251","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.",NA,"E. Hassler","1849",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,"Plantae Paraguarienses <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016251","NY00016251_01",NA,NA,NA,"Magnoliophyta","Fabales","syntype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","603975","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","F. L. R. Filardi","R. A. Wasum","s.n.","1995","12","26","Brazil","Rio Grande do Sul",NA,"Marcelino Ramos - Estreito do Rio Uruguai",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603975","NY00603975_01","550","550",NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01092831","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","F. L. R. Filardi","M. M. Arbo","7357","1997","01","17","Brazil","Bahia",NA,"BR-324, 12 km NW de Jacobina, camino a Umburanas.","-40.6","-11.1",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092831","NY01092831_01","600","600",NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01092832","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","F. L. R. Filardi","B. Costa","7549","1962","05","11","Brazil","São Paulo",NA,"Piracicaba (Salto do Piracicaba)",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238302' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092832","NY01092832_01",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","603973","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","V. E. Rudd","G. G. Hatschbach","21462","1969","05","09","Brazil","Paraná","Campo Largo","Rondinha","-49.5281","-25.4586",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603973","NY00603973_01",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01054816","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","F. L. R. Filardi","J. A. Ratter","R2211","1972","08","25","Brazil","Mato Grosso",NA,"Vale de Sonhos (80 km N of Barra do Garças on the road to Xavantina).","-52.33","-15.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1163220' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054816","NY01054816_01",NA,NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-10-21 16:49:00-02","NY","NYBG","16252","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense cuspidatum","Hassl. ex Tamayo",NA,"E. Hassler","12408a","1913",NA,NA,"Paraguay",NA,NA,"Paraguaria Centralis: In regione lacus Ypacaray.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016252","NY00016252_01",NA,NA,NA,"Magnoliophyta","Fabales","isotype","South America","sheet","cuspidatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:29:44-03","UNESP-IBB","BOTU","28744","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Gonzatti, F.","Gonzatti, F.","499","2012","05","20","Brasil","Rio Grande do Sul","Monte Belo do Sul",NA,NA,NA,"9999","9999","Árvore","BOTU028744",NA,NA,NA,"2012",NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-13 09:19:50-03","UFRJ","RFA","8749","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","A. Burkart","G.G. Hatschbach","18933","1968","03","23","Brasil","Paraná","Jaguariaíva","Entre Jaguariaiva e Arapoti","-49.7057991027832","-24.2511005401611",NA,NA,NA,"RFA44024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-24 17:10:42-03","UTFPR","DVPR","5566","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Silva, DR","Rocha Filho, JA; Piva, J; Machado, C","546","2018","01","22","Brasil","Paraná","Capitão Leonidas Marques","Propriedade próximas ao Rio Gonçalves Dias.","-53.4043","-25.2852","-53.4043","-25.2852","Árvore 8 m de altura, folhas cartáceas, discolores. Frutos secos tipo sâmaras, imaturos, verdes. Ponto 469; Borda de fragmento de Floresta Estacional Semidecidual, solo argiloso, Associação entre Latossolo e Nitossolo Vermelho.","DVPR005566",NA,"294","294","2018","Magnoliophyta",NA,NA,NA,NA,NA,"02",NA,NA,"26",NA,NA,NA,NA,NA,NA,NA
"26","2020-11-24 17:10:42-03","UTFPR","DVPR","1334","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Estevan, DA","Moura, APC","67","2013","10","05","Brasil","Paraná","Dois Vizinhos","Mata Nativa, UTFPR - DV. Parcela 8","-53.0604","-25.413","-53.0604","-25.413","Árvore.; Ecótono entre Floresta Estacional Semidecidual e Floresta Ombrófila Mista.","DVPR001334",NA,NA,NA,"2013","Magnoliophyta",NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-24 17:10:42-03","UTFPR","DVPR","3411","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Estevan, DA","Souza, PR; Estevan, DA","45","2015","09","28","Brasil","Paraná","Dois Vizinhos","Comunidade Pinheirinho","-53.055018","-25.431179","-53.055018","-25.431179","Árvore 6m.; Ecótono de Floresta Estacional Semidecidual e Floresta Ombrófila Mista","DVPR003411",NA,NA,NA,"2016","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-24 17:10:42-03","UTFPR","DVPR","6402","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Silva, DR","Rocha Filho, JA; Piva, J; Machado, C","658","2018","02","20","Brasil","Paraná","Capitão Leonidas Marques","Estrada paralela a rodovia PR-592, sentido a praia artificial de Capitão.","-53.302","-25.3057","-53.302","-25.3057","Árvore 10 de altura. Folhas verde-discolores, cartáceas, glabras. Frutos secos, verdes.; Área antrópifca, meio a cobertura vegetal de atividades agrárias.","DVPR006402",NA,"342","342","2018","Magnoliophyta",NA,NA,NA,NA,NA,"11",NA,NA,"22",NA,NA,NA,NA,NA,NA,NA
"29","2020-11-24 17:10:42-03","UTFPR","DVPR","5975","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Silva, DR","Rocha Filho, JA; Silva, DR; Piva, J; Machado, C","625","2018","02","07","Brasil","Paraná","Realeza","Distrito Marmelândia , estrada sentido ao Sanga Canoa.","-53.3412","-25.3137","-53.3412","-25.3137","Árvore 18 m de altura. Folhas concolores, cartáceas, glabras. Frutos secos, alados. Imaturos verdes. Ponto 602.; Árvore remanescente em ambiente antropizado, meio a cobertura vegetal de atividades agrárias. Solo argiloso.","DVPR005975",NA,"281","281","2018","Magnoliophyta",NA,NA,NA,NA,NA,"02",NA,NA,"09",NA,NA,NA,NA,NA,NA,NA
"30","2020-11-24 17:10:42-03","UTFPR","DVPR","5477","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Estevan, DA","Souza, PR; et al.","107","2017","04",NA,"Brasil","Paraná","São Jorge d' Oeste","RPPN Salto Chopim","-53.633","-25.4035","-53.633","-25.4035","Árvore ca 4m, parcela 3, número do indíviduo 539; Floresta Estacional Semidecidual","DVPR005477",NA,NA,NA,"2017","Magnoliophyta",NA,NA,NA,NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-24 17:10:42-03","UTFPR","DVPR","2835","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Dias, MC","Francisco, EM; et al.","s.n.","1998","12","18","Brasil","Paraná","Ibiporã","Fazenda Doralice. Beira do rio Tibagi.","-51.0480995178223","-23.2691993713379",NA,NA,"Árvore 12 m, flores amarelas.","DVPR002835",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,"20625","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-24 17:10:42-03","UTFPR","DVPR","3193","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Lima, HC","Hatschbach, G; Carneiro, J; Silva, JM","69939","2000","01","13","Brasil","Paraná","Jundiaí do Sul","Fazenda Monte Verde, Mata da mina da Água","-50.247501373291","-23.4367008209229",NA,NA,"Árvore 6 m, flor creme-esverdeada.; Floresta","DVPR003193",NA,NA,NA,"2009","Magnoliophyta",NA,NA,NA,NA,NA,NA,"17300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-24 17:10:42-03","UTFPR","DVPR","2922","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.",NA,"Torezan, JMD; et al.","s.n.","1998","04","07","Brasil","Paraná","Londrina","Mata Conjunto Luis de Sá","-51.1627998352051","-23.3103008270264",NA,NA,"Árvore 10m, frutos imaturos verdes.","DVPR002922",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-24 17:10:42-03","UTFPR","DVPR","893","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Dias, MC","Dias, MC; et al.","s.n.","2003","04","24","Brasil","Paraná","Londrina","Vale do Córrego Água Fresca","-51.1627998352051","-23.3103008270264",NA,NA,"Árvore 10m, frutos imat. verdes.; Em frente a sede dos Escoteiros.","DVPR000893","DVPR000893",NA,NA,"2004","Magnoliophyta",NA,NA,NA,NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-24 17:10:42-03","UTFPR","DVPR","1604","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Barboza, E; Silva, RC","Macruz, PD; et al.","s.n.","2011","11","26","Brasil","São Paulo","Assis","Arredores","-50.4099998474121","-22.6599998474121",NA,NA,"Árvore heliófita, ca. 5 m. Flores verdes.","DVPR001604","DVPR001604",NA,NA,"2012","Magnoliophyta",NA,NA,NA,NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-24 17:10:42-03","UTFPR","DVPR","1588","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Cordeiro, J; Barboza, E","Caxambu, MG; et al.","4051","2012","04","28","Brasil","São Paulo","Pariquera Açu","Propriedade do Sr. Flávio","-47.51037","-24.48048","-47.51037","-24.48048","Arvoreta ca. 3 m. Frutos alados imaturos verdes.; Relevo: suave-ondulado. Vegetação: Floresta Ombrófila Densa Submontana.","DVPR001588","DVPR001588","41","41","2012","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-08 17:41:51-03","EAO","IAN","186978","PreservedSpecimen","Plantae","Leguminosae-Pap.","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Dias, MC","Pavão, OC","s.n.","2000","02","03","Brasil","Paraná","Ibiporã","Fazenda Doralice. Beira do Rio Tibagi.","-51.05","-23.266667","-51.05","-23.266667","Árvore; 5m alt.; frutos verdes.","IAN186978",NA,NA,NA,"2000","Dicotiledônea",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-08 17:41:51-03","EAO","IAN","20934","PreservedSpecimen","Plantae","Leguminosae-Pap.","Machaerium","paraguariense","Machaerium paraguariense","Hassl.",NA,"Hassler, E","9617",NA,NA,NA,"Paraguai",NA,NA,NA,NA,NA,NA,NA,NA,"IAN020934","IAN020934_f",NA,NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-02-20 13:42:04-03","INPA","INPA-CARPOTECA","105886","Carpo","Plantae","Leguminosae-Pap","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Rudd, VE","Hatschbach, GG","21462","1969","05","09","Brasil","Paraná","Campo Largo","Rondinha","-49.5283012390137","-25.4585990905762",NA,NA,NA,"INPA0105886","INPA0105886 INPA0105886_e",NA,NA,NA,"Dicotyledon Rosids","Fabales",NA,"Southern America",NA,NA,NA,"53742","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-04 15:25:12-03","PUCPR","HUCP","17445","S","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Selusniaki, M","Selusniaki, M","844","2006","04","09","Brasil","Paraná","Curitiba","Bosque da Fazendinha","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00011746","HUCP00011746",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-04 15:25:12-03","PUCPR","HUCP","24016","S","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Selusniaki, M","Perret, L","s.n.",NA,NA,NA,"Brasil","Paraná","Ortigueira",NA,"-50.9494018554688","-24.2082996368408",NA,NA,NA,"HUCP00011810","HUCP00011810",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,NA,"46016","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:25:12-03","PUCPR","HUCP","17327","S","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Selusniaki, M","Selusniaki, M","s.n.",NA,NA,NA,"Brasil","Paraná","Curitiba","Bosque Boa Vista","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00011798","HUCP00011798",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 15:25:12-03","PUCPR","HUCP","17329","S","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Selusniaki, M","Selusniaki, M","s.n.","2006","03","18","Brasil","Paraná","Curitiba","Bosque Boa Vista","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00011930","HUCP00011930",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-12-04 15:25:12-03","PUCPR","HUCP","17457","S","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","Selusniaki, M","Selusniaki, M","864","2006","04",NA,"Brasil","Paraná","Curitiba","Santa Quitéria","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00011694","HUCP00011694",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:16:27-03","UFBA","ALCB","60088","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassler","Filho, CVM","Hatschbach, G; Hatschbach, M; Silva, JM","69910","2000","01","12","Brasil","Paraná","Ibaiti","Rod. BR-159, Rio Laranjinha","-50.187801361084","-23.8486003875732",NA,NA,"5,0m. Flor creme.; Floresta degradada.","ALCB031576","ALCB031576",NA,NA,"2000","Dicotyledon",NA,NA,"Southern America",NA,NA,NA,"34159","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-02-08 09:13:47-03","NBC","NL-BOTANY","L 0573448","PreservedSpecimen","Plantae","Leguminosae-Pap.","Machaerium","paraguariense","Machaerium paraguariense","Hassl.",NA,"Unknown",NA,NA,NA,NA,"Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200573448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0573448",NA,NA,NA,NA,NA,"Fabales",NA,"Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"47","2020-02-08 09:13:47-03","NBC","NL-BOTANY","L.1939581","PreservedSpecimen","Plantae","Leguminosae-Pap.","Machaerium","paraguariense","Machaerium paraguariense","Hassl.",NA,"Lindeman JC; Haas JH de",NA,"1966","11","17","Brazil",NA,NA,"Flora Brasiliae australis, Est. Paraná. forest near Pórto Mendes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1939581 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1939581","NL-L1939581",NA,NA,NA,NA,"Fabales",NA,"Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
