"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","fieldNumber","relatedCatalogItem"
"11","2020-11-04 11:11:16-03","ESALQ","ESA","71435","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.",NA,NA,NA,"Hensold, N. et al.","1982","01","10","Brasil","Minas Gerais",NA,"Serra da Piedade, próx. Km 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA071435","ESA071435",NA,NA,NA,NA
"12","2020-11-04 11:11:16-03","ESALQ","ESA","94659","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola",NA,"Rossini, J.",NA,NA,NA,"Souza, V.C.","2006","01","10","Brasil","Minas Gerais","Caeté","Serra da Piedade. Campo rupestre.","-434.044","-194.907","-434,044","-194,907",NA,NA,NA,NA,"Erva, com tubérculo superficial entre as rochas. Folhas vinho na face inferior; corola vermelha com pintas arroxeadas próximo a fauce. Localmente comum.",NA,"33807.0",NA,NA,"ESA094659","ESA094659",NA,NA,NA,NA
"13","2020-11-04 11:11:16-03","ESALQ","ESA","85819","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2003","04","11","Araújo, A.O.","2003","04","11","Brasil","São Paulo","Nova Odessa","Cultivada no Instituto Plantarum, em Nova Odessa, proveniente de população natural da Serra da Piedade (MG)","-47.2900009155273","-22.7700004577637",NA,NA,"8440",NA,NA,NA,"Erva tuberosa, 30 cm; folha com face abaxial vinácea; corola rósea com manchas vináceas","auto","401.0",NA,NA,"ESA085819","ESA085819",NA,NA,NA,NA
"14","2020-11-04 11:11:16-03","ESALQ","ESA","122317","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola",NA,"Vincent, R.C.",NA,NA,NA,"Vincent, R.C.","2000","12","16","Brasil","Minas Gerais","Brumadinho","Sa. Mutuca/Morro do Cachimbo","-44.1996994018555","-20.1432991027832",NA,NA,"26639","1350","1350",NA,"Campo sobre canga hematítica couraçada","auto","678.0",NA,NA,"ESA122317","ESA122317",NA,NA,NA,NA
"15","2020-11-04 11:11:16-03","ESALQ","ESA","27861","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2001","09","14","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Campos, F.J.","1996","01","11","Brasil","Minas Gerais","Caeté","Serra da Piedade. 19º49'25,5S, 43º40'18,7W. 1640 m.s.m. Campo rupestre","-43.6697006225586","-19.8799991607666","-43,671,861","-1,982,375","22051","1640","1640",NA,"Erva, com tubérculo; folhas verde-escuras na face superior, vinho na inferior; corola vermelha com pintas vinho internamente próximo ao tubo e nos lacínios.","auto","10092.0",NA,NA,"ESA027861",NA,NA,NA,NA,NA
"16","2021-01-14 15:31:10-03","MN","R","11039","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Chautems, A.","1990",NA,NA,"Glaziou, A.F.M.","1893","11","19","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central",NA,"20388",NA,NA,"R000011039","R000011039_001",NA,NA,NA,NA
"17","2015-07-02 14:02:16-03","JBP","HPL","3160","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","H. Lorenzi","2000","10","13","H. Lorenzi","2000","10","13","Brasil","MG","Diamantina","Coletada a pleno sol em campo rupestre.","-43.6003","-18.2494",NA,NA,"101169",NA,NA,NA,NA,"auto","2401",NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:02:16-03","JBP","HPL","3166","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","H. Lorenzi","2000","11","16","E.R. Salviani & H. Lorenzi","2000","11","16","Brasil","MG","Caetés","Coletada em campo rupestre na serra da Piedade.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1794",NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:02:16-03","JBP","HPL","3161","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","H. Lorenzi","2001","01","21","E.R. Salviani & H. Lorenzi","2001","01","21","Brasil","SP","Mogi das Cruzes","Cultivado no viveiro de mudas do proprietário Mario Peixoto.","-46.1883","-23.5228",NA,NA,"28666",NA,NA,NA,NA,"auto","1973",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:17:56-03","UFV","VIC","25447","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart) Wiehler","Chautems, A.","1989","02","10","Roth","1954","12",NA,"Brasil","Minas Gerais",NA,"Serra do Curral, Vertente Nova lima.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,"VIC025447",NA,NA,NA,NA,NA
"21","2019-11-21 14:37:24-03","UFJF","CESJ","2506","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart) Wiehler","A. Chautems","1989","02","10","L. Roth","1954","12",NA,"Brasil","Minas Gerais","Nova Lima","Serra do Curral, Brasil, Minas Gerais, Vertentes de Nova Lima Na Serra do Curral.","-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,NA,"Subarbusto da serra, sobre canga, com rizoma lenhoso compacto. Flores roseas com pintas escuras.","auto","s.n.","América do Sul",NA,"CESJ002506",NA,NA,NA,NA,NA
"22","2019-11-21 14:37:24-03","UFJF","CESJ","9758","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart) Wiehler","A. Chautems","1986","05",NA,"L. Krieger","1970","12","19","Brasil","Minas Gerais","Itabirito","Brasil, Minas gerais mun. de Itabirito.","-43.801399230957","-20.2532997131348",NA,NA,"20553",NA,NA,NA,"Saxícola, sobre minério de ferro. Folhas arroxeadas na face dorsal.Verde na face ventral. Flores vermelho-arroxeadas. Tuberculo.","auto","CESJ9758","América do Sul",NA,"CESJ009758",NA,NA,NA,NA,NA
"23","2019-11-06 09:55:47-03","UFOP","OUPR","32582","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Pedrosa, L.G.","2018","12","13","Pedrosa, L.G.","2018","12","13","Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,NA,NA,NA,"Erva tuberosa, ca. 30cm. Flores vermelhas. Campo rupestre.",NA,"1196",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-03-12 10:29:13-03","UFOP","OUPR","33511","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Pedrosa, L.G.","2019","03","03","Pedrosa, L.G.","2019","03","03","Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,NA,NA,NA,"Erva, 25cm. Flores vermelhas com manchas vináceas. Rara no Parque.",NA,"1368",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-06 09:55:47-03","UFOP","OUPR","13298","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2002","12","10","Badini, J.","1973","12","28","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,"22051",NA,NA,NA,"Erva, flores róseas com manchas. Canga","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-06 09:55:47-03","UFOP","OUPR","15446","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2002","02","20","Damazio, L.B.",NA,NA,NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,"22051",NA,NA,NA,"Ex Herb. Escola de Minas n. 711","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-06 09:55:47-03","UFOP","OUPR","15447","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2002","02","20","Badini, J.","1973","12","28","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,"22051",NA,NA,NA,NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-06 09:55:47-03","UFOP","OUPR","15444","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2002","02","20","Damazio, L.B.",NA,NA,NA,"Brasil","Minas Gerais","Itabirito","Serra de Itabira do Campo","-43.801399230957","-20.2532997131348",NA,NA,"20553",NA,NA,NA,"Ex Herb. Escola de Minas n. 714","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-06 09:55:47-03","UFOP","OUPR","15445","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2002","02","20","Damazio, L.B.",NA,NA,NA,"Brasil","Minas Gerais","Itabirito","Serra de Itabira do Campo","-43.801399230957","-20.2532997131348",NA,NA,"20553",NA,NA,NA,"Ex Herb. Escola de Minas n. 714","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-06 09:55:47-03","UFOP","OUPR","15448","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2002","02","20","Badini, J.","1973","12","28","Brasil","Minas Gerais","Itabirito","Serra de Itabirito","-43.801399230957","-20.2532997131348",NA,NA,"20553",NA,NA,NA,"Erva, flores vermelhas. Campo","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-03-12 10:29:13-03","UFOP","OUPR","35031","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Pedrosa, L.G.","2020","01",NA,"Pedrosa, L.G.","2020","01","24","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,"Erva. Campo","auto","2487",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-06 09:55:47-03","UFOP","OUPR","13299","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Araújo, A.O.","2002","12","10","Badini, J.","1974","12","28","Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,"Erva, flores vermelhas. Campo","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"33","2014-10-14 15:56:40-03","BS","M","M-0185798","S","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Martius, C.F.P. von",NA,NA,NA,"Brasil",NA,NA,"Habitat in rupibus ad V. Rica. Provinciae Min. Ger.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M0185798",NA,"Magnoliopsida","NOTATYPE",NA,NA
"34","2020-12-21 16:29:12-03","MBM","MBM","264494","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) H. Wiehler","Hatschbach, G.",NA,NA,NA,"Barreto, M.","1933","11","30","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,"22051",NA,NA,NA,NA,"auto","3002","Southern America",NA,"MBM264494","MBM264494",NA,NA,NA,NA
"35","2020-12-21 16:29:12-03","MBM","MBM","347572","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) H. Wiehler","Chautems, A.","1986","05",NA,"Krieger, L.","1970","12","19","Brazil","Minas Gerais","Itabirito",NA,"-43.801399230957","-20.2532997131348",NA,NA,"20553",NA,NA,NA,"Saxícola, sobre minério de ferro. Folhas arroxeadas na face dorsal, verde na face ventral. Flores vermelho-arroxeadas. Tubérculo.","auto","9758","Southern America",NA,"MBM347572","MBM347572",NA,NA,NA,NA
"36","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555652","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Langsdorff","1821","1","1","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555652' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555652","P03555652_01",NA,NA,NA,NA
"37","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555653","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Warming",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555653' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555653","P03555653_01",NA,NA,NA,NA
"38","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555654","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Custodio, Frei","1816","1","1","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555654' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555654","P03555654_01",NA,NA,"243",NA
"39","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555655","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Claussen","1843","1","1","Brasil","Minas Gerais",NA,"Serra da Piedade.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555655' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555655","P03555655_01",NA,NA,"111",NA
"40","2015-09-04 12:10:08-03","MNHN","RECOLNAT_MNHN_P","P03555645","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Saint-Hilaire","1816","1","1","Brasil","Minas Gerais",NA,"Serra da Piedade.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555645' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555645","P03555645_01",NA,NA,"B2 2250",NA
"41","2015-09-04 12:10:08-03","MNHN","RECOLNAT_MNHN_P","P03555646","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Regnell, A.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555646' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555646","P03555646_01",NA,NA,NA,NA
"42","2015-09-04 12:10:08-03","MNHN","RECOLNAT_MNHN_P","P03555647","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Riedel",NA,NA,NA,"Brasil",NA,NA,"Brésil.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555647' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555647","P03555647_01",NA,NA,NA,NA
"43","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555648","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Regnell",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555648' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555648","P03555648_01",NA,NA,"III 831",NA
"44","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555649","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Saint-Hilaire",NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra da Piedade.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555649' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555649","P03555649_01",NA,NA,"B2 2250",NA
"45","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555650","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Weddell, H.A.","1844","1","1","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555650' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555650","P03555650_01",NA,NA,"1379",NA
"46","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555651","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Glaziou, A.","1893","11","19","Brasil","Minas Gerais",NA,"Serra da Piedade.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555651' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555651","P03555651_01",NA,NA,"20388",NA
"47","2015-09-04 12:10:09-03","MNHN","RECOLNAT_MNHN_P","P03555656","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03555656' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P03555656","P03555656_01",NA,NA,NA,NA
"48","2020-10-01 14:21:41-03","JBB","HEPH","23120","S","Plantae","Dicotyledon","Lamiales","Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Salles, AEH","2006",NA,NA,"Salles, AEH; et al.","2006","09","21","Brasil","Distrito Federal","Brasília","Jardim Botânico de Brasília viveiro BAG","-47.9296989440918","-15.7797002792358",NA,NA,"70570",NA,NA,NA,NA,"auto","4287","Southern America",NA,NA,NA,NA,NA,NA,NA
"49","2020-12-11 11:36:42-03","UFMG","BHCB","45355","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA
