"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","class","individualCount","typeStatus","fieldNumber","relatedCatalogItem"
"11","2019-11-05 16:46:29-03","UFOP","OUPR","25329","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Antônio-Silva","2011","06","30","Antônio-Silva; Cardoso, R.C. & Messias, M.C.T.B.","320","2011","06","09","Brasil","Minas Gerais","Ouro Preto","APA Cachoeira das Andorinhas, Serra de Ouro Preto, Fazenda da Brígida. Mata de encosta","-43.503944","-20.356722","-43.503944","-20.356722",NA,"1500","1500","Epífita, folhas retorcidas no ápice e com manchas vináceas, flores esverdeadas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-05 16:46:29-03","UFOP","OUPR","25330","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Antônio-Silva","2011","06","30","Antônio-Silva; Cardoso, R.C. & Messias, M.C.T.B.","326","2011","06","09","Brasil","Minas Gerais","Ouro Preto","APA Cachoeira das Andorinhas, Serra de Ouro Preto, Fazenda da Brígida. Mata de encosta","-43.503944","-20.356722","-43.503944","-20.356722",NA,"1500","1500","Epífita, folhas retorcidas no ápice e com manchas vináceas, flores esverdeadas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-05 16:46:29-03","UFOP","OUPR","26589","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Antônio-Silva","2010","06","13","Antônio-Silva; Freitas, G.P.P.","66","2010","03","29","Brasil","Minas Gerais","Ouro Preto","APA Cachoeira das Andorinhas, Serra da Brígida, Fazenda Serra da Brígida. Mata de encosta","-43.5080986022949","-20.2875003814697",NA,NA,"44599","1475","1475","Erva epífita, apresenta folhas retorcidas com pontuações vináceas. Sementes com apêndices, rosera utriculosa. Inflorescência recurvada, flores não vistosas, botões fechados esverdeados. Planta pouco comum","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-05 16:46:29-03","UFOP","OUPR","13032","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Trindade, T.","2007","02","06","Damazio, L.B.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Cachoeira do Campo","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"Pétalas brancas","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-10-14 10:00:11-03","FURB","FURB","16543","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Cadorin, TJ","2009","11","09","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.P.L.","489","2009","11","09","Brasil","Santa Catarina","Antônio Carlos",NA,"-48.87","-27.45","-48.8700000","-27.4500000",NA,"710","710",NA,NA,NA,"FURB19734","FURB19734",NA,NA,NA,NA,NA
"16","2020-10-14 10:00:11-03","FURB","FURB","28153","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Bonnet, A","2010","08","25","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2638","2010","06","05","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889","-48.7619444","-27.8788889",NA,"180","180","Epífita IFFSC e226b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita de arbórea; Fruto seco; flor inflorescência verde",NA,NA,"FURB19733","FURB19733",NA,NA,NA,NA,NA
"17","2020-10-14 10:00:11-03","FURB","FURB","28275","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Cadorin, TJ","2010","07","10","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","3001","2010","07","10","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.","-48.87","-27.45","-48.8700000","-27.4500000",NA,"710","710","Epífita IFFSC e388b (Acima de 4m). Forófito 10. Habitat: Floresta Ombrófila Densa Montana; Estágio Avançado; interior do fragmento Habito: epífita;",NA,NA,"FURB01136","FURB01136",NA,NA,NA,NA,NA
"18","2019-11-08 08:50:45-03","FURB","FURB","37762","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Cadorin, TJ","2012","02","20","Cadorin, T.J.",NA,"2012","02","20","Brasil","Santa Catarina","Nova Trento","RPPN Prima Luna.","-49.0172223","-27.2561111","-49.0172223","-27.2561111",NA,"870","870",NA,NA,NA,"FURB19732","FURB19732",NA,NA,NA,NA,NA
"19","2020-12-21 16:19:27-03","MBM","MBM","34115","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A. Spencer & L.B. Sm.","Smith, L.B.",NA,NA,NA,"Hatschbach, G.","19239","1968","05","23","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,"41937",NA,NA,"Epífita.","auto","Southern America","MBM034115","MBM034115",NA,NA,NA,NA,NA
"20","2020-12-11 11:43:32-03","UFMG","BHCB","177995","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B.Sm.",NA,"2015","05","06","Gontijo, FD; Braga, IF","649","2015","03","03","Brasil","Minas Gerais","Santa Bárbara",NA,"-20.039722","-43.679722","-20.039722","-43.679722",NA,"1498","1498","Herbáceo. Floresta estacional semidecidual",NA,"Southern America","BHCB030472","BHCB030472",NA,NA,NA,NA,NA
"21","2020-12-11 11:43:32-03","UFMG","BHCB","197906","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B.Sm.",NA,NA,NA,NA,"Rezende, SG; Justo, AG","6913","2018","09","05","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.684722","-20.043333","-43.684722","-20.043333",NA,"1569","1569","Epífita; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração",NA,"Southern America","BHCB197906",NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:43:32-03","UFMG","BHCB","144957","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B.Sm.",NA,NA,NA,NA,"Giacomin, LL; Viana, PL; Mota, NFO","845","2009","04","08","Brasil","São Paulo","Bananal","Estação Ecológica de Bananal, Trilha das sete quedas.","-44.3199996948242","-22.6800003051758",NA,NA,"26795",NA,NA,"Frutos verdes a castanhos, quando em dispersão.","auto","Southern America","BHCB025737",NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:43:32-03","UFMG","BHCB","53510","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B.Sm.",NA,NA,NA,NA,"Marques, A","s.n.","2000","02","27","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,"22051",NA,NA,"Campo rupestre","auto","Southern America",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:43:32-03","UFMG","BHCB","58116","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B.Sm.",NA,"2005","06","21","Barreto, HLM","2123","1934","05","06","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,"22051",NA,NA,"herbácea, baixa frequência; Canga","auto","Southern America","BHCB043260","BHCB043260",NA,NA,NA,NA,NA
"25","2020-12-11 11:43:32-03","UFMG","BHCB","67306","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B.Sm.",NA,NA,NA,NA,"Mota, RC da","1108","2000","12","15","Brasil","Minas Gerais","Catas Altas","Serra do Caraça.","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"Planta coletada em mata de galeria; erva epífita; frutos imaturos.","auto","Southern America",NA,NA,NA,NA,NA,NA,NA
"26","2009-10-10 16:09:00-03","MO","MOBOT","3012286","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Darren Crayn",NA,NA,NA,"J. Lhotsky","Lhotsky s.n.","1831",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"27","2020-05-30 04:37:00-03","MO","MOBOT","3012302","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Darren Crayn",NA,NA,NA,"Ernst Üle","Üle 4957",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"28","2014-09-16 23:06:00-03","MO","MOBOT","3012347","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Darren Caryn",NA,NA,NA,"Lyman B. Smith","Smith s.n.","1879",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","3012387","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Darren Caryn",NA,NA,NA,"MEZ","MEZ s.n.","1879","3",NA,"Brazil",NA,NA,"Rio Binot.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"30","2018-06-22 05:25:00-03","MO","MOBOT","2453531","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","aeris-incola","Tillandsia aeris-incola","(Mez) Mez",NA,NA,NA,NA,"Pe. Raulino Reitz","Reitz 3947","1951","3","21","Brazil","Santa Catarina",NA,"Brusque. Morro da Bateia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"31","2020-07-22 12:15:09-03","MBML","MBML-HERBARIO","12187",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. O. F. de Sousa/29-06-2005",NA,NA,NA,"V. Demuner; et al","842","2000","03","22","Brasil","Espírito Santo","Santa Teresa","Mata do Tabajara","-40.556389","-19.951389","40W33'23","19S57'5",NA,NA,NA,"Epifita sobre arbusto de 3m, inflorescencia apical de cor verde.",NA,NA,"MBML012187","MBML012187",NA,NA,NA,NA,NA
"32","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","14480",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/08-03-2002",NA,NA,NA,"L. Kollmann; et al","3890","2001","06","12","Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167","40W34'60","19S59'3",NA,NA,NA,"Epífita na meia sombra. Inflorescência preta. Fruto verde. Folhas verdes com máculas vináceas.",NA,NA,"MBML014480","MBML014480",NA,NA,NA,NA,NA
"33","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","15949",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/08-03-2002",NA,NA,NA,"L. Kollmann; et al","5312","2002","01","10","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,NA,"Epífita. Frutos marrons.",NA,NA,"MBML015949","MBML015949",NA,NA,NA,NA,NA
"34","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","16237",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/19-02-2002",NA,NA,NA,"L. Kollmann; et al","5560","2002","02","19","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,NA,"Capoeirão. Epífita. Flores amarelas. Folhas pintadas.",NA,NA,"MBML016237","MBML016237",NA,NA,NA,NA,NA
"35","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","17006",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/17-09-2002",NA,NA,NA,"R.R. Vervloet; et al","330","2002","05","29","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,NA,"Epífita, a 2m do solo, folhas verdes com base vinho na parte interna, algumas pintas vinho, brácteas escapais e florais verdes, frutos de cor verde vináceo, sépalas verde.",NA,NA,"MBML017006","MBML017006",NA,NA,NA,NA,NA
"36","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","23586",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. O. F. de Sousa/21/06/2005",NA,NA,NA,"A. P. Fontana; et al","795","2004","03","19","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944","40W46'31","19S47'49",NA,NA,NA,"Frutos verdes, epífita.",NA,NA,"MBML023586","MBML023586",NA,NA,NA,NA,NA
"37","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","31245",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; A.P. Fontana, P. Labiak, M. Kaehler & F. B. Matos","9936","2007","07","17","Brasil","Espírito Santo","Itaguaçu","Caparaó","-40.981111","-19.741389","40W58'52","19S44'29",NA,"1180","1180","Epífita na sombra. Folhas maculadas, frutos secos.",NA,NA,"MBML031245","MBML031245",NA,NA,NA,NA,NA
"38","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","3827",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/17-09-2002",NA,NA,NA,"H. Q. Boudet Fernandes","2172","1987","07","15","Brasil","Espírito Santo","Santa Teresa","Vinte e Cinco de Julho","-40.604167","-19.780833","40W36'15","19S46'51",NA,NA,NA,"Epífita, folha com pintas vinho, inflorescência vinácea, mata primária derrubada, a 900m de altitude, herb/culta.",NA,NA,"MBML003827","MBML003827",NA,NA,NA,NA,NA
"39","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","46460",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/24-10-2013",NA,NA,NA,"R. Ferreira; Cassio Zocca, Fernanda Lirio, Francys Lacchine","124","2013","07","01","Brasil","Espírito Santo","Santa Teresa","Perto do Sítio do Valdeci, indo para Goiapabaçu pela Rebio AR","-40.520886","-19.907225","40W31'15,19","19S54'26,01",NA,"884","884","Paredão rochoso",NA,NA,"MBML046460","MBML046460",NA,NA,NA,NA,NA
"40","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","882",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/17-09-2002",NA,NA,NA,"J. A. R. Bittencourt","202","1976","07","15","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,NA,NA,"Sem informação.",NA,NA,"MBML000882","MBML000882",NA,NA,NA,NA,NA
"41","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","892",NA,"Plantae",NA,NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Stencer & L.B.Sm.","L. Kollmann/08-03-2002",NA,NA,NA,"H. Q. Boudet Fernandes","1887","1986","03","07","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.617778","-19.931111","40W37'4","19S55'52",NA,NA,NA,"Epífita em galho de árvore caido (provavelmente fixado a uns 20m do solo), folhas verdes com faixa vinho escuro na base e pequenas manchas da mesma cor espalhadas, inflorescência em botão verde com manchas vinho escuro, mata, encosta.",NA,NA,"MBML000892",NA,NA,NA,NA,NA,NA
"42","2020-06-15 15:29:40-03","UNESP-RC","HRCB","62358","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Marcusso, G.M.","2014",NA,NA,"Marcusso, G.M.","425","2014","02","18","Brasil","São Paulo","São José do Barreiro","Trilha para a cachoeira Sto Isidoro","-44.614111","-22.747903","44º36'50.8W","22º44'52,45S",NA,"1450","1450","Holoepífita; folhas verdes com máculas vináceas na face adaxial, pedicelo e brácteas da inflorescência vináceas com máculas brancas, sépalas esverdeadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-06-10 10:10:28-03","FZB-BH","BHZB","3009","S","Plantae",NA,NA,"Bromeliaceae","Tillandsia","aeris-incola","Tillandsia aeris-incola",NA,NA,NA,NA,NA,"Ordones, J.","582","2000","12","15","Brasil","MG","Catas Altas","Caraça/ Campo de Fora","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"Exsicata não encontrada - setembro de 2010.","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 11:55:15-03","UFPE","UFP","74600","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A Spencer & L.B.Sm",NA,NA,NA,NA,"Benko-Isepon, AM; et al.","1754","2012","12","09","Brasil","Bahia","Mucuge",NA,"-41.3708000183105","-13.0052995681763",NA,NA,"52493",NA,NA,"Área: Rural.; Epífita.","auto",NA,"UFP074600",NA,NA,NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","2546211","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","M.A. Spencer & L.B. Sm.",NA,NA,NA,NA,"G. Hatschbach","19239","1968","5","23","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,"41937","50",NA,NA,"auto","South America - Neotropics","US01913952","US01913952_01","Monocotyledonae","1",NA,NA,NA
"46","2020-09-12 05:00:02-03","US","US","1540590","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","M.A. Spencer & L.B. Sm.",NA,NA,NA,NA,"L. Smith","2018","1929","2","26","Brazil","São Paulo","São Paulo","Estação Biológica, alta da Serra","-46.32","-23.78",NA,NA,NA,"800","900",NA,NA,"South America - Neotropics","US01913948","US01913948_01","Monocotyledonae","1",NA,NA,NA
"47","2020-09-12 05:00:02-03","US","US","1954492","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","M.A. Spencer & L.B. Sm.",NA,NA,NA,NA,"R. Reitz","2299","1948","11","2","Brazil","Santa Catarina","Brusque","Spitzkopf","-48.9174995422363","-27.0981006622314",NA,NA,"19684","350",NA,NA,"auto","South America - Neotropics","US01913951","US01913951_01","Monocotyledonae","1",NA,NA,NA
