"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","previousCatalogNumber","infraspecificEpithet"
"11","2021-03-15 16:37:00-03","NY","NYBG","504907","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","R. Reitz","2140","1954","09","30","Brazil","Santa Catarina","Luiz Alves","-48.941177","-26.748537",NA,NA,"450","450","NY00504907",NA,NA,NA,NA,"Braço Joaquim, Luis Alves. Itajaí","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648536' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 21:41:00-03","NY","NYBG","00918564","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa",NA,"L. E. Kopp","J. E. B. Warming","712","1864",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"NY00918564","NY00918564_01",NA,NA,NA,"Prope Lagoa Santa (Contendas).","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989351' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","504901","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","A. Uhlmann","A. C. Cervi","3212","1990","11","22","Brazil","Paraná","Jaguariaíva","-49.68","-24.23",NA,NA,NA,NA,"NY00504901",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648544' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","504908","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","R. Reitz","6707","1958","02","28","Brazil","Santa Catarina","Garuva","-48.8547","-26.0269",NA,NA,"250","250","NY00504908",NA,NA,NA,NA,"Três Barras, Garuva, S. Francisco do Sul","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648535' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","355864","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees",NA,"F. Sellow","1387",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00355864","NY00355864_01",NA,NA,NA,"Brasilia","hb. DC. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667763' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet","isotype fragment",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00918567","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","A. P. Duarte","557","1946","11","18","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536",NA,NA,NA,NA,"NY00918567","NY00918567_01",NA,NA,NA,"Crespo.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989371' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","504902","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","I. de Vattimo","G. G. Hatschbach","12230","1965","01","17","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,"NY00504902",NA,NA,NA,NA,"Estr. Jaguariaiva-Arapoti","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648541' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00918568","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","A. P. Duarte","s.n.","1952","10","24","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536",NA,NA,NA,NA,"NY00918568",NA,NA,NA,NA,"Carandaí","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989373' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00918569","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","J. B. Baitello","G. M. Araújo","209","1986","12","19","Brazil","Minas Gerais","Uberlândia","-48.2769","-18.9186",NA,NA,NA,NA,"NY00918569",NA,NA,NA,NA,"Estação Ecológica do Panga, Uberlândia","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989376' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00564137","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","H. S. Irwin","21813","1969","01","12","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"1300","1300","NY00564137",NA,NA,NA,NA,"Serra do Espinhaço. Ca. 27 km S.W. of Diamantina on road to Gouveia","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648539' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","504904","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","P. K. H. Dusén","17426","1915","12","08","Brazil","São Paulo","Itararé","-49.34","-24.1103",NA,NA,"740","740","NY00504904",NA,NA,NA,NA,"Itararé opp.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648546' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","355863","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","L. Riedel","698","1824","10",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00355863","NY00355863_01",NA,NA,NA,"In fruticalis humidiusculis, pr. Sta. Luzia.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648534' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","504906","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","I. de Vattimo","R. Reitz","9489","1960","02","05","Brazil","Santa Catarina","Blumenau","-49.082834","-26.926032",NA,NA,"450","450","NY00504906",NA,NA,NA,NA,"Mata da Companhia Hering, Bom Retiro, Blumenau","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648542' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","504909","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","R. M. Klein","1167","1955","02","10","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"350","350","NY00504909",NA,NA,NA,NA,"Morro da Fazenda, Itajaí","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648537' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00918566","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","A. F. Regnell","I!437",NA,NA,NA,"Brazil","Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,"NY00918566","NY00918566_01",NA,NA,NA,"Prov. Minas Geraes, Caldas.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989361' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","504910","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","R. M. Klein","1901","1956","03","06","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569",NA,NA,"300","300","NY00504910",NA,NA,NA,NA,"Horto Florestal I.N.P., Ibirama","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648538' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00918561","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","W. R. Anderson","35214","1972","02","03","Brazil","Minas Gerais",NA,"-43.68585","-18.2801",NA,NA,"1250","1250","NY00918561","NY00918561_01",NA,NA,NA,"Ca. 10km SW of Diamantina.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989344' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","504911","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","O. Handro","N. F. de Mattos","474","1961","10","14","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"NY00504911",NA,NA,NA,NA,"Cotia, entre a cidade e Vila Fortao, km. 33-34","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648533' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","504903","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","B. Coe-Teixeira","O. Handro","s/n¦","1970","11","25","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"NY00504903",NA,NA,NA,NA,"Capital. Nativo no Jardim Botânico","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648540' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-29 16:40:00-03","NY","NYBG","504905","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa",NA,"L. E. Kopp","R. Reitz","1832","1954","05","14","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"50","50","NY00504905",NA,NA,NA,NA,"Morro da Fazenda, Itajaí","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648547' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","504899","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","I. de Vattimo","L. B. Smith","14699","1965","01","17","Brazil","Paraná","Jaguariaíva","-49.33","-24.13",NA,NA,"850","1000","NY00504899",NA,NA,NA,NA,"Road to Arapoti near boundary","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648543' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","20763","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees. Mart.","Amaral Jr., A.","Barbosa, A.V.G.","11","1996","10","22","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU020763",NA,"1996","10","22","lado esq. Estrada entre aeroporto de posto de abastecimento da SABESP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","6250","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Amaral Jr., A.","1220","1972","11","10","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU006250",NA,NA,NA,NA,"Mata de galeria, próximo ao aeroporto municipal, pela estrada de acesso à represa de abastecimento de água da prefeitura de Botucatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 11:09:09-03","UNESP-IBB","BOTU","25897","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","Moraes, P.","Sonsin, J.O.","19","2008","09","29","Brasil","São Paulo","Pratânia","-48.523889","-23.048611","48°31'26w","23°02'55s",NA,NA,"BOTU025897",NA,"2019",NA,NA,"Fazenda Palmeira da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:39:22-03","EAO","IAN","153997","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","Kopp, LE","Irwin, HS; Harley, RM","29283","1971","01","27","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"IAN153997",NA,"1973",NA,NA,"Lower slopes of serra da Caraça,ca. 12km.w. of Barão de cocais,mainly campo and gallery on gray sand,ca.1500m. elev.",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:39:22-03","EAO","IAN","170127","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","Kopp, LE","Reitz, R; Padre","1832","1954","05","14","Brasil","Santa Catarina",NA,NA,NA,NA,NA,"50","50","IAN170127",NA,"1966",NA,NA,"Morro da fazenda Itajaí, mata.","Árvore; fruto imaturo, verde a preto.","Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-04 15:26:06-03","PUCPR","HUCP","25186","S","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","Moraes, P.","Francisco, EM","43","1999","12","15","Brasil","Paraná","Tamarana","-51.0971984863281","-23.7233009338379",NA,NA,NA,NA,"HUCP00025186","HUCP00025186","2009","05","11","Fazenda Prata",NA,"Magnoliidae",NA,NA,NA,NA,"23681","auto",NA,NA,NA,NA,NA
"38","2021-03-02 16:29:00-03","CPAN-UFMS","COR","6272","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","Alves, F.M.","Damasceno Júnior; G.A.; Nakagima, J.; Resende, U.M. e equipe do projeto Aquarap","1547","1998","08","28","Brasil","Mato Grosso do Sul","Rochedo","-54.8925018310547","-19.9531002044678",NA,NA,NA,NA,NA,NA,"2004","11","09","Córrego a 7 km de Rochedo e adjacências. Mata de galeria; ;.","Com Flor: creme Habito: árvore de 5 m",NA,NA,NA,NA,NA,"51925","auto",NA,NA,NA,NA,NA
"39","2019-10-09 11:18:16-03","UFBA","ALCB","101039","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","Alves, FM","Silva, JM; Barbosa, E; Cunha, EM","5093","2006","10","12","Brasil","Paraná","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"ALCB003624","ALCB003624","2009",NA,NA,"Vale do Codó.","1 m alt. Flor creme.","Dicotyledon",NA,"Southern America",NA,NA,"44368","auto",NA,NA,NA,NA,NA
"40","2020-02-08 09:36:48-03","NBC","NL-BOTANY","L.1813008","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Reitz R; Klein RM",NA,"1958","02","28","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1813008","NL-L1813008",NA,NA,NA,"Santa Catarina. Três Barras, Garuva, S. Francisco do Sul. Mata.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1813008 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"41","2020-02-08 09:36:48-03","NBC","NL-BOTANY","L.1813005","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Weddell MA",NA,"1843","11","01","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1813005","NL-L1813005",NA,NA,NA,"Brésil (Minas-Geraës).","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1813005 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"42","2020-02-08 09:36:48-03","NBC","NL-BOTANY","L.1813007","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Reitz R; Klein RM",NA,"1954","09","30","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1813007","NL-L1813007",NA,NA,NA,"Santa Catarina. Brago Joaquim, Luis Alves, Itajaí. Mata.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1813007 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"43","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U.1417714","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Regnell AF",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1417714","NL-U1417714",NA,NA,NA,"Ad. Caldas, Minarum.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"44","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U.1417715","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Düsen P",NA,"1915","12","08","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1417715","NL-U1417715",NA,NA,NA,"Plantae Brasilienses. Parana: Itarare opp., Morumgava graedium, in 'cango cerrado'.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"45","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U.1417717","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Lindeman JC; Porto ML",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1417717","NL-U1417717",NA,NA,NA,"Brasil Mrro, dos conventos, E. de Ararangua na Costa, S.C. resto do matinho baixo. ma margem E da Chapada arvore.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"46","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U.1417718","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Lima DA",NA,"1972","11","11","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1417718","NL-U1417718",NA,NA,NA,"Brasil Passo de Torres Santa Catarina.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"47","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U.1417719","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.",NA,"Brade AC",NA,"1933","12","01","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1417719","NL-U1417719",NA,NA,NA,"S.Paulo Villa Emma.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Laurales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
