"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"11","2020-07-10 09:46:46-03","MBML","MBML-HERBARIO","32340",NA,"Plantae",NA,NA,"Leguminosae Caesalpinoideae","Bauhinia","grazielae","Bauhinia grazielae","Vogel","A.M.S.F. Vaz/20-04-2010","V. Demuner; T. A. Cruz, M.Belizário.","4639","2007","11","30",NA,"Brasil","Espírito Santo","Santa Leopoldina","Pedra Branca, Mata na Serra Santa Lucia, propr.: Cristiano Bremencampi.","-40.492222","-20.026667",NA,"Liana 6m, flores com pétalas roxas e cálice verde. Interior de mata.","MBML032340","MBML032340",NA,NA,NA,NA,NA,"40W29'32","20S1'36",NA,NA,"300","300",NA,NA
"12","2020-07-10 09:46:46-03","MBML","MBML-HERBARIO","12983",NA,"Plantae",NA,NA,"Leguminosae Caesalpinoideae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","A. M. S. da Fonseca Vaz/1997","G. Hatschbach; et al","59733","1993","11","08",NA,"Brasil","Espírito Santo","Domingos Martins","Pedra Branca, Rio Jucu Braço Norte","-40.6591987609863","-20.3633003234863",NA,"Trepadeira, flor rosada. Floresce no alto das árvores da mata. EX HERB MBM.","MBML012983","MBML012983",NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-25 10:12:09-03","CVRD","CVRD","10497","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phanera","grazielae","Phanera grazielae","( Vaz ) Vaz","Angela M. Studart da F. Vaz","Folli, D.A.","5731","2007","10","04","América do Sul","BRASIL","ES","Pinheiros","Ao lado da reserva córrego do veado","-40.123224","-18.340944",NA,"<ll>dwc_commonname:</ll> Unha branca","CVRD010497",NA,"2010","05","25",NA,NA,"-40,123224","-18,340944",NA,NA,NA,NA,"Magnoliopsida",NA
"14","2021-02-25 10:12:09-03","CVRD","CVRD","4673","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Phanera","grazielae","Phanera grazielae","( Vaz ) Vaz","Angela M. Studart da F. Vaz","Folli, D.A.","2062","1993","10","26","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Unha branca","CVRD004673","CVRD004673","2010","06","15","48094","auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"15","2019-11-13 11:21:32-03","USP","SPF","141201","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","Vaz, AMSF","Hatschbach, G","59733","1993","11","08",NA,"Brasil","Espírito Santo","Domingos Martins","Pedra Branca.","-40.6591987609863","-20.3633003234863",NA,NA,"SPF00141201",NA,"1997",NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-05-08 11:11:23-03","UEFS","HUEFS","49227","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Cercidoideae","Phanera","grazielae","Phanera grazielae","(Vaz) Vaz","L.P.de Queiroz","Hatschbach, G.","59733","1993","11","08",NA,"Brasil","Espírito Santo","Domingos Martins","Pedra Branca, Rio Jucu Braço Norte.","-40.6591987609863","-20.3633003234863",NA,"Floresce no alto das árvores da mata.","HUEFS0049227","HUEFS0049227","2011","12",NA,"48150","auto",NA,NA,NA,NA,NA,NA,"Rosanae",NA
"17","2020-05-08 11:11:23-03","UEFS","HUEFS","204578","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Cercidoideae","Phanera","grazielae","Phanera grazielae","(Vaz) Vaz","L.P. de Queiroz","Demuner, V.","4402","2007","10","24",NA,"Brasil","Espírito Santo","Santa Leopoldina","Fazenda Caioaba, propr.: Claúdio Virloni. Interior de mata secundária.","-40.473056","-20.054444",NA,NA,"HUEFS0204578","HUEFS0204578","2014","12",NA,NA,NA,"40W28'23''","20S3'16''",NA,NA,"150","250","Rosanae",NA
"18","2020-05-08 11:11:23-03","UEFS","HUEFS","204581","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Cercidoideae","Phanera","grazielae","Phanera grazielae","(Vaz) Vaz","L.P. de Queiroz","Demuner, V.","4639","2007","11","30",NA,"Brasil","Espírito Santo","Santa Leopoldina","Pedra Branca, Mata na Serra Santa Lúcia, propr.: Cristiano Bremencampi. Interior da mata.","-40.492222","-20.026667",NA,NA,"HUEFS0204581","HUEFS0204581","2014","12",NA,NA,NA,"40W29'32''","20S1'36''",NA,NA,"300","600","Rosanae",NA
"19","2020-05-08 11:11:23-03","UEFS","HUEFS","207710","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Cercidoideae","Phanera","grazielae","Phanera grazielae","(Vaz) Vaz",NA,"Nascimento, F.H.F.","730","2013","10","19",NA,"Brasil","Bahia","Una","Rebio de Una.","-39.075278","-15.183333",NA,"Floresta Ombrófila Densa.","HUEFS0207710","HUEFS0207710",NA,NA,NA,NA,NA,"39W4'31''","15S11'0''",NA,NA,NA,NA,"Rosanae",NA
"20","2020-07-23 12:01:30-03","CEPLAC","CEPEC","83795","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Bauhinia","grazielae","Bauhinia grazielae",NA,"A. M. S. da F. Vaz","G. Hatschbach","59733","1993","11","08",NA,"Brasil","Espírito Santo","domingos martins","Pedra Branca, rio Jucu Braço Norte.","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA,"30/12/1997"
"21","2020-07-23 12:01:30-03","CEPLAC","CEPEC","78661","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Bauhinia","grazielae","Bauhinia grazielae",NA,"A. M. S. da F. Vaz","A. P. Duarte","3683","1953","11","06",NA,"Brasil","Espírito Santo","VITÓRIA","Matas de Dourados, ao N do Espirito Santo.","-40.3377990722656","-20.3194007873535",NA,"<ll>dwc_commonname:</ll> Unha-de-boi",NA,NA,NA,NA,NA,"15291","auto",NA,NA,"Holótipo",NA,NA,NA,NA,"30/11/1983"
"22","2019-11-21 10:04:55-03","IBt","SP","302570","S","Plantae",NA,NA,"Fabaceae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","Vaz, AMSF","Duarte, AP; Gomes, JC","3683","1953","11","06",NA,"Brasil","Espírito Santo",NA,"Matas de Dourados, norte do Estado. Solo arenoso",NA,NA,NA,"Planta ascendente, sarmentosa","SP000890","SP000890","1983","02",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA
"23","2019-11-21 10:06:28-03","IBt","SP","345206","S","Plantae",NA,NA,"Fabaceae","Schnella","grazielae","Schnella grazielae","(Vaz) Wunderlin","Kuntz, J","Hatschbach, G; et al.","59733","1993","11","08",NA,"Brasil","Espírito Santo","Domingos Martins","Pedra Branca, rio Jucu Braço Norte","-40.6591987609863","-20.3633003234863",NA,NA,"SP041995","SP041995","2017","10","30","48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
