"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","558304","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","S. A. C. Chiea",NA,NA,NA,"W. L. Wanderly","102","1976","11","24","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes fo Ipiranga, IBt, Jardim Botanico. Area 4E. Planta No. 18","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558304","NY00558304_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","558339","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","F. S. Meyer",NA,NA,NA,"N. A. Rosa","3735","1980","11","15","Brazil","São Paulo","Sao Paulo","Reserva do Instituto de Botanica de Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558339","NY00558339_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01091729","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","S. A. C. Chiea",NA,NA,NA,"M. Kirizawa","306","1977","11","03","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes fo Ipiranga, Jardim Botanico. Area 4.","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251153' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091729","NY01091729_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","558308","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","J. J. Wurdack",NA,NA,NA,"R. Kral","75706","1988","11","25","Brazil","São Paulo","Sao Paulo","Instituto Botanica, Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558308","NY00558308_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","558309","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","J. J. Wurdack",NA,NA,NA,"J. P. Lanna Sobrinho","1651","1967","12","08","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Tijuca, Floresta, Bom Retiro","-43.286923","-22.958882",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558309","NY00558309_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02514375","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"Collector unknown","168","2010","04","13","Brazil","São Paulo","Cubatao","Parque Ecológico Perequê. Após placa de CETESB, margen esquerda em direção á trilha de cachoeira. Borda de Floresta Atlântica.","-46.41639","-23.84861",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2744752' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514375","NY02514375_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","686883","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","F. S. Meyer",NA,NA,NA,"R. Kral","75706","1988","11","25","Brazil","São Paulo","Sao Paulo","Instituto de Botânica, natural forest around Herbarium.","-46.622105","-23.64266",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=845417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686883","NY00686883_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02514343","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"Collector unknown","309","2012","03","12","Brazil","São Paulo","Cubatao","Parque Ecológico Perequê. Após placa de CETESB, margem direita em direção á trilha de cachoeira. Borda de Floresta Atlântica.","-46.41461","-23.849",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2744221' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514343","NY02514343_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","778840","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","P. J. F. Guimarães",NA,NA,NA,"J. M. A. Braga","7122","2002","11","08","Brazil","Rio de Janeiro","Petrópolis","Bingem, estrada do Bingem","-43.1783","-22.505",NA,NA,"800","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778840","NY00778840_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-02-18 09:30:11-03","UNESP-IBB","BOTU","19151","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"Amaral Jr., A.","126","1993","03","17","Brasil","São Paulo","São Luiz do Paraitinga",NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU019151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-08 11:09:29-03","UNESP-IBB","BOTU","24379","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Campos, C.J.",NA,NA,NA,"Maroni, B.C.","76","2005","02","22","Brasil","São Paulo","Botucatu","Jardim Botânico (UNESP/Botucatu)","-48.443333","-22.988889","48°26' 36w","22°59'20s",NA,NA,"Árvore com cerca de 5m de altura, folhas simples, flores barncas e lilases.","BOTU024379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-08 11:09:29-03","UNESP-IBB","BOTU","15667","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"Amaral Jr., A.","91","1982","02","17","Brasil","São Paulo","Campos do Jordão",NA,"-45.5","-22.751389","45°30'w","22°45'5s",NA,NA,NA,"BOTU015667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-08 11:09:29-03","UNESP-IBB","BOTU","33993","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"Castro Matheus, L.","25","2019","03","20","Brasil","São Paulo","Botucatu","Jardim Botânico do IBB","-48.833333","-23.016667","48°49'60w","22°60'60s",NA,NA,NA,"BOTU033993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-19 11:35:14-03","UFPI-MRV","HDELTA","2897","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","mutabile","Pleroma mutabile","(Vell.) Triana","Andrade, I.M.","2015","03","20","Andrade, I. M.","4341","2015","03","20","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Natal","HDELTA002897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:31:27-03","UFRJ","RFA","14532","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"P. Occhioni","5757","1973","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra, Estrada Rio - Petrópolis km 48","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Arvoreta de flor rósea ou roxa","RFA45656",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"26","2020-06-29 11:31:27-03","UFRJ","RFA","35059","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","C.M. Vieira",NA,NA,NA,"C.M. Vieira","1511","2001","01","16","Brasil","Santa Catarina","Guaramirim","Proximidades do município de Guaramirim, BR-280","-49.002799987793","-26.4731006622314",NA,NA,NA,NA,"Árvore muito comum em matas e na beira da estrada. Folhas verdes discolores. Cálice esverdeado, pétalas vinosas ou brancas, estames e estiletes vermelhos, anteras amareladas","RFA45657",NA,NA,NA,NA,NA,"15937","auto",NA,NA,NA,NA,NA
"27","2020-06-29 11:31:27-03","UFRJ","RFA","16324","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","W. Hoehne",NA,NA,NA,"W. Hoehne","654","1940","11",NA,"Brasil","São Paulo","São Paulo","Cidade Jardim","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"RFA45654",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"28","2020-06-29 11:31:27-03","UFRJ","RFA","39935","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"J. A. S. Assunção; S. Monteiro (533)","30","2013","10","29","Brasil","Rio de Janeiro","Petrópolis","Valparaíso, trilha do arboreto do Palácio Itaboraí, grupo 05","-43.187222","-22.514722","43º11'14''W","22º30'53''S","865","865","Árvore ca. 10,5 m de altura; DAP: 14 cm; folhas discolores verde escuro na face adaxial e verde oliva na face abaxial; flores com pétalas roxa e outras com pétalas branca e ápice roxo, flores branca com carpelos branco esverdeado, estam","RFA53194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:31:27-03","UFRJ","RFA","7856","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","J.J. Wurdack","1975",NA,NA,"Aglae Maria",NA,"1963","10","17","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"RFA45655",NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"30","2020-11-13 09:20:17-03","UFRJ","RFA","15258","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","J.J. Wurdack","1975",NA,NA,"E.M. Occhioni","s.n.","1970","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Arvoreta 5 - 6 m de altura. Flores róseo ou arroxeadas, frequente","RFA45658",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"31","2020-11-24 17:10:49-03","UTFPR","DVPR","5371","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","Souza, PB","2017","09",NA,"Souza, PB; Barrison, M; Campos, PCL","s.n.","2017","10","06","Brasil","Paraná","Dois Vizinhos","Rua do Comércio, centro Norte, na calçada de uma casa do mesmo lado do mercado Felini .","-53.057201385498","-25.7336006164551",NA,NA,NA,NA,"Arbusto em crescimento com aproximadamente 70 cm de altura , flores rosas e brancas","DVPR005371",NA,"Magnoliophyta",NA,NA,NA,"19637","auto",NA,NA,NA,NA,NA
"32","2020-11-24 17:10:49-03","UTFPR","DVPR","5199","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","Cordeiro, TM","2017",NA,NA,"Cordeiro, TM","s.n.","2017","06","10","Brasil","Paraná","Saudade do Iguaçu","Linha Tateto.","-52.6189002990723","-25.6944007873535",NA,NA,NA,NA,"Árvore, aproximadamente com 1,50 metros, flores nas cores brancas,roxas e róseas.","DVPR005199",NA,"Magnoliophyta",NA,NA,NA,"12212","auto",NA,NA,NA,NA,NA
"33","2020-11-24 17:10:49-03","UTFPR","DVPR","5323","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","Estevan, DA",NA,NA,NA,"Teixeira, LF; Nichelle, B","s.n.","2017","11","22","Brasil","Paraná","Pato Branco","Rua Olívio Coppetti","-52.6706008911133","-26.2285995483398",NA,NA,NA,NA,"Árvore de aproximadamente 4,5 m, com flores roxas.","DVPR005323",NA,"Magnoliophyta",NA,NA,NA,"26000","auto",NA,NA,NA,NA,NA
"34","2021-03-30 12:44:51-03","EAO","IAN","137357","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Wurdack, JJ","1970","06",NA,"Lanna Sobrinho, JP","253","1962","10","02","Brasil","Rio de Janeiro",NA,"Guanabara, Floresta da Tijuca, próximo à Cascatinha.",NA,NA,NA,NA,NA,NA,NA,"IAN137357",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:44:51-03","EAO","IAN","140026","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Wurdack, JJ","1970","06",NA,"Lanna Sobrinho, JP","253","1962","10","02","Brasil","Rio de Janeiro",NA,"Guanabara, Floresta da Tijuca, próximo à Cascatinha.",NA,NA,NA,NA,NA,NA,NA,"IAN140026",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-01-20 14:40:39-03","UPM","MACK","1264","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","A. A. de Oliveira","2010","04","07","T. J. Cadorin; et al.",NA,"2010","04","28","Brasil","SC","Garuva","Sol nascente, Beira da estrada. Floresta ombrófila densa de terras baixas, Estádio suces, médio de regeneração.","-48.8549995422363","-26.0266990661621","S","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22441","auto",NA,NA,NA,NA,NA
"37","2020-01-20 14:40:39-03","UPM","MACK","478","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","A. V. G. Sousa; J. S. Ferraz","2008","06","19","J. S. Ferraz","18","2008","06","18","Brasil","SP","São Paulo","Jardim do Mackenzie","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"38","2020-01-20 14:40:39-03","UPM","MACK","2680","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.)","A. R. Balbin","2015","09","16","A. R. Balbin","42","2015","09","16","Brasil","SP","São Paulo","UPM, Campus Higienópolis.","-46.6300010681152","-23.5400009155273","S","W",NA,NA,"Entrada da Piauí",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"39","2019-12-12 15:31:46-03","UFABC","HUFABC","001236","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","mutabile","Pleroma mutabile","(Vell.) Triana",NA,NA,NA,NA,"Almeida","37","2008","01","23","Brasil","São Paulo","São Paulo","Parque Independência","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Doação do herbário municipal (Pq do Ibirapuera).","HUFABC001236",NA,"Angiospermas",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"40","2019-12-04 15:25:26-03","PUCPR","HUCP","14200","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Valle, AO",NA,NA,NA,"Chauete, P","001","1991","03","30","Brasil","Paraná","Castro",NA,"-50.0119018554688","-24.7910995483398",NA,NA,NA,NA,NA,"HUCP00014142","HUCP00014142","Eudicotiledonea",NA,NA,NA,"50779","auto",NA,NA,NA,NA,NA
"41","2019-12-04 15:25:26-03","PUCPR","HUCP","8387","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Bessa, FA",NA,NA,NA,"Biu, CC","001","1995","04",NA,"Brasil","Paraná","Contenda","Pico do Anhangava","-49.5346984863281","-25.6756000518799",NA,NA,NA,NA,NA,"HUCP00014191","HUCP00014191","Eudicotiledonea",NA,NA,NA,"22732","auto",NA,NA,NA,NA,NA
"42","2019-12-04 15:25:26-03","PUCPR","HUCP","11299","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Bessa, FA",NA,NA,NA,"Koligowski, SM","002","1991","04","07","Brasil","Paraná","Curitiba","Barreirinha","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014439","HUCP00014439","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"43","2019-12-04 15:25:26-03","PUCPR","HUCP","11298","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Bessa, FA",NA,NA,NA,"Soares, MRP","003","1995","03","22","Brasil","Paraná","Curitiba","Boqueirão","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014387","HUCP00014387","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"44","2019-12-04 15:25:26-03","PUCPR","HUCP","10314","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.",NA,NA,NA,NA,"Wangler, MS","083","1997","03","13","Brasil","Paraná","Curitiba","Campus da PUC","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014070","HUCP00014070","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"45","2019-12-04 15:25:26-03","PUCPR","HUCP","11595","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Jaszczerski, JC",NA,NA,NA,"Fogagnoli, JF","002","1998","03","25","Brasil","Paraná","Curitiba","Juvevê","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014388","HUCP00014388","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"46","2019-12-04 15:25:26-03","PUCPR","HUCP","9396","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Jaszczerski, JC",NA,NA,NA,"Kloeppel, D","006","1996","04","09","Brasil","Paraná","Curitiba","Prado Velho","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014424","HUCP00014424","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"47","2019-12-04 15:25:26-03","PUCPR","HUCP","9398","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Jaszczerski, JC",NA,NA,NA,"Alves, E","006","1996","04","09","Brasil","Paraná","Curitiba","Prado Velho","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014480","HUCP00014480","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"48","2019-12-04 15:25:26-03","PUCPR","HUCP","11297","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Bessa, FA",NA,NA,NA,"Costa, JL","001","1995","03","27","Brasil","Paraná","Curitiba","Prado Velho, PUC.","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014376","HUCP00014376","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"49","2020-02-27 21:09:14-03","PUCPR","HUCP","9718","S","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Mattos, J; Naliwaio, K",NA,NA,NA,"Kokis, VM","001","1996","03","31","Brasil","Paraná","Curitiba","Vila Isabel","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014018","HUCP00014018","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
