"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","fieldNumber","individualCount","typeStatus","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1032063","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"B. Rambo","1953","01","20","Brazil","Rio Grande do Sul",NA,"Taimbesinho, p. S. Fr. de Paula.","-50.63711","-28.650038",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190333' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032063","NY01032063_01","s.n.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1032068","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"R. Reitz","1961","03","02","Brazil","Santa Catarina",NA,"Serra da Boa Vista, São José",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190345' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032068","NY01032068_01","10781","1000","1000","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1144785","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","J. A. N. Batista",NA,NA,NA,"R. de Mello-Silva","2000","03","25","Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar, núcleo Cunha-Indaiá. Trilha para as nascentes do rio Bonito.","-44.9597","-23.07",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299191' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144785","NY01144785_01","1798","1100","1100","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1032039","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"G. F. J. Pabst","1952","02","14","Brazil","Paraná",NA,"pr. Guaruva ad viam Curitiba-Joinvile",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190255' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032039","NY01032039_01","s.n.","500","500","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1032046","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","1909","01","17","Brazil","Paraná",NA,"Rio Tibogry, in paludosis",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190274' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032046","NY01032046_01","7584",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1032062","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"E. Pereira","1964","01","15","Brazil","Santa Catarina",NA,"Areão, Alto da Serra do Espigão, planalto catarinense.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190329' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032062","NY01032062_01","8383",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1032043","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","1918","11","26","Brazil","São Paulo",NA,"Butantan.","-46.724373","-23.565521",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190267' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032043","NY01032043_01","879",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1032065","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"J. da Costa Sacco","1959","11","25","Brazil","Rio Grande do Sul",NA,"Inst. Agronômico do Sul.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190338' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032065","NY01032065_01","1380",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1032045","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"G. Gardner","1838",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190273' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032045","NY01032045_01","s.n.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1032066","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"E. Richter","1963","01","15","Brazil","Rio Grande do Sul",NA,"Canela",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190341' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032066","NY01032066_01","s.n.","900","900","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1032071","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"L. B. Smith","1964","12","15","Brazil","Santa Catarina","Faxinal dos Guedes","Urupema","-52.23","-26.85",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032071","NY01032071_01","14017","700","900","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1032069","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"G. G. Hatschbach","1971","02",NA,"Brazil","Paraná","Paranaguá","Ilha do Mel","-48.326804","-25.522889",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190347' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032069","NY01032069_01","25686",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1032040","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"R. Reitz","1956","01","19","Brazil","Santa Catarina",NA,"Pilões, Palhoça","-48.694057","-27.77489",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190259' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032040","NY01032040_01","2468","200","200","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1032070","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"L. B. Smith","1956","12","26","Brazil","Santa Catarina","Chapecó","Fazenda Campo São Vicente, 24 km west of Campo Eré","-53.18","-26.37",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190349' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032070","NY01032070_01","9478","900","1000","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1032044","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","C. Schweinfurth",NA,NA,NA,"E. Leite","1941","11",NA,"Brazil","Rio Grande do Sul",NA,"Vicinity of Sao Leopoldo","-51.143791","-29.75136",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190270' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032044","NY01032044_01","430",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1032049","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"L. Riedel","1832",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190280' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032049","NY01032049_01","s.n.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1032061","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"E. Pereira","1963","04","13","Brazil","Rio de Janeiro",NA,"Itatina, Hotel do Simão",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190324' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032061","NY01032061_01","7553",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1032064","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"B. Rambo","1953","02","03","Brazil","Rio Grande do Sul",NA,"Serra da Rocinha pr. Bom Jesus",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190335' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032064","NY01032064_01","s.n.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","4094587","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"O. Huber","1985","01","22","Venezuela","Bolívar","Roscio","altiplanicie que rodea la cumbre del Uei-tepui (Cerro del Sol), sector occidental, por encima del valle del Río Arabopó","-60.62","5",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413545' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094587",NA,"10039","2150",NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1032067","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"J. C. Lindeman","1966","02","10","Brazil","Paraná","General Carneiro","Headwaters of Rio Itatim. ca. 15 km W. of Gal. Carneiro.","-51.3156","-26.4275",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190343' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032067","NY01032067_01","13683",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1032047","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","G. F. J. Pabst",NA,NA,NA,"G. F. J. Pabst","1952","08","11","Brazil","Rio Grande do Sul",NA,"Aparados da Serra, [?] da descida dos aparados para Araranguá.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190276' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032047","NY01032047_01","s.n.","1100","1100","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1032041","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","A. Ghillány",NA,NA,NA,"M. Rossato","1989","01","04","Brazil","Rio Grande do Sul",NA,"Paverama","-51.727409","-29.575542",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190261' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032041","NY01032041_01","s.n.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1032048","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","O. Handro",NA,NA,NA,"M. Kuhlmann","1958","03","16","Brazil","São Paulo",NA,"Salesópolis, Boracéia","-45.886229","-23.65179",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032048","NY01032048_01","4340",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1032074","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","reichenbachiana","Habenaria reichenbachiana","Barb.Rodr.",NA,NA,NA,NA,"G. F. J. Pabst","1955","05","01","Brazil","Rio de Janeiro",NA,"Estr. Teresópolis",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190368' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032074","NY01032074_01","s.n.","1400","1400","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1032030","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","reichenbachiana","Habenaria reichenbachiana","Barb.Rodr.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","1908","11","28","Brazil","Paraná",NA,"Villa Velha","-50.012929","-25.234872",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032030","NY01032030_01","7223",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1032072","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","reichenbachiana","Habenaria reichenbachiana","Barb.Rodr.",NA,NA,NA,NA,"R. Reitz","1959","01","26","Brazil","Rio Grande do Sul",NA,"Alto Matador",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190354' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032072","NY01032072_01","8311","800","800","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1032073","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","reichenbachiana","Habenaria reichenbachiana","Barb.Rodr.",NA,NA,NA,NA,"G. F. J. Pabst","1963","11","17","Brazil","Rio de Janeiro",NA,"Ilha do Governador, pr. Aeroporto, in paludosis","-43.239084","-22.811821",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032073","NY01032073_01","s.n.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-08 11:09:42-03","UNESP-IBB","BOTU","28303","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Adachi, S.A.","2012","03","25","Adachi, S.A.","2012","03","19","Brasil","São Paulo","Botucatu","Jardim Botânico da UNESP","-48.5","-22.886944","48°30'00w","22°53'13s",NA,"BOTU028303",NA,"801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-08 11:09:42-03","UNESP-IBB","BOTU","29559","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Adachi, S.A.","2011","06","13","Ishara, K.L.","2006","02","15","Brasil","São Paulo","Botucatu",NA,"-48.016667","-22.866667","48°01'w","22°52's","Jardim Botânico UNESP Botucatu","BOTU029559",NA,"644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 11:09:42-03","UNESP-IBB","BOTU","12895","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Batista, J.A.N.","1998","10",NA,"Amaral Jr., A.","1985","05","17","Brasil","São Paulo","Campos do Jordão",NA,"-45.5","-22.75","45°30'w","22°45's",NA,"BOTU012895","BOTU012895","98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9047","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Batista, J.A.N.","1988","10","06","Amaral Jr., A.","1973","03","01","Brasil","São Paulo","Botucatu","Estrada de Monte Alegre, a mais ou menos 3km da Rodovia Marechal Rondon, brejo à beira da estrada",NA,NA,"9999","9999",NA,"BOTU009047",NA,"1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-02-08 11:09:42-03","UNESP-IBB","BOTU","28302","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Adachi, S.A.","2012","02","28","Adachi, S.A.","2012","10","12","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, Estrada de Ferro Sorocabana","-48.501389","-22.888611","48°30'05w","22°53'19s",NA,"BOTU028302",NA,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-13 09:20:35-03","UFRJ","RFA","38310","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","M. S. Wängler; F. F. V. A. Barberena; M. O. Pellegrini","2012","03","30","M. S. Wängler; V. S. Ferreira","2012","01","26","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida silvestre, estrada do Marão (Alho).","-43.373889","-22.446667","43º22'26''W","22º26'48''S","Erva terrícola de 54 cm, raízes finas, brancas, cauloma cilíndrico, verde, folhas verdes, sésseis, inflorescência apical, sépalas e calcar verde claro, pétalas e labelo amarelos.","RFA38821",NA,"1046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-06-29 11:31:48-03","UFRJ","RFA","12097","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","I.G.C.M. Costa","2016","09","06","P. Occhioni","1972","05","10","Brasil","Rio de Janeiro","Resende","Mauá.","-44.4467010498047","-22.468900680542",NA,NA,"Terrestre. Flor verde","RFA29365",NA,"4869",NA,NA,NA,NA,NA,NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-06-29 11:31:48-03","UFRJ","RFA","21711","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","I.G.C.M. Costa","2016","09","06","C.P. Bove","1986","10","13","Brasil","Rio de Janeiro","Rio de Janeiro","Rodovia Presidente Dutra Km 235 (BR-116)","-43.2075004577637","-22.9027996063232",NA,NA,NA,"RFA29375",NA,"35",NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
