"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount"
"19","2020-10-14 10:06:45-03","FURB","FURB","8050","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Giacomin, LL; Stehmann, JR","Dreveck, S.; Gasper, A.L. de & Brogni, E.","354","2008","05","01",NA,"Brasil","Santa Catarina","Serra do Panelão.","1283","1283",NA,"Florística IFFSC 354. Habitat: Floresta Ombrófila Mista; Estágio Inicial a Médio Habito: Fruto verde;","FURB44185","FURB44185","Bom Retiro","-49.5905555","-27.9005556",NA,NA,"2009","08","03",NA,"-49.5905555","-27.9005556",NA,NA,NA,NA,NA
"20","2019-08-16 08:41:14-03","UTFPR","HCF","14165","S","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Dawns","J.R. Stehmann","J.M. Silva","4523","2005","11","24",NA,"Brasil","PR","Pacas",NA,NA,NA,"arbusto, 80 cm, anteras amarelas. Floresta atlântica degradada.",NA,NA,"Bocaiúva do Sul","-49.1150016784668","-25.2061004638672",NA,NA,"2009",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA
"21","2020-12-21 16:45:47-03","MBM","MBM","308505","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs","Stehmann, J.R.","Silva, J.M.; Pinto, E.S.; Poliquesi, C.B.; Pinto, E.S.; Poliquesi, C.B.","4523","2005","11","24","Southern America","Brazil","Paraná","Pacas",NA,NA,NA,"Arbusto, 80cm, anteras amarelas. Floresta Atlântica degradada","MBM308505","MBM308505","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672",NA,NA,"2009","07","18",NA,NA,NA,"61623","auto",NA,NA,NA
"22","2020-12-21 16:45:47-03","MBM","MBM","320558","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs","Stehmann, J.R.","Silva, J.M.; Sampaio, D.; Coutinho, A.P.S.; Sampaio, D.; Coutinho, A.P.S.","5150","2006","10","19","Southern America","Brazil","Paraná","Serra São Luis do Purunã",NA,NA,NA,"Arbusto, 2m, flor alva. Interior do Capão","MBM320558","MBM320558","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,"2009","07","15",NA,NA,NA,"27346","auto",NA,NA,NA
"23","2020-12-21 16:45:47-03","MBM","MBM","27353","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs","Mentz, L.A.","Hatschbach, G.","27096",NA,NA,NA,"Southern America","Brazil","Paraná","Santa Ana",NA,NA,NA,NA,"MBM027353","MBM027353","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA
"24","2015-09-03 19:51:29-03","MNHN","RECOLNAT_MNHN_P","P00336514","PreservedSpecimen",NA,NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp","Jänssen, G.",NA,"1914","9","27",NA,"Brésil",NA,"Itaperussu, Parana",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00336514' target='other'> <mi>dwc_moreinfo</mi></a>","P00336514","P00336514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1005 a",NA
"25","2020-12-11 11:42:14-03","UFMG","BHCB","152776","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs",NA,"Agra, MF; Bohs, LA; Giacomin, LL; Giudicelli, GC; Jorge, TB","7363","2011","05","02","Southern America","Brasil","São Paulo","Parque Nacional da Serra da Bocaina, Just behind alojamento at entrance to park","1507","1507",NA,"Small tree ca. 3m tall. Fruits dark green, held upright when mature.; In light gap in forest.","BHCB020879",NA,"São José do Barreiro","-44.616944","-22.733611",NA,NA,"2012","07","10",NA,"-44.616944","-22.733611",NA,NA,NA,NA,NA
"26","2020-12-11 11:42:14-03","UFMG","BHCB","152792","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs",NA,"Agra, MF; Bohs, LA; Giacomin, LL; Giudicelli, GC; Jorge, TB","7382","2011","05","04","Southern America","Brasil","São Paulo","Parque Nacional da Serra da Bocaina, Main road through park from entrance at alojamento past Fazenda das Posses. Turnoff on trail to Fazenda do Simeon","1198","1198",NA,"Shrub 2-3m tall. Fruits dark green, hanging down.; Sunny area at side of trail.","BHCB020878",NA,"São José do Barreiro","-44.604444","-22.784722",NA,NA,"2012","07","10",NA,"-44.604444","-22.784722",NA,NA,NA,NA,NA
"27","2020-12-11 11:42:14-03","UFMG","BHCB","38305","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs",NA,"Bidá, A","473","1984","07","26","Southern America","Brasil","Paraná","Santa Monica Clube do Campo",NA,NA,NA,"Arbusto com frutos","BHCB018512",NA,"Colombo","-49.2242012023926","-25.2917003631592",NA,NA,"2013",NA,NA,NA,NA,NA,"13536","auto",NA,NA,NA
"28","2021-02-11 17:21:50-03","UFPR","UPCB","30726","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Stehmann, J.R.","Bidá, A.","473","1984","07","26",NA,"Brasil","Paraná","Santa Mônica Clube de Campo",NA,NA,NA,"Arbusto, com fruto..",NA,NA,"Colombo","-49.2242012023926","-25.2917003631592",NA,NA,"1997","07",NA,NA,NA,NA,"13536","auto",NA,NA,NA
"29","2009-08-23 08:49:00-03","MO","MOBOT","2477480","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs","Smith, L. B.","Lyman B. Smith|Roberto M. Klein","Smith 7321","1956","11","6","South America","Brazil","Santa Catarina","4 km S of Campo Alegre on the rd. to Jaraguá do Sul","900.00000000","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","1593853","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs",NA,"B. Lutz","740","1932","1","6","South America - Neotropics","Brazil","São Paulo","S. Bocaina",NA,NA,NA,NA,"US01931622","US01931622_01 US01931622_02",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"31","2020-09-12 05:00:02-03","US","US","2470249","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs",NA,"G. Hatschbach","7384","1960","10","18","South America - Neotropics","Brazil","Paraná","Serra da Esperança",NA,NA,NA,NA,"US01931623","US01931623_01 US01931623_02","Guarapuava","-51.4580993652344","-25.395299911499",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"53832","auto",NA,NA,"1"
"32","2020-09-12 05:00:02-03","US","US","2912902","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs",NA,"R. Reitz & D. Klein","5142","1957","10","17","South America - Neotropics","Brazil","Santa Catarina",NA,"1000",NA,NA,NA,"US01931624","US01931624_01 US01931624_02","Campo Alegre","-49.2655982971191","-26.1924991607666",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"37493","auto",NA,NA,"1"
"33","2020-09-12 05:00:02-03","US","US","1617064","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs",NA,"F. C. Hoehne","23114","1928","10","20","South America - Neotropics","Brazil","Paraná",NA,NA,NA,NA,NA,"US01931625","US01931625_01 US01931625_02","Curitiba","-49.2731018066406","-25.4277992248535",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,"1"
"34","2020-09-12 05:00:02-03","US","US","2423797","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs",NA,"L. B. Smith & R. M. Klein","7321","1956","11","6","South America","Brazil","Santa Catarina","4 km. S of Campo Alegre on road to Jaragua do Sul.","900","1000",NA,NA,"US00027008","US00027008_01",NA,NA,NA,"Holotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"35","2021-03-25 13:53:40-03","UNIVILLE","JOI","10713","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","J. R. Stehmann","S. Dreveck","2438","2010","10","11",NA,"Brasil","Santa Catarina","Rio Vermelho - APA Rio Vermelho/Humbold.","1010","1010",NA,"Plano de manejo APA do Rio Vermelho/Humbold; HABITO: arbusto; TIPO VEGETACIONAL: Floresta Ombrófila Mista","JOI010713",NA,"São Bento do Sul","-49.263889","-26.270556",NA,NA,"2011","06","24",NA,"49º15'50''W","26º16'14''S",NA,NA,NA,NA,NA
"36","2015-03-07 08:31:14-03","F","FMNH-SEEDPLANTS","V0129762F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"V0129762F","V0129762F_01",NA,"-52.8731","-10.8339",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-08-23 10:23:11-03","NHMLondon","NHM-LONDON-BOT","BM001120398","S","Plantae","Angiosperm",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","Gloria Estela Barboza; b.1959; Barboza; E.M. Filippa; M.A. Gutierrez","1620","2006","02","24",NA,"Brasil","Santa Catarina","a 4.9 km de la Prefectura Municipal Campo Alegre, 200 m de la Torre de alta tensión, a la izquierda",NA,NA,NA,NA,NA,NA,NA,"-49.245556","-23.223611",NA,NA,"2014",NA,NA,"NHMUK:ecatalogue:4341231","-49.245556","-23.223611",NA,NA,NA,NA,NA
"38","2016-08-23 10:23:11-03","NHMLondon","NHM-LONDON-BOT","BM000935454","S","Plantae","Angiosperm",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","Alexander Curt Brade; b.1881; d.1971; Brade","20138","1949","10","06",NA,"Brasil","São Paulo","Bananal, Serra da Bocaina, Sertão do Rio Vermelho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996",NA,NA,"NHMUK:ecatalogue:5451327",NA,NA,NA,NA,NA,NA,NA
"39","2015-02-26 09:30:59-03","NHMLondon","NHM-LONDON-BOT","NYsmithlb7321","S","Plantae","Angiosperm",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","Anon.","S.N.",NA,NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"2002","01","01","NHMUK:ecatalogue:4514348",NA,NA,NA,NA,NA,NA,NA
"40","2015-02-26 09:30:59-03","NHMLondon","NHM-LONDON-BOT","USsmithlb7321","S","Plantae","Angiosperm",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","Anon.","S.N.",NA,NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"-47.95","-22.233333","Holotype",NA,"2002","01","01","NHMUK:ecatalogue:4514347","-47.95","-22.233333",NA,NA,NA,NA,NA
"41","2021-02-23 13:23:08-03","MN","R-TIPOS","129992","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B. Sm. & Downs",NA,"Smith, L.B.; Klein, R.M.","7321","1956","11","06",NA,"Brasil","Santa Catarina",NA,"9001000","9001000",NA,NA,"R000129992","R000129992_001","Campo Alegre","-49.2655982971191","-26.1924991607666","Isotypus",NA,NA,NA,NA,NA,NA,NA,"37493","auto",NA,NA,NA
"42","2021-02-08 12:45:52-03","UFRGS","ICN","169789","S","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Soares, ELC; Mentz, LA","Hatschbach, G","28094","1971","11","16","América do Sul","Brasil","MG","Serra do Espinhaço",NA,NA,NA,"Doação Herbário MBM; subarbusto, 50 cm, flor lilás, anteras amarelas; afloramentos rochosos, encosta do morro (campo rupestre)","ICN00036858",NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA
"43","2021-02-08 12:45:52-03","UFRGS","ICN","132740","S","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs",NA,"Mentz, LA; et al.","287","2003","11","26","América do Sul","Brasil","SC","a 3 8 km de Campo Alegre por el camino viejo de tierra rumbo a Chartres 23° 13' 22 5 S 49° 14' 45 9 W","960","960",NA,"Arbusto de ca. 50 cm alt. Corola bien estrellada, blanca; Abundante em zona de Araucária","ICN00036856",NA,"Campo Alegre","-49.245833","-26.222778",NA,NA,NA,NA,NA,NA,"-49.245833","-26.222778",NA,NA,NA,NA,NA
"44","2021-02-08 12:45:52-03","UFRGS","ICN","187582","S","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs",NA,"Brade, AC; Duarte, A","20138","1949","10",NA,"América do Sul","Brasil","SP","Serra da Bocaina, bananal, Sertão do Rio Vermelho","1200","1200",NA,"pequena árvore, 2-3m de altura, flores alvas","ICN00036859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
