"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","478170","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","18176","1967","12","26","Brazil","Paraná","Campina Grande do Sul","Morro Guaricana","-49.0553","-25.3058",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478170","NY00478170_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","478171","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"L. B. Smith","2075","1968","12","06","Brazil","São Paulo","Salesópolis","Boraceia, Estaçao Biologica","-45.886229","-23.65179",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478171","NY00478171_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1018308","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.",NA,NA,NA,NA,"J. F. A. Baumgratz","985","2007","04","19","Brazil","Rio de Janeiro","Nova Iguaçú","Reserva Biológica do Tinguá, região denominada Mato Escuro, na área do Rancho dos Bobos.","-43.4667","-22.5667",NA,NA,"830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1254879' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018308","NY01018308_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","478432","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"R. M. Klein","1929","1956","03","07","Brazil","Santa Catarina","Ibirama","Horto Florestal I.N.P., Ibirama","-49.5178","-27.0569",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478432","NY00478432_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02098810","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","736","2010","01","20","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, estrada para a barragem","-43.002222","-22.449167",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305625' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098810","NY02098810_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01874792","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1235","2011","02","16","Brazil","Paraná","Guaratuba","Morro dos Perdidos","-49.00503","-25.53484",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874792","NY01874792_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","03287705","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.",NA,NA,NA,NA,"H. Cavalcante de Lima","8440","2016","11","03","Brazil","Rio de Janeiro","Duque de Caxias","Reserva Biologica do Tingua. Estrada do Imperador, apos o Vale das Princesas, proximo ao Cruzeiro.","-43.2972","-22.4908",NA,NA,"1089","1089","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578913' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287705",NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","478180","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. Y. V. Norlind",NA,NA,NA,"P. K. H. Dusén","15044","1914","05","12","Brazil","Paraná","Jaguariaíva","Jaguariahyva app","-49.7056","-24.2511",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478180","NY00478180_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","478174","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"R. M. Klein","2301","1959","11","19","Brazil","Santa Catarina","Blumenau","Mata da Companhia Hering, Bom Retiro, Blumenau","-49.082834","-26.926032",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478174","NY00478174_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","02098890","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1235","2011","02","16","Brazil","Paraná","Guaratuba","Morro dos Perdidos","-49.00503","-25.53484",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568368' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098890","NY02098890_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","478177","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","2470","1956","01","19","Brazil","Santa Catarina","Palhoça","Pilhoes","-48.6678","-27.6456",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478177","NY00478177_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02499151","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1341","2012","02","15","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia. Ultimo Adeus","-44.607312","-22.459068",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085152' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499151","NY02499151_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","478181","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora grandifolia","Cogn.","A. C. Brade",NA,NA,NA,"A. C. Brade","12802","1933","10",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Sumaré","-43.226672","-22.945054",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478181","NY00478181_01","Magnoliophyta","Myrtales","South America","sheet","grandifolia",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","478173","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","4065","1967","01","12","Brazil","Paraná","Morretes","Serra do Mar; Uppe Rio do Corvo, S of old road to Morretes, ca. 25 km E of Curitiba","-48.906339","-25.339275",NA,NA,"900","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478173","NY00478173_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","228697","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora grandifolia","Cogn.",NA,NA,NA,NA,"H. Wawra",NA,NA,NA,NA,"Brazil",NA,NA,"Petropolis, in Unna ld exn nicht sel. ten",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228697","NY00228697_01","Magnoliophyta","Myrtales","South America","sheet","grandifolia","syntype",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01874850","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1256","2012","01","07","Brazil","Paraná","Guaratuba","Pedra Branca do Araraquara","-48.90806","-25.93389",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084844' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874850","NY01874850_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","02098787","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1106","2010","01","18","Brazil","Rio de Janeiro","Teresópolis","P. N. Serra dos Órgãos","-43.073169","-22.496706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084713' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098787","NY02098787_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00777127","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. F. A. Baumgratz",NA,NA,NA,"G. L. Esteves","2699","2000","08","09","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do mar, Núcleo Caraguatatuba. Trilha dos Tucanos","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777127","NY00777127_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","02098821","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1081","2010","01","08","Brazil","Paraná","Piraquara","Mananciais da Serra","-49.025191","-25.507967",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085038' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098821","NY02098821_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","478184","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","F. Markgraf",NA,NA,NA,"R. Reitz","1811","1954","04","28","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478184","NY00478184_01 NY00478184_02","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","478176","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","1811","1954","04","28","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478176","NY00478176_01 NY00478176_02","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","02226413","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.",NA,NA,NA,NA,"M. Reginato","1341","2012","02","15","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia. Ultimo Adeus e trilha do Véu de Noiva.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2498903' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226413","NY02226413_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,"19648","auto",NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","02098822","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1139","2010","01","22","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Estrada para o Sítio Sopronitis","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084746' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098822","NY02098822_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,"33190","auto",NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01874789","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1474","2014","10","05","Brazil","Rio de Janeiro","Teresópolis","P.N. da Serra dos Orgãos. Trilha do Mirante.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874789","NY01874789_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,"38539","auto",NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","478181","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora grandifolia","Cogn.","A. C. Brade",NA,NA,NA,"A. C. Brade","12802","1933","10",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Sumaré","-43.226672","-22.945054",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478181","NY00478181_01","Magnoliophyta","Myrtales","South America","sheet","grandifolia",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","228697","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora grandifolia","Cogn.",NA,NA,NA,NA,"H. Wawra",NA,NA,NA,NA,"Brazil",NA,NA,"Petropolis, in Unna ld exn nicht sel. ten",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228697","NY00228697_01","Magnoliophyta","Myrtales","South America","sheet","grandifolia","syntype",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","478385","PreservedSpecimen","Plantae","Melastomataceae","Leandra","dusenii","Leandra dusenii","Cogn.","J. Y. V. Norlind",NA,NA,NA,"P. K. H. Dusén","7231","1908","11","26","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478385","NY00478385_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","478387","PreservedSpecimen","Plantae","Melastomataceae","Leandra","dusenii","Leandra dusenii","Cogn.","J. J. Wurdack",NA,NA,NA,"L. B. Smith","14492","1965","01","15","Brazil","Paraná","Castro","Carambei by Sao Joao","-50.03","-24.5",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478387","NY00478387_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","478385","PreservedSpecimen","Plantae","Melastomataceae","Leandra","dusenii","Leandra dusenii","Cogn.","J. Y. V. Norlind",NA,NA,NA,"P. K. H. Dusén","7231","1908","11","26","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478385","NY00478385_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","478387","PreservedSpecimen","Plantae","Melastomataceae","Leandra","dusenii","Leandra dusenii","Cogn.","J. J. Wurdack",NA,NA,NA,"L. B. Smith","14492","1965","01","15","Brazil","Paraná","Castro","Carambei by Sao Joao","-50.03","-24.5",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478387","NY00478387_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","02514763","PreservedSpecimen","Plantae","Melastomataceae","Leandra","microphylla","Leandra microphylla","Cogn.",NA,NA,NA,NA,"R. Goldenberg","2226",NA,NA,NA,"Brazil","Paraná","Balsa Nova","Serra de São Luiz do Purunã.","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2745655' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514763","NY02514763_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,"27346","auto",NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","520551","PreservedSpecimen","Plantae","Melastomataceae","Leandra","microphylla","Leandra microphylla","Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","3851","1957","03","31","Brazil","Paraná","Piraí do Sul","Serra da Furnas","-49.9483","-24.5261",NA,NA,NA,NA,"Coll. date on label says 31/111/957 [based on surrounding collection numbers, the 111 means March] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520551","NY00520551_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","228723","PreservedSpecimen","Plantae","Melastomataceae","Leandra","nutans","Leandra nutans","Cogn.",NA,NA,NA,NA,"H. Papon","16915",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228723","NY00228723_01","Magnoliophyta","Myrtales","South America","sheet",NA,"isotype",NA,NA,NA,NA,NA,NA,NA
