"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","continentOcean","coordinatePrecision","geoFlag","typeStatus","monthIdentified","dayIdentified","individualCount"
"11","2020-10-14 10:07:08-03","FURB","FURB","13190","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","Verdi, M.; Gasper, A.L. de","2056","2009","05","07","Brasil","Santa Catarina","Rio Rufino","Morro das Torres.","-49.86","-27.9","-49.8600000","-27.9000000","Florística IFFSC 214(Erva Terrícola) Habitat: Floresta Ombrófila Mista; Estágio Avançado; entorno do fragmento Habito: herbácea;","FURB03765","FURB03765",NA,"Mota, NFO","2010","1432","1432",NA,NA,NA,NA,NA,NA,"09","27",NA
"12","2020-10-14 10:07:08-03","FURB","FURB","44567","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","Motta, J.T.; Dombrowski, L.T. & Cordeiro, J.","4169","2013","12","18","Brasil","Paraná","Palmeira","Recanto dos Papagaios.","-49.7683334","-25.4652778","-49.7683334","-25.4652778",NA,"FURB45620","FURB45620",NA,"Lozano, ED","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-16 17:54:43-03","UCS","HUCS","07025","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L. A. Nilsson","Cordeiro, J.","591","1988","11","30","Brasil","Paraná","São José dos Pinhais","Mergulhão","-49.2064018249512","-25.5347003936768",NA,NA,"flor amarela; brejo",NA,NA,"Angiospermae","Lozano, E.D.","2014",NA,NA,NA,"Poales",NA,"45291","auto",NA,NA,NA,NA
"14","2019-08-16 08:41:26-03","UTFPR","HCF","9943","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","M. Parolin",NA,"2011","12","01","Brasil","PR","Balsa Nova","Serra São Luis do Purunã","-49.650278","-25.436417","49°39'01 W","25°26'11,1 S","erva ereta, heliófita, ca. 0,65 m. Flores amarelas. Código: 10 M.",NA,NA,NA,"J. Cordeiro & E.D. Lozano","2013","1183","1183",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-16 08:41:26-03","UTFPR","HCF","21042","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","2409","2013","12","18","Brasil","PR","Ponta Grossa","Parque Estadual de Vila Velha","-50.004167","-25.246944","50°00'15 W","25°14'49 S","cespitosa, 1,5 m, flores amarelas, campo semi-hidromórfico, solo arenoso.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-16 08:41:26-03","UTFPR","HCF","21084","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","1865","2013","11","20","Brasil","PR","Piraquara","Reservatório Piraquara II, estrada para","-49.023056","-25.513889","49°01'23 W","25°30'50 S","cespitosa, 70 cm, flores amarelas, rizoma ereto, campo úmido. Campos de Curitiba.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-16 08:41:26-03","UTFPR","HCF","16354","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","J.T. Motta","4216","2013","12","18","Brasil","PR","Balsa Nova","Ponte dos Arcos","-49.803056","-25.554444","49°48'11 W","25°33'16 S","herbácea; flores amarelas. Campo úmido.",NA,NA,NA,"E.D. Lozano","2014","880","880",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-16 08:41:26-03","UTFPR","HCF","20975","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","2312","2013","12","13","Brasil","PR","Palmas","Refúgio da Vida Silvestre dos Campos de","-51.670833","-26.530278","51°40'15 W","26°31'49 S","cespitosa, 1,5 m, flores amarelas, campo úmido, relva alta. Campos de Palmas.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-08-16 08:41:26-03","UTFPR","HCF","21041","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","2242","2013","12","11","Brasil","PR","Guarapuava","Rodovia BR-277, Campo em frente à Conce","-51.510833","-25.382778","51°30'39 W","25°22'58 S","cespitosa, 1 m, flores amarelas, campo úmido, relva alta. Campos de Guarapuava.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-08-16 08:41:26-03","UTFPR","HCF","14317","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","J.T. Motta","4169","2013","12","18","Brasil","PR","Palmeira","Recanto dos Papagaios","-49.768333","-25.465278","49°46'06 W","25°27'55 S","herbácea; flores amarelas. Campo úmido.",NA,NA,NA,"E.D. Lozano","2014","957","957",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-16 08:41:26-03","UTFPR","HCF","21043","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","1183","2012","11","24","Brasil","PR","Jaguariaíva","Fazenda Garrote","-49.843056","-24.382222","49°50'35 W","24°22'56 S","herbácea, 70 cm, flores amarelas, cespitosa, solo arenoso com muita matéria orgânica.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-16 08:41:26-03","UTFPR","HCF","21038","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","2256","2013","12","11","Brasil","PR","Guarapuava","Rodovia PR-466, próximo à Polícia","-51.503889","-25.318056","51°30'14 W","25°19'05 S","cespitosa, 1,5 m, flores amarelas, campo úmido, relva alta. Campos de Guarapuava.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-08-16 08:41:26-03","UTFPR","HCF","20977","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","1575","2013","10","16","Brasil","PR","Quatro Barras","Estrada da Graciosa, Rio Taquari","-48.933611","-25.311111","48°56'01 W","25°18'40 S","cespitosa, 1,2 m, flores amarelas, campo sujo. Campos de Curitiba.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-08-16 08:41:26-03","UTFPR","HCF","22929","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E. Barboza","4000","2013","10","26","Brasil","PR","Balsa Nova","São Luiz do Purunã","-49.645556","-25.470556","49°38'44 W","25°28'14 S","flor amarela, planta formando touceira. Campo úmido.",NA,NA,NA,"E.D. Lozano","2013","1155","1155",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-08-16 08:41:26-03","UTFPR","HCF","21040","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","1974","2013","11","27","Brasil","PR","Piraí do Sul","entorno da Pousada Pirahy da Serra","-50.015","-24.4625","50°00'54 W","24°27'45 S","cespitosa, 50 cm, flores amarelas, campo úmido, solo com acúmulo de matéria orgânica. Campos Gerais.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-08-16 08:41:26-03","UTFPR","HCF","21039","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","E.D. Lozano","1911","2013","11","26","Brasil","PR","Piraí do Sul","Chácara Santa Rita da Serra","-50.016944","-24.480833","50°01'01 W","24°28'51 S","cespitosa, 30 cm, flores amarelas, campo úmido, solo turfoso. Campos Gerais.",NA,NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-08-16 08:41:26-03","UTFPR","HCF","20193","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","M.E. Engels","2018","2013","11","23","Brasil","PR","Lapa","Passa 2/Pedra Alta, Km 210 da BR 476","-49.7158012390137","-25.7696990966797",NA,NA,"Bainhas castanhas. Folhas verdes. Espiga castanha. Flores amarelas. Floresta Ombrófila Densa. Em campo úmido.",NA,NA,NA,"E.D. Lozano","2015",NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA
"28","2020-01-27 17:29:03-03","UTFPR","HCF","30194","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","G. Hatschbach","13206","1965","12","06","Brasil","PR","Palmeira","Rod. do Café, rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,"flor amarela. Do brejo.",NA,NA,NA,"L.B. Smith & S.F. Smith","1967",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA
"29","2020-02-10 08:20:57-03","UTFPR","HCF","30444","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","G. Hatschbach","13485","1966","01","12","Brasil","PR","Palmeira","Serra das Almas","-50.0064010620117","-25.4293994903564",NA,NA,"do brejo. Flor amarela.",NA,NA,NA,"R. Kral","1991",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA
"30","2020-02-10 08:20:57-03","UTFPR","HCF","30398","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","G. Hatschbach","13130","1965","11","11","Brasil","PR","São José dos Pinhais","Barro Branco","-49.2064018249512","-25.5347003936768",NA,NA,"Flor amarela. Do brejo.",NA,NA,NA,"R. Kral","1991",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA
"31","2020-12-21 16:47:49-03","MBM","MBM","386103","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Barboza, E.; Felitto, G.; Larocca, P.; Santos, T.F.; Saridakis, D.P.; Felitto, G.; Larocca, P.; Santos, T.F.; Saridakis, D.P.","4000","2013","10","26","Brazil","Paraná","Balsa Nova","São Luiz do Purunã","-49.645631","-25.470569","-49.645631","-25.470569","Flor amarela, planta formando touceira.; Campo úmido.","MBM386103","MBM386103",NA,"Lozano, E.D.","2013","1155","1155",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:47:49-03","MBM","MBM","388701","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Cordeiro, J.; Cardoso, T.R.; Laus, M.D.; Gervasio, M.; Stupp, P.; Cardoso, T.R.; Laus, M.D.; Gervasio, M.; Stupp, P.","5152","2014","01","22","Brazil","Paraná","Balsa Nova","Serra São Luiz do Purunã","-49.654722","-25.466944","-49.654722","-25.466944","Planta formando touceias; flor amarela.; Locais úmidos.","MBM388701","MBM388701",NA,"Lozano, E.D.","2014","1160","1160",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:47:49-03","MBM","MBM","389028","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Motta, J.T.; Dombrowski, L.T.; Cordeiro, J.; Saridakis, D.P.; Dombrowski, L.T.; Cordeiro, J.; Saridakis, D.P.","4169","2013","12","18","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-49.768333","-25.465278","-49.768333","-25.465278","Herbácea; flores amarelas.; Campo úmido.","MBM389028","MBM389028",NA,"Lozano, E.D.","2014","957","957",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:47:49-03","MBM","MBM","401681","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2177","2013","12","10","Brazil","Paraná","Balsa Nova","Rodovia BR-277, próximo ao posto da Polícia Rodoviária Federal","-49.724722","-25.468889","-49.724722","-25.468889","Cespitosa, 60 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401681","MBM401681",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:47:49-03","MBM","MBM","401683","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.","2146","2013","12","04","Brazil","Paraná","Balsa Nova","São Luís do Purunã, Próximo a Pousada Cainã","-49.724444","-25.438611","-49.724444","-25.438611","Cespitosa, 90 cm, flores amarelas, campo úmido Próximo a rio lajeado.; Campos Gerais.","MBM401683","MBM401683",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:47:49-03","MBM","MBM","401685","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.","2157","2013","12","04","Brazil","Paraná","Balsa Nova","São Luís do Purunã, próximo ao Haras Topo da Serra","-49.721667","-25.466944","-49.721667","-25.466944","Cespitosa, 60 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401685","MBM401685",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:47:49-03","MBM","MBM","401686","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2180","2013","12","10","Brazil","Paraná","Balsa Nova","Recanto dos Papagaios","-49.766944","-25.463889","-49.766944","-25.463889","Cespitosa, 70 cm, flores amarelas, campo úmido em barranco a beira da estrada.; Campos Gerais.","MBM401686","MBM401686",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:47:49-03","MBM","MBM","401687","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Selusniaki, M.; Selusniaki, M.","1218","2013","02","06","Brazil","Paraná","Campo Largo","São Luís do Purunã, próximo ao pedágio da BR-277","-49.651111","-25.463611","-49.651111","-25.463611","Cespitosa, 60 cm, flor amarela, campo seco.; Campos Gerais.","MBM401687","MBM401687",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:47:49-03","MBM","MBM","401688","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2269","2013","12","12","Brazil","Paraná","Candói","Rodovia PR-560, estrada para Santa Clara","-51.998611","-25.557222","-51.998611","-25.557222","Cespitosa, 70 cm, flores amarelas, campo úmido.; Campos de Guarapuava.","MBM401688","MBM401688",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:47:49-03","MBM","MBM","401689","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","1697","2013","11","02","Brazil","Paraná","Carambeí","Alto Carambeí, estrada para o Rio São João","-50.123056","-24.905833","-50.123056","-24.905833","Cespitosa, 80 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401689","MBM401689",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:47:49-03","MBM","MBM","401691","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","2635","2014","02","18","Brazil","Paraná","Carambeí","Rio São João","-50.130278","-24.899722","-50.130278","-24.899722","Cespitosa, 80 cm, flores amarelas, muito poucos individuos férteis, campo úmido.; Campos Gerais.","MBM401691","MBM401691",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:47:49-03","MBM","MBM","401692","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2231","2013","12","11","Brazil","Paraná","Guarapuava","APAE rural","-51.447222","-25.348889","-51.447222","-25.348889","Cespitosa, 80 cm, flores amarelas, campo úmido dominado por vassourinhas.; Campos de Guarapuava.","MBM401692","MBM401692",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:47:49-03","MBM","MBM","401694","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2242","2013","12","11","Brazil","Paraná","Guarapuava","Rodovia BR-277, campo em frente à concessionária Valtra-Shark","-51.510833","-25.382778","-51.510833","-25.382778","Cespitosa, 1 m, flores amarelas, campo úmido, relva alta.; Campos de Guarapuava.","MBM401694","MBM401694",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:47:49-03","MBM","MBM","401695","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2264","2013","12","11","Brazil","Paraná","Guarapuava","Rodovia BR-277, em frente à concessionária da John Deere","-51.500556","-25.373333","-51.500556","-25.373333","Cespitosa ou isolada, 1,6 m, flores amarelas, em meio a relva alta, campo úmido, brejo.; Campos de Guarapuava.","MBM401695","MBM401695",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:47:49-03","MBM","MBM","401696","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2262","2013","12","11","Brazil","Paraná","Guarapuava","Rodovia BR-277, em frente à concessionária da John Deere","-51.500556","-25.373333","-51.500556","-25.373333","Cespitosa, 60 cm, flores amarelas, campo úmido, frequente.; Campos de Guarapuava.","MBM401696","MBM401696",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:47:49-03","MBM","MBM","401697","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2256","2013","12","11","Brazil","Paraná","Guarapuava","Rodovia PR-466, próximo a Polícia Rodoviária","-51.503889","-25.318056","-51.503889","-25.318056","Cespitosa, 1,5 m, flores amarelas, campo úmido, relva alta.; Campos de Guarapuava.","MBM401697","MBM401697",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:47:49-03","MBM","MBM","401699","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Canestraro, B.K.; Saridakis, D.P.; Canestraro, B.K.; Saridakis, D.P.","1183","2012","11","24","Brazil","Paraná","Jaguariaíva","Fazenda Garrote","-49.843056","-24.382222","-49.843056","-24.382222","Herbácea, 70 cm, flores amarelas, cespitosa, solo arenoso com muita matéria organica.; Campos Gerais.","MBM401699","MBM401699",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:47:49-03","MBM","MBM","401701","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2360","2013","12","14","Brazil","Paraná","Lapa","Parque Estadual do Monge, arredores","-49.700278","-25.7725","-49.700278","-25.7725","Cespitosa, 50 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401701","MBM401701",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"49","2020-12-21 16:47:49-03","MBM","MBM","401704","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.","2392","2013","12","17","Brazil","Paraná","Palmeira","Rodovia BR-376, Km 543, rio lajeado a beira da estrada","-49.811111","-25.374444","-49.811111","-25.374444","Cespitosa, 70 cm, flor amarela, margem de rio lajeado.; Campos Gerais.","MBM401704","MBM401704",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"50","2020-12-21 16:47:49-03","MBM","MBM","401705","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A. Nilsson","Lozano, E.D.; Felitto, G.; Saridakis, D.P.; Felitto, G.; Saridakis, D.P.","1236","2013","02","22","Brazil","Paraná","Palmeira","Rodovia BR-376, Rio dos Papagaios","-49.75","-25.44","-49.75","-25.44","Cespitosa, 1 m, flores amarelas, campo sujo, único individuo com flor.; Campos Gerais.","MBM401705","MBM401705",NA,"Lozano, E.D.","2014",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
