"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","class"
"25","2021-01-14 15:25:32-03","MN","R","211681","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Neves, B.F.S.","2011","03",NA,NA,"Neves, B.F.S. 8; Uribbe, F.P.",NA,"2011","02","23","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344","38539","auto","17","R010000856,R010000855","R010000855 R010000856",NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:25:32-03","MN","R","211683","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Gomes-da-Silva, J.","2010","01",NA,NA,"Gomes-da-Silva, J. 63; Costa, A.",NA,"2010","01","22","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha para o Rancho Frio","-42.9655990600586","-22.4122009277344","38539","auto","22","R010000854","R010000854",NA,NA,NA,NA,NA,NA
"27","2020-06-29 09:29:55-03","UFRRJ","RBR","6615","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"L.F.T. Menezes","932","2002","01","19","Brasil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Praia da Armação, caminho para a Praia da Armação.","-44.040599822998","-22.9596996307373","17272","auto",NA,"RBR00006615","RBR00006615",NA,NA,NA,NA,NA,NA
"28","2020-06-29 09:29:55-03","UFRRJ","RBR","6616","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"L.F.T. Menezes","996","2002","10","12","Brasil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Praia da Gaeta, área de restinga.","-44.040599822998","-22.9596996307373","17272","auto",NA,"RBR00006616","RBR00006616",NA,NA,NA,NA,NA,NA
"29","2020-06-29 09:29:55-03","UFRRJ","RBR","44206","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"A.F. Nunes-Freitas; C.V. Ariani, L.D.A. Ribas","87","2003","09","19","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Bordo da trilha da Praia da Feiticeira, Ilha Grande, Angra dos Reis. Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044206","RBR00044206",NA,NA,NA,NA,NA,NA
"30","2020-06-29 09:29:55-03","UFRRJ","RBR","44204","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"A.F. Nunes-Freitas; C.A. Ariani, L.D.A. Ribas","86","2003","09","20","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Bordo da trilha da praia da feiticeira. Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044204","RBR00044204",NA,NA,NA,NA,NA,NA
"31","2020-06-29 09:29:55-03","UFRRJ","RBR","44205","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"A.F. Nunes-Freitas; C.V. Ariani, L.D.A. Ribas","89","2003","09","19","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Bordo da trilha da praia da Feiticeira. Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044205","RBR00044205",NA,NA,NA,NA,NA,NA
"32","2020-06-29 09:29:55-03","UFRRJ","RBR","44207","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"C.F.D. Rocha","17","2000","02","18","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Estrada para Vila Dois Rios. Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044207","RBR00044207",NA,NA,NA,NA,NA,NA
"33","2020-06-29 09:29:55-03","UFRRJ","RBR","44203","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"A.F. Nunes-Freitas","40","2002","03",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Estrada Vila Dois Rios, Abraão, próxima a trilha do Bambuzal. Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044203","RBR00044203",NA,NA,NA,NA,NA,NA
"34","2020-06-29 09:29:55-03","UFRRJ","RBR","44756","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"A.F. Nunes-Freitas; T.C. Rocha-Pessôa","47","2002","04","26","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Trilha da Canaleta, Vila Dois Rios.","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044756","RBR00044756",NA,NA,NA,NA,NA,NA
"35","2020-06-29 09:29:55-03","UFRRJ","RBR","44755","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"A.F. Nunes-Freitas; T.C. Rocha-Pessôa","84","2003","09",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Trilha Palmas - mangues.","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044755","RBR00044755",NA,NA,NA,NA,NA,NA
"36","2020-06-29 09:29:55-03","UFRRJ","RBR","44577","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"A.F. Nunes-Freitas; T.C. Rocha-Pessôa","46","2002","04","26","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Vila Dois Rios, Trilha da Canaleta.","-44.3180999755859","-23.0067005157471","32988","auto",NA,"RBR00044577","RBR00044577",NA,NA,NA,NA,NA,NA
"37","2020-06-29 09:29:55-03","UFRRJ","RBR","7276","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"L.F.T. Menezes","1151","2004","06","11","Brasil","Rio de Janeiro","Mangaratiba","Restinga da Marambaia, Caminho da Praia da Gaeta.","-44.040599822998","-22.9596996307373","17272","auto",NA,"RBR00007276","RBR00007276_1 RBR00007276_2",NA,NA,NA,NA,NA,NA
"38","2021-03-21 19:40:01-03","UFC","EAC","20341","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Tomaz, E.C.","2018","03",NA,"Epífita, flor lilás escura.","Leite, W.L.","s.n.","1990","02","03","Brasil","Ceará","Fortaleza","Planta adquirida em jardim.","-38.543098449707","-3.71722006797791","19924","auto","09","EAC0020341","EAC0020341",NA,NA,NA,NA,"Southern America",NA
"39","2020-12-21 16:19:16-03","MBM","MBM","4220","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Smith, L.B.",NA,NA,NA,"Epífita","Hatschbach, G.","17200","1967","09","14","Brazil","Paraná","Antonina","Rio Copiúva","-48.7118988037109","-25.4286003112793","38300","auto",NA,"MBM004220","MBM004220",NA,NA,NA,NA,"Southern America",NA
"40","2020-12-21 16:19:16-03","MBM","MBM","184933","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Leme, E.M.C.",NA,NA,NA,"Reserva Biológica de Sapitanduva nº 466","Hatschbach, G.","63380","1995","09","10","Brazil","Paraná","Bocaiúva do Sul","Colônia São João","-49.1150016784668","-25.2061004638672","61623","auto",NA,"MBM184933","MBM184933",NA,NA,NA,NA,"Southern America",NA
"41","2020-12-21 16:19:16-03","MBM","MBM","33612","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Smith, L.B.",NA,NA,NA,"Epífita","Hatschbach, G.","9241","1962","08","15","Brazil","Paraná","Campina Grande do Sul","Rod. BR-2, Serra do Espia","-49.0553016662598","-25.3055992126465","55154","auto",NA,"MBM033612","MBM033612",NA,NA,NA,NA,"Southern America",NA
"42","2020-12-21 16:19:16-03","MBM","MBM","188482","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Leme, E.M.C.",NA,NA,NA,NA,"Ribas, O.S.; Santos, E.P. dos; Cordeiro, J.; Santos, E.P. dos; Cordeiro, J.","935","1995","10","23","Brazil","Paraná","Morretes","Pico Marumbi, picada ao Facãozinho","-48.834400177002","-25.476900100708","30514","auto",NA,"MBM188482","MBM188482",NA,NA,NA,NA,"Southern America",NA
"43","2021-02-11 17:18:23-03","UFPR","UPCB","39862","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Hatschbach, G.","1999","10",NA,"Epífita caída, com frutos imaturos alaranjados. No interior da floresta ombrófila mista..","Petean, M.P. | Borgo, M.","60","1999","08","19","Brasil","Paraná","Pinhais","Estação Experimental do Cangüiri","-49.1925010681152","-25.4447002410889","10418","auto",NA,"UPCB0033611","UPCB0033611",NA,NA,NA,NA,NA,NA
"44","2009-07-09 17:05:00-03","MO","MOBOT","2459144","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"Gert G. Hatschbach","Hatschbach 9241","1962","8","15","Brazil","Paraná",NA,"Campina Grande do Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA
"45","2020-06-15 15:29:39-03","UNESP-RC","HRCB","54119","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Forzza, R.C.","2011","07",NA,"Erva epífita, folhas verdes, pedúnculo ranco na base, avermelhado no ápice, cálice rosa, pétalas lilases.","Lombardi","7953","2010","12","07","Brasil","São Paulo","São Lourenço da Serra","Reserva Particular do Patrimônio Natural Paiol Maria","-46.939778","-23.824667",NA,NA,NA,NA,NA,"46º56'23.2W","23º 49'28,8S","724","724",NA,NA
"46","2020-11-18 11:39:53-03","UERJ","HRJ","11640","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"?","s.n.",NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande.","-44.3180999755859","-23.0067005157471","32988","auto",NA,"HRJ00011590",NA,NA,NA,NA,NA,NA,NA
"47","2020-11-18 11:39:53-03","UERJ","HRJ","11641","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"?","s.n.",NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande.","-44.3180999755859","-23.0067005157471","32988","auto",NA,"HRJ00011591",NA,NA,NA,NA,NA,NA,NA
"48","2020-09-12 05:00:02-03","US","US","3075049","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,"1",NA,"L. Dombrowski & Y. Saito Kuniyoshi","2765","1971","6",NA,"Brazil","Paraná",NA,"Curitiba. Serra do Mar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Monocotyledonae"
"49","2017-09-11 17:09:01-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,"Floret Martio","Mosén, CWH","3707",NA,NA,NA,"Brazil","São Paulo","Santos","Habitat in Brasiliae australis prov. S. Paulo prope Santos, Sororocaba, in adscensu montis Morro do Curupira ad arbores, alt. 6-700m","-46.33","-23.96","26836","auto",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA
"50","2021-02-08 12:50:44-03","UFRGS","ICN","191151","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,"Testemunho do projeto intitulado: Padrões filogeográficos de espécies endêmicas do subgênero Ortgiesia (Aechmea - Bromeliaceae) no Sul da Mata Atlântica: implicações evolutivas e conservacionistas; Flores com pétalas azuis; Epífita","Goetze, M","s.n.","2012","08","10","Brasil","PR","Morretes","Serra da Graciosa","-48.898889","-25.366111",NA,NA,NA,"ICN00039153",NA,"-48.898889","-25.366111","383","383","América do Sul",NA
"51","2021-02-08 12:50:44-03","UFRGS","ICN","164109","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Romanini, R","2018","12",NA,"flores azul-lilás; epífita","Dettke, GA","374","2009","10","13","Brasil","PR","Morretes","Estrada da Graciosa","-48.834400177002","-25.476900100708","30514","auto",NA,"ICN00039154",NA,NA,NA,NA,NA,"América do Sul",NA
"52","2020-11-05 09:51:20-03","IBt","SP","290483","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Wanderley, MGL; Martins, SE","2007","10",NA,NA,"Rodrigues, RR; Souza, VC; Arzolla, FARP; Ivanauskas, NM; Souza, JP; Scalon, VR; et al.","129","1995","09","02","Brasil","São Paulo","Cananéia","Parque Estadual de Jacupiranga, Núcleo Caverda do Diabo.","-48.408889","-24.051667",NA,NA,NA,NA,NA,"-48.408889","-24.051667","600","600",NA,NA
"53","2020-11-05 09:51:20-03","IBt","SP","351702","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Wanderley, MGL; Martins, SE","2007","10",NA,NA,"Martinelli, G; Wanderley, MGL; Barbará, T; Sousa, GM; Azoury, R","15845","1999","10","06","Brasil","São Paulo","Pariquera-Açu","Parque Estadual Campina do Encantado, Próximo ao rio Pariquera-Açú.","-47.766556","-24.637639",NA,NA,NA,NA,NA,"-47.766556","-24.637639",NA,NA,NA,NA
"54","2020-11-05 09:51:20-03","IBt","SP","351708","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Wanderley, MGL; Martins, SE","2007","10",NA,NA,"Martinelli, G; Wanderley, MGL; Barbará, T; Sousa, GM; Azoury, R","15772","1999","10","01","Brasil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.954222","-24.072556",NA,NA,NA,NA,NA,"-47.954222","-24.072556","700","933",NA,NA
