"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","day","locality","decimalLongitude","decimalLatitude","county","class","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","fieldNumber","dayIdentified","individualCount","typeStatus"
"21","2020-09-12 05:00:02-03","US","US","2798642","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"J. P. P. Carauta","1354","1971","3","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US02883002","US02883002_01",NA,"28","Serra dos Orgãos, entre a Barragem e o Abrigo 2.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"22","2020-09-12 05:00:02-03","US","US","2906233","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"T. C. Plowman & G. Martinelli","10142","1980","4","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US02883000","US02883000_01",NA,"22","Municipio de Petrópolis: Estrada Fazenda Inglesa - Pati do Alferes. Floresta sob Regime de Preservação Permanente do IBDF.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1180",NA,NA,NA,NA,"1",NA
"23","2020-09-12 05:00:02-03","US","US","2586156A","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"G. Hatschbach","24451","1970","7","South America","Brazil","Paraná",NA,NA,"US02882996","US02882996_01",NA,"10","Palmital (mun. Candido de Abreu).",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"24","2020-09-12 05:00:02-03","US","US","3102794","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"D. Araujo, R. Oliveira, M. C. Vianna & N. Maciel","2086","1978","7","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US02882999","US02882999_01",NA,"7","Mun. Nova Friburgo, Serra de Macaé de Cima.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2020-09-12 05:00:02-03","US","US","3363546","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"A. Rapini, C. Costa & M. Kirizawa","101","1996","3","South America - Neotropics","Brazil","São Paulo",NA,NA,"US02882998","US02882998_01",NA,"20","Município de Cunha. Parque Estadual da Serra do Mar. Núcleo Cunha. Trilha para cabeceira do Rio Bonito.","-45.0678","-23.2469",NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1100",NA,NA,NA,NA,"1",NA
"26","2020-09-12 05:00:02-03","US","US","2748430","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"F. R. Fosberg","48525","1967","7","South America","Brazil",NA,NA,NA,"US02882997","US02882997_01",NA,"9","Parque Nacional do Serro dos Orgãos.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","2562133","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"A. P. Duarte","4274","1952","11","South America - Neotropics","Brazil","Minas Gerais",NA,NA,"US02883003","US02883003_01",NA,"6","Piradentes.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28","2020-09-12 05:00:02-03","US","US","2564419","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"G. Hatschbach","14232","1966","4","South America","Brazil","Paraná",NA,NA,"US02882994","US02882994_01",NA,"26","Mun. Ortigueira. Serra do Leão.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2020-09-12 05:00:02-03","US","US","3102790","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"L. Aguiar","16b","1978","6","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US02883001","US02883001_01",NA,"10","Friburgo, matas ao fundo do Colégio Anchieta.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"30","2020-09-12 05:00:02-03","US","US","1619889","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"P. K. Dusén","10880A*","1910","11","South America","Brazil","Paraná",NA,NA,"US02882995","US02882995_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
