"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","barcode","imagecode","continentOcean","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"15","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","11073",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Herbácea, altura 0.65m. Folha coriácea discolor, face superior verde escuro com nervuras salientes e verde claro, pacíolo verde claro canaliculado com bainha na base, espádice verde, espata e pedúnculo verde claro. Trilha rio Timbuí, a","Cintia C. Chamas; et al","87","1996","08","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"R.T. Valadares/25-06-2012",NA,NA,NA,"MBML011073","MBML011073",NA,NA,"40W31'49","19S58'17",NA
"16","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","11173",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,"Pecíolo alado, seção semi oval, folha verde com nervuras em relevo, face inferior mais clara, escapo e espata verde claro, espádice verde com ápice amarronzado. Trilha rio Timbuí, altitude aprox. 590m, serrapilheira sobre pedra.","Cintia C. Chamas; et al","281","1994","10","21","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"R.T. Valadares/28-06-2012",NA,NA,NA,"MBML011173","MBML011173",NA,NA,"40W31'49","19S58'17",NA
"17","2020-07-22 12:15:08-03","MBML","MBML-HERBARIO","1339",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupícola, folha com 1,3m de comprimento, espádice marrom, anteras amarelas, ciófila, grotão, capoeirão.","W. Boone","647","1985","08","13","Brasil","Espírito Santo","Santa Teresa","Encosta do Jardim da Montanha","-40.586667","-19.946389",NA,NA,"Simon Mayo/16-10-1992",NA,NA,NA,"MBML001339","MBML001339",NA,NA,"40W35'12","19S56'47",NA
"18","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","1345",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Porte arbustivo 1m, espádice marrom esverdeado, anteras creme, semi-sombra, capoeirão, espata verde.","W. Boone","761","1985","09","16","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.617778","-19.931111",NA,NA,"M. Nadruz/02-03-1999",NA,NA,NA,"MBML001345","MBML001345_1 MBML001345_2",NA,NA,"40W37'4","19S55'52",NA
"19","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","23868",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Erva ao sol. Espádice marrom arroxeado, espata verde.","L. Kollmann; et al","7472","2005","03","18","Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167",NA,NA,"L.Kollmann & A.P.Fontana/2005",NA,NA,NA,"MBML023868","MBML023868",NA,NA,"40W28'20","19S54'51",NA
"20","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","28225",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupestre ao sol.","L. Kollmann","9311","2006","09","15","Brasil","Espírito Santo","Santa Teresa","Alto Goiapaba-Açu","-40.505833","-19.896111",NA,NA,"L. Kollmann/28-12-2006",NA,NA,NA,"MBML028225","MBML028225_1 MBML028225_2",NA,NA,"40W30'21","19S53'46",NA
"21","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","44639",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,NA,"T.F. Sagrillo; A. Assis & C.L. Dalmonech","1",NA,NA,NA,"Brasil","Espírito Santo","Aracruz","Picuã","-40.350278","-19.911667",NA,NA,"C.L. Dalmonech",NA,NA,NA,"MBML044639","MBML044639",NA,NA,"40W21'1","19S54'42",NA
"22","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","44641",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,"Rupícola. Espádice roxo. Espata verde","C.L. Dalmonech; A. Assis & T.F. Sagrillo","85","2011","07","16","Brasil","Espírito Santo","Aracruz","Picuã","-40.350278","-19.911667",NA,NA,"C.L. Dalmonech",NA,NA,NA,"MBML044641","MBML044641",NA,NA,"40W21'1","19S54'42",NA
"23","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","44642",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,"Rupícola. Bráctea verde. Inflorescência verde. Folhas verde escuro. Pouca umidade. 1,20cm","C.L. Dalmonech; T.F. Sagrillo","48","2011","06","04","Brasil","Espírito Santo","Aracruz","Picuã","-40.350278","-19.911667",NA,NA,"C.L. Dalmonech",NA,NA,NA,"MBML044642","MBML044642",NA,NA,"40W21'1","19S54'42",NA
"24","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","44643",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,"Rupícola. Espádice vinácea. Espata vinácea","C.L. Dalmonech; A. Assis & T.F. Sagrillo","73","2011","07","16","Brasil","Espírito Santo","Aracruz","Picuã","-40.350278","-19.911667",NA,NA,"C.L. Dalmonech",NA,NA,NA,"MBML044643","MBML044643",NA,NA,"40W21'1","19S54'42",NA
"25","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","44644",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,"Rupícola. Espádice roxo. Espata verde","C.L. Dalmonech; A. Assis & T.F. Sagrillo","84","2011","07","16","Brasil","Espírito Santo","Aracruz","Picuã","-40.350278","-19.911667",NA,NA,"C.L. Dalmonech",NA,NA,NA,"MBML044644","MBML044644",NA,NA,"40W21'1","19S54'42",NA
"26","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","44645",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,"Rupícola. Bráctea verde. Inflorescência verde","C.L. Dalmonech; A. Assis & T.F. Sagrillo","62","2011","07","16","Brasil","Espírito Santo","Aracruz","Picuã","-40.350278","-19.911667",NA,NA,"C.L. Dalmonech",NA,NA,NA,"MBML044645","MBML044645",NA,NA,"40W21'1","19S54'42",NA
"27","2020-10-20 09:56:46-03","MBML","MBML-HERBARIO","5008",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupícola, inflorescência verde, heliófila, herb/culta. (jardim Rupestre).","W. Boone; V. Krause","1215","1988","07","21","Brasil","Espírito Santo","Fundão","Alto Piaba","-40.454167","-19.897222",NA,NA,"R.T. Valadares/25-06-2012",NA,NA,NA,"MBML005008","MBML005008",NA,NA,"40W27'15","19S53'50",NA
"28","2020-10-20 09:56:46-03","MBML","MBML-HERBARIO","5009",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupícola, inflorescência verde, heliófila, herb/culta. (jardim Rupestre).","W. Boone; V. Krause","1213","1988","07","21","Brasil","Espírito Santo","Fundão","Alto Piaba","-40.454167","-19.897222",NA,NA,"R.T. Valadares/25-06-2012",NA,NA,NA,"MBML005009","MBML005009",NA,NA,"40W27'15","19S53'50",NA
"29","2020-10-20 09:56:46-03","MBML","MBML-HERBARIO","5010",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupícola, inflorescência verde, heliófila, herb/culta. (jardim Rupestre).","W. Boone; V. Krause","1214","1988","07","21","Brasil","Espírito Santo","Fundão","Alto Piaba","-40.454167","-19.897222",NA,NA,"R.T. Valadares/25-06-2012",NA,NA,NA,"MBML005010","MBML005010",NA,NA,"40W27'15","19S53'50",NA
"30","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","52387",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupícola, na sombra. Pedúnculo verde, espada reflexa verde e espádice vinácea.","A. P. Fontana; K.A. Brahim & L.C. Bissoli","3703","2007","08","21","Brasil","Espírito Santo","Santa Leopoldina","Rio do Norte, Timbuí Seco. Propriedade do Cravo. Floresta Ombrófila Aberta.","-40.596667","-20.054722",NA,NA,"R.T. Valadares/27-03-2018",NA,NA,NA,"MBML052387","MBML052387",NA,"515","40W35'48","20S3'17","515"
"31","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","6022",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Terrestre, espata verde.","H. Q. Boudet Fernandes; et al","2961","1990","05","28","Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444",NA,NA,"Simon Mayo/16-10-1992",NA,NA,NA,"MBML006022","MBML006022",NA,NA,"40W22'37","19S53'22",NA
"32","2020-07-10 09:43:33-03","MBML","MBML-HERBARIO","9541",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Terrestre na meia sombra. Espata e espádice avermelhada.","L. Kollmann; E. Bausen","1596","1999","01","19","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Prop. Dr. Pedro","-40.581667","-19.950278",NA,NA,"M. Nadruz/30-X-2001",NA,NA,NA,"MBML009541","MBML009541",NA,NA,"40W34'54","19S57'1",NA
"33","2021-02-25 10:11:21-03","CVRD","CVRD","12877","PreservedSpecimen","Plantae","Magnoliophyta","Liliopsida","Alismatales","Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"<ll>dwc_commonname:</ll> Antúrio coração","Folli, D.A.","6532","2010","01","11","BRASIL","ES","Linhares",NA,"-40.51174","-19.407117",NA,NA,"T.A. Pontes","2015","11","19","CVRD012877","CVRD012877","América do Sul","115","-40,51174","-19,407117","115"
"34","2021-02-25 10:11:21-03","CVRD","CVRD","15138","PreservedSpecimen","Plantae","Magnoliophyta","Liliopsida","Alismatales","Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"<ll>dwc_commonname:</ll> Antúrio coração","Folli, D.A.","7287","2014","10","23","BRASIL","ES","Castelo",NA,"-41.184700012207","-20.6035995483398","23588","auto","T.A. Pontes","2015","11","19","CVRD015138","CVRD015138","América do Sul","130",NA,NA,"130"
"35","2021-04-08 17:13:19-03","UESB","HUESB","9079","S","Plantae","Monocotyledoneae",NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Epífita. Folhas simples, alternas, peninervias. Infloresc/~encia em espádice, branco amarelado.; Mata Atlântica.","Souza, R.S.; Silva, G.S.; Souza, A.S.; Oliveira, M.N.; Silva, G.S.; Souza, A.S.; Oliveira, M.N.","284","2013","11","02","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.127583","-14.401417",NA,NA,NA,NA,NA,NA,"HUESB000009079",NA,NA,NA,"-40.127583","-14.401417",NA
"36","2019-11-01 15:12:49-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupícola; Afloramento de rocha","Salviani, ER","1826","2000","11","21","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, ao lado do hotel Colibri","-40.6002998352051","-19.9356002807617","23813","auto","Gonçalves, EG","2000","12",NA,"UB0000764","UB0000764","Southern America",NA,NA,NA,NA
"37","2019-11-01 15:12:49-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,"Rupícola. Espata verde; Afloramento de gneis","Salviani, ER","1802","2000","11","21","Brasil","Espírito Santo","Ibiraçu","BR-101, divisa dos municípios de Ibiraçu e Fundão","-40.369701385498","-19.8318996429443","13709","auto","Gonçalves, EG","2000","12",NA,"UB0000766","UB0000766","Southern America",NA,NA,NA,NA
