"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount"
"11","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.1204004","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes RE",NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1204004 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1204004",NA,"Pandanales","Miers",NA,"1946","11","01","Amazonas",NA,"Plantae Grayanae. Trapecio amazonico, Loretoyacu River, in floodland forest along banks of Lake Soco. Amazonas.","-72.383333","-0.616667",NA,NA,"NL-L1204004",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"L 0109135","-72.383333","-0.616667",NA,NA,NA
"12","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.4209678","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Vásquez Martinez R; et al.",NA,"Southern America","Peru",NA,NA,"Remanente de bosque primario en terraza alta.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4209678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4209678",NA,"Pandanales","Miers",NA,"2008","11","10","Loreto",NA,"Loreto: Loreto. Dist. Nauta. Caserio Miraflores en la boca del Río Tigre.","-74.078333","-4.456389",NA,NA,"NL-L4209678",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-74.078333","-4.456389",NA,NA,NA
"13","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.4209679","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Vásquez Martinez R; et al.",NA,"Southern America","Peru",NA,NA,"Bosque anegadizo estacional en borde de cocha.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4209679 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4209679",NA,"Pandanales","Miers","Maas PJM","2008","11","15","Loreto",NA,"Loreto: Loreto. Dist. Parinari. Reserve Nacional Pacaya-Samiria, Atuncocha.","-74.350556","-4.895278",NA,NA,"NL-L4209679",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-74.350556","-4.895278",NA,NA,NA
"14","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743521","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Costa MAS; Assunção PACL",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743521 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743521",NA,"Pandanales","Miers",NA,"1996","04","16",NA,NA,"Flora da Reserva Ducke Amazonad, Brasil. Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarape do Acara. Florestal de Baixio Saprofita.","-59.966667","-2.883333",NA,NA,"NL-U1743521",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-59.966667","-2.883333",NA,NA,NA
"15","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743522","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Sano PT; Laessøe T",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743522 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743522",NA,"Pandanales","Miers",NA,"1992","02","24",NA,NA,"Bhai. Mun. Anaira: Tijuquinho. Solo encharcado com folhedo, interior da mata ciliar.","-41.9","-13.266667",NA,NA,"NL-U1743522",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-41.9","-13.266667",NA,NA,NA
"16","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743525","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","McDaniel S; Rimachi Y.; M.",NA,"Southern America","Peru",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743525",NA,"Pandanales","Miers",NA,"1977","01","08",NA,NA,"Loreto. Dtto. Indiana. Quebrada Yanayacu, from the 'sacarita' to Bombanaje, margin of quebrada.",NA,NA,NA,NA,"NL-U1743525",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743526","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes RE",NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743526",NA,"Pandanales","Miers",NA,"1946","11","01","Amazonas",NA,"Plantae Grayanae. Trapecio amazonico, Loretoyacu River, in floodland forest along banks of Lake Soco. Amazonas.","-72.383333","-0.616667",NA,NA,"NL-U1743526",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-72.383333","-0.616667",NA,NA,NA
"18","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743527","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Gentry AH; Stein BA",NA,"Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743527 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743527",NA,"Pandanales","Miers",NA,"1984","04","13",NA,NA,"Estado Amazonas: Cerro Neblina, valley near camp#5 at N base of Pico Cardenas.","-66","0.816667",NA,NA,"NL-U1743527",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-66.0","0.816667",NA,NA,NA
"19","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U 0006939","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina longicauda","Brade AC",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006939",NA,"Pandanales","Brade","Maas PJM","1946","05","20","Espírito Santo",NA,"Estado de Espérito Santo - Municipio de Staguassú - Alto Limoeiro?",NA,NA,NA,NA,"NL-U0006939",NA,NA,NA,"Magnoliopsidae",NA,NA,"isotype","335497 B",NA,NA,"longicauda",NA,NA
"20","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U 0006939","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina longicauda","Brade AC",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006939",NA,"Pandanales","Brade","Maas PJM","1946","05","20","Espírito Santo",NA,"Estado de Espérito Santo - Municipio de Staguassú - Alto Limoeiro?",NA,NA,NA,NA,"NL-U0006939",NA,NA,NA,"Magnoliopsidae",NA,NA,"isotype","335497 B",NA,NA,"longicauda",NA,NA
"21","2021-01-14 15:33:41-03","MN","R","128997","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes, R.E.","8620",NA,"Colômbia",NA,NA,NA,"R010066381",NA,NA,"Miers","Maas, P.J.M.","1946","11",NA,"Amazonas","Trapecio amazônico","Loretoyacu River",NA,NA,"100","100","R010066381","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:33:41-03","MN","R","22681","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Brade, A.C.","6134",NA,"Brasil",NA,NA,NA,"R010067525",NA,NA,"Miers","Maas, P.J.M.","1913","02","16","São Paulo",NA,"Guapira",NA,NA,NA,NA,"R010067525","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:33:41-03","MN","R","22862","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Toledo, F.T.; Brade, A.C. 7176",NA,NA,"Brasil",NA,NA,NA,"R010067526",NA,NA,"Miers","Maas, P.J.M.","1914","01","11","São Paulo",NA,"Serra da Cantareira",NA,NA,NA,NA,"R010067526","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-02-02 14:39:16-02","BGBM","B","B 10 0242041","S","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","E. H. G. Ule","5000","Middle and South America","Brazil",NA,NA,"E. Ule, Herbarium Brasiliense <a href=http://herbarium.bgbm.org/object/B100242041 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242041",NA,NA,"Miers",NA,NA,NA,NA,NA,NA,"Estado de Rio de Janeiro.",NA,NA,NA,NA,"B100242041",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA
"25","2016-02-02 14:39:16-02","BGBM","B","B 10 0242042","S","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Miers",NA,"Middle and South America","Brazil",NA,NA,"only a small piece of type material <a href=http://herbarium.bgbm.org/object/B100242042 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242042",NA,NA,"Miers",NA,NA,NA,NA,NA,NA,"Rio de Janeiro.",NA,NA,NA,NA,"B100242042",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"26","2015-10-01 02:11:02-03","MNHN","RECOLNAT_MNHN_P","P00748774","PreservedSpecimen",NA,"Triuridaceae","Triuris","hyalina","Triuris hyalina","Glaziou, A.",NA,NA,"Brésil","hb",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00748774' target='other'> <mi>dwc_moreinfo</mi></a>","P00748774",NA,NA,"Miers","Maas","1891","1","6",NA,NA,"Alto Macahé",NA,NA,NA,NA,"P00748774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18583",NA
"27","2015-10-01 02:11:33-03","MNHN","RECOLNAT_MNHN_P","P00748775","PreservedSpecimen",NA,"Triuridaceae","Triuris","hyalina","Triuris hyalina","Glaziou, A.",NA,NA,"Brésil","hb",NA,"Reçu le 10 novembre 1892 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00748775' target='other'> <mi>dwc_moreinfo</mi></a>","P00748775",NA,NA,"Miers","Maas","1891","1","6",NA,NA,"Alto Macahé",NA,NA,NA,NA,"P00748775_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18583",NA
"28","2015-10-01 03:23:27-03","MNHN","RECOLNAT_MNHN_P","P00748776","PreservedSpecimen",NA,"Triuridaceae","Triuris","hyalina","Triuris hyalina","Glaziou, A.",NA,NA,"Brésil","hb",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00748776' target='other'> <mi>dwc_moreinfo</mi></a>","P00748776",NA,NA,"Miers","Maas","1891","12","15",NA,NA,"Alto Macahé",NA,NA,NA,NA,"P00748776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18583",NA
"29","2015-09-03 19:16:41-03","MNHN","RECOLNAT_MNHN_P","P02085329","PreservedSpecimen",NA,"Triuridaceae","Triuris","hyalina","Triuris hyalina","Spruce",NA,NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02085329' target='other'> <mi>dwc_moreinfo</mi></a>","P02085329",NA,NA,"Miers","Maas",NA,NA,NA,"Amazonas",NA,"Fl. Uaupés.",NA,NA,NA,NA,"P02085329_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2848",NA
"30","2019-01-25 04:36:00-02","MO","MOBOT","100307710","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Rodolfo Vásquez|Christopher Davidson|Sharon R. Christoph|R. Rojas|Luis Valenzuela G.|F. Díaz|Antonio Peña","Vásquez Martínez 34767","South America","Peru",NA,NA,NA,NA,NA,NA,"Miers","H. Maas-van de Kamer & P. Maas (WAG)","2008","11","10","Loreto","Loreto","Dist. Nauta. Caserio Miraflores en la boca del Río Tigre.","-74.0783334","-4.4563889","132.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1067","4"
"31","2014-04-04 05:54:00-03","MO","MOBOT","100324871","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Rodolfo Vásquez|Abel Monteagudo|Antonio Peña|J.L. Mateo|Valerio Flores","Vásquez Martínez 34008","South America","Peru",NA,NA,NA,NA,NA,NA,"Miers","P.J.M. Maas & H. Maas (WAG)","2008","3","16","Pasco","Oxapampa","Dist. Palcazu. Parque Nacional Yanachaga-Chemillen, Sector Paujil, Quebrada Paujil.","-75.2638889","-10.3236111","395.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1040","3"
"32","2019-01-25 04:36:00-02","MO","MOBOT","100403192","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Rodolfo Vásquez|Luis Valenzuela G.|J. Mateo M.|Antonio Peña","Vásquez Martínez 35878","South America","Peru",NA,NA,NA,NA,NA,NA,"Miers","E. Martínez S. (MEXU)","2009","6","17","Pasco","Oxapampa","Distrito Villa Rica. Sector Ubiriqui camino a Apizuzu.","-75.0505556","-10.6622222","1574.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"623","4"
"33","2013-02-28 15:58:00-03","MO","MOBOT","1751064","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Alfredo F. Fuentes|V. Cardona","Fuentes Claros 4151","South America","Bolivia",NA,NA,NA,NA,NA,NA,"Miers","A. Fuentes (LPB)","2002","3","29","La Paz","Franz Tamayo","Parque Nacional Madidi, río Hondo, arroyo Negro, piedemonte de la serranía de Toregua. Bosque amazónico preandino, estacional húmedo con Pentaplaris davidsmithii, Annonaceae, Moraceae y Lauraceae","-67.8230556","-14.6644444","400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-14","1"
"34","2013-07-10 08:51:00-03","MO","MOBOT","1894238","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Sidney T. McDaniel|Manuel Rimachi Y.","McDaniel 21086","South America","Peru",NA,NA,NA,NA,NA,NA,"Miers",NA,"1977","1","8","Loreto","Maynas","Dtto. Indiana, Quebrada Yanayacu, from the sacarita to Bombanaje, margin of quebrada.",NA,NA,"90.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"35","2008-05-27 22:02:00-03","MO","MOBOT","194729","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Alwyn H. Gentry|Bruce A. Stein","Gentry 46630","South America","Venezuela",NA,NA,NA,NA,NA,NA,"Miers","P.J.M.Maas & Hiltje Maas(FVG 2005)","1984","4","13","Amazonas",NA,"Cerro Neblina, Valley near Camp # 5, at N base of Pico Cardona. Wet forest dominated by Iriartea and Burseraceae.","-66.16666","0.81666","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84-73","3"
"36","2010-04-15 17:18:00-03","MO","MOBOT","1773832","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina longicauda","Alexander C. Brade","Brade 56693","South America","Brazil",NA,NA,NA,NA,NA,NA,"Brade","P.J.M. Maas","1947",NA,NA,"Rio de Janeiro",NA,"Estado do EsPírito Santo Municipis de Llaguassíi.",NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,"longicauda",NA,NA
"37","2010-04-15 17:18:00-03","MO","MOBOT","1773832","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina longicauda","Alexander C. Brade","Brade 56693","South America","Brazil",NA,NA,NA,NA,NA,NA,"Brade","P.J.M. Maas","1947",NA,NA,"Rio de Janeiro",NA,"Estado do EsPírito Santo Municipis de Llaguassíi.",NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,"longicauda",NA,NA
"38","2020-08-31 09:20:09-03","INPA","INPA","240107","S","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Luize, BG","275","Southern America","Brasil",NA,NA,NA,"INPA0240107","Monocotyledon","Pandanales","Miers","Melo, A","2010","12","10","Amazonas","Anori","Divisa de municipio Beruri; RDS Piagaçú-Purus; parcela 10F","-61.205556","-4.7",NA,NA,"INPA0240107 INPA0240107_d","2016",NA,NA,NA,"08",NA,NA,NA,"-61.205556","-4.7",NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","3503350","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","S. T. McDaniel","21086","South America - Neotropics","Peru",NA,NA,NA,"US00931927",NA,"Triuridales","Miers",NA,"1977","1","8","Loreto","Maynas","Indina, Quebrada Yanayacu",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"40","2020-09-12 05:00:02-03","US","US","1952076","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","R. E. Schultes","8620","South America - Neotropics","Colombia",NA,NA,NA,"US00586208",NA,"Triuridales","Miers",NA,"1946","11",NA,"Amazônas",NA,"Trapecio Amazonico, Loreto-Yacu River in floodland, Lake Soco",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"41","2019-12-09 17:31:04-03","UFPR","EFC","18168","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Ríos, R.C.; Cruz, V.J.M.V.","1",NA,"Brasil",NA,NA,"Herbácea micoheterótrofa, 5 cm, caule transparente, frutos maduros marrons, interior de Floresta de transição entre Ombrófila Mista e Densa Montana, 2 indivíduos coletados em solo hidromórfico e 1 em solo drenado, muito rara, compartilh","EFC018168",NA,NA,"Miers","Ríos, R.C.","2019","05","01","Paraná","Piraquara","Mananciais da Serra","-48.99523","-25.50133","980","980",NA,"2019",NA,NA,NA,"05","02",NA,NA,"-48.99523","-25.50133",NA,NA,NA
"42","2019-10-07 09:20:29-03","UEFS","HUEFS","52302","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Sano, P.T.","H52195",NA,"Brasil",NA,NA,"Mata ciliar.","HUEFS0052302","Angiospermae","Pandanales","Miers",NA,"1992","02","24","Bahia","Abaíra","Tijuquinho.","-41.9","-13.266667","1700","1800","HUEFS0052302",NA,NA,NA,"Lilianae",NA,NA,NA,NA,"41W54'","13S16'",NA,NA,NA
"43","2019-06-11 13:50:02-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Sidney McDaniel","21086","South America","Peru",NA,NA,NA,NA,"Spermatophyta",NA,NA,"RRC ID Flag","1977","1","8","Loreto",NA,NA,"-75","-4",NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,"21086",NA
"44","2020-07-23 12:23:54-03","CEPLAC","CEPEC","92346","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","T. Laessoe",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"J. R. Pirani","2004","02","05","Bahia","ABAÍRA","Tijuquinho.","-41.9","13.266667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1999","41W54'","13N16'",NA,NA,NA
"45","2016-08-23 11:00:26-03","NHMLondon","NHM-LONDON-BOT","BM000561126","S","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Richard Spruce; b.1817; d.1893; Spruce","2848",NA,"Brasil",NA,"NHMUK:ecatalogue:4680200","<a href=http://www.nhm.ac.uk/services/media-store/asset/1b8a214bde415526873b524721e536097ca36dc3/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Miers","Jacek Wajer; Natural History Museum; Life Sciences","1852","10",NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,"2011",NA,NA,NA,"12","20",NA,NA,NA,NA,NA,NA,NA
"46","2016-08-23 09:46:18-03","NHMLondon","NHM-LONDON-BOT","BM000561142","S","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","John Miers; b.1789; d.1879; Miers","4658",NA,"Brasil",NA,"NHMUK:ecatalogue:4979383",NA,NA,NA,NA,"Miers","Paulus Johannes Maria Maas; b.1939; Maas","1838","02",NA,"Rio de Janeiro",NA,NA,"-42.64735","-22.531489",NA,NA,NA,"1977",NA,NA,NA,NA,NA,"Holotype",NA,"-42.64735","-22.531489",NA,NA,NA
