"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","identifiedBy","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","sex"
"11","2019-12-12 15:31:47-03","UFABC","HUFABC","001174","PreservedSpecimen","Plantae","Angiospermas",NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.B.Singer","Bicalho, H D","s.n.","1961","09","18",NA,"Brasil","São Paulo","Rio São Lourencinho, propriedade Sr. Justino",NA,NA,"Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação Ibt704","HUFABC001174",NA,"Pedro de Toledo","-47.2299995422363","-24.2700004577637",NA,"HUFABC001174",NA,NA,"33445","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-12 15:31:47-03","UFABC","HUFABC","000952","PreservedSpecimen","Plantae","Angiospermas",NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.B.Singer","Catharino, E L M","s.n.","1992","12",NA,NA,"Brasil","São Paulo","Serra do juquesiquese",NA,NA,"Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação Ibt16285, coletada em 2018 por Moraes, A. P.","HUFABC000952",NA,"Salesópolis","-45.8400001525879","-23.5300006866455",NA,"HUFABC000952",NA,NA,"18032","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:26:38-03","PUCPR","HUCP","21233","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb. f.) Carnevali. & Singer","Lemos, JV","012","2007","10","13",NA,"Brasil","Paraná","Rio Guaraguaçu",NA,NA,NA,"HUCP00003317",NA,"Pontal do Paraná","-48.511100769043","-25.6735992431641","Lemos, JV","HUCP00003317",NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:46:31-03","NBC","NL-BOTANY","L.1517783","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Hatschbach GG",NA,"1966","03","31","Southern America","Brazil",NA,"Parana (Brasil), Paranagua, Sertão do Guarani.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1517783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1517783",NA,NA,NA,NA,NA,"NL-L1517783",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:46:31-03","NBC","NL-BOTANY","L.1517784","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Dusén PKH",NA,"1915","02","10","Southern America","Brazil",NA,"Brasilienses. Paraná: Jacarehy, in silva funimaeva ad truncos arb. reg. lit. *.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1517784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1517784",NA,NA,NA,NA,NA,"NL-L1517784",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:00:54-03","UNICAMP","UEC","100033","S","Plantae","Liliopsida",NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Pansarin, ER","275","1998","08","30",NA,"Brazil","São Paulo","Parque Estadual da Ilha do Cardoso.",NA,NA,NA,"UEC033677",NA,"Cananéia","-47.9199981689453","-25.0100002288818","Breier, TB; Barros, F","UEC033677","2006","06","37574","auto",NA,"08",NA,NA,NA,NA,NA,NA
"17","2019-08-20 10:00:54-03","UNICAMP","UEC","140143","S","Plantae","Liliopsida",NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","s/ coletor","s.n.",NA,NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,"Data de floração: 11/08/2003. Cultivada no Orquidário da ESALQ (s/ número).","UEC034185",NA,"Piracicaba","-47.6399993896484","-22.7199993133545",NA,"UEC034185",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-03-16 12:49:28-03","UNEMAT","HERBAM","8477","S","Plantae",NA,NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Soares, C.R.A.; Petini-Benelli, A.; Rodrigues, C.; Moura, V.A.; Silvino, L.; Oliveira, O.F. & Ro","Triag. 2466464","2012","05","24",NA,"Brasil","Mato Grosso","Terra Firme.","212",NA,NA,"HERBAM008477","212","Paranaíta","-56.781389","-9.3575","Petini-Benelli, A",NA,"2012","05",NA,NA,NA,"24","-56.781389","-9.3575",NA,NA,NA,NA
"19","2019-03-16 13:31:12-03","UNEMAT","HERBAM","7570","S","Plantae",NA,NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Soares, C.R.A.; Damasceno, A.S.V.; Santos, M.L.; Benetti, F.C.; Farias, C.C.M. & Bitencourt, E.F","Triag. 955101","2012","01","19",NA,"Brasil","Mato Grosso","Terra Firme.","198",NA,NA,"HERBAM007570","198","Paranaíta","-56.815278","-9.338333","Petini-Benelli, A",NA,"2012","01",NA,NA,NA,NA,"-56.815278","-9.338333",NA,NA,NA,NA
"20","2019-03-16 12:49:28-03","UNEMAT","HERBAM","8477","S","Plantae",NA,NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Soares, C.R.A.; Petini-Benelli, A.; Rodrigues, C.; Moura, V.A.; Silvino, L.; Oliveira, O.F. & Ro","Triag. 2466464","2012","05","24",NA,"Brasil","Mato Grosso","Terra Firme.","212",NA,NA,"HERBAM008477","212","Paranaíta","-56.781389","-9.3575","Petini-Benelli, A",NA,"2012","05",NA,NA,NA,"24","-56.781389","-9.3575",NA,NA,NA,NA
"21","2019-03-16 13:31:12-03","UNEMAT","HERBAM","7958","S","Plantae",NA,NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Soares, C.R.A.; Petini-Benelli, A.; Rodrigues, C.; Moura, V.A.; Silvino, L.; Oliveira, O.F. & Ro","Triag. 1615560","2012","03","16",NA,"Brasil","Mato Grosso","Terra Firme.","177",NA,NA,"HERBAM007958","177","Paranaíta","-56.780556","-9.348056","Petini-Benelli, A",NA,"2012","03",NA,NA,NA,"16","-56.780556","-9.348056",NA,NA,NA,NA
"22","2020-12-21 16:38:35-03","MBM","MBM","397477","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.B. Singer","Ariati, V.","829","2013","06","27","Southern America","Brazil","Paraná","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",NA,NA,"Flor em tons de roxo.; Cultivada.","MBM397477",NA,"Tijucas do Sul","-49.1988983154297","-25.9281005859375","Engels, M.E.","MBM397477","2013","07","25228","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:38:37-03","MBM","MBM","49928","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.","Hatschbach, G.","14170","1966","03","31","Southern America","Brazil","Paraná","Sertão do Guarani",NA,NA,NA,"MBM049928",NA,"Paranaguá","-48.5092010498047","-25.5200004577637","Pabst, G.","MBM049928",NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-19 13:49:37-03","MNHN","RECOLNAT_MNHN_P","P00445863","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","s.c.",NA,"1853","7",NA,NA,"Guyane Française",NA,"Cayenne",NA,"hb","Cultivé <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00445863' target='other'> <mi>dwc_moreinfo</mi></a>","P00445863",NA,NA,NA,NA,"Christenson","P00445863_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"25","2015-09-16 23:41:53-03","MNHN","RECOLNAT_MNHN_P","P00445864","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","s.c.",NA,"1853","7",NA,NA,"Guyane Française",NA,"Cayenne",NA,"hb","Cultivé <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00445864' target='other'> <mi>dwc_moreinfo</mi></a>","P00445864",NA,NA,NA,NA,"Christenson","P00445864_01 P00445864_02",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"26","2015-09-16 06:35:48-03","MNHN","RECOLNAT_MNHN_P","P00445865","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","s.c.",NA,"1853","7",NA,NA,"Guyane Française",NA,"Cayenne",NA,"hb","Cultivé <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00445865' target='other'> <mi>dwc_moreinfo</mi></a>","P00445865",NA,NA,NA,NA,"Christenson","P00445865_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"27","2015-09-16 06:36:00-03","MNHN","RECOLNAT_MNHN_P","P00445867","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Benoist, R.",NA,"1914","5","8",NA,"Guyane Française",NA,"St. Jean",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00445867' target='other'> <mi>dwc_moreinfo</mi></a>","P00445867",NA,NA,NA,NA,"Christenson","P00445867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1197",NA,NA
"28","2015-09-16 07:42:43-03","MNHN","RECOLNAT_MNHN_P","P00445868","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Quesnel",NA,NA,NA,NA,NA,"Guyane Française",NA,"Cayenne",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00445868' target='other'> <mi>dwc_moreinfo</mi></a>","P00445868",NA,NA,NA,NA,"Christenson","P00445868_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-09-16 07:43:03-03","MNHN","RECOLNAT_MNHN_P","P00445870","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Dusén, P.",NA,"1915","2","10",NA,"Brésil",NA,"Parana",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00445870' target='other'> <mi>dwc_moreinfo</mi></a>","P00445870",NA,NA,NA,NA,"Dusén","P00445870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16659",NA,NA
"30","2015-09-04 12:16:34-03","MNHN","RECOLNAT_MNHN_P","P00463541","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Mélinon, E.M.",NA,"1846","2",NA,NA,"Guyane Française",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00463541' target='other'> <mi>dwc_moreinfo</mi></a>","P00463541",NA,NA,NA,NA,"Blanco","P00463541_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-10-14 20:34:40-03","MNHN","RECOLNAT_MNHN_P","P00700790","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","Dusén, P.",NA,"1909","4","2",NA,"Brésil",NA,"Pasto de Cima",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700790' target='other'> <mi>dwc_moreinfo</mi></a>","P00700790",NA,NA,NA,NA,"Blanco","P00700790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7929",NA,NA
"32","2020-12-11 11:44:45-03","UFMG","BHCB","92469","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb) CarnevaliR.B.Singer","Mota, RC da; et al.","2590","2003","07","26","Southern America","Brasil","Minas Gerais","Parque Natural Municipal do Ribeirão do Campo",NA,NA,"mata de galeria; erva rupestre; calice ocre, pétalas vinácea, labelo também vináceo com calosidade atropurpúreas.",NA,NA,"Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"60318","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2010-06-10 09:52:00-03","MO","MOBOT","100281093","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb. f.) Carnevali & R.B. Singer","Per Dusén","Dusén 16659",NA,NA,NA,"South America","Brazil","Paraná","Tacarely, in silva primaera ad troncos arb.",NA,NA,NA,NA,NA,NA,NA,NA,"M.A. Blanco (FLAS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"34","2013-04-23 15:54:00-03","MO","MOBOT","100175944","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Roberto Vásquez|Günter Gerlach|L.R. Moreno","Vásquez C. 3574",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"35","2020-01-20 14:34:00-03","MO","MOBOT","100403234","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Rodolfo Vásquez|Luis Valenzuela G.|J. Mateo M.|Antonio Peña","Vásquez Martínez 35918","2009","6","17","South America","Peru","Pasco","Distrito Villa Rica. Sector Ubiriqui camino a Apizuzu.","1574.00000000",NA,NA,NA,NA,"Oxapampa","-75.0505556","-10.6622222","G. Gerlach (HOXA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"623","2",NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","1542404","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","James L. Zarucchi","Zarucchi 1854","1976","7","23","South America","Colombia","Vaupés","Mitú and vicinity; along río Vaupés between Mitú and Ucrania.",NA,NA,NA,NA,NA,NA,NA,NA,"J.T. Atwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2009-09-24 10:56:00-03","MO","MOBOT","2831470","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Julian A. Steyermark|Bruce K. Holst","Steyermark 130537","1985","2","21","South America","Venezuela","Amazonas","Departmento Atabapo: Cerro Marahuaca: Sima Camp, south-central portion of forested slopes along eastern branch of Caño Negro.","1140.00000000",NA,NA,NA,NA,NA,"-65.51666","3.71666","G. Carnevali & I. Carnevali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2009-09-24 10:56:00-03","MO","MOBOT","2831672","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Julian A. Steyermark|Bruce K. Holst","Steyermark 130840","1985","2","28","South America","Venezuela","Amazonas","Departmento Atabapo: Cerro Marahuaca: Riverine forest upstream from Sima Camp, along branch of Caño negro, south-central portion of meseta.","1140.00000000",NA,NA,NA,NA,NA,"-65.51666","3.71666","G. Carnevali & I. Carnevali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2008-05-27 22:02:00-03","MO","MOBOT","647875","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Michael T. Madison","Madison s.n.","1979","5","15","South America","Ecuador","Esmeraldas","Without specific locality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","649009","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","G. A. Suárez","Suárez 71",NA,NA,NA,"South America","Ecuador","Napo",NA,"450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2008-07-25 10:31:00-03","MO","MOBOT","673360","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Victor Huashikat","Huashikat 176","1979","8","24","South America","Peru","Amazonas","Monte virgen, 1 km. de La Poza, banda oeste del Río Santiago.","180.00000000",NA,NA,NA,NA,"Condorcanqui","-77.7441666","-4.0358333","G. Carnevali (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","3",NA
"42","2015-11-10 09:39:00-02","MO","MOBOT","673848","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Ronald L. Liesner","Liesner 25075","1988","10","19","South America","Venezuela","Amazonas","Cerro Marahuaca. Slopes. Sima area.","1200.00000000",NA,NA,NA,NA,"Atabapo","-65.5","3.7166667","G.&I.Carnevali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88-53","2",NA
"43","2017-12-05 10:03:00-02","MO","MOBOT","677603","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb. f.","Ronald L. Liesner","Liesner 25536","1988","10","28","South America","Venezuela","Amazonas","In saddle between Duida and Marahuaca near base of Duida.","1000.00000000",NA,NA,NA,"1200.00000000","Atabapo","-65.5333333","3.5666667","G. & I. Carnevali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88-63","3",NA
"44","2020-08-31 09:19:40-03","INPA","INPA","227025","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Terra-Araujo, MH","353","2008","09","22","Southern America","Brasil","Amazonas","Morro dos Seis Lagos, Coletada em uma área de platô, próximo ao Lago do Nióbio (N 00º17' 28,9'' W 066º 40' 56,4''). Vegetação esparsa, com dossel baixo, próximo de dez metros de altura, substrato composto de uma fina camada de solo e poucas rocha",NA,NA,NA,"INPA0227025",NA,"São Gabriel da Cachoeira","-66.682205","0.288559","Blanco Coto, MA","INPA0227025 INPA0227025_e","2019","09",NA,NA,NA,"26","-66.682205","0.288559",NA,NA,NA,NA
"45","2020-08-31 09:19:40-03","INPA","INPA","258383a","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Mari, MLG","13","2013","07","07","Southern America","Brasil","Amazonas","RDS do Tupé, Comunidade Agrovila",NA,NA,NA,"INPA258383a",NA,"Manaus","-60.24046","-2.98178","Mari, MLG",NA,"2013","07",NA,NA,NA,"07","-60.24046","-2.98178",NA,NA,NA,NA
"46","2020-08-31 09:19:40-03","INPA","INPA","274424","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Pessoa, EM","1150","2013","05","12","Southern America","Brasil","Roraima","Serra do Tepequém","1137",NA,NA,"INPA0274424","1137","Amajari","-61.683889","3.762778","Blanco Coto, MA",NA,"2019","09",NA,NA,NA,"26","-61.683889","3.762778",NA,NA,NA,NA
"47","2020-08-31 09:19:40-03","INPA","INPA","285400","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.Singer","Krahl, AH","694","2018","08","23","Southern America","Brasil","Amazonas","BR 174, KM 928, Reserva Biológica de Campina.",NA,NA,NA,"INPA0285400",NA,"Manaus","-60.030622","-2.590956",NA,NA,NA,NA,NA,NA,NA,NA,"-60.030622","-2.590956",NA,NA,NA,NA
