"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","fieldNumber","dayIdentified","individualCount","class","relatedCatalogItem"
"11","2021-03-01 16:30:58-03","UNICAMP","UEC","195413","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Ceolin, L","Ceolin, L","509","2007","09","01",NA,"Brazil","Distrito Federal","Brasília",NA,"-48.056389","-16.033333","1100","1100",NA,"Cerrado","UEC133277","UEC133277",NA,NA,NA,"2007","-48.056389","-16.033333","09",NA,NA,NA,NA,NA
"12","2019-08-20 10:14:21-03","UNICAMP","UEC","7120","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Borges, LM","Heringer, EP","11214","1972","03","18",NA,"Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, Cerrado.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Arbusto de 3 metros formando varas retas; flores róseas vistosas.","UEC063869",NA,NA,"70570","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-10-14 10:01:40-03","FURB","FURB","10262","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Ceolin, LM","Ceolin, L.M.","509","2007","09","01",NA,"Brasil","Distrito Federal","Brasília","Parque Estadual do Gama.","-48.0563889","-16.0333333","1100","1100",NA,NA,"FURB01770","FURB01770",NA,NA,NA,"2007","-48.0563889","-16.0333333","09",NA,NA,NA,NA,NA
"14","2020-12-21 16:27:20-03","MBM","MBM","101433","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Barneby, R.","Irwin, H.S.; et al.; et al.","12986",NA,NA,NA,"Southern America","Brazil","Distrito Federal",NA,"Ca. 25km SW de Brasília",NA,NA,NA,NA,NA,NA,"MBM101433","MBM101433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:27:20-03","MBM","MBM","246929","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Cordeiro, J.; Ribas, O.S.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","70362",NA,NA,NA,"Southern America","Brazil","Goiás","Colinas do Sul","Rodovia para Niquelândia, km 10-15","-48.0783004760742","-14.1513996124268",NA,NA,NA,NA,"MBM246929","MBM246929",NA,"58154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-11-21 15:03:43-02","MNHN","RECOLNAT_MNHN_P","P00756009","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Barneby","Irwin, H.S.|Souza, R.|dos Santos, R.R.",NA,"1965","8","28",NA,"Brésil",NA,NA,"Parque Municipal do Gama, ca. 20km. S. of Brasilia",NA,NA,"1100",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00756009' target='other'> <mi>dwc_moreinfo</mi></a>","P00756009","P00756009_01","isotype",NA,NA,NA,NA,NA,NA,"7918",NA,NA,NA,NA
"17","2020-10-01 14:20:20-03","JBB","HEPH","1368","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Borges, LM","Heringer, EP","89741168","1962","05","05","Southern America","Brasil","Distrito Federal","Gama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-10-01 14:20:20-03","JBB","HEPH","1864","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Simon, MF","Ferreira, MB","1495","1972","05","24","Southern America","Brasil","Distrito Federal","Gama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-10-01 14:20:20-03","JBB","HEPH","11815","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Simon, MF","Proença, CEB","1117","1994","04","15","Southern America","Brasil","Distrito Federal","Gama","Parque Municipal do gama","-48.084644","-16.016069",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998","-48.084644","-16.016069","01",NA,"29",NA,NA,NA
"20","2020-10-01 14:20:20-03","JBB","HEPH","19668","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Simon, MF","Nóbrega, MGG; Ramos, AE; Jesus, FPR de","2004","2003","06","13","Southern America","Brasil","Distrito Federal","Taguatinga","Área entre Samambaia e Ceilandia. Corrégo Taguantinga, próximo as chacaras 5 e 6",NA,NA,NA,NA,NA,"Frequente",NA,NA,NA,NA,NA,"2009",NA,NA,"08",NA,NA,NA,NA,NA
"21","2020-10-01 14:20:20-03","JBB","HEPH","25422","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Simon, MF","Nóbrega, MGG; Jesus, FPR de; et al.","s.n.","1997","04","10","Southern America","Brasil","Distrito Federal","Samambaia","Parque Três Meninas, Próximo ao Córrego Taguatinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009",NA,NA,"08",NA,NA,NA,NA,NA
"22","2020-10-01 14:20:20-03","JBB","HEPH","25724","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Paiva, VF; Oliveira, MS","Ramos, AE; et al.","1911","2009","08","10","Southern America","Brasil","Distrito Federal","Recanto das Emas","Núcleo Rural Monjolo",NA,NA,NA,NA,NA,"Exsicata. Levantamento florístico",NA,NA,NA,NA,NA,"2009",NA,NA,"08",NA,NA,NA,NA,NA
"23","2020-10-01 14:20:20-03","JBB","HEPH","26596","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Ramos, AE","Ramos, AE; et al.","1925","2010","05","10","Southern America","Brasil","Distrito Federal","Recanto das Emas","Núcleo Rural Monjolo, Assentamento do Sr.Joaquim",NA,NA,"1129","1129",NA,"Exsicata. Levantamento florístico",NA,NA,NA,NA,NA,"2010",NA,NA,"05",NA,NA,NA,NA,NA
"24","2020-04-16 15:03:00-03","MO","MOBOT","101190687","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 7918","1965","8","28","South America","Brazil","Distrito Federal",NA,"Parque Municipal do Gama, ca. 20 km S. of Brasília.",NA,NA,"1100.00000000",NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2020-09-12 05:00:02-03","US","US","3018493","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","12986","1966","2","19","South America - Neotropics","Brazil","Distrito Federal",NA,"Planalto do Brasil. Creek margin near waterfall, ca. 25 km. S.W. of Brasilia, D.F.",NA,NA,"950",NA,NA,NA,"US02206198","US02206198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"26","2020-09-12 05:00:02-03","US","US","3018491","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"D. Sucre","273","1965","5","25","South America - Neotropics","Brazil","Distrito Federal",NA,"Planalto do Brasil. Parque Nacional do Gama. Brasilia",NA,NA,NA,NA,NA,NA,"US02206199","US02206199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"27","2020-09-12 05:00:02-03","US","US","3018492","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"H. S. Irwin, R. G. P. Santos & R. Souza","7918","1965","8","28","South America - Neotropics","Brazil","Distrito Federal",NA,"Gama Municipal Park, ca. 20 km S of Brasilia.",NA,NA,NA,NA,NA,NA,"US00170489","US00170489_01","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"28","2020-09-02 16:29:11-03","Cenargen","CEN","92147","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","heringeri","Mimosa heringeri","Barneby","L. M. Borges","Leonardo Maurici Borges","616","2012","03","25",NA,"Brasil","DF","BRASILIA","Gama - Rodovia DF 475, km 1; margem da estrada.","-48.076666","-15.993333","1115","1115","Exsicatas","Planta ca. 2,5-3,5m alt. Copa corimbosa a umbelada. Folhas congestas no ápice dos ramos marrons passando a alaranjados com a deiscência da periderme. Raques verde-claras. Folíólulos verdes. Corola alva, esverdeada no ápice. Filetes róseos passando a alvos. Frutos passados marron-escuros com indumento mais claro. Amostra em sílica. Doação Universidade de São Paulo - Herbário SPF.","CEN00092147","CEN00092147",NA,NA,NA,"2012","-48.076666","-15.993333",NA,NA,NA,"1",NA,NA
"29","2020-09-02 16:29:11-03","Cenargen","CEN","91000","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","heringeri","Mimosa heringeri","Barneby","M. Simon","Araci Molnar Alonso","1263","2014","07","01",NA,"Brasil","DF","BRASILIA","Gama - Embrapa CTZL","-48.123611","-15.950555",NA,NA,"Exsicatas","Área aberta, paisagem degradada/antrópica. Solo típico de Zona ripária com serrapilheira. Material coletado: ramo com botão e flor. Doação da Embrapa Cerrados.","CEN00091000","CEN00091000",NA,NA,NA,"2015","-48.123611","-15.950555","09",NA,NA,"1",NA,NA
"30","2020-09-02 16:29:11-03","Cenargen","CEN","91008","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","heringeri","Mimosa heringeri","Barneby","M. Simon","Araci Molnar Alonso","1271","2014","06","02",NA,"Brasil","DF","BRASILIA","Gama - Embrapa CTZL","-48.123611","-15.950555",NA,NA,"Exsicatas","Área aberta, paisagem degradada/antrópica. Solo típico de Zona ripária com serrapilheira. Material coletado: Ramo com flor. Doação da Embrapa Cerrados.","CEN00091008","CEN00091008",NA,NA,NA,"2015","-48.123611","-15.950555","09",NA,NA,"1",NA,NA
"31","2020-09-02 16:29:11-03","Cenargen","CEN","101319","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","heringeri","Mimosa heringeri","Barneby","M. Simon","Marcelo Fragomeni Simon","3048","2017","04","25",NA,"Brasil","DF","BRASILIA","Parque Nacional de Brasília, trilha Cristal Água.","-47.925277","-15.730277","1100","1100","Exsicatas","Arvoreta esguia 3 m, bastante ramificada no ápice. Folhas agupadas nos ápices dos ramos. Filetes róseos. Crecendo em área úmida. Frequente no local.","CEN00101319","CEN00101319",NA,NA,NA,"2017","-47.925277","-15.730277","04",NA,NA,"4",NA,NA
"32","2020-09-02 16:29:11-03","Cenargen","CEN","91028","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","heringeri","Mimosa heringeri","Barneby","M. Simon","Araci Molnar Alonso","1292","2014","05","22",NA,"Brasil","DF","BRASILIA","Gama - Embrapa CTZL","-48.123611","-15.950555",NA,NA,"Exsicatas","Área aberta, paisagem degradada/antrópica. Solo típico de Zona ripária com serrapilheira. Material coletado: Ramo com flor. Doação da Embrapa Cerrados.","CEN00091028","CEN00091028",NA,NA,NA,"2015","-48.123611","-15.950555","09",NA,NA,"1",NA,NA
"33","2020-09-02 16:29:11-03","Cenargen","CEN","93224","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","heringeri","Mimosa heringeri","Barneby","M. Simon","Carlos Romero Martins","2090","2016","03","20",NA,"Brasil","DF","BRASILIA","Parque Nacional de Brasília - Borda da Estrada Trilha do Cristal.","-47.926111","-15.730555",NA,NA,"Unicata","Doação Flora do Brasil - Distrito Federal.","CEN00093224","CEN00093224",NA,NA,NA,"2016","-47.926111","-15.730555","05",NA,NA,"1",NA,NA
"34","2020-09-02 16:29:11-03","Cenargen","CEN","31282","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","heringeri","Mimosa heringeri","Barneby","J. M. Rezende","João Marcelo de Rezende","421","1996","04","27",NA,"Brasil","DF","BRASILIA","Abaixo da QR 406 da Samambaia Norte.","-47.9296989440918","-15.7797002792358","1150","1150","Exsicatas",NA,"CEN00031282","CEN00031282",NA,"70570","auto","1998","-4805000.0","-1586667.0","05",NA,NA,"3",NA,NA
"35","2019-11-13 11:22:45-03","USP","SPF","142349","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","heringeri","Mimosa heringeri","Barneby","Proença, C","Proença, C","2038","1999","11","30",NA,"Brasil","Distrito Federal","Gama","Parque Ecológico do Gama","-48.05","-16.033333",NA,NA,NA,NA,"SPF00142349",NA,NA,NA,NA,"1999","-48.05","-16.033333","11",NA,NA,NA,NA,NA
"36","2021-03-15 18:27:57-03","USP","SPF","217739","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","heringeri","Mimosa heringeri","Barneby","Borges, LM","Borges, LM","618","2012","03","25",NA,"Brasil","Distrito Federal","Gama","Rodovia DF 475; Atrás do cemitério próximo no início da rodovia.","-48.085222","-15.997861",NA,NA,NA,"Árvore ca. 4 m alt. Copa corimbosa com ramificação dicotômica. Ramos e folhas viscosos. Folhas congestas no ápice dos ramos marrons passando a alaranjados com a deiscência da periderme. Raques verde-claras. Foliólulos verdes. Corola","SPF00217739",NA,NA,NA,NA,"2012","-48.085222","-15.997861",NA,NA,NA,NA,NA,NA
"37","2021-03-15 18:27:57-03","USP","SPF","217740","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","heringeri","Mimosa heringeri","Barneby","Borges, LM","Borges, LM","616","2012","03","25",NA,"Brasil","Distrito Federal","Gama","Rodovia DF 475, km 1; margem da estrada.","-48.076722","-15.993528","1115","1115",NA,"Arvoreta ca. 2,5-3,5 m alt. Copa corimbosa a umbelada. Folhas congestas no ápice dos ramos marrons passando a alaranjados com a deiscência da periderme. Raques verde-claras. Foliólulos verdes. Corola alva, esverdeada no ápice. Filete","SPF00217740",NA,NA,NA,NA,"2012","-48.076722","-15.993528",NA,NA,NA,NA,NA,NA
"38","2019-11-13 11:22:45-03","USP","SPF","185910","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","heringeri","Mimosa heringeri","Barneby","Barneby, RC","Sucre, D","273","1965","05","25",NA,"Brasil","Distrito Federal","Gama","Parque Ecológico do Gama",NA,NA,NA,NA,NA,NA,"SPF00185910",NA,NA,NA,NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-13 11:22:45-03","USP","SPF","213744","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","heringeri","Mimosa heringeri","Barneby","Ramos, AE","Ramos, AE","1925","2010","05","10",NA,"Brasil","Distrito Federal","Brasília","Recanto das Emas, Coordenadas em UTM: Lat. 82 355345 Long. 170699 W","-47.9296989440918","-15.7797002792358","1129","1129",NA,NA,"SPF00213744",NA,NA,"70570","auto","2010",NA,NA,"05",NA,NA,NA,NA,NA
"40","2020-05-08 11:10:40-03","UEFS","HUEFS","48517","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Mimosa","heringeri","Mimosa heringeri","Barneby",NA,"Rezende, J.M.","421","1996","04","27",NA,"Brasil","Distrito Federal","Samambaia","Abaixo a QR 406 da Samambaia Norte","-48.05","-15.866667","1150","1150",NA,"Campo Cerrado","HUEFS0048517","HUEFS0048517",NA,NA,NA,NA,"48W3'0''","15S52'0''",NA,NA,NA,NA,"Rosanae",NA
"41","2020-07-23 12:14:33-03","CEPLAC","CEPEC","85640","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Mimosa","heringeri","Mimosa heringeri",NA,"O. S. Ribas","G. Hatschbach","70362","2000","02","18",NA,"Brasil","Goiás","colinas do sul","Rod. Colinas do Sul a Niquelandia, entre Km 10-15.","-48.0783004760742","-14.1513996124268",NA,NA,NA,NA,NA,NA,NA,"58154","auto",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2000"
"42","2021-03-05 16:10:02-03","MN","R-TIPOS","162616","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Barneby, R.","Irwin, H.S.; Souza, R. & Santos, R.R.","7918","1965","08","28",NA,"Brasil","Distrito Federal","Brasília","Parque Municipal do Gama","-47.9296989440918","-15.7797002792358","1100","1100",NA,NA,"R000162616","R000162616_001","Isotypus de Mimosa heringeri Barneby","70570","auto","1982",NA,NA,NA,NA,NA,NA,NA,NA
"43","2014-09-23 10:47:32-03","G","G","G00371401","S","Plantae",NA,NA,"Fabaceae","Mimosa","heringeri","Mimosa heringeri","Barneby","Barneby, R.","Irwin, H. S., R. Souza & R. Reis dos Santos","7918","1965","08","28","AMERIQUE DU SUD","Brazil","Distrito Federal",NA,NA,"-47.7925","-15.76666667","1100","1100",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00371401",NA,"ISOTYPUS of Mimosa heringeri Barneby",NA,NA,"1984","-47.7925","-15.76666667","01",NA,"01",NA,NA,NA
