"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","day","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","02708154","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"R. D. Rojas Gonzales","2008","06","Peru","Pasco","Oxapampa","Dist. Villa Rica. Laguna el Oconal.","-75.2697","-10.7519",NA,NA,"1504",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994375' target='other'> <mi>dwc_moreinfo</mi></a>","NY02708154","5741","10",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 21:40:00-03","NY","NYBG","920364","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta",NA,NA,NA,NA,NA,"A. P. Duarte","1950","08","Brazil","Minas Gerais","Patos de Minas","Mata da Corda","-46.5181","-18.5792",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920364","3021","03","NY00920364_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4032181","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"E. M. Zardini","1990","02","Paraguay","Central",NA,"Estero del Ypoá, 10 km SW of Nueva Italia, south of Cañada.","-57.47","-25.33",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336227' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032181","18978","10","NY04032181_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4032172","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"I. Jiménez-Pérez","2003","07","Bolivia","Pando","Manuripi","camino Cobija-Chivé, comunidad Holanda, vertiente junto al camino","-68.7","-11.77",NA,NA,"220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336218' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032172","1970","30","NY04032172_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2480991","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"N. Ritter","1996","10","Bolivia","El Beni","Vaca Díez","Town of Riberalta. A large wetland S.E. of the airport.","-66.0644","-11.0175",NA,NA,"170",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729084' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480991","3730","11",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2481061","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"N. Ritter","1996","01","Bolivia","Santa Cruz","Andrés Ibáñez","City of Santa Cruz. A large (ca. 10-15 hectares) wetland complex, across the highway from the international airport.","-63.17","-17.65",NA,NA,"430",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729704' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481061","2795","14",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","816044","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. Salino",NA,NA,NA,"C. Kozera","1996","03","Brazil","Paraná","Curitiba","Parque Barigui","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816044","106","26","NY00816044_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2481049","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"N. Ritter","1996","02","Bolivia","Cochabamba","Carrasco","Wetland next to the road between Ivirgarsama and Puerto Villarroel; ca. 3 kilometers NE of town.","-64.8328","-17.0144",NA,NA,"220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729689' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481049","2980","23",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","816046","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. Salino",NA,NA,NA,"J. A. Steyermark","1979","07","Venezuela","Táchira",NA,"Between La Rochela and La Espuma, SW of Santo Domingo.",NA,NA,NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816046","119321","31","NY00816046_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","4032173","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"N. Ritter","1996","09","Bolivia","Santa Cruz","José Miguel de Velasco","Bahia Toledo: a large wetland system formed by the divergence of the rio Paragua.","-61.1303","-14.7142",NA,NA,"210",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336219' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032173","2423","11",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","4032182","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"E. M. Zardini",NA,NA,"Paraguay","Central",NA,"Estero de Ypoá, Base of Cerro Pé","-57.43","-25.67",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336228' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032182","33144",NA,"NY04032182_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","920245","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. Salino",NA,NA,NA,"Y. E. J. Mexia","1930","02","Brazil","Minas Gerais","Viçosa","Agricultural College grounds. Southeast of dormitory.","-42.868031","-20.7613428",NA,NA,"670","670","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920245","4340","13","NY00920245_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","2481048","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"N. Ritter","1996","08","Bolivia","Santa Cruz","José Miguel de Velasco","A large, horseshoe-shaped curichi, ca. 4 km NE of the compound at La Toledo.","-61.13","-14.7",NA,NA,"220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729687' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481048","3474","10",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-29 21:40:00-03","NY","NYBG","920365","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta",NA,NA,NA,NA,NA,"A. Macedo","1950","04","Brazil","Minas Gerais","Ituiutaba","S. Terezinha","-49.465","-18.9692",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920365","2217","04","NY00920365_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","4032171","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"H. Huaylla Limachi","2001","08","Bolivia","Chuquisaca","Hernando Siles","Bajando de la cima de la Serranía del Iñao, en dirección al segundo campamento. Abundante, al medio de la laguna, en una isla.","-63.9256","-19.5411",NA,NA,"1820",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336217' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032171","132","10",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","2481065","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"N. Ritter","1995","05","Bolivia","Santa Cruz","Andrés Ibáñez","Curichi N.W. of the Rio Piray, adjacent to the gaseoducto.","-63.22","-17.75",NA,NA,"430",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729709' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481065","1980","06",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","4032178","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"T. Morong","1888",NA,"Paraguay",NA,NA,"Central Paraguay",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336224' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032178","250",NA,"NY04032178_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","4032161","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"P. A. Mutchnick","1995","06","Guyana","Potaro-Siparuni",NA,"Northern Pakaraimas; Kato Village, Annuyeng Creek & Annuyeng Melu (Falls).","-59.8092","4.6633",NA,NA,"834",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336207' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032161","1544","05",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","4032170","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"J. L. Clark","2007","05","Ecuador","Esmeraldas","Quinindé","Reserva Ecologica Mache-Chindul, 25 km west of Collections from lake at La Laguna de Cube (near La Y de la Laguna).","-79.6481","0.3942",NA,NA,"358",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336216' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032170","9597","19",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","4032174","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"R. Guillén","1995","01","Bolivia","Santa Cruz","José Miguel de Velasco","Velasco. Reserva Ecológica El Refugio; a 1.30 hrs. al NO del campamento; hacia Toledo, en la Bahía Las Trancas.","-61.0614","-14.7533",NA,NA,"210",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336220' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032174","3101","28",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","4032175","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"R. J. Hickey","2001","03","Argentina","Corrientes",NA,"Around Mbucubaya and Concepcion. ca 4 km N of concepcion",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336221' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032175","0104","11","NY04032175_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","4032183","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"E. M. Zardini","1999","10","Paraguay","Itapúa",NA,"Yacyretá Dam Island Reserve: Eastern area. Aña Cua. Collecting area: around two hectares.","-56.6522","-27.3958",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336229' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032183","51887","23","NY04032183_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","816041","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. Salino",NA,NA,NA,"S. Tsugaru","1987","09","Brazil","Alagoas",NA,"Santa Rita, suburbs of Maceió.","-35.825909","-9.713977",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816041","B-1504","04","NY00816041_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","4032164","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"T. W. Henkel","1994","07","Guyana","Upper Takutu-Upper Essequibo",NA,"South Rupununi; Rocky Creek 4 km S of Aishalton along Marudi Line.","-59.3","2.45",NA,NA,"250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336210' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032164","3893","26",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","4032160","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"H. M. Curran","1949","05","Venezuela",NA,NA,"Near head. Boca Riv. Jalabuto. Suba.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336206' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032160","2m55","29","NY04032160_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","02707724","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","R. C. Moran",NA,NA,NA,"L. G. Lohmann","1999","06","Brazil","Amazonas",NA,"Rio Solimões, margem direita. Paraná do Macatuba, caminho para o Mamori.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2992447' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707724","266A","29","NY02707724_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","920363","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"Y. E. J. Mexia","1930","02","Brazil","Minas Gerais","Viçosa","Agricultural College grounds. Southeast of dormitory. Corriga Bartholomeo.","-42.868031","-20.7613428",NA,NA,"670","670","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920363","4340","13","NY00920363_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","920244","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","J. T. Mickel",NA,NA,NA,"R. Vilhena","1983","03","Brazil","Maranhão",NA,"Estrada a direita entre Grajaú e Arame. Km 52.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920244","964","10","NY00920244_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","816042","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","A. Salino",NA,NA,NA,"R. P. Belém","1965","07","Brazil","Bahia",NA,"Rodovia Itabuna - Uruçuca.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816042","1317","06","NY00816042_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","816045","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.","N. Ritter",NA,NA,NA,"M. Garvizu","1996","05","Bolivia","Santa Cruz","Ñuflo de Chávez","Km 10 carretera al N.","-63.1586111","-17.6583333",NA,NA,"430","430","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816045","163","25","NY00816045_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","920367","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"L. Hartt",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920367","s.n.",NA,"NY00920367_01","South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","4032168","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","interrupta","Thelypteris interrupta","(Willd.) K.Iwats.",NA,NA,NA,NA,"S. Lægaard","1984","06","Ecuador","Napo",NA,"At and near Laguna Grande de Cuyabeno.","-79.2",NA,NA,NA,"250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336214' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032168","52541","12",NA,"South America","sheet",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
