"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","coordinatePrecision","individualCount","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","dayIdentified","previousCatalogNumber"
"11","2020-08-31 08:59:36-03","INPA","INPA","31484","S","Plantae","Dicotyledon Asterids","Lamiales","Verbenaceae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"Maas, PJM","P13120","1971","05","18","Southern America","Brasil","Acre","Cruzeiro do Sul","Rio Juruá-Mirim, Aldeota, Aldeota between Porangaba & Papagaio, Rio Juruá-Mirim. Forest on terra firme.","-72.757397","-8.186353",NA,NA,"INPA0031484","INPA0031484 INPA0031484_e INPA0031484_e1",NA,NA,NA,NA,NA,"Coêlho, LF","1982","03","-72.757397","-8.186353",NA,NA,NA
"12","2020-08-31 08:59:36-03","INPA","INPA","31810","S","Plantae","Dicotyledon Asterids","Lamiales","Verbenaceae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"Prance, GT","13446","1971","06","22","Southern America","Brasil","Amazonas",NA,"Rio Purús, Santa Maria-Mari, north of Lábrea, Rio Purus between Santa Maria and Mari north of Lábrea. Varzea forest.","-64.65","-6.883333",NA,NA,"INPA0031810","INPA0031810 INPA0031810_e",NA,NA,NA,NA,NA,"Moldenke, HN","1972",NA,"-64.65","-6.883333",NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","USw7612","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"B. A. Krukoff","6279",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","1660535","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke","Isotype","B. A. Krukoff","6279","1934","9","14","South America - Neotropics","Brazil","Amazonas","Humaitá","Near Tres Casas, basin of Rio Madeira.","-63.0208015441895","-7.50611019134521",NA,NA,"US00119263","US00119263_01","Dicotyledonae",NA,"202650","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2250294","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke","Isotype","B. A. Krukoff","6279","1934","9","14","South America - Neotropics","Brazil","Amazonas",NA,"Humayta. Near Tres Casas, basin of Rio Madeira.",NA,NA,NA,NA,"US01013836","US01013836_01","Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2250293","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke","Isotype","B. A. Krukoff","6279","1934","9","14","South America - Neotropics","Brazil","Amazonas",NA,"Humayta. Near Tres Casas, basin of Rio Madeira.",NA,NA,NA,NA,"US01013837","US01013837_01","Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2699645","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"G. T. Prance, P. J. M. Maas, A. A. Atchley, W. C. Steward & et al.","13446","1971","6","22","South America - Neotropics","Brazil","Amazonas",NA,"Brazilian Amazonia. Rio Purus, Rio Ituxi. Rio Purus between Santa Maria and Mari north of Lábrea. Varzea forest.",NA,NA,NA,NA,"US02780917","US02780917_01","Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-07 09:16:38-03","UEFS","HUEFS","32444","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke",NA,"Sem coletor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0032444",NA,"Asteranae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2018-04-04 16:44:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Verbenaceae","Vitex","krukovii","Vitex krukovii",NA,NA,"G. T. Prance","13446",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"RRC ID Flag",NA,NA,NA,NA,"13446",NA,NA
"20","2019-01-23 11:24:20-02","F","FMNH-SEEDPLANTS","V0074563F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Verbenaceae","Vitex","krukovii","Vitex krukovii",NA,"Isotype","B. A. Krukoff","6279","1934","9","14","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0074563F","V0074563F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-11-26 13:56:41-02","INPA","INPAW","4400","S","Plantae",NA,NA,"Verbenaceae","Vitex","krukovii","Vitex krukovii","Mold.",NA,"Prance, G.T.","13446","1971","04","29",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H.N. Moldenke","1972","01",NA,NA,NA,"01",NA
"22","2016-08-23 11:00:28-03","NHMLondon","NHM-LONDON-BOT","BM000992828","S","Plantae",NA,NA,"Verbenaceae","Vitex","krukovii","Vitex krukovii","Moldenke","Type","Boris Alexander Krukoff; b.1898; d.1983; Krukoff","6279","1934","09","14",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/20f917a86af9e96a56bac6b75dc9ec7e24c0b57e/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:494395"
"23","2014-09-23 10:58:05-03","G","G","G00366743","S","Plantae",NA,NA,"Lamiaceae","Vitex","krukovii","Vitex krukovii","Moldenke","ISOTYPUS of Vitex krukovii Moldenke","Krukoff, B. A.","6279","1934",NA,"00","AMERIQUE DU SUD","Brazil","Amazonas",NA,NA,"-65.08583333","-4.14444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=258107&base=img&lang=en","G00366743","G00366743",NA,NA,NA,NA,NA,"?",NA,NA,"-65.08583333","-4.14444444",NA,NA,NA
