"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount"
"11","2020-11-04 11:19:12-03","ESALQ","ESA","2357","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Oliveira, P.I.","578.0","1982","10","01",NA,"Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"ESA002357","ESA002357",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"12","2020-11-04 11:19:12-03","ESALQ","ESA","91941","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis",NA,NA,"Barbosa, E. ; Silva, J.M.","795.0","2003","12","04",NA,"Brasil","Paraná","Tijucas do Sul",NA,"-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"ESA091941","ESA091941",NA,NA,NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA
"13","2020-12-20 21:17:54-03","UFV","VIC","43944","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer",NA,"Anunciação, E.A.; et al.","243","1993","06","26",NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia Itatins, Trilha para Morrinho mata de encosta.","-47.5499992370605","-24.7000007629395",NA,NA,NA,"Arvoreta de 2 m flores creme.","VIC043944",NA,NA,NA,NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0030633","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","H. Sleumer","G. Hatschbach; H. Haas","16877","1967","8","3",NA,"Brazil","Parana",NA,"Sitio do Belizario (Mun. Campina Grande do Sul).","-49.0833","-25.3","100",NA,NA,"Arvore 15 m, tronco 30 cm, diametro. Flor verde-clara, anteras amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0030632","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","G. Hatschbach","E. Barbosa; J. M. Silva","795","2003","12","4",NA,"Brazil","Parana",NA,"Serra de Papanduva (Mun. Tijucas do Sul).","-49.1789","-25.9269",NA,NA,NA,"Árvore, 5 m, fruto amarelo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0030631","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","G. Hatschbach","G. Hatschbach; J. Cordeiro","50993","1986","12","11",NA,"Brazil","Parana",NA,"Col. S. Andrade (Mun. S. Jose dos Pinhais).","-49.19295","-25.533076",NA,NA,NA,"Arvore 8 m, fruots maduros amarelos. 1st col. de frutos maduros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:44:53-03","UFJF","CESJ","43543","PreservedSpecimen","Plantae","Angiosperma",NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","G. Hatschbach","E. Barbosa; J.M. Silva","795","2003","12","04","América do Sul","Brasil","Paraná","Tijucas do Sul","Serra de Papanduva","-49.1988983154297","-25.9281005859375",NA,NA,NA,"Árvore, 5m., fruto amarelo. Beira do rio encachoeirado.","CESJ043543",NA,NA,"2004",NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA
"18","2019-11-21 14:44:53-03","UFJF","CESJ","33942","PreservedSpecimen","Plantae","Angiosperma",NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","H.Sleumer","G. Hatschbach","32235","1973","07","13","América do Sul","Brasil","Paraná","São José dos Pinhais","Usina Chaminé","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Árvore, 12m, tronco, 70cm, flor creme esverdeada. Mata.","CESJ033942","CESJ033942","Isotypus",NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"19","2021-03-01 16:42:57-03","UNICAMP","UEC","200133","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer",NA,"Padgurschi, MCG; Belinello, R","M167","2009","03","25",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.183333","-23.4","990","1045",NA,"Parcela M - Projeto Biota-FAPESP. Árvore com 2 metros de altura. Frequência da espécie na parcela: n=1","UEC177682","UEC177682",NA,NA,NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:42:57-03","UNICAMP","UEC","160436","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Marchiori, NM","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","501","2011","07","15",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.945278","-23.330333","999","999",NA,"Material vegetativo. Cerca de 10 m de altura e 3 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.","UEC039448","UEC039448",NA,"2011","05","-45.945278","-23.330333",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:42:57-03","UNICAMP","UEC","201027","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Brotto, ML","Brotto, ML; Völtz, RR","2684","2018","07","20",NA,"Brazil","Paraná","Morretes","Brazil, Paraná, Morretes, Parque Estadual Pico do Morumbi, Vale dos Perdidos.","-48.914444","-25.4475","1100","1100",NA,"Árvore com 10 m de altura; flores alvo-amareladas exalando odor intenso e agradável.; Floresta Ombrófila Densa Montana de porte baixo.","UEC184000","UEC184000",NA,"2018","08","-48.914444","-25.4475",NA,NA,NA,NA,"06",NA,NA
"22","2021-03-01 16:42:57-03","UNICAMP","UEC","200491","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Torres, RB","Pereira, LS; Belinello, R","N1085","2007","12",NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.183333","-23.4","990","1045",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 13 metros de altura. Frequência da espécie na parcela: n=6; Mata Atlântica","UEC158052","UEC158052",NA,"2008",NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:42:57-03","UNICAMP","UEC","51149","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G","Hatschbach, G; Cordeiro, J","50993","1986","12","11",NA,"Brazil","Paraná","São José dos Pinhais","Col. S. Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Árvore 8 m, frutos maduros amarelos. Mata pluvial. 1º col. de frutos maduros.","UEC046429","UEC046429",NA,"1987","01",NA,NA,NA,NA,"45291","auto",NA,NA,NA
"24","2021-03-01 16:42:57-03","UNICAMP","UEC","20864","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Sleumer, HO","Hatschbach, G","32235","1973","07","13",NA,"Brazil","Paraná","São José dos Pinhais","Usina Chaminé.","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Árvore 12m, tronco 70cm, flor creme esverdeada. Mata.","UEC046424","UEC046424",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"25","2021-03-01 16:42:57-03","UNICAMP","UEC","53031","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Torres, RB; Ramos, E","Zickel, CS; Salis, SM; et al.","23471","1989","06","15",NA,"Brazil","São Paulo","Bertioga","Boraceia.","-46.138599395752","-23.8544006347656",NA,NA,NA,"Arbusto com 3m e flores brancas.; Restinga.","UEC046428","UEC046428",NA,"2005","09",NA,NA,NA,NA,"37616","auto",NA,NA,NA
"26","2021-03-01 16:42:57-03","UNICAMP","UEC","35582","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Torres, RB; Ramos, E","Pirani, JR","825","1983","08","28",NA,"Brazil","São Paulo","Iguape","Estação Ecológica de Juréia.","-47.5499992370605","-24.7000007629395",NA,NA,NA,"Arbusto a beira da cachoeira, entre rochas. Orla da floresta. Frutos verdes.; Mata pluvial tropical.","UEC046425","UEC046425",NA,"2005","09",NA,NA,NA,NA,"55628","auto",NA,NA,NA
"27","2021-03-01 16:42:57-03","UNICAMP","UEC","35572","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Torres, RB; Ramos, E","Sucre, D; Barroso, GM; Burle Max, R","6967","1970","05","27",NA,"Brazil","São Paulo","Ilhabela","Ilha Bela, Serra dos Castelhanos.","-45.3499984741211","-23.7700004577637","250","340",NA,"Arbusto, umbrófilo, crescendo em mata úmida, 70m altura, frutos ainda verdes.","UEC046426","UEC046426",NA,"2005","04",NA,NA,NA,NA,"23719","auto",NA,NA,NA
"28","2021-03-01 16:42:57-03","UNICAMP","UEC","56039","S","Plantae","Magnoliopsida",NA,"Vivianiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Torres, RB; Ramos, E","Silva, DM; Franceschinelli, EV; Santos, CGM; Castro, MM; Geraldini, A; et al.","22626","1989","11","27",NA,"Brazil","São Paulo","Santos","Boracéia (Distrito de Bertioga).","-46.3300018310547","-23.9599990844727",NA,NA,NA,"Arbusto, ca. 60cm, flores esverdeadas. Flores e botões.; Mata de Restinga.","UEC046427","UEC046427",NA,"2005","04",NA,NA,NA,NA,"26836","auto",NA,NA,NA
"29","2020-10-14 10:06:23-03","FURB","FURB","60736","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Brotto, M.L.","Brotto, M.L.; Barboza, E.; Völtz, R.R.","2696","2018","07","25",NA,"Brasil","Santa Catarina","Joinville","Serra Queimada.","-49.1041667","-26.0955555","962","962",NA,"Flores branco-esverdeadas Habitat: Transição entre floresta ombrófila mista e floresta ombrófila densa Habito: Árvore","FURB60736","FURB60736",NA,"2018","08","-49.1041667","-26.0955555",NA,NA,NA,NA,"07",NA,NA
"30","2020-10-14 10:06:23-03","FURB","FURB","48926","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Sleumer, H","Hatschbach, G.","32235","1973","07","13",NA,"Brasil","Paraná","São José dos Pinhais","Usina Chaminé.","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"FURB48926","FURB48926","Isotipo",NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"31","2021-03-16 17:53:28-03","UCS","HUCS","1354","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Oliveira, P.I.","578","1982","07","13",NA,"Brasil","Paraná","São José dos Pinhais","Colégio Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Árvore 12m, flor creme, tronco 30cm.; da mata",NA,NA,NA,"1982","10",NA,NA,NA,NA,"45291","auto",NA,NA,NA
"32","2021-03-16 17:53:28-03","UCS","HUCS","23615","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Barbosa, E.","795","2003","12","04",NA,"Brasil","Paraná","Tijucas do Sul","Serra de Papanduva","-49.1988983154297","-25.9281005859375",NA,NA,NA,"árvore, 5m, fruto amarelo.; beira do rio encaichoeirado",NA,NA,NA,"2004",NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA
"33","2019-08-16 08:41:00-03","UTFPR","HCF","27093","S","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","M.L. Brotto","M.L. Brotto","2684","2018","07","20",NA,"Brasil","PR","Morretes","Parque Estadual Pico do Marumbi, Vale","-48.914444","-25.4475","1100","1100",NA,"árvore com 10 m de altura; flores alvo-amareladas exalando odor intenso e agradável.",NA,NA,NA,"2018","08","48°54'52 W","25°26'51 S",NA,NA,NA,NA,"06",NA,NA
"34","2019-08-16 08:41:00-03","UTFPR","HCF","27439","S","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","M.L. Brotto","M.L. Brotto","2696","2018","07","25",NA,"Brasil","SC","Joinville","Serra Queimada, base da serra.","-49.104167","-26.095556","962","962",NA,"árvore com 6 m de altura. Flores branco-esverdeadas. transição entre Floresta Ombrófila Mista e Floresta Ombrófila Densa.",NA,NA,NA,"2018","08","49°06'15 W","26°05'44 S",NA,NA,NA,NA,"07",NA,NA
"35","2020-12-21 16:28:45-03","MBM","MBM","293931","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Barboza, E.; Silva, J.M.; Silva, J.M.","795","2003","12","04","Southern America","Brazil","Paraná","Tijucas do Sul","Serra de Papanduva","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"MBM293931","MBM293931",NA,NA,NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA
"36","2020-12-21 16:28:45-03","MBM","MBM","6401","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Sleumer, H.","Hatschbach, G.","16877","1967","08","03","Southern America","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizário","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM006401","MBM006401",NA,NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA
"37","2020-12-21 16:28:45-03","MBM","MBM","76704","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Oliveira, P.I.","578",NA,NA,NA,"Southern America","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM076704","MBM076704",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"38","2020-12-21 16:28:45-03","MBM","MBM","90142","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Oliveira, P.I.","748","1983","09","28","Southern America","Brazil","Paraná","São José dos Pinhais","Guaricana","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM090142","MBM090142",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"39","2020-12-21 16:44:17-03","MBM","MBM","413800","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Brotto, M.L.","Brotto, M.L.; Völtz, R.R.; Völtz, R.R.","2684","2018","07","20","Southern America","Brazil","Paraná","Morretes","Parque Estadual Pico do Marumbi, Vale dos Perdidos","-48.914361","-25.447583","1100","1100",NA,"Árvore com 10 m de altura; flores alvo-amareladas exalando odor intenso e agradável.; Floresta Ombrófila Densa Montana de porte baixo.","MBM413800",NA,NA,"2018","08","-48.914361","-25.447583",NA,NA,NA,NA,"06",NA,NA
"40","2020-12-21 16:44:17-03","MBM","MBM","413860","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Brotto, M.L.","Brotto, M.L.; Barboza, E.; Völtz, R.R.; Barboza, E.; Völtz, R.R.","2696","2018","07","25","Southern America","Brazil","Santa Catarina","Joinville","Serra Queimada, base da serra","-49.104167","-26.095556","962","962",NA,"Árvore com 6 m de altura; flores branco-esverdeadas.; Transição entre Floresta Ombrófila Mista e Floresta Ombrófila Densa.","MBM413860","MBM413860",NA,"2018","08","-49.104167","-26.095556",NA,NA,NA,NA,"07",NA,NA
"41","2020-12-21 16:44:17-03","MBM","MBM","419470","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Völtz, R.R.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","2091","2018","12","09","Southern America","Brazil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.914167","-25.448611","1250","1250",NA,"Árvore 11 m alt.; casca interna alvacenta com pontilhados marrons, em anéis; frutos verdes, frutificação abundante; sementes brancas, algumas em germinação.; Dossel de Floresta Ombrófila Densa Montana, em fundo de vale.","MBM419470",NA,NA,"2018","12","-48.914167","-25.448611",NA,NA,NA,NA,"09",NA,NA
"42","2020-12-21 16:28:45-03","MBM","MBM","1470","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Sleumer, H.","Hatschbach, G.","14589","1966","08","12","Southern America","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM001470","MBM001470",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"43","2020-12-21 16:28:45-03","MBM","MBM","111512","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G.","Hatschbach, G.; et al.; et al.","50993","1986","12","11","Southern America","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM111512","MBM111512",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"44","2020-12-21 16:28:45-03","MBM","MBM","31759","PreservedSpecimen","Plantae",NA,NA,"Flacourtiaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Sleumer, H.","Hatschbach, G.","32235","1973","07","13","Southern America","Brazil","Paraná","São José dos Pinhais","Usina Chaminé","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Árvore, 12m, tronco, 70 cm, flor creme-esverdeada. Mata; Árvore 12m, tronco 70cm, flor creme-esverdeada.; Mata.","MBM031759","MBM031759","ISOTYPE","1980","02",NA,NA,NA,NA,"45291","auto",NA,NA,NA
"45","2015-09-05 06:45:17-03","MNHN","RECOLNAT_MNHN_P","P04761117","PreservedSpecimen",NA,NA,NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer",NA,"Hatschbach, G.",NA,"1966","8","12",NA,"Brasil","Paraná","São José dos Pinhais","Col S. Andrade","-49.2064018249512","-25.5347003936768",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04761117' target='other'> <mi>dwc_moreinfo</mi></a>","P04761117","P04761117_01",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,"14589",NA
"46","2020-10-01 14:23:05-03","JBB","HEPH","5781","S","Plantae","Dicotyledon","Malpighiales","Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer","Hatschbach, G","Oliveira, PI","748","1983","09","28","Southern America","Brasil","Paraná ","São José dos Pinhais","Guaricana","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Primeiros frutos coletados",NA,NA,NA,"1983",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
"47","2020-12-11 11:41:15-03","UFMG","BHCB","90093","PreservedSpecimen","Plantae","Dicotyledon",NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer",NA,"Couto, FR","348","2004","09","14","Southern America","Brasil","Minas Gerais","Caratinga","Est. Biol. De Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,"Árvore, com botões; floresta","BHCB016342",NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA
"48","2020-12-11 11:41:15-03","UFMG","BHCB","19585","PreservedSpecimen","Plantae","Dicotyledon",NA,"Salicaceae","Casearia","paranaensis","Casearia paranaensis","Sleumer",NA,"Hatschbach, G","32235","1973","07","13","Southern America","Brasil","Paraná","São José dos Pinhais","Usina Chaminé","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Árvore de 12m de altura, tronco 70cm, flor creme esverdeada.; Mata","BHCB000162","BHCB000162","Isotypus","1980",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA
