"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","previousCatalogNumber","sex"
"11","2021-04-07 11:45:10-03","UFMS","CGMS","64031","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","V.J. Pott","V.J. Pott; A. Pott","11788","2015","04","28",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7905555","-20.5583333","512","512",NA,"Flor branca. Habitat: Campo úmido de vereda, com buriti. Solo hidromórfico, orgânico. Relevo plano. Habito: Subarbusto aquático emergente, 1,00 - 1,30 m de altura. Esparso.","CGMS1097000",NA,NA,"-54,7905555","-20,5583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-07 11:45:10-03","UFMS","CGMS","75999","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"S.N. Moreira; V.J. Pott, A. Pott & J.B. Fabri","1462","2013","04","19",NA,"Brasil","Mato Grosso do Sul","Sidrolândia","Fazenda Olho D`água.","-54.7952777","-20.7886111","510","510",NA,"Flor branca. Habitat: Solo orgânico a argilo-siltoso. Relevo plano deprimido. Campo graminoso úmido com Mauritia flexuosa em domínio de Cerrado. Habito: Erva anfíbia até 60cm.","CGMS1108954",NA,NA,"-54,7952777","-20,7886111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:30:17-03","MBM","MBM","159202","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Harley, R.M.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","59532",NA,NA,NA,"Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Alto Paraíso, rodovia para Colinas do Sul, 3-5km O de São Jorge","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM159202","MBM159202",NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"14","2020-12-21 16:30:17-03","MBM","MBM","34373","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Harley, R.M.","Hatschbach, G.","36849","1975","05","25","Southern America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros","-47.4583015441895","-13.7974996566772",NA,NA,NA,NA,"MBM034373","MBM034373",NA,NA,NA,NA,NA,NA,"92497","auto",NA,NA,NA,NA,NA
"15","2015-09-04 08:49:32-03","MNHN","RECOLNAT_MNHN_P","P03006407","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Irwin, H.S.|Smith, G.L.|Harley, R.M.",NA,"1971","2","10",NA,"Brasil","Distrito Federal",NA,"Rio Sobradinho, immediately west of Sobradinho.",NA,NA,"1100",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03006407' target='other'> <mi>dwc_moreinfo</mi></a>","P03006407","P03006407_01",NA,NA,NA,NA,NA,NA,NA,NA,"29745",NA,NA,NA,NA
"16","2020-10-01 14:21:49-03","JBB","HEPH","24340","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Amaral, AG","Amaral, AG; Eugênio, CUO","1951","2008","06","25","Southern America","Brasil","Distrito Federal","Planaltina","Estação Ecológica de Águas Emendadas.",NA,NA,NA,NA,NA,"Levantamento realizado para o Plano de Manejo.",NA,NA,NA,NA,NA,"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:36:53-03","UFMG","BHCB","44444","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-08-13 05:50:00-03","MO","MOBOT","2908217","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M. Harley","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 29745","1971","2","10","South America","Brazil",NA,NA,"Cerrado and gallery, Rio Sobradinho, immediately west of Sobradinho.",NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-19 11:19:11-03","UFG","UFG","18001","S","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M. Harley","H.D. Ferreira","3115","1995","09","03",NA,"Brasil","Goiás","Alto Paraiso",NA,NA,NA,NA,NA,NA,"Obs: Subarbusto. Ca de 60cm. Corola lilás. Folha verde-clara. Caule marron claro. Campo cerrado. Solo arenoso.","UFG0018001","UFG0018001",NA,NA,NA,"1996","08","16",NA,NA,NA,NA,NA,NA,NA
"20","2021-02-12 10:55:04-03","UFG","UFG","64374","S","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Aparecida da Silva, M.","Aparecida da Silva, M.; et al.","7340","2011","06","03",NA,"Brasil","Goiás","Pirenópolis","Parque Estadual da Serra dos Pireneus","-48.831944","-15.798611","1300","1300",NA,"Subarbusto ca. de 0,70 metros de altura. Inflorescência arroxeada, corola rosada. Folhas discolores verde-claras.","UFG0064374",NA,NA,"-48.831944","-15.798611","2011","06","24",NA,NA,NA,NA,NA,NA,NA
"21","2021-01-26 13:55:24-03","IMA","MAC","15515","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M.Harley","R.M.Harley; A.M.Giulietti; F.França","28570","1997","03","31",NA,"Brasil","Goiás","Posse","Br 020, entre Posse e Simolândia.","-46.331944","-14.216667",NA,NA,NA,"Subarbusto ca. 1 m de alt. Corola com tubo alvo, lábios rosa, estames com anteras rosa-escuro e anteras brancas.; Brejo com várias plantas aquáticas.","MAC0015515",NA,NA,"-46.331944","-14.216667","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","3302792","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"F. R. Mendonca, E. Cardoso & F. C. A. Oliveira","2116","1994","9","7","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, estrada GO-118, que liga Alto Paraíso a Terezina-GO, 15Km de Alto Paraíso, Parque Nacional Chapada dos Veadeiros.",NA,NA,NA,NA,NA,NA,"US02885574","US02885574_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","2675538","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"H. S. Irwin, R. M. Harley & Geo. L. Smith","29745","1971","2","10","South America - Neotropics","Brazil","Distrito Federal",NA,"Planalto do Brasil. Rio Sobradinho, immediately west of Sobradinho.",NA,NA,"1100",NA,NA,NA,"US02885573","US02885573_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2515042","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"G. T. Prance & N. Silva","58185","1964","7","18","South America - Neotropics","Brazil","Goiás",NA,"New Brazilian Highways. Chapada dos Veadeiros, 2 km. from Veadeiros, on Cerrado.",NA,NA,NA,NA,NA,NA,"US02885572","US02885572_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"25","2020-09-02 16:30:07-03","Cenargen","CEN","84629","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"José Floriano Barêa Pastore","2315","2007","11","15",NA,"Brasil","GO","SAO JOAO D'ALIANCA",NA,NA,NA,NA,NA,"Exsicatas","Planta estéril. Folhas muito aromáticas. Inflorescência seca. Doação Universidade Estadual de Feira de Santana - Feira de Santana - Bahia - Brasil HUEFS nº 129716.","CEN00084629","CEN00084629",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"26","2020-09-02 16:30:07-03","Cenargen","CEN","54593","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R. M. Harley","Andresa Soares Rodrigues","95","2003","07","25",NA,"Brasil","DF","BRASILIA","Apa da cafuringa.","-47.9296989440918","-15.7797002792358",NA,NA,"Exsicatas",NA,"CEN00054593","CEN00054593",NA,NA,NA,"2011","10",NA,"70570","auto",NA,"3",NA,NA,NA
"27","2020-09-02 16:30:07-03","Cenargen","CEN","68678","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"José Floriano Barêa Pastore","1799","2007","03","12",NA,"Brasil","GO","TERESINA DE GOIAS","Rodovia A. Paraíso de Goiás - Teresina de Goiás.","-47.2647018432617","-13.7763996124268",NA,NA,"Exsicatas","Material estéril. Doação da Universidade Estadual de Feira de Santana - Herbário HUEFS (117603). Feira de Santana - Bahia.","CEN00068678","CEN00068678",NA,NA,NA,NA,NA,NA,"42211","auto",NA,"1",NA,NA,NA
"28","2019-11-13 11:20:45-03","USP","SPF","133890","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Harley, RM","Harley, RM","28570","1997","03","31",NA,"Brasil","Goiás","Posse",NA,"-46.331944","-14.201667","774","774",NA,NA,"SPF00133890","SPF00133890",NA,"-46.331944","-14.201667","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:20:45-03","USP","SPF","60399","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Harley, RM","Pirani, JR","1589","1987","02","04",NA,"Brasil","Goiás","Cristalina",NA,"-47.616667","-16.766667","1050","1050",NA,NA,"SPF00060399","SPF00060399",NA,"-47.616667","-16.766667","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-07 09:16:15-03","UEFS","HUEFS","142315","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Harley, R.M.",NA,"1985","02","25",NA,"Brasil","Goiás",NA,"Latéu-Caiaponia rd, 40 km para Caiaponia.",NA,NA,NA,NA,NA,"Campo Cerrado.","HUEFS0142315","HUEFS0142315","Asteranae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-07 09:16:15-03","UEFS","HUEFS","229639","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M.Harley","Goes, B.T.P.M.","31","2015","08","25",NA,"Brasil","Distrito Federal","Brasília","Brazlândia. Sítio onde reside Sr. Ivan, na cabeceira do Córrego Rodeador, próximo à entrada para Chapada Imperial, DF 220.Folha: SD-22-Z-D.","-48.102222","-15.603333","1255","1255",NA,"Borda de floresta de galeria.","HUEFS0229639","HUEFS0229639 HUEFS0229639_e1","Asteranae","48W6'8''","15S36'12''","2019","03",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-07 09:16:15-03","UEFS","HUEFS","26806","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Harley, R.M.","28570","1997","03","31",NA,"Brasil","Goiás","Posse","Br 020, entre Posse e Simolândia.","-46.331944","-14.201667","774","774",NA,"Brejo com várias plantas aquáticas.","HUEFS0026806","HUEFS0026806","Asteranae","46W19'55''","14S12'6''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-10-07 09:16:15-03","UEFS","HUEFS","129716","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Pastore, J.F.B.","2315","2007","11","15",NA,"Brasil","Goiás","São João d'Aliança",NA,"-47.5247001647949","-14.7055997848511",NA,NA,NA,"Cerrado recuperado de queimada. Solo substrato arenoso. Relevo acidentado.","HUEFS0129716","HUEFS0129716","Asteranae",NA,NA,NA,NA,NA,"91641","auto",NA,NA,NA,NA,NA
"34","2019-10-07 09:16:15-03","UEFS","HUEFS","139584","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M.Harley","Rodrigues, A.S.","95","2003","07","25",NA,"Brasil","Distrito Federal","Brasília","Apa da cafuringa.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Campo úmido ( próximo a mata de galeria).","HUEFS0139584","HUEFS0139584","Asteranae",NA,NA,"2011","10",NA,"70570","auto",NA,NA,NA,NA,NA
"35","2019-10-07 09:16:15-03","UEFS","HUEFS","117603","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","R.M.Harley","Pastore, J.F.B.","1799","2007","03","12",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Rodovia Alto Paraíso de Goiás _ Teresina de Goiás.","-47.5099983215332","-14.1324996948242",NA,NA,NA,"Campo sujo.","HUEFS0117603","HUEFS0117603","Asteranae",NA,NA,"2007","08",NA,"44724","auto",NA,NA,NA,NA,NA
"36","2019-01-22 15:35:09-02","F","FMNH-SEEDPLANTS","V0360041F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea",NA,"RRC ID Flag","J. B. E. Pohl","1915",NA,NA,NA,"South America","Brazil","Goiás",NA,NA,"-48","-12",NA,NA,NA,NA,"V0360041F","V0360041F_01 V0360041F_02","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,"1915",NA,"Possible type",NA,NA
"37","2016-08-23 10:59:37-03","NHMLondon","NHM-LONDON-BOT","BM000992918","S","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"George Gardner; b.1812; d.1849; Gardner","4308","1845","05",NA,NA,"Brasil","Goiás",NA,NA,"-49.675","-15.883333",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/aed93f9ba7e434f7b326bc7fbedf8b582c15699a/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"-49.675","-15.883333",NA,NA,NA,NA,NA,NA,NA,"Type","NHMUK:ecatalogue:497306",NA
"38","2019-11-01 15:01:42-03","UnB","UB","13729","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Teles, AM","Pinagé, ER","s.n.","2003","08","22","Southern America","Brasil","Distrito Federal","Brasília","Ribeirão Mestre D'Armas, próximo a ponte que marca a entrada da cidade de Planaltina","-47.7","-15.473056",NA,NA,NA,"Folhas prateadas.; .",NA,NA,NA,"-47.7","-15.473056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-01 15:01:42-03","UnB","UB","92124","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Harley, RM","Pires, JM","9166","1963","04",NA,"Southern America","Brasil","Distrito Federal","Brasília","Campus da Universidade de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA
"40","2019-11-01 15:01:42-03","UnB","UB","112738","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Faria, MT","Delprete, PG; et al.","10130","2007","05","26","Southern America","Brasil","Goiás","Pirenópolis","Serra dos Pireneus","-48.926667","-15.839722","800","800",NA,"Folhas subcoriáceas. Brácteas branco-esverdeadas. Corolas brancas.; Subarbusto 0,3-0,5m; Campo limpo. Solo: Solo arenoso, úmido.",NA,NA,NA,"-48.926667","-15.839722","2011","11","16",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-01 15:01:42-03","UnB","UB","26596","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Epling, CC","Prance, GT","58185","1964","07","18","Southern America","Brasil","Goiás",NA,"2km de Veadeiros, Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-01 15:01:42-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Harley, RM","Irwin, HS; Harley, RM; Smith, GL","29745","1971","02","10","Southern America","Brasil","Distrito Federal",NA,"Rio Sobradinho, immediately west of Sobradinho",NA,NA,"1100","1100",NA,"Spindly shrub to ca. 1,5 m tall, with slender brittle much-branched stems. Leaves almost odorless, light gray, paler beneath; In small relict campo by gallery margin. Cerrado and gallery",NA,NA,NA,NA,NA,"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:10:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Pohl, JBE","1915",NA,NA,NA,"Southern America","Brazil","Goiás",NA,"Crescit in prov. Goyazensi, prope Fazenda de Gamelleira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-08 08:53:11-03","IBt","SP","333010","S","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.",NA,"Harley, RM","28570","1997","03","31",NA,"Brasil","Goiás","Posse",NA,"-46.3694000244141","-14.0930995941162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55730","auto",NA,NA,NA,NA,NA
"45","2019-11-21 10:07:14-03","IBt","SP","15484","S","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Benth.","Epling, C","Loefgren, A","CGG4368","1899","04","14",NA,"Brasil","São Paulo","Araraquara","Campo úmido, Lageado.","-48.1699981689453","-21.7900009155273",NA,NA,NA,NA,"SP006256","SP006256",NA,NA,NA,NA,NA,NA,"29178","auto",NA,NA,NA,NA,NA
"46","2010-08-16 16:42:40-03","GH","HU-HERB","GH 00001252","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lavandulacea","Hyptis lavandulacea","Pohl ex Bentham",NA,"E. Rostan","1915",NA,NA,NA,"South America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1915",NA,"Isotype",NA,"undetermined"
