"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","phylum","order","yearIdentified","monthIdentified","dayIdentified","recordNumber","coordinatePrecision","individualCount","geoFlag","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","00942120","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","A. Krapovickas","L. Emygdio de Mello Filho","1972","11","17","Brazil","Minas Gerais",NA,"Gandarela.",NA,NA,NA,NA,"NY00942120","NY00942120_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023703' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"3412",NA,NA,NA,"1300","1300","South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1183996","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","M. G. Bovini","L. Krieger","1983","08","13","Brazil","Minas Gerais","Juiz de Fóra",NA,"-43.377068","-21.736337",NA,NA,"NY01183996","NY01183996_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459679' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1921013","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.",NA,"R. Kummrow","1988","08","24","Brazil","Paraná","Rio Branco do Sul","Bromado.","-49.3142013549805","-25.1900005340576",NA,NA,"NY01921013","NY01921013_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2181535' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"3069","37352",NA,"auto",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","393900","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","P. K. H. Dusén","1908","08","29","Brazil","Paraná","Ipiranga","Serra do Mar, Ypiranga","-50.5842","-25.0242",NA,NA,"NY00393900","NY00393900_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249588' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"6660",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","393902","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","J. C. Lindeman","1966","08","17","Brazil","Paraná","Cerro Azul","22 km S.E. of Cerro Azul","-49.2608","-24.8236",NA,NA,"NY00393902","NY00393902_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249594' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"2359",NA,NA,NA,"800","800","South America","sheet",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","393896","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","A. F. M. Glaziou","1884","04","21","Brazil","Rio de Janeiro","Nova Friburgo",NA,"-42.5308","-22.2819",NA,NA,"NY00393896","NY00393896_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249599' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"14502",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","393895","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","G. G. Hatschbach","1966","08","17","Brazil","Paraná","Campina Grande do Sul","Sitio do Belizario","-49.0553","-25.3058",NA,NA,"NY00393895","NY00393895_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249591' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"14618",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","393897","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","G. G. Hatschbach","1970","07","21","Brazil","Paraná","Bocaiúva do Sul","S'Ana","-49.115","-25.2061",NA,NA,"NY00393897","NY00393897_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249589' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"24494",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","393899","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","G. Jansson","1914","07","14","Brazil","Paraná",NA,"Kilometro 60, ad viam farream",NA,NA,NA,NA,"NY00393899","NY00393899_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249587' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"684",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","393903","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","G. Gardner","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00393903","NY00393903_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249600' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"319",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","393904","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","G. G. Hatschbach","1996","07","07","Brazil","Espírito Santo","Alfredo Chaves","Estrada Sao Bento de Urânia a Castelinho","-40.958603","-20.507297",NA,NA,"NY00393904","NY00393904_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249590' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"65248",NA,NA,NA,"900","1000","South America","sheet",NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","393898","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","R. Reitz","1953","09","15","Brazil","Santa Catarina",NA,"Estr. Curitiba-Paranaguá, S. Joao",NA,NA,NA,NA,"NY00393898","NY00393898_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249596' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"5750",NA,NA,NA,"250","250","South America","sheet",NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","777069","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","G. Gatti","1999","07","27","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Area Projeto Sucessao","-48.28","-25.15",NA,NA,"NY00777069","NY00777069_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249595' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"450",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","393893","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","A. Krapovickas","1980","11","26","Brazil","Santa Catarina","Araranguá","Araranguá. Morro dos Conventos","-49.4856","-28.9347",NA,NA,"NY00393893","NY00393893_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249598' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"36953",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","393894","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","R. M. Klein","1955","08","12","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"NY00393894","NY00393894_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249597' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"1511",NA,NA,NA,"15","15","South America","sheet",NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","393901","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","F. C. Hoehne","1918","06","20","Brazil","São Paulo","Sao Paulo","Butantan","-46.724373","-23.565521",NA,NA,"NY00393901","NY00393901_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249592' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"2166",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1921279","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","A. B. Joly","1951","06","18","Brazil","São Paulo","Iporanga","Yporanga, Bairro dos Caboclos","-48.59","-24.58",NA,NA,"NY01921279","NY01921279_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194460' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"1244",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1921277","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","A. A. Donnell","A. C. Brade","1936","05","20","Brazil","São Paulo","Bananal","Bananal Sertao de Rio Vermelho; Serra da Bocaina","-44.3423","-22.713676",NA,NA,"NY01921277","NY01921277_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194453' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"15235",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"29","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG3646","S","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva",NA,NA,NA,"2010",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Gandarela - Município de Santa Bárbara",NA,NA,NA,NA,NA,NA,"Estrada Paiol. Florística e Fitossociologia para ampliação de mina de dolomito calcário. Doação Bioma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 09:30:04-03","UNESP-IBB","BOTU","27150","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A. St.Hil.) Donnel","Vieira, A.O.S.","Francisco, E.M.","1998","07","08","Brasil","Paraná","Imbaú",NA,NA,NA,"9999","9999","BOTU027150",NA,NA,NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-13 09:20:09-03","UFRJ","RFA","24634","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","M.G. Bovini","F.M.B. Pereira","2000","08","08","Brasil","Rio de Janeiro","Sapucaia","3º distrito, fazenda Selo Verde","-42.845556","-22.086111","42º50'44''W","22º5'10''S","RFA37094",NA,"Arbusto 3 m de altura, 3 cm de DAP, folha e fruto verdes e flor lilás, rara no local",NA,NA,"2000","09","27","34/25",NA,NA,NA,"783","783",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-13 09:20:09-03","UFRJ","RFA","24773","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","M.G. Bovini","A. Quinet","2000","10","03","Brasil","Rio de Janeiro","Nova Friburgo","Distrito de Gardinópolis, Morro São Bernardo","-42.395","-22.365833","42º23'42''W","22º21'57''S","RFA37093",NA,"Arbusto 3 m de altura, 17 cm de DAP, folha discolor verde, flor com cálice marrom esverdeado e pétalas amarelas, comum no local",NA,NA,"2000","12","13","33/37",NA,NA,NA,"650","650",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-13 09:20:09-03","UFRJ","RFA","15744","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","G.G. Hatschbach","G.G. Hatschbach","1973","08","08","Brasil","Paraná","Morretes","Grota Funda","-48.834400177002","-25.476900100708",NA,NA,"RFA13612",NA,"Arbusto de flor vinosa, 2 m de altura Habitat: Orla da mata Habito: Arbusto",NA,NA,NA,NA,NA,"32269","30514",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-13 09:20:09-03","UFRJ","RFA","19324","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","M.G. Bovini","C.M. Rizzini","1978","07","15","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"RFA16115",NA,"Arbusto, flores branco-esverdeadas Habito: Arbusto",NA,NA,NA,NA,NA,"103","38539",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-24 17:10:47-03","UTFPR","DVPR","2792","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","Vieira, AOS","Francisco, EM; Alves, J; Viani, RAG","1998","07","08","Brasil","Paraná","Imbaú",NA,"-50.760799407959","-24.4449996948242",NA,NA,"DVPR002792",NA,"Árvore 4m, flores lilases.","Magnoliophyta",NA,"1998",NA,NA,"s.n.","16142",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:43:43-03","EAO","IAN","120691","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","Bovini, MG","Heringer, EP","1964","10","26","Brasil","Distrito Federal",NA,"Granja do Manjolo. margem do Rio, mata ciliar.",NA,NA,NA,NA,"IAN120691",NA,"Pequeno arbusto com 3m de altura.","Dicotiledônea",NA,"1999","12","02","9923",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:43:43-03","EAO","IAN","93895","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.",NA,"Glaziou, AFM","1896","05","27","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN093895",NA,NA,"Dicotiledônea",NA,NA,NA,NA,"14502",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:43:43-03","EAO","IAN","26305","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve confertum","A.St.-Hil. & Juss. & Cambess.",NA,"Saint-Hilaire",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN026305",NA,NA,"Dicotiledônea",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"Southern America",NA,"confertum",NA,NA,NA,NA,NA
"39","2021-03-30 12:43:43-03","EAO","IAN","18633","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve latifolium","A.St.-Hil. & Naudin",NA,"Gardner, A",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN018633",NA,NA,"Dicotiledônea",NA,NA,NA,NA,"319",NA,NA,NA,NA,NA,"Southern America",NA,"latifolium",NA,NA,NA,NA,NA
"40","2019-12-04 15:25:21-03","PUCPR","HUCP","20823","S","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","Seem.","Selusniaki, M","Selusniaki, M; Beltrami, L","2007","12","09","Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00013074","HUCP00013074",NA,"Eudicotiledonea",NA,NA,NA,NA,"1980","27346",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-04 15:25:21-03","PUCPR","HUCP","19155","S","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","Seem.","Selusniaki, M","Selusniaki, M; Beltrami, L","2006","07","25","Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00013079","HUCP00013079",NA,"Eudicotiledonea",NA,NA,NA,NA,"1188","27346",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:25:21-03","PUCPR","HUCP","18551","S","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","Seem.","Selusniaki, M","Selusniaki, M; Beltrami, L","2006","05",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00013129","HUCP00013129",NA,"Eudicotiledonea",NA,NA,NA,NA,"1021","27346",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 15:25:21-03","PUCPR","HUCP","13741","S","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","Seem.","Hatschbach, GG","Ribas, OS; Silva, JM","1997","07","25","Brasil","Paraná","São José dos Pinhais","Colônia Castelhanos","-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00013458","HUCP00013458",NA,"Eudicotiledonea",NA,NA,NA,NA,"1919","45291",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-12-04 15:25:21-03","PUCPR","HUCP","12423","S","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","Seem.","Cervi, AC","Cervi, AC","1995","09","05","Brasil","Santa Catarina","Porto Belo","Praia do Perequê","-48.5531005859375","-27.1578006744385",NA,NA,"HUCP00013406","HUCP00013406","Nº 40125.","Eudicotiledonea",NA,NA,NA,NA,"5946","13032",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:19:19-03","UFBA","ALCB","126244","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","Guedes, ML","Guedes, ML; Araújo, FS de; et al.","2016","09","28","Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul.","-41.016667","-20.4","-41.016667","-20.4","ALCB033509","ALCB033509","Ramos, folhas, cálice e frutos com indumento ferrugíneo. Flor em botão.","Dicotyledon",NA,"2017","01",NA,"25027",NA,NA,NA,"1822","1822","Southern America",NA,NA,NA,NA,NA,NA,NA
"46","2019-10-09 11:19:19-03","UFBA","ALCB","99323","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","Guedes, ML","Guedes, ML; Silva, LM; Akita, AST; Gomes, FS","2011","05","14","Brasil","Bahia","Candeias","Região Metropolitana Salvador, Próximo à cidade de Caboto, nas imediações do Porto de Aratu","-38.465278","-12.770556","-38.465278","-12.770556",NA,NA,"Ca. 1 m alt. Folhas cartaceas, discolores. Flores vermelhas.; Área antropizada.","Dicotyledon",NA,"2011","05",NA,"18238",NA,NA,NA,"27","27","Southern America",NA,NA,NA,NA,NA,NA,NA
"47","2019-10-09 11:19:19-03","UFBA","ALCB","034195","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnell","Krapovickas, A","Hatschbach, G; Hatschbach, M; Silva, JM","1996","07","07","Brasil","Espírito Santo","Alfredo Chaves","Estrada São Bento de Urânia a Castelinho","-40.749698638916","-20.6350002288818",NA,NA,"ALCB062728",NA,"Ca. de 2 m. Flor purpúrea, base verde.","Dicotyledon",NA,"1996",NA,NA,"65248","32447",NA,"auto","900","900","Southern America",NA,NA,NA,NA,NA,NA,NA
