"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"21","2021-03-15 16:37:00-03","NY","NYBG","579823","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","christovana","Eugenia christovana","Kiaersk.","G. M. Barroso",NA,"F. Gonçalves","1941","11","04","Brazil","Rio de Janeiro",NA,"-43.257166","-22.971675",NA,NA,"NY00579823","NY00579823_01","Magnoliophyta","Myrtales","140","South America","Estado da Guanabara, Estrada da Vista Chinesa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45755' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","579821","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","christovana","Eugenia christovana","Kiaersk.","J. Mattos",NA,"J. R. Mattos","1961","03","10","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00579821","NY00579821_01","Magnoliophyta","Myrtales","s.n.","South America","Proc. ? - Cultivada em Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45757' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","579825","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","christovana","Eugenia christovana","Kiaersk.","C. M. D. E. Legrand",NA,"A. C. Brade","1949","05","04","Brazil","Espírito Santo","Cachoeiro de Itapemirim","-41.018318","-20.669524",NA,NA,"NY00579825","NY00579825_01","Magnoliophyta","Myrtales","19744","South America","Vargem Alta","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45756' target='other'> <mi>dwc_moreinfo</mi></a>","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","579895","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","glandulosissima","Eugenia glandulosissima","Kiaersk.",NA,NA,"H. C. de Lima","1989","10","26","Brazil","Rio de Janeiro","Nova Friburgo","-42.05","-22",NA,NA,"NY00579895","NY00579895_01","Magnoliophyta","Myrtales","3731","South America","Reserva Ecológica Municipial de Macaé de Cima, Sítio Fazenda Velha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=364283' target='other'> <mi>dwc_moreinfo</mi></a>","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","579941","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mikaniana","Eugenia mikaniana","O.Berg",NA,NA,"A. C. Brade","1941","07","17","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00579941","NY00579941_01","Magnoliophyta","Myrtales","16844","South America","Estado da Guanabara, Pico da Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557959' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","869544","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","recurvata","Eugenia recurvata","O.Berg","M. Sobral",NA,"D. C. Daly","1991","11","06","Brazil","Acre","Xapuri","-68.33","-10.75",NA,NA,"NY00869544","NY00869544_01","Magnoliophyta","Myrtales","7184","South America","Rio Acre @ 3 hours by boat downstream from Xapuri and 1 hr walking inland from left bank","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623471' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00907514","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","recurvata","Eugenia recurvata","O.Berg","M. Sobral",NA,"J. Mattos","1969","12","15","Brazil","Mato Grosso","Santa Terezinha","-50.5031","-10.4697",NA,NA,"NY00907514","NY00907514_01","Magnoliophyta","Myrtales","15591","South America","Luciara, Santa Terezinha, Fazenda Santa Terezinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986067' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00907802","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","recurvata","Eugenia recurvata","O.Berg","M. Sobral",NA,"W. W. Thomas","1985","10","21","Brazil","Mato Grosso","Cuiabá","-55.83","-15.4",NA,NA,"NY00907802","NY00907802_01","Magnoliophyta","Myrtales","4491","South America","Chapada dos Guimaraes, Veu da Noiva falls, along Rio Coxipozinho at base of falls.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988958' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:31:36-03","UFRJ","RFA","43032","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","R.C. Lopes","2018","Fátima R.V. Goulart","2017","10","22","Brasil","Rio de Janeiro","Guapimirim","-42.9818992614746","-22.5372009277344",NA,NA,"RFA42416",NA,NA,NA,NA,NA,"Vale das Pedrinhas, Rua 18, lotes 4 a 8, quadra 5, sítio 'Vale das palmeiras'",NA,"Árvore, ca. 2 m de altura. Material em flor e fruto",NA,NA,"21463","auto","09","25",NA,NA,NA,NA,NA,NA
"30","2020-06-29 11:31:36-03","UFRJ","RFA","16178","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","J.E.Q. Faria",NA,"P. Occhioni","1975","02","00","Brasil","Rio de Janeiro","Magé","-43.040599822998","-22.6527996063232",NA,NA,"RFA13874",NA,NA,NA,"6969",NA,NA,NA,"Arbusto; flores alvas",NA,NA,"20531","auto",NA,NA,NA,NA,NA,NA,NA,NA
