"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount","typeStatus"
"13","2019-11-12 14:46:50-03","IFGoiano","IFRV","321","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Silva, C. S.",NA,"2012","09","13",NA,"Brasil","Goiás",NA,NA,"cerrado","IFRV00000321",NA,"Goiás","-50.1403007507324","-15.9343996047974",NA,NA,"63502","auto",NA,"-512855555.0","-176691667.0",NA,NA,NA,NA,NA
"14","2021-03-23 14:24:19-03","UFG","UFG","13856","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Noblick, L.R.; Ferreira, H.D.","4872","1992","05","10",NA,"Brasil","Goiás","5km of the entrance to the city and 5km E of the córrego Jataí, 8km E of rio Claro on BR-060. Palms growing in pasture where the original vegetation was mixed cerrado and forest. Locally common, but seen only for a few 10's, of kilometres along the h",NA,"Solitary palm with 2-4m x 15-16cm trunk. 12-22 LEAVES in crown, spirally arranged and spreading-arching. Leaf sheath plus petiole is 60-75cm long with a true leaf petiole only 23-40cm long with smooth (not spiny) margins and a fibrous leaf sheath, ad",NA,NA,"Jataí","-51.733333","-17.833333","650","750",NA,NA,NA,"-51.733333","-17.833333",NA,NA,NA,NA,NA
"15","2021-01-26 14:12:06-03","CPACT","ECT","2615","PreservedSpecimen","Plantae","Embryophyta",NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","P.E.Ellert-Pereira","P.E.Ellert-Pereira; M.P.Eslabão | L.H.DalMolin | G.Heiden","86","2015","08","10",NA,"Brasil","Goiás","Saída em direção a Rio Verde. Rancho Alto das Rosas. Bioma cerrado.",NA,NA,"ECT0002615","ECT0002615_01 ECT0002615_02 ECT0002615_03 ECT0002615_04 ECT0002615_05 ECT0002615_06 ECT0002615_07 ECT0002615_08","Jataí","-51.695278","-17.916389","7659","7659",NA,NA,"2015","51º41'43''W","17º54'59''S","08","10",NA,NA,NA
"16","2021-01-26 14:12:06-03","CPACT","ECT","3435","PreservedSpecimen","Plantae","Embryophyta",NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","M.P.Eslabão|P.E.Ellert-Pereira","M.P.Eslabão; P.E.Ellert-Pereira | L.H.DalMolin | G.Heiden","2","2015","08","10",NA,"Brasil","Goiás","Entre aparecida do Rio Doce e Rio Verde - GO 174. Área antropizada, próximo a pastagem.",NA,NA,"ECT0003435","ECT0003435_01 ECT0003435_02 ECT0003435_03 ECT0003435_04 ECT0003435_05","Jataí","-51.108056","-18.200556","7716","7716",NA,NA,"2016","51º6'29''W","18º12'2''S","08","10",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3487263","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"A. Krapovickas & A. Schinini","32582","1977","6","19","South America","Paraguay","Canendiyú","Rio corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"18","2020-09-12 05:00:02-03","US","US","3439476","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"L. R. Noblick & H. Cropper","5107","1996","2","4","South America - Neotropics","Brazil","Goiás","S of Mambai near Rio das Pedras",NA,NA,"US00744417","US00744417_01","Jataí","-51.7144012451172","-17.8813991546631","690",NA,"75073","auto",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"19","2020-09-12 05:00:02-03","US","US","3190241","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"S. F. Glassman","13076","1976","8","31","South America - Neotropics","Brazil","Goiás","3 km NE of Jatai.",NA,NA,"US00344780","US00344780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1","Isotype"
"20","2020-09-12 05:00:02-03","US","US","3438477","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"L. R. Noblick & H. Cropper","5107","1996","2","4","South America - Neotropics","Brazil","Goiás","S of Mambai near Rio das Pedras",NA,NA,"US00744418","US00744418_01","Jataí","-51.7144012451172","-17.8813991546631","690",NA,"75073","auto",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"21","2020-09-12 05:00:02-03","US","US","3190240","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"S. F. Glassman","13076","1976","8","31","South America - Neotropics","Brazil","Goiás","3 km NE of Jatai.",NA,NA,"US00344779","US00344779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1","Isotype"
"22","2019-06-05 10:33:09-03","UFG","HJ","1545","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Souza, L.F.","3513","2007","11","14",NA,"Brasil","Goiás","UFG, Campus Jatobá.",NA,NA,"HJ00001545",NA,"Jataí","-51.717222","-17.923056",NA,NA,NA,NA,NA,"51º43'2''W","17º55'23''S",NA,NA,NA,NA,NA
"23","2020-10-16 10:36:07-03","UFG","HJ","1523","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Souza, L.F.","3491","2005","11","11",NA,"Brasil","Goiás","41 BIMTZ.",NA,NA,"HJ00001523",NA,"Jataí","-51.711944","-17.900278","700","700",NA,NA,NA,"51º42'43''W","17º54'1''S",NA,NA,NA,NA,NA
"24","2019-06-05 10:33:09-03","UFG","HJ","2009","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Souza, L.F.","3867","2007","11","12",NA,"Brasil","Goiás","UFG, Campus Jatobá.",NA,NA,"HJ00002009",NA,"Jataí","-51.717222","-17.923056",NA,NA,NA,NA,NA,"51º43'2''W","17º55'23''S",NA,NA,NA,NA,NA
"25","2019-06-05 10:33:09-03","UFG","HJ","2893","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Guilherme, F.A.G.","874","2007","08","17",NA,"Brasil","Goiás","PCH Jataí.",NA,NA,"HJ00002893",NA,"Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 18:25:09-03","USP","SPF","140854","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Marcato, AC","Marcato, AC; Fiaschi, P","238","2000","01","30",NA,"Brasil","Minas Gerais","Na BR 365, a 2km da divisa com Ituiutaba.",NA,"Altura total até 6m, caule 3m, diâmetro 21cm, folhas 25, raque 145-149cm, folíolos 57-59, folíolos mediano 65x2.1cm, glaucos abaxialmente.; Em área de cerrado sobre latosolo vermelho.","SPF00140854",NA,"Gurinhatã","-49.75","-18.916667",NA,NA,NA,NA,"2000","-49.75","-18.916667","01",NA,NA,NA,NA
"27","2021-03-15 18:25:09-03","USP","SPF","140851","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Marcato, AC","Marcato, AC; Fiaschi, P","230","2000","01","29",NA,"Brasil","Goiás","Entrada da cidade pela BR 158, vindo do Município de Estância.",NA,"Altura total 1.5-3m, caule 1-2m, diâmetro 15-25cm, folhas 13-17, bainha+pecíolo 25 cm, raque 132-135cm, folíolos 49-51, verde-brilhantes em ambas as faces, folíolos mediano 59-60x1.6-1.8cm, pedúnculo da inflorescência 45cm, raque 29,","SPF00140851",NA,"Jataí","-51.785","-17.826389","760","760",NA,NA,"2000","-51.785","-17.826389","01",NA,NA,NA,NA
"28","2021-03-15 18:25:09-03","USP","SPF","140852","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Marcato, AC","Marcato, AC; Fiaschi, P","234","2000","01","29",NA,"Brasil","Goiás","GO 174, rumo a Aparecida do Rio Doce, ca. 40km após Rio verde.",NA,"Altura total até 7m, caule 4.5m, diâmetro 25cm, folhas 20-25, raque 154cm, folíolos 52, folíolo mediano 56.5x2cm. Inflorescência em antese de flores estaminadas amarelas.; Em área de cerrado sobre solo latosolo vermielho. Formando po","SPF00140852",NA,"Rio Verde","-51.130833","-18.295556","590","590",NA,NA,"2000","-51.130833","-18.295556","01",NA,NA,NA,NA
"29","2021-03-15 18:25:09-03","USP","SPF","140853","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Marcato, AC","Marcato, AC; Fiaschi, P","236","2000","01","29",NA,"Brasil","Goiás","GO 174, de Aparecida do Rio Doce a Cachoeira Alta, próximo a Cachoeira Alta.",NA,"Altura total até 4 m, caule 2,5m, diâmentro 15cm, folhas 15-20, raque 138cm, folíolos 55, folíolo mediano 58x1.7cm. Frutos amarelos com cheiro adocicado enjoativo muito forte.; Em área de cerrado sobre solo latosolo vermelho. Formand","SPF00140853",NA,"Cachoeira Alta","-50.97","-18.698889","560","560",NA,NA,"2000","-50.97","-18.698889","01",NA,NA,NA,NA
"30","2019-01-22 20:19:06-02","F","FMNH-SEEDPLANTS","V0092024F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Arecaceae","Butia","purpurascens","Butia purpurascens",NA,NA,"S. F. Glassman","13076","1976","8","31","South America","Brazil","Goiás","3 km NE of Jatai",NA,NA,"V0092024F","V0092024F_01 V0092024F_02 V0092024F_03 V0092024F_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"Holotype"
"31","2019-11-21 09:59:27-03","IBt","SP","178400","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Glassman, SF","13071","1976","08","31",NA,"Brasil","Goiás","26 km. N.E. of Rio Verde, along BR 060. Dense cerrado, associated with <em>Syagrus flexuosa</em>, <em>Attalea</em> and <em>Allagoptera</em>",NA,"Small tree trunk about 1.2 m. tall. Flowers purple, spathe purple","SP055831","SP055831 SP055831_01 SP055831_02 SP055831_03 SP055831_04","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 09:59:27-03","IBt","SP","178403","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Glassman, SF","13075","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with yellow flowers and green fruit","SP055835","SP055835 SP055835_01 SP055835_02","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 09:59:27-03","IBt","SP","178393","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Glassman, SF","13081","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with purple flowers and purple fruits. Spathe dark purple inside","SP055833","SP055833 SP055833_01","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 09:59:27-03","IBt","SP","178404","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Glassman, SF","Glassman, SF","13076","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with purple flowers and purple fruits. Spathe dark purple inside","SP004061",NA,"Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto","1979",NA,NA,NA,NA,NA,NA,"Isotype"
"35","2019-11-21 09:59:27-03","IBt","SP","178406","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Glassman, SF","13079","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with purple flowers and purple fruits. Spathe dark purple inside","SP055837","SP055837 SP055837_01 SP055837_02","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 09:59:27-03","IBt","SP","178392","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Glassman, SF","13080","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with purple flowers and purple fruits. Spathe dark purple inside","SP055834","SP055834 SP055834_01","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 09:59:27-03","IBt","SP","178394","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Glassman, SF","13083","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with purple flowers and purple fruits. Spathe dark purple inside","SP055832","SP055832 SP055832_01 SP055832_02 SP055832_03","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 09:59:27-03","IBt","SP","178404a","Extra","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Glassman, SF","Glassman, SF","13076","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with purple flowers and purple fruits. Spathe dark purple inside","SP004062",NA,"Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto","1979",NA,NA,NA,NA,NA,NA,"Isotype"
"39","2019-11-21 09:59:27-03","IBt","SP","178405","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"Glassman, SF","13077","1976","08","31",NA,"Brasil","Goiás","3 km. N.E. of Jataí. In pasture and cerrado, about 400 trees seen in area. Common on both sides of road for about 25 km",NA,"Trees up to 4 m. tall. Trees with purple flowers and purple fruits. Spathe dark purple inside","SP055838","SP055838 SP055838_01 SP055838_02 SP055838_03","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 09:59:27-03","IBt","SP","77160","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Noblick, LR","Macedo, A","3321","1951","07","18",NA,"Brasil","Goiás","localidade: Bálsam",NA,"Palmeira campestre de 2 a 4 m. Amarelas","SP055836","SP055836 SP055836_01 SP055836_02 SP055836_03","Jataí","-51.7144012451172","-17.8813991546631",NA,NA,"75073","auto","1992",NA,NA,"05","26",NA,NA,NA
