"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","dayIdentified","typeStatus","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","imagecode","order","preparationType","individualCount","class"
"11","2020-09-02 16:40:46-03","Cenargen","CEN","81016","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","D. J. P. Gonçalves & G. H. Shimizu","2014","07","Aécio Amaral-Santos","3532","2011","09","05",NA,"Brasil","RO","PORTO VELHO","Margem esquerda do rio Mutumparaná.","-64.937222","-9.6152777","-64.937222","-9.6152777","(Det. in dupl. HUEFS). Área de influência direta da UHE Jirau.","CEN00081016",NA,NA,NA,NA,"86","86","CEN00081016",NA,"Exsicatas","8",NA
"12","2020-09-02 16:40:46-03","Cenargen","CEN","82071","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","B. M. T. Walter","2014","08","Marcelo Fragomeni Simon","1578","2012","06","26",NA,"Brasil","RO","PORTO VELHO","1 km E de Jaci Paraná, próximo à ponte.","-64.380833","-9.2541666","-64.380833","-9.2541666","Árvore com 8 m de altura x 10 cm de DAP. Folhagem vistosa. Flores amarelas, frutos imaturos verdes. Frequente na beira do rio.","CEN00082071",NA,NA,NA,NA,"88","88","CEN00082071",NA,"Exsicatas","9",NA
"13","2019-10-07 09:36:09-03","UEFS","HUEFS","199795","PreservedSpecimen","Plantae","Angiospermae","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","D.J.P.Gonçalves & G.H.Shimizu","2014","07","Pereira-Silva, G.","14999","2010","03","18",NA,"Brasil","Rondônia","Jaci Paraná","Estrada de acesso ao porto Prainha ( balsa da mineradora) próximo ao povoado Mutum Paraná.","-64.941944","-9.614722","64W56'31''","9S36'53''","Floresta estacional semidecidual. Solo argiloso.","HUEFS0199795",NA,NA,NA,NA,"100","100","HUEFS0199795","Myrtales",NA,NA,"Rosanae"
"14","2019-10-07 09:36:09-03","UEFS","HUEFS","194434","PreservedSpecimen","Plantae","Angiospermae","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","D.J.P.Gonçalves & G.H.Shimizu","2014","07","Santos, A.A.","3532","2011","09","05",NA,"Brasil","Rondônia","Porto Velho","Margem esquerda do rio Mutumparaná.","-64.937222","-9.615278","64W56'14''","9S36'55''",NA,"HUEFS0194434",NA,NA,NA,NA,"86","86","HUEFS0194434","Myrtales",NA,NA,"Rosanae"
"15","2019-10-07 09:36:09-03","UEFS","HUEFS","199475","PreservedSpecimen","Plantae","Angiospermae","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","D.J.P.Gonçalves & G.H.Shimizu","2014","07","Pereira-Silva, G.","15544","2010","06","28",NA,"Brasil","Rondônia","Porto Velho","Saída leste de Mutum Paraná, margem esquerda do rio Mutum Paraná.","-64.870556","-9.625556","64W52'14''","9S37'32''","Floresta Ombrófila Aberta de terra baixa.","HUEFS0199475",NA,NA,NA,NA,"90","90","HUEFS0199475","Myrtales",NA,NA,"Rosanae"
"16","2020-07-17 08:31:38-03","UEFS","HUEFS","199645","PreservedSpecimen","Plantae","Angiospermae","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","G.H.Shimizu","2014","09","Simon, M.F.","1578","2012","06","26",NA,"Brasil","Rondônia","Porto Velho","1 Km E de Jaci Paraná, próximo a ponte.","-64.380833","-9.254167","64W22'51''","9S15'15''",NA,"HUEFS0199645",NA,NA,NA,NA,"88","88","HUEFS0199645 HUEFS0199645_e1","Myrtales",NA,NA,"Rosanae"
"17","2018-12-04 20:30:47-02","UNIR","RON","4786","S","Plantae","Angiosperma","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Shimizu, GH","2014","09","Santos, AA","3532","2011","09","05","Southern America","Brasil","Rondônia","Porto Velho","Margem esquerda do rio Mutumparaná","-64.937222","-9.615278","-64.937222","-9.615278","Árvore com 6m de altura. fruto verde, maduro marrom. Ambiente antropizado. Relevo plano. Solo com seixos. Área de influência direta da UHE Jirau.","RON00004786",NA,NA,NA,NA,NA,NA,"RON00004786","Myrtales",NA,NA,NA
"18","2018-12-04 20:30:47-02","UNIR","RON","5402","S","Plantae","Angiosperma","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Shimizu, GH","2014","09","Pereira-Silva, G","14999","2010","03","18","Southern America","Brasil","Rondônia","Porto Velho","Estrada de acesso ao porto Prainha (balsa da miner, Floresta estacional semidecidual, relevo plano, solo argiloso.","-64.941944","-9.614722","-64.941944","-9.614722","Árvore com cerca de 12 m de altura. Flor amarela. Área de influência direta (lago). Planta ocasional.","RON00005402",NA,NA,NA,NA,"100","100","RON00005402","Myrtales",NA,NA,NA
"19","2018-12-04 20:30:47-02","UNIR","RON","4369","S","Plantae","Angiosperma","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Shimizu, GH","2014","09","Pereira-Silva, G","15544","2010","06","28","Southern America","Brasil","Rondônia","Porto Velho",NA,"-64.870556","-9.625556","-64.870556","-9.625556","Saída leste de Mutum Paraná, margem esquerda do rio Mutum Paraná. Floresta Ombrófila Aberta de terra baixa. Relevo Plano. Solo argiloso. Frequência Frequente. Frutos imaturos verdes. Árvore com cerca de 8m de altura. Área de influên","RON00004369",NA,NA,NA,NA,NA,NA,"RON00004369","Myrtales",NA,NA,NA
"20","2018-12-04 20:30:47-02","UNIR","RON","6202","S","Plantae","Angiosperma","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Shimizu, GH","2014","09","Simon, MF","1578","2012","06","26","Southern America","Brasil","Rondônia","Porto Velho","1 km E de Jaci Paraná, próximo à ponte., Várzea, relevo plano, solo argilo-pedregoso.","-64.380833","-9.254167","-64.380833","-9.254167","Árvore com 8 m de altura x 10 cm de DAP. Folhagem vistosa. Flores amarelas, frutos imaturos verdes. Frequente na beira do rio.","RON00006202",NA,NA,NA,NA,"88","88","RON00006202","Myrtales",NA,NA,NA
