"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","dayIdentified","sex"
"11","2019-11-21 14:53:10-03","UFJF","CESJ","25156","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","V.A.O. Dittrich","L. Krieger; et al.","CESJ25156","1990","05","22","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional de Caparaó, Cachoeira Bonita.",NA,NA,NA,NA,NA,"Sobre pedra, na face vertical, em pequenos tufos.","CESJ025156","CESJ025156",NA,NA,NA,NA,"2019","11",NA,NA,NA,NA,NA,NA
"12","2020-05-29 18:15:23-03","UFJF","CESJ","26615","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","V.A.O. Dittrich","R.F. Novelino; et al.","s.n.","1988","03","19","América do Sul","Brasil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,NA,NA,NA,"Rupícola junto com musgos.","CESJ026615","CESJ026615 CESJ026615_1",NA,NA,NA,NA,"2019","11",NA,NA,NA,NA,NA,NA
"13","2021-03-16 17:56:46-03","UCS","HUCS","48851","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","A.R. Sm. & R.C. Moran","Gonzatti, F.","Gonzatti, F.","3935","2017","11","13",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó","-41.837111","-20.409917","1360","1360",NA,"Erva rupícola em rochas púmidas junto à cachoeira, à sombra. Entre Tronqueira e Terreirão","HUCS003023","HUCS003023",NA,NA,NA,NA,"2018","11","-41.837111","-20.409917",NA,NA,NA,NA
"14","2020-12-21 16:29:18-03","MBM","MBM","234109","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R. Smith & R.C. Moran","Smith, A.R.","Silva, J.M.; O.S. Ribas, O.S.; Barboza, E.; O.S. Ribas, O.S.; Barboza, E.","2820","1998","12","29","Southern America","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"MBM234109","MBM234109",NA,"37493","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:29:18-03","MBM","MBM","354123","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R. Smith & R.C. Moran","Labiak, P.","Labiak, P.; et al.; et al.","1232","2000","06",NA,"Southern America","Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia. Abrigo Rebouças",NA,NA,"2390","2390",NA,"Rupícola, crescendo na margem do riacho em local sombreado.","MBM354123","MBM354123",NA,NA,NA,NA,"2000","08",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:29:18-03","MBM","MBM","339534","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R. Smith & R.C. Moran","Labiak, P.","Labiak, P.; et al.; et al.","4430","2008","01","10","Southern America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Subida para o Planalto do Itatiaia.","-44.5633010864258","-22.4960994720459","2000","2000",NA,"Rupícola, às margens de riacho. Floresta Atlântica de altitude","MBM339534","MBM339534",NA,"19648","auto",NA,"2008","01",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:29:18-03","MBM","MBM","78590","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R. Smith & R.C. Moran","Smith, A.R.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","45565","1982","10","08","Southern America","Brazil","Rio de Janeiro","Itatiaia","Parque Itatiaia, Abrigo Rebouças","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"MBM078590","MBM078590",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-27 10:37:20-03","MNHN","RECOLNAT_MNHN_P","P00696541","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran",NA,"Brade",NA,"1941","9","24",NA,"Brésil",NA,NA,"Serra do Caparao, M. Gerais, Pico do Cristal",NA,NA,"2600",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00696541' target='other'> <mi>dwc_moreinfo</mi></a>","P00696541","P00696541_01",NA,NA,NA,NA,NA,NA,NA,NA,"17006",NA,NA,NA
"19","2020-09-29 14:53:35-03","UFPR","UPCB","54790","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","Labiak, P.H.","Labiak, P.H.","1232","2000","06",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional do Itatiaia, Abrigo Rebouças.","-44.666667","-22.55","2390","2390",NA,"Rupícola, crescendo na margem do riacho, em local sombreado..","UPCB0007073","UPCB0007073",NA,NA,NA,NA,"2000","08","-44.666667","-22.55",NA,NA,NA,NA
"20","2020-09-29 14:53:35-03","UFPR","UPCB","49606","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","Labiak, P.H.","Labiak, P.H.","1232","2000","06",NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Abrigo Rebouças, 22°23'S 44°40'W","-44.666667","-22.383333",NA,NA,NA,"Rupícola, crescendo na margem do riacho, em local sombreado..","UPCB0007074","UPCB0007074",NA,NA,NA,NA,"2000","08","-44.666667","-22.383333",NA,NA,NA,NA
"21","2020-09-29 14:53:35-03","UFPR","UPCB","67528","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","Labiak, P.H.","Sylvestre, L.S.","1887","2006","12",NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Estrada para o Planalto.","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Rupícola às margens da estrada..","UPCB0007071","UPCB0007071",NA,"19648","auto",NA,"2008","01",NA,NA,NA,NA,NA,NA
"22","2020-09-29 14:53:35-03","UFPR","UPCB","61241","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","Labiak, P.H.","Labiak, P.H.","4430","2008","01","10",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, subida para o Planalto do Itatiaia.","-44.5633010864258","-22.4960994720459","2000","2000",NA,"Rupícola, às margens de riacho. Floresta Atlântica e campos de altitude..","UPCB0007072","UPCB0007072",NA,"19648","auto",NA,"2008","01",NA,NA,NA,NA,NA,NA
"23","2010-09-13 10:06:00-03","MO","MOBOT","3324669","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","A.R. Sm. & R.C. Moran","P.H. Labiak (UPCB)","Alexander C. Brade","Brade 17006","1941","9","24","South America","Brazil","Minas Gerais",NA,"Serra do Caparaó. Pico do Cistal.",NA,NA,"2600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","2010-09-13 10:07:00-03","MO","MOBOT","3324802","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","A.R. Sm. & R.C. Moran","P.H. Labiak (UPCB)","Alexander C. Brade","Brade 14030","1934",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Itatiaia Rio dos Flores.",NA,NA,"2200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2016-01-11 15:42:35-02","F","FMNH-PTERIDOPHYTES","C0653825F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenst.",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"C0653825F","C0653825F_01",NA,NA,NA,"Pteridopsida",NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-01-11 15:43:24-02","F","FMNH-PTERIDOPHYTES","C0653826F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenst.",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"C0653826F","C0653826F_01",NA,NA,NA,"Pteridopsida",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","2291267","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R. Sm. & R.C. Moran",NA,"-- Brade","45867",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,"Serro do Caparao, M. Gerais, Pico do Cristal",NA,NA,"2600",NA,NA,NA,"US01610674","US01610674_01",NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,"1",NA,NA
"28","2020-09-12 05:00:02-03","US","US","1198713","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenst.",NA,"A. C. Brade","6466","1883","6",NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Sierra de Itatiaya.",NA,NA,"2500","2500",NA,NA,"US00066006","US00066006_01","Type collection",NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,"1",NA,NA
"29","2019-01-25 15:36:08-02","IAC","IAC","19218","S","Plantae",NA,NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","L.C. Bernacci","s/col.","s/nº","1967","10","02",NA,"Brasil","Minas Gerais","Caparaó",NA,"-41.9044","-20.5231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002","12","-41.9044","-20.5231",NA,NA,"13",NA
"30","2019-01-25 15:36:08-02","IAC","IAC","19224","S","Plantae",NA,NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","L.C. Bernacci","s/col.","s/nº","1967","10","02",NA,"Brasil","Minas Gerais","Caparaó",NA,"-41.9044","-20.5231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002","12","-41.9044","-20.5231",NA,NA,"13",NA
"31","2021-01-12 15:24:29-03","UFMG","BHCB-SL","135891","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran",NA,"Heringer, G; Machado, TM; Reis, SB","229","2010","03","03","América","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó;, Trilha entre Tronqueira e Terreirao.","-41.821667","-20.416667","2193","2193",NA,"Terrestre; próximo à cachoeira","BHCB02047",NA,NA,NA,NA,NA,NA,NA,"-41.821667","-20.416667",NA,NA,NA,NA
"32","2020-03-04 20:43:25-03","UFMG","BHCB-SL","99516","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","Salino, A","Salino, A; Almeida, TE","10471","2005","05","18","América","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio, Trilha para o Pico do Papagaio a partir da Piscicultura de Truta do Vale do Matutu e Pico do Papagaio. Área com floresta ombrófila densa montana e altomontana e campo de altitude.","-44.64225","-22.042361","1400","2020",NA,"Terrestre embaixo de rocha, local sombreado, no campo de altitude. 1980m de altitude no Pico do Papagaio.",NA,NA,NA,NA,NA,NA,"2007","01","-44.64225","-22.042361",NA,NA,NA,NA
"33","2019-11-21 10:17:19-03","IBt","SP","21930","S","Plantae",NA,NA,"Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenst.","Prado, J","Tamandaré, F; Brade, AC","6466","1913","06",NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","2400","2400",NA,NA,"SP003831","SP003831","Isotype","19648","auto",NA,"2017",NA,NA,NA,NA,NA,NA,NA
"34","2010-12-03 16:47:12-02","GH","HU-HERB","GH 00021903","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenstock",NA,"A. C. Brade & F. Tamandaré","6466",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serro do Itatiaia, auf Felsen im Bachbett des Ribeirao das Flores, um 2200 m",NA,NA,"2200",NA,"Sheet",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,"6466",NA,NA,"undetermined"
