"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","886053","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","A. Salino","6480","2001","04","11","South America","Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo de Curutucu, em afluente do rio Capivari.","-46.7367","-23.9961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886053","NY00886053_01","800","800","A. Vasco; R. C. Moran","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1010207","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","A. Salino","5399","2000","04","24","South America","Brazil","São Paulo","Mun. Mogi das Cruzes, limite con Salesópolis, Estrada Usaka, Represa Casa Grande da SABESP","-45.9594","-23.6547","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102950' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010207","NY01010207_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1487594","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","W. Rodriguez","8127","2013","12","22","South America","Colombia","Putumayo","Municipal de Orito, resguardo indígena Cañaveral Miraflores, finca Alto Bonito La Esperanza.","-76.82033","0.75108","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2438622' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487594","NY01487594_01","445",NA,"W. Rodriguez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1010187","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","T. W. Henkel","1287","1993","02","11","South America","Guyana",NA,"Region Potaro-Siparuni, Pakaraima Mts, Mt. Wokomung, Suruwabaru Creek, 2-3 km upstream from juncture with Yuarka River","-59.9","5.05","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102663' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010187","NY01010187_01","675","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1010181","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","M. Kessler","7525","1996","08","22","South America","Bolivia","Cochabamba","Prov. José Carrasco Torrico, km 143 antigua carretera Cochabamba-Villa Tunari","-65.57","-17.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010181","NY01010181_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1010199","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","M. Aulestia","2000","1994","03","20","South America","Ecuador","Napo","Aguarico, Reserva Etnica Huaorani, carretera y oleoducto de Maxus en construcción km 92-96, al norte del Río Yasuní","-76.15","-0.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102720' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010199","NY01010199_01","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","02057964","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","M. S. Jaimes-Roncancio","91","2013","05","02","South America","Colombia","Antioquia","Vereda Cruces, escuela la Esperanza, orilla izquierda del río Calles, Parque Nacional Natural Las Orquídeas. Bosque perturbado al lado de la escuela.","-76.3161","6.4722","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2164770' target='other'> <mi>dwc_moreinfo</mi></a>","NY02057964","NY02057964_01","959","970","R. C. Moran","Urrao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","3824526","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","F. Mellado N.","2529","2005","01","14","South America","Peru","Pasco","Dist. Villa Rica, Centro poblado: Palma (Centro Bocaz). Camino a Alto Atarraz.","-75.1931","-10.6547","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4106070' target='other'> <mi>dwc_moreinfo</mi></a>","NY03824526",NA,"1515",NA,NA,"Oxapampa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3824525","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","L. Cayola","4637","2012","09","27","South America","Bolivia","La Paz","Región Madidi, Santo Domingo, arroyo Tintaya","-68.5831","-14.7864","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4106069' target='other'> <mi>dwc_moreinfo</mi></a>","NY03824525","NY03824525_01","1439",NA,NA,"Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1010180","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","M. Kessler","9773","1997","06","06","South America","Bolivia","La Paz","Prov. J. Bautista Saavedra M., Pauji-Yuyo, entre Apolo y Charansani","-68.48","-15.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103117' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010180","NY01010180_01","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1010169","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","R. Liesner","18597","1985","03","12","South America","Venezuela","Amazonas","Depto. Atabapo, below Salto Los Monos on tributary of headwaters of Río Iguapo","-65.38","3.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010169","NY01010169_01","1500","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","840486","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","A. Salino","9260","2003","10","10","South America","Brazil","Minas Gerais","Distrito de Talismã, fazenda Duas Barras, próximo a divisa com o estado da Bahia.","-40.05761","-16.40458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00840486","NY00840486_01","750","850","A. Vasco; R. C. Moran","Santa Maria do Salto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1010185","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","F. Miranda","170","2004","05","13","South America","Bolivia","La Paz","Prov. Bautista Saavedra, Área Natural de Manejo Integrado Apolobamba, Mayrapata","-68.4917","-15.09","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010185","NY01010185_01","1470","1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1010260","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","R. C. Moran","7627","2005","03","03","South America","Ecuador","Morona-Santiago","ca. 7 km. N of Limón","-78.4008","-2.9117","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104817' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010260","NY01010260_01","960","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1010170","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","R. Liesner","23561","1988","04","21","South America","Venezuela","Bolívar","Gran Sabana, ca. 10 km SW of Karaurin Tepui at junction of Río Karaurin and Río Asadon (Río Sanpa)","-61.05","5.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103228' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010170","NY01010170_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1010175","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","H. Tuomisto","7749","1995","01","22","South America","Peru","Loreto","Prov. Maynas, Explorama/ACEER reserve, 5-15 km E of the mouth of Quebrada Sucusari at lower Napo","-72.83","-3.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103060' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010175","NY01010175_01","100","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1010255","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","I. Jiménez","2220","2004","04","06","South America","Bolivia","La Paz","Prov. Caranavi, Serranía de Bella Vista","-67.48","-15.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102746' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010255","NY01010255_01","1180","1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1010205","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","R. Liesner","17646","1985","02","17","South America","Venezuela","Amazonas","Depto. Atabapo, Cerrro de Marahuaca, Río Yameduaka arriba","-65.47","3.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010205","NY01010205_01","1225","1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","698565","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","Collector unknown","97-362","2002",NA,NA,"South America","Brazil",NA,"Cultivated at Seby Botanical Garden",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1732364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00698565","NY00698565_01",NA,NA,"A. Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1010173","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","B. Maguire","33543","1952","03","23","South America","Venezuela","Bolívar","Ilu-tepui, Gran Sabana",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103245' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010173","NY01010173_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1010203","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","G. S. Jenman","s.n.","1905","03","13","South America","Guyana",NA,"Potaro River","-58.9","5.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103333' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010203","NY01010203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1010172","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","B. Maguire","28489","1949","01","21","South America","Venezuela","Amazonas","Cerro Sipapo (Paráque), slopes above Caño Grande","-67","4.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010172","NY01010172_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1010259","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","R. C. Moran","7491","2005","02","18","South America","Ecuador","Pastaza","Near Canelos","-77.83","-1.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010259","NY01010259_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1010186","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","M. Kessler","11325","1997","08","24","South America","Bolivia","La Paz","Prov. Caranavi, serrania Bella Vista, 37 km de Caranavi hacia Sapecho","-67.48","-15.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010186","NY01010186_01 NY01010186_02","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1010178","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","M. Kessler","7842","1996","08","27","South America","Bolivia","Cochabamba","Prov. José Carrasco Torrico, km 143 antigua carretera Cochabamba-Villa Tunari","-65.57","-17.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103062' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010178","NY01010178_01 NY01010178_02","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1010210","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","R. E. Schultes","15285","1952","02","07","South America","Colombia","Vaupés","Río Pacoa, tributary of the Río Apaporis","-71.33","0.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103179' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010210","NY01010210_01 NY01010210_02","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","720581","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","A. Salino","9453","2004","03","07","South America","Brazil","Minas Gerais","Distrito de Talismã, Fazenda Duas Barras.","-40.04928","-16.41389","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2518019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720581","NY00720581_01","820",NA,NA,"Santa Maria do Salto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1010174","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","D. N. Smith","5133","1983","09","22","South America","Peru","Junín","Prov. Satipo, Gran Pajonal, trail to Pajonal Panquerete, S of Chequitavo","-74.38","-10.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102930' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010174","NY01010174_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","720578","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","A. Salino","8621","2003","04","19","South America","Brazil","São Paulo","Parque Estadual Intervales, trilha saindo 500 m antes da sede da Base de Barra Grande em direção à Estação Ecológica de Xituê.","-48.3633","-24.3075","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2518008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720578","NY00720578_01","790","790",NA,"Iporanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1010257","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","I. Jiménez","2256","2004","04","07","South America","Bolivia","La Paz","Prov. Caranavi, Serranía de Bella Vista","-67.48","-15.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102748' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010257","NY01010257_01","1570","1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","720368","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","J. Prado","2015","2008","12","10","South America","Brazil","São Paulo","Estação Biológica de Boracéia, margem do Rio Guaratuba","-45.88","-23.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720368","NY00720368_01","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
