"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","dayIdentified"
"11","2020-12-21 16:36:57-03","MBM","MBM","212017","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Landrum, L.R.","Mattos, J.","14736","1966","12","17","Southern America","Brazil","São Paulo","Campos do Jordão","Reserva Florestal","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"MBM212017","MBM212017",NA,NA,"21048","auto",NA,NA,NA,NA
"12","2020-12-21 16:36:57-03","MBM","MBM","66304","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Landrum, L.R.","Landrum, L.R.","2830","1977","12","05","Southern America","Brazil","São Paulo","Campos do Jordão","Reserva Florestal de Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"MBM066304","MBM066304",NA,NA,"21048","auto",NA,NA,NA,NA
"13","2020-12-21 16:36:57-03","MBM","MBM","66020","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Landrum, L.R.","Landrum, L.R.","2822","1977","12","05","Southern America","Brazil","São Paulo","Campos do Jordão","Reserva Florestal de Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"MBM066020","MBM066020",NA,NA,"21048","auto",NA,NA,NA,NA
"14","2019-11-01 15:28:29-03","PUC-RIO","FCAB","7155","PreservedSpecimen","Plantae",NA,"Angiospermae","Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","D. Legrand; Kausel","P. Capell S.J.","1368","1952","12","15",NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,"Nossa floresta, plantio de três a quatro mestros.","007155",NA,NA,NA,"21048","auto",NA,NA,NA,NA
"15","2020-12-11 11:39:19-03","UFMG","BHCB","198165","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel",NA,"Meireles, LD; Belinello, R","341","2001","06","28","Southern America","Brasil","Minas Gerais","Camanducaia","Monte Verde, Afloreamento da Pedra do Selado","-46.1446990966797","-22.7553005218506",NA,NA,NA,"Arbusto, 1,8m. Flores brancas","BHCB198165",NA,NA,NA,"22140","auto",NA,NA,NA,NA
"16","2019-06-10 10:11:15-03","FZB-BH","BHZB","8374","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata",NA,"Sobral, M.","Rezende, S.G et al.","3727","2009","07","28",NA,"Brasil","MG","Mariana","Mina Samarco - Norte de Alegria 1 e 6","-43.514722","-20.154722","1180","1180",NA,"Doação Sete Soluções. BHCB 138472. Sobre minério de ferro. Coord: 20° 9' 17 S; 43° 30' 53W. Alt: 1180 a 1250 m. Outros coletores: Mendes, M.S.",NA,NA,NA,NA,NA,NA,"43W 30' 53","20S 9' 17",NA,NA
"17","2019-11-13 11:26:54-03","USP","SPF","160895","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Sobral, M","Stehmann, JR","2988","2001","09","20",NA,"Brasil","Minas Gerais","Camanducaia",NA,"-46.1446990966797","-22.7553005218506",NA,NA,NA,NA,"SPF00160895",NA,"2004",NA,"22140","auto",NA,NA,NA,NA
"18","2019-11-13 11:26:54-03","USP","SPF","121379","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Landrum, LR","Mattos, J","14736","1966","12","17",NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"SPF00121379",NA,"1977",NA,"21048","auto",NA,NA,NA,NA
"19","2015-03-07 09:00:02-03","F","FMNH-SEEDPLANTS","V0105834F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0105834F","V0105834F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"20","2020-11-04 17:30:01-03","UEM","HUEM","6725","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Sobral, M","Barreto, KD; Fernandes, GD; Vitti, FX","s.n.","1993","09","21",NA,"Brasil","São Paulo","Campos do Jordão","Horto Florestal, Mata de altitude; borda de mata","-45.45625","-22.725694",NA,NA,NA,"Arvoreta; ca. 2,5m de alt.; sádia; tronco liso; sem látex; flor ausente; frutos imaturo de col. verde.","HUEM000008861","HUEM000008861","2009","08",NA,NA,"-45.45625","-22.725694",NA,"01"
"21","2019-10-03 10:04:16-03","UFSCar","SORO","4523","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata",NA,NA,"Amaral Jr, A.; Bicudo, L.R.H.; Rodrigues Jr., C.E.; Barbosa, A.V.G.",NA,"1996","02","13",NA,"Brasil","São Paulo","Campos de Jordão","São José dos Alpes +/- 1700 - 1900 m.s.m.",NA,NA,NA,NA,NA,"Mata de altitude, bordas e interior. Arbusto, heliofita, flores brancas, folhas com o verso mais claro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-03 10:04:16-03","UFSCar","SORO","4524","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata",NA,NA,"Amaral Jr, A.; Bicudo, L.R.H.; Rodrigues Jr., C.E.; Barbosa, A.V.G.",NA,"1996","02","13",NA,"Brasil","São Paulo","Campos de Jordão","São José dos Alpes +/- 1700 - 1900 m.s.m.",NA,NA,NA,NA,NA,"Mata de altitude, bordas e interior. Arbusto, capítulos com flores brancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:11:54-03","IBt","SP","158042","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Sobral, M","Landrum, LR","2830","1977","12","05",NA,"Brasil","São Paulo","Campos do Jordão","Reserva Florstal de Campos de Jordão. Forst of Araucaria, Podocarpus and Myrtaceae. Along road and stream about 1-2km past administratiom and nursery into the Reserva.","-45.5","-22.75","1600","1600",NA,"Shrub 2m tall, growing on the edge of wet campo.","SP057465","SP057465","1991",NA,NA,NA,"-45.5","-22.75",NA,NA
"24","2019-11-21 10:11:54-03","IBt","SP","158044","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Landrum, LR","Landrum, LR","2822","1977","12","05",NA,"Brasil","São Paulo","Campos do Jordão","Reserva Florstal de Campos de Jordão. Forst of Araucaria, Podocarpus and Myrtaceae. Along road and stream about 1-2km past administratiom and nursery into the Reserva.","-45.5","-22.75","1600","1600",NA,"Shrub 2m tall, growing on the edge of wet campo.","SP057466","SP057466","1981",NA,NA,NA,"-45.5","-22.75",NA,NA
"25","2019-11-21 10:11:54-03","IBt","SP","158059","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Kawasaki, ML","Landrum, LR","2821","1977","12","05",NA,"Brasil","São Paulo","Campos do Jordão","Reserva Florstal de Campos de Jordão. Forst of Araucaria, Podocarpus and Myrtaceae. Along road and stream about 1-2km past administratiom and nursery into the Reserva.","-45.5","-22.75","1600","1600",NA,"Shrub 2m tall, growing on the edge of wet campo.","SP057464","SP057464",NA,NA,NA,NA,"-45.5","-22.75",NA,NA
"26","2019-11-21 10:11:54-03","IBt","SP","339078","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Kawasaki, ML","Hashimoto, G","16913","1938","01","16",NA,"Brasil","São Paulo","Campos do Jordão","Abernéssia.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"SP057467","SP057467","2000",NA,"21048","auto",NA,NA,NA,NA
"27","2019-11-21 10:11:54-03","IBt","SP","118462","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Landrum, LR","Mattos, J; Mattos, N","14736","1966","12","17",NA,"Brasil","São Paulo","Campos do Jordão","Fazenda da Guarda, reserva Florestal.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"No bordo da mata. Arbusto ca. 2m alt.","SP057463","SP057463","1977","10","21048","auto",NA,NA,NA,"30"
