"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","recordNumber","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","662216","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","L. B. Smith; P. A. Young",NA,NA,NA,"R. M. Klein","1976","01","09","Brazil","Santa Catarina",NA,"Sítio Ondina Bento Cardoso, Jacinto Machado",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662216","NY00662216_01","20","20","Magnoliophyta","Poales","11443","South America","sheet",NA,NA,NA,NA,NA,NA
"12","2016-09-27 03:08:00-03","NY","NYBG","662217","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"J. R. Swallen",NA,NA,NA,"G. Dawson","1939","01","28","Argentina","Buenos Aires",NA,"Playa Municipal (cerca de La Plata)",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662217",NA,NA,NA,"Magnoliophyta","Poales","351","South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","662212","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"W. Hoehne","1948","12","30","Brazil","São Paulo","Sao Paulo","Sao Paulo, SP. Prox. a Interlagos","-46.702004","-23.702324",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662212","NY00662212_01",NA,NA,"Magnoliophyta","Poales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","662214","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","A. S. Hitchcock",NA,NA,NA,"C. Junqueira","1934","02","02","Brazil","São Paulo",NA,"Pres. Wenceslau",NA,NA,NA,NA,"Posto Zootecnico de S. Paulo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662214","NY00662214_01",NA,NA,"Magnoliophyta","Poales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","662211","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","G. Davidse",NA,NA,NA,"Collector info in notes","1996","03","18","Brazil","Bahia","Ilhéus","Fazenda Menina da Serra. Regiao do Cururupe","-39.0492","-14.7892",NA,NA,"Col.: Seçao de Pecuária. Amostras recebidas atarvés da Saçao de Pecuária, CEPLAC/CEEPEC <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662211","NY00662211_01",NA,NA,"Magnoliophyta","Poales","2","South America","sheet",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","662215","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","J. R. Swallen",NA,NA,NA,"R. Reitz","1953","03","12","Brazil","Santa Catarina",NA,"Campo do Massiambú, Palhoça","-48.62515","-27.834087",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662215","NY00662215_01","3","3","Magnoliophyta","Poales","379","South America","sheet",NA,NA,NA,NA,NA,NA
"17","2020-11-24 17:10:58-03","UTFPR","DVPR","1158","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Mayer, LRR","2013","06","04","Duarte, E","2012","01","24","Brasil","Paraná","São Jorge d' Oeste","Salto do Chopim.","-53.041","-25.3683","-53.041","-25.3683","Plântula.; Chuva de sementes. Ecótono entre Floresta Estacional Semidecidual e Floresta Ombrófila Mista.","DVPR001158","DVPR001158",NA,NA,"Magnoliophyta",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:53:52-03","EAO","IAN","65845","PreservedSpecimen","Plantae","Poaceae","Panicum","nitidum","Panicum nitidum","Lam.",NA,NA,NA,NA,"Hitchcock, AS","1926","12","14","Cuba",NA,NA,"Sul de Guaro. Oriente.",NA,NA,NA,NA,NA,"IAN065845",NA,NA,NA,"Monocotiledônea",NA,"23715","Southern America",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:53:52-03","EAO","IAN","56081","PreservedSpecimen","Plantae","Poaceae","Panicum","nitidum","Panicum nitidum","Lam.",NA,NA,NA,NA,"Silveus, WA","1940","06","05","Estados Unidos","Florida",NA,"Along ditch east of Palatka, Fla.",NA,NA,NA,NA,NA,"IAN056081",NA,NA,NA,"Monocotiledônea",NA,"5808",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:53:52-03","EAO","IAN","66186","PreservedSpecimen","Plantae","Poaceae","Panicum","nitidum","Panicum nitidum glabrum","Lam.","Kuhlmann, M",NA,NA,NA,"Diogo, C",NA,NA,NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,"IAN066186",NA,NA,NA,"Monocotiledônea",NA,"599","Southern America",NA,"glabrum","36524","auto",NA,NA,NA
"21","2021-03-30 12:53:55-03","EAO","IAN","114888","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Barker, AJD","1952","07","27","Libéria",NA,NA,"Sinkar, roadside.",NA,NA,NA,NA,NA,"IAN114888",NA,NA,NA,"Monocotiledônea",NA,"1378","Africa",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:53:55-03","EAO","IAN","112611","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Meyer, W","1954","05","01","Central Java",NA,NA,NA,NA,NA,NA,NA,NA,"IAN112611",NA,NA,NA,"Monocotiledônea",NA,"2775",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:53:55-03","EAO","IAN","112664","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Bogdan, A","1956","03","04","Kenia",NA,NA,"Cultibvated at the K.G.R.S. (No K Originally from S. Africa).",NA,NA,NA,NA,NA,"IAN112664",NA,NA,NA,"Monocotiledônea",NA,"4144",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:53:55-03","EAO","IAN","114931","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Robinson, EA","1954","05","20","Northern Rhodesia",NA,NA,"29m N of Choma. Riverside sand.",NA,NA,NA,NA,"Grass creeping in shallow sand and then rising to height of 12-24m. Anthers yellow, st-pls, purple.","IAN114931",NA,"3800","3800","Monocotiledônea",NA,"772",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:53:55-03","EAO","IAN","116812","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Beliz, M","1961","06","02","Portugal",NA,NA,"Alto Alentejo: Entre Monforte e Veiros: Herdalo de Leão; nas margens da albufeira.",NA,NA,NA,NA,NA,"IAN116812",NA,NA,NA,"Monocotiledônea",NA,"2054","Europe",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:53:55-03","EAO","IAN","116913","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Beliz, M; Guerra, JA","1961","06","13","Portugal",NA,NA,"Algarve. Faro: Entre a cidade e a praia.",NA,NA,NA,NA,NA,"IAN116913",NA,NA,NA,"Monocotiledônea",NA,"5104","Europe",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:53:55-03","EAO","IAN","38845","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Miranda, VC de","1903","01",NA,"Brasil","Pará",NA,"Ilha do Marajó; perto de cerezinho; em Dunas. (Herb. Museu Goeldi 3238).",NA,NA,NA,NA,NA,"IAN038845","IAN038845 IAN038845_e",NA,NA,"Monocotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:53:55-03","EAO","IAN","43693","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Hitchcock, AS","1916","08","17","Estados Unidos","Hawaii",NA,"Hilo: Open ground along street.",NA,NA,NA,NA,NA,"IAN043693",NA,NA,NA,"Monocotiledônea",NA,"14145",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:53:55-03","EAO","IAN","44851","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Black, GA","1938","01",NA,"Estados Unidos","Califórnia","Berkeley","Lote experimental da Universidade.",NA,NA,NA,NA,NA,"IAN044851",NA,NA,NA,"Monocotiledônea",NA,"4183",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:53:55-03","EAO","IAN","56772","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Zuloaga, FO","1988","12",NA,"Black, GA; Engelhard, F","1950","02","19","Brasil","Pará",NA,"Rio Paracauarí; Fazenda Vitoria; campo inundado.",NA,NA,NA,NA,NA,"IAN056772",NA,NA,NA,"Monocotiledônea",NA,"8976 ½","Southern America",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:53:55-03","EAO","IAN","67838","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Jansen, P",NA,NA,NA,"Coert, JH","1930","05","04","East Java",NA,NA,NA,NA,NA,NA,NA,NA,"IAN067838",NA,NA,NA,"Monocotiledônea",NA,"832",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:53:55-03","EAO","IAN","69242","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A","2002","11",NA,"Black, GA; Mariano","1951","02","25","Brasil","Rio de Janeiro",NA,"Universidade Rural; km 47.",NA,NA,NA,NA,"Forma grande touceira, baixa.","IAN069242",NA,NA,NA,"Monocotiledônea",NA,"11409","Southern America",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:53:55-03","EAO","IAN","69242","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A","2002","11",NA,"Black, GA; Mariano","1951","02","25","Brasil","Rio de Janeiro",NA,"Universidade Rural; km 47.",NA,NA,NA,NA,"Forma grande touceira, baixa.","IAN069242",NA,NA,NA,"Monocotiledônea",NA,"11409","Southern America",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:53:55-03","EAO","IAN","95399","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A","2002","11",NA,"Black, GA","1956","11","29","Brasil","Pará","Belém","IAN.","-48.5043983459473","-1.4558299779892",NA,NA,"Capim cobrindo bem o chão, cultivado no graminetum canteiro H-9.","IAN095399",NA,NA,NA,"Monocotiledônea",NA,"18910","Southern America",NA,NA,"48462","auto",NA,NA,NA
"35","2021-03-30 12:53:55-03","EAO","IAN","95399","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A","2002","11",NA,"Black, GA","1956","11","29","Brasil","Pará","Belém","IAN.","-48.5043983459473","-1.4558299779892",NA,NA,"Capim cobrindo bem o chão, cultivado no graminetum canteiro H-9.","IAN095399",NA,NA,NA,"Monocotiledônea",NA,"18910","Southern America",NA,NA,"48462","auto",NA,NA,NA
"36","2021-03-30 12:53:55-03","EAO","IAN","96613","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A","2002","11",NA,"Andrade, J","1954",NA,NA,"Brasil","Pará","Belém","IAN, cultivado no graminetum, canteiro H-9.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN096613",NA,NA,NA,"Monocotiledônea",NA,"83","Southern America",NA,NA,"48462","auto",NA,NA,NA
"37","2021-03-30 12:53:55-03","EAO","IAN","96613","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A","2002","11",NA,"Andrade, J","1954",NA,NA,"Brasil","Pará","Belém","IAN, cultivado no graminetum, canteiro H-9.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN096613",NA,NA,NA,"Monocotiledônea",NA,"83","Southern America",NA,NA,"48462","auto",NA,NA,NA
"38","2021-03-30 12:53:55-03","EAO","IAN","65660","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Swallen, JR",NA,NA,NA,"Camisio, O; Padre",NA,NA,NA,"Brasil","Rio Grande do Sul","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738",NA,NA,NA,"IAN065660",NA,NA,NA,"Monocotiledônea",NA,"14","Southern America",NA,NA,"29946","auto",NA,NA,NA
"39","2021-03-30 12:53:55-03","EAO","IAN","37327","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Santoro, J",NA,NA,NA,"Santoro, J","1946","07","10","Brasil","São Paulo","Campinas","Campo Experimental Instituto.","-47.060001373291","-22.8999996185303",NA,NA,"Herbáceo.","IAN037327",NA,NA,NA,"Monocotiledônea",NA,"8117","Southern America",NA,NA,"23900","auto",NA,NA,NA
"40","2020-02-08 10:19:04-03","NBC","NL-BOTANY","L.3877750","PreservedSpecimen","Plantae","Gramineae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Rua GH; Gróttola MC; Frank LG","1996","03","17","Brazil",NA,NA,"Estado Mato Grosso, ruta Transpantaneira km 19.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3877750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3877750","NL-L3877750",NA,NA,NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"41","2020-02-08 10:19:04-03","NBC","NL-BOTANY","U.1500967","PreservedSpecimen","Plantae","Gramineae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1966","12","29","Brazil",NA,NA,"Brasiliae Australis, Est. Rio Grande do Sul, N. of Osorio, 100 km E.N.E. of Porto Alegre.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500967 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500967","NL-U1500967",NA,NA,NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"42","2020-02-08 10:19:04-03","NBC","NL-BOTANY","U.1500968","PreservedSpecimen","Plantae","Gramineae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Reitz R","1946","02","06","Brazil",NA,NA,"Santa Catarina, Sombrio, Campo.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500968","NL-U1500968",NA,NA,NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"43","2020-02-08 10:19:04-03","NBC","NL-BOTANY","U.1501713","PreservedSpecimen","Plantae","Gramineae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Schultes RE; Cabrera I","1952","02","14","Colombia",NA,NA,"Amazonas-Vaupes, Río Apaporis, Soutama.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501713","NL-U1501713",NA,NA,NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"44","2020-11-04 12:18:45-03","ESALQ","ESA","1448","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A.",NA,NA,NA,"Santoro, J.","1946","07","10","Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,"ESA001448","ESA001448",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA
"45","2020-11-04 12:18:45-03","ESALQ","ESA","17539","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","referido em Longhi-Wagner (2001)",NA,NA,NA,"Zandoval, J.A.","1995","03","25","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,"ESA017539","ESA017539",NA,NA,"Magnoliophyta",NA,"105.0",NA,NA,NA,"44778","auto",NA,NA,NA
"46","2020-11-04 12:15:56-03","ESALQ","ESA","116104","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Rodrigues, M.E.F.",NA,NA,NA,"Rodrigues, M.E.F.","2008","12","01","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA116104","ESA116104",NA,NA,NA,NA,"528.0",NA,NA,NA,"53584","auto",NA,NA,NA
"47","2020-11-04 12:15:56-03","ESALQ","ESA","116101","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Rodrigues, M.E.F.",NA,NA,NA,"Rodrigues, M.E.F.","2008","08","01","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA116101","ESA116101",NA,NA,NA,NA,"382.0",NA,NA,NA,"53584","auto",NA,NA,NA
"48","2020-11-04 12:18:45-03","ESALQ","ESA","1447","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Guglieri, A.",NA,NA,NA,"Bittencourt, H.","1944","12","02","Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,"ESA001447","ESA001447",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA
"49","2020-11-04 12:15:56-03","ESALQ","ESA","116106","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Macedo, C.L.",NA,NA,NA,"Macedo, C.C.L.","2009","03","01","Brasil","São Paulo","Mairiporã",NA,"-46.5800018310547","-23.3099994659424",NA,NA,NA,"ESA116106","ESA116106",NA,NA,NA,NA,"104.0",NA,NA,NA,"15840","auto",NA,NA,NA
"50","2020-11-04 12:18:45-03","ESALQ","ESA","108783","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Rodrigues, M.E.F.",NA,NA,NA,"Rodrigues, M.E.F.","2008","12","03","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA108783","ESA108783",NA,NA,"Magnoliophyta",NA,"481.0",NA,NA,NA,"53584","auto",NA,NA,NA
"51","2020-11-04 12:18:45-03","ESALQ","ESA","108769","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Rodrigues, M.E.F.",NA,NA,NA,"Rodrigues, M.E.F.","2007","01","30","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA108769","ESA108769",NA,NA,"Magnoliophyta",NA,"98.0",NA,NA,NA,"53584","auto",NA,NA,NA
"52","2020-11-04 12:15:56-03","ESALQ","ESA","116100","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Rodrigues, M.E.F.",NA,NA,NA,"Rodrigues, M.E.F.","2009","07","01","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA116100","ESA116100",NA,NA,NA,NA,"555.0",NA,NA,NA,"53584","auto",NA,NA,NA
"53","2020-11-04 12:18:45-03","ESALQ","ESA","108780","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Rodrigues, M.E.F.",NA,NA,NA,"Rodrigues, M.E.F.","2008","08","06","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA108780","ESA108780_1 ESA108780_2",NA,NA,"Magnoliophyta",NA,"389.0",NA,NA,NA,"53584","auto",NA,NA,NA
"54","2020-11-04 12:15:56-03","ESALQ","ESA","116102","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens",NA,"Rodrigues, M.E.F.",NA,NA,NA,"Rodrigues, M.E.F.","2008","03","01","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA116102","ESA116102",NA,NA,NA,NA,"511.0",NA,NA,NA,"53584","auto",NA,NA,NA
"55","2021-03-12 01:36:11-03","UFPI","TEPB","3910","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Carlos Benedini","1982","03","08","Brasil","São Paulo","Pitangueiras","Fazenda são Vicente, Vázea do Rio Mogi-Guaçu","-48.2200012207031","-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21470","auto",NA,NA,NA
"56","2020-11-19 10:24:54-03","CPAP","CPAP","196","PreserverdSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"Pott, A.","1980","04","29","Brasil","MS","Corumbá","Fazenda Nhumirim; Sub-região da Nhecolândia; Pantanal","-56.65","-18.983333","56°39' W","18°59' S","Erva rizomatosa; colmos eretos. INTERESSE: Forrageira. AMBIENTE: Beira de lagoa temporaria. SUBSTRATO: solo arenoso (Podzol Hidromórfico). RELEVO: plano. <ll>dwc_commonname:</ll> Grama-castelo",NA,NA,"90","90",NA,NA,"1030",NA,NA,NA,NA,NA,NA,NA,NA
