"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"60","2020-09-25 10:43:02-03","UFPE","UFP","41314","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Ness) Kunth","Silva, LP","?; Carvalho, EM","s.n.","2004","10","19",NA,"Brasil","São Paulo","Itatinga",NA,"-48.6100006103516","-23.1000003814697",NA,"Margem do Ribeirão da Quinta.","UFP041314",NA,NA,NA,NA,NA,NA,NA,"28219","auto",NA,NA,NA,NA,NA,NA
"61","2021-03-01 11:55:33-03","UFPE","UFP","10636","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Ness) Kunth","Silva, LP","Vanzela, ALL","36","1994","05","15",NA,"Brasil","Paraná","Londrina",NA,"-51.1627998352051","-23.3103008270264",NA,NA,"UFP010636",NA,NA,"2016","05",NA,NA,"10","63728","auto",NA,NA,NA,NA,NA,NA
"62","2020-09-25 10:43:02-03","UFPE","UFP","42303","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Ness) Kunth","Silva, LP","Muniz, CFL","303","1981","03","11",NA,"Brasil","São Paulo","Teodoro Sampaio",NA,"-52.1599998474121","-22.5300006866455",NA,"Em brejo próximo ao Rio Estreito.","UFP042303",NA,NA,NA,NA,NA,NA,NA,"54606","auto",NA,NA,NA,NA,NA,NA
"63","2021-03-01 11:55:33-03","UFPE","UFP","10643","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Ness) Kunth","Silva, LP","Vanzela, ALL","29","1994","06","20",NA,"Brasil","São Paulo","Tupã",NA,"-50.5099983215332","-21.9300003051758",NA,NA,"UFP010643",NA,NA,"2016","05",NA,NA,"10","21791","auto",NA,NA,NA,NA,NA,NA
"64","2020-09-12 05:00:02-03","US","US","3232442","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama",NA,"T. M. Koyama, M. Koyama & E. de Lima","13748","1970","2","22","South America","Brazil","Paraná",NA,"Road near Paranaven on river Bank.",NA,NA,NA,NA,"US00385869","US00385869_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1"
"65","2020-10-15 09:53:48-03","UFPR","EFC","11616","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Kozera, C.","Borgo, M.; Bornschein, M.R.; Reinert, B.L.","571","2000","02","08",NA,"Brasil","Paraná","Matinhos","Balneário Flórida","-48.5428009033203","-25.8174991607666",NA,"Herbácea cespitosa com inflorescência castanha, em canal de drenagem no brejo intercordão. (UPCB 42176)","EFC011616",NA,NA,"2000","04",NA,NA,"01","15275","auto",NA,NA,NA,NA,NA,NA
"66","2020-10-15 09:53:48-03","UFPR","EFC","11617","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Kozera, C.","Borgo, M.; Silva, S.M.; Bornschein, M.R.","673","2000","02","12",NA,"Brasil","São Paulo","Ilha Comprida","Mar de Dentro","-47.5400009155273","-24.7399997711182",NA,"Herbácea de inflorescência esverdeada, em área alterada próximo ao manguezal. (UPCB 42177)","EFC011617",NA,NA,"2000","04",NA,NA,"01","49747","auto",NA,NA,NA,NA,NA,NA
"67","2014-04-04 18:27:05-03","PNFM","IRAI","1592","S","Plantae","Magnoliophyta",NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama","Cordeiro, J.; Lozano, E.D.","Ristow, R.","340A","2009","12","14",NA,"Brasil","Paraná","Pinhais","Área 1, próximo ao Palco Paraná, Parque Newton Freire Maia, Jardim Boa Vista","-49.119861","-25.380194",NA,"Gramínea, 25 cm, campo limpo úmido","IRAI00001592",NA,NA,"2010","01","-49.119861","-25.380194","01",NA,NA,NA,NA,NA,NA,NA,NA
"68","2021-03-25 13:52:02-03","UNIVILLE","JOI","17310","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama","Funez, L.A","Funez, L. A.","5129","2015","11","16",NA,"Brasil","Santa Catarina","Ilhota","Próximo à ponte na BR - 470","-48.837778","-26.880833",NA,"Habito: Erva","JOI017310",NA,NA,"1905","07","48º50'16''W","26º52'51''S","07",NA,NA,NA,NA,NA,"7","7",NA
"69","2021-03-25 13:52:02-03","UNIVILLE","JOI","14755","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama","J.C.F. Melo Jr.","Melo-Júnior, J.C.F.","1270",NA,NA,NA,NA,"Brasil","Santa Catarina","São Francisco do Sul","Tapera.","-48.6380996704102","-26.2432994842529",NA,"Data de coleta: Julho/2014; HABITAT: Ambiente degradado em antigo aterro sanitário; HABITO: erva","JOI014755",NA,NA,NA,NA,NA,NA,NA,"23627","auto",NA,NA,NA,NA,NA,NA
"70","2021-03-25 13:52:02-03","UNIVILLE","JOI","2285","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyama",NA,"J. Ziffer Berger","464","2006","10","19",NA,"Brasil","Santa Catarina","São Francisco do Sul","Vila da Glória.","-48.6380996704102","-26.2432994842529",NA,"; HABITAT: solo arenoso, paludoso; HABITO: erva","JOI002285",NA,NA,NA,NA,NA,NA,NA,"23627","auto",NA,NA,NA,NA,NA,NA
"71","2019-01-23 11:33:16-02","F","FMNH-SEEDPLANTS","V0093614F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens",NA,NA,"T. M. Koyama & M. Koyama","13748","1970","2","22","South America","Brazil","Paraná",NA,"By road near Paranaven",NA,NA,NA,NA,"V0093614F","V0093614F_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA
"72","2021-03-01 12:13:37-03","UEM","HUEM","26111","S","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","In Flora do Brasil","C.E.B.Fernandes; Rosado; M.M.Pulzatto; R.B.Pacifico; S.Rodrigues","239","2013","05","21",NA,"Brasil","Paraná","Porto Rico","rio Paraná, Ilha Bandeira, próximo a margem da ilha, banco de areia.","-53.367778","-22.793056",NA,"Herbácea aproximadamente 30,0cm de altura. Espiguetas coloração marrom.","HUEM000029444",NA,NA,"2020","11","-53.367778","-22.793056","26",NA,NA,NA,NA,NA,"230","230",NA
"73","2021-03-10 11:38:32-03","UNILA","EVB","880","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Trevisan, R.","Buttura, E.","434","1980","02","11",NA,"Brasil","Paraná","Foz do Iguaçu","Rod. BR-277. km 1.","-54.573611","-25.500278",NA,NA,"EVB000880","EVB000880",NA,"2018","12","54º34'25''W","25º30'1''S","12",NA,NA,NA,NA,NA,NA,NA,NA
"74","2021-03-10 11:38:32-03","UNILA","EVB","4177","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Neyra, M.O.C.; Neves, S.M.; Souza, T.; Pott, V. J.","Mano, G.B.","178","2019","07","09",NA,"Brasil","Paraná","Foz do Iguaçu",NA,"-54.510556","-25.586111",NA,NA,"EVB004177",NA,NA,"2019","11","54º30'38''W","25º35'10''S","08",NA,NA,NA,NA,NA,NA,NA,NA
