"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount"
"11","2020-12-21 16:18:03-03","MBM","MBM","347145","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Barboza, E.","Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.","7068","2008","11","14","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484","1828","1828",NA,"Arbusto, 2m, flor amarelada. Orla da matinha nebular","MBM347145","MBM347145",NA,NA,NA,"30102","auto","2010",NA,NA,NA
"12","2020-12-21 16:18:03-03","MBM","MBM","267126","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Hatschbach, G.","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","72626","2001","11","11","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, Cavalgada","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"MBM267126","MBM267126",NA,NA,NA,"30102","auto",NA,NA,NA,NA
"13","2020-12-11 11:33:50-03","UFMG","BHCB","76320","PreservedSpecimen","Plantae","Dicotyledon",NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","N.F.Mattos",NA,"Hatschbach, G","72626","2002","11","11","Southern America","Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30102","auto",NA,NA,NA,NA
"14","2021-02-11 17:18:15-03","UFPR","UPCB","31991","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Falkenberg, D.B.","Falkenberg, D.B.","6297","1993","10","16",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Arbusto, 2m, pétala amarela. Beira de capoeira, área de matinha nebular desmatada..",NA,NA,NA,NA,NA,"30102","auto","1993","01","01",NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","3415507","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","G. Hatschbach","Gert G. Hatschbach","Hatschbach 78198","2004",NA,NA,"South America","Brazil","Santa Catarina",NA,"Morro da Igreja, proximo ao alto (Mun. Urubici)",NA,NA,"1650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-07-30 14:35:00-03","MO","MOBOT","3467489","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","C. Ulloa","Gert G. Hatschbach","Hatschbach 45559","1982","10","8","South America","Brazil","Rio de Janeiro",NA,"Curitiba: Parque Itatiaia, abrigo Reboucas",NA,NA,"2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","2020-09-12 05:00:02-03","US","US","1954649","PreservedSpecimen","Plantae",NA,"Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"R. Reitz","s.n.","1948","12","18","South America","Brazil","Santa Catarina",NA,"Campo dos Padres.",NA,NA,"2200",NA,NA,NA,"US01119937","US01119937_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"18","2020-09-12 05:00:02-03","US","US","1954617","PreservedSpecimen","Plantae",NA,"Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"R. Reitz","s.n.","1948","12","16","South America","Brazil","Santa Catarina",NA,"Campo dos Padres.",NA,NA,"2000",NA,NA,NA,"US01119934","US01119934_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","2250961","PreservedSpecimen","Plantae",NA,"Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"L. B. Smith, R. Reitz & R. M. Klein",NA,"1956","11","17","South America","Brazil","Santa Catarina",NA,"Bom Retiro Municipality. Dwarf forest, Fazenda Campos dos Padres, Campo dos Padres.",NA,NA,"1650",NA,NA,NA,"US01119936","US01119936_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"20","2020-09-12 05:00:02-03","US","US","2323421","PreservedSpecimen","Plantae",NA,"Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"R. Reitz & R. M. Klein",NA,"1958","9","18","South America","Brazil","Santa Catarina",NA,"Serra de Cratérie, Bom Jardin, S. Joaquim.",NA,NA,"1500",NA,NA,NA,"US01119935","US01119935_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"21","2019-10-07 09:23:40-03","UEFS","HUEFS","115968","PreservedSpecimen","Plantae","Angiospermae","Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"Hatschbach, G.","78198","2004","10","18",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja, próximo ao alto.","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"HUEFS0115968","HUEFS0115968","Ranunculanae",NA,NA,"30102","auto",NA,NA,NA,NA
"22","2020-08-20 15:00:15-03","UFSC","FLOR","58816","PreservedSpecimen","Plantae",NA,"Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","P. Fiaschi","Fiaschi, P.; Wagner, M.A.","4319","2014","09","20",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Parque Nacional de São Joaquim, Estrada de acesso ao Morro da Igreja, pouco além do Km 13. Trilha do Rio Pelotas.","-49.500278","-28.133611","1614","1614",NA,"Arbusto comum em orla de mata, ca. 2 m alt. Botões verde-claros, flores amarelas","FLOR0058816","FLOR0058816",NA,"49º30'1''W","28º8'1''S",NA,NA,"2014","09",NA,NA
"23","2021-03-04 15:45:51-03","IF","SPSF","35374","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii",NA,NA,"G. Hatschbach","78198","2004","10","17","América do Sul","Brasil","SC","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484","1650","1650",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: campo de altitude, margem de córrego&nf;;",NA,NA,"Magnoliopsida",NA,NA,"30102","auto",NA,NA,NA,NA
"24","2021-02-08 12:38:47-03","UFRGS","ICN","123155","S","Plantae","Dicotyledon",NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"Sobral, M; Pinheiro, M; Miotto, STS","8990",NA,NA,NA,"América do Sul","Brasil","RS","São José dos Ausentes",NA,"-50.0657997131348","-28.7483005523682","850","850",NA,"Espécie ameaçada de extinção (Em perigo).; Arbusto 1-1,5m de altura, em beira de estrada; frutos maduros azul-escuros.; Região de campos rupestres entremeados com mata nebular ou matas de araucária.",NA,NA,NA,NA,NA,"42598","auto",NA,NA,NA,NA
"25","2021-02-08 12:38:47-03","UFRGS","ICN","103431","S","Plantae","Dicotyledon",NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Falkenberg, DB","Falkenberg, DB","5659","1992","03","14","América do Sul","Brasil","SC","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Arbusto; 2-3m altura. Estéril.; Interior de mata nebular.",NA,NA,NA,NA,NA,"30102","auto",NA,NA,NA,NA
"26","2021-02-08 12:38:47-03","UFRGS","ICN","157242","S","Plantae","Dicotyledon",NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Falkenberg, DB","Falkenberg, DB","6297","1993","10","16","América do Sul","Brasil","SC","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484","1750","1750",NA,"Doação do Herbário FLOR; arbusto, 2m, pétalas amarelas; beira de capoeira, em área de matinha nebular desmatada",NA,NA,NA,NA,NA,"30102","auto",NA,NA,NA,NA
"27","2019-11-21 10:01:54-03","IBt","SP","382601","S","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Hatschbach, G","Hatschbach, G; Cervi, AC; Barbosa, E","78198","2004","10","17",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja, próximo ao alto","-49.5917015075684","-28.0149993896484","1650","1650",NA,NA,NA,NA,NA,NA,NA,"30102","auto","2004",NA,NA,NA
