"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"11","2021-03-31 13:41:18-03","MN","R","35546","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","Brade, A.C.","Dusén, P.K.H.","3004","1903","12","27",NA,"Brasil","Paraná","Piraí do Sul",NA,"-49.948600769043","-24.5261001586914",NA,NA,NA,NA,NA,NA,NA,NA,NA,"37171","auto",NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:41:18-03","MN","R","222300","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","Pabst, G.F.J.","Smith, L.B.; Klein, R.M.","11078","1957","02","08",NA,"Brasil","Santa Catarina","Curitibanos",NA,"-50.584400177002","-27.2828006744385","850","850",NA,NA,NA,NA,NA,NA,NA,"25987","auto","1978","01","25",NA,NA,NA
"13","2021-03-31 13:41:18-03","MN","R","222302","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","Pabst, G.F.J.","Smith, L.B.; Reitz, R.","9978","1957","01","14",NA,"Brasil","Santa Catarina","Lajes",NA,"-50.326099395752","-27.8160991668701","900","900",NA,NA,NA,NA,NA,NA,NA,"70701","auto","1978","01","25",NA,NA,NA
"14","2021-03-31 13:41:18-03","MN","R","13840","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","Hoehne, F.C.","Hoehne, F.C.","974","1917","11","28",NA,"Brasil","São Paulo","São Paulo","Butantã","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Seção de Botânica do Museu Paulista",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"15","2019-08-27 13:26:39-03","IAP","PACA-AGP","50822","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","F.C. Hoehne","Hatschbach, G.","1662","1949","12","17",NA,"Brasil","PR","Piraquara","Quatro Barras","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Flor cor amarelo-milho.&nf;Confirmada por C. R. Buzatto em 04.2014. Habitat: In palude Fenofase: flor","PACA050822",NA,NA,NA,"Liliatae","12577","auto","1954","09","04",NA,NA,NA
"16","2019-08-27 13:26:39-03","IAP","PACA-AGP","1911","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","Emrich-Rambo","J. Dutra",NA,"1935","02","05",NA,"Brasil","RS","Bom Jesus","Caraúno","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Confirmada por C. R. Buzatto em 04.2014. Habitat: In paludosis Fenofase: flor","PACA001911",NA,NA,NA,"Liliatae","55856","auto","1954","09","04",NA,NA,NA
"17","2019-08-27 13:26:39-03","IAP","PACA-AGP","34839","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","Emrich-Rambo","Rambo, B.",NA,"1948","01","05",NA,"Brasil","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555",NA,NA,NA,"Confirmada por C. R. Buzatto em 04.2014. Habitat: In paludosis alte dumetosis Fenofase: flor","PACA034839",NA,NA,NA,"Liliatae","63451","auto","1954","09","04",NA,NA,NA
"18","2019-11-21 14:41:11-03","UFJF","CESJ","15149","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","C.R. Buzzatto","L. Krieger","CESJ15149","1950","01","09","América do Sul","Brasil","Minas Gerais","Bonsucesso",NA,NA,NA,NA,NA,NA,"no brejo. Flores amarelas.","CESJ015149",NA,NA,NA,NA,NA,NA,"2014","03",NA,NA,NA,NA
"19","2019-08-20 10:01:02-03","UNICAMP","UEC","31291","S","Plantae","Liliopsida",NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","Batista, JAN","Garcia, WBG","13931","1979",NA,NA,NA,"Brazil","Mato Grosso do Sul","Amambai","Arredores da tribo Caiuá","-55.320619","-23.118472",NA,NA,NA,NA,"UEC027096","UEC027096","-55.320619","-23.118472",NA,NA,NA,"2000","07","02",NA,NA,NA
"20","2021-03-01 16:20:19-03","UNICAMP","UEC","175388","S","Plantae","Liliopsida",NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","Cruz-Lustre, G","Barbosa, TDM; Carmo, JAM; Scatigna, AV","1554","2012","11","03",NA,"Brazil","Mato Grosso do Sul","Rio Verde","Estrada para o Morro do Padre.","-54.663111","-18.814194","329","329",NA,"Erva, flores amarelas.; Beira de estrada, solo encharcado.","UEC023786","UEC023786","-54.663111","-18.814194",NA,NA,NA,"2015","05","22",NA,NA,NA
"21","2019-08-20 10:01:02-03","UNICAMP","UEC","98566","S","Plantae","Liliopsida",NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","Pansarin, ER","Marcondes-Ferreira, W; Belinello, R; Semir, J; Dutilh, JHA; Nakajima, JN; Hind, DJN","1559","1997","11","06",NA,"Brazil","São Paulo","Pedregulho","Estreito, Em brejo.","-47.4700012207031","-20.25",NA,NA,NA,"Flores amarelo citrino muito perfumadas.","UEC027094","UEC027094",NA,NA,NA,"27552","auto","2000","11",NA,NA,NA,NA
"22","2019-08-20 10:01:02-03","UNICAMP","UEC","139242","S","Plantae","Liliopsida",NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","Singer, RB","Singer, RB","97/198","1997","12","12",NA,"Brazil","São Paulo","Pedregulho","Estreito, Pedregulho","-47.4700012207031","-20.25",NA,NA,NA,NA,"UEC027093","UEC027093",NA,NA,NA,"27552","auto",NA,NA,NA,NA,NA,NA
"23","2019-11-06 09:56:54-03","UFOP","OUPR","13870","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Alves, R.J.V.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Cachoeira do Campo","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto","1988","05","27",NA,NA,NA
"24","2020-12-21 16:38:51-03","MBM","MBM","12509","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Rodr.","Ravenna, P.","Hatschbach, G.","23091","1969","12","04","Southern America","Brazil","Paraná","Guarapuava","Porto Agropecuário","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"MBM012509","MBM012509",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:38:51-03","MBM","MBM","63998","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Rodr.","Barros, F. de","Oliveira, P.I.","189","1979","12","20","Southern America","Brazil","Paraná","Lapa","Volta Grande","-49.7158012390137","-25.7696990966797",NA,NA,NA,NA,"MBM063998","MBM063998",NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:38:51-03","MBM","MBM","16601","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Rodr.","Hatschbach, G.","Hatschbach, G.","25976","1971","01","18","Southern America","Brazil","Paraná","Mandirituba","Rio do Maurício","-49.326099395752","-25.7789001464844",NA,NA,NA,NA,"MBM016601","MBM016601",NA,NA,NA,"20385","auto",NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:38:51-03","MBM","MBM","50081","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Rodr.","Hoehne, F.C.","Hatschbach, G.","1662","1949","12","17","Southern America","Brazil","Paraná","Piraquara","Quatro Barras","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"MBM050081","MBM050081",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:38:51-03","MBM","MBM","8435","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Rodr.","Pabst, G.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","20514","1965","12","06","Southern America","Brazil","Paraná","Guarapuava","Rio Campo Real","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"MBM008435","MBM008435",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA
"29","2016-12-02 11:09:16-02","MNHN","RECOLNAT_MNHN_P","P00345791","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Correa","Glaziou, A.",NA,"1893","12","23",NA,"Brésil",NA,NA,"Cachaeira do campo, dans le Biejo",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345791' target='other'> <mi>dwc_moreinfo</mi></a>","P00345791","P00345791_01",NA,NA,NA,NA,NA,NA,NA,NA,"20508",NA,NA
"30","2015-09-03 19:27:36-03","MNHN","RECOLNAT_MNHN_P","P00345792","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.",NA,"Regnell, A.F.",NA,"1964","12","3",NA,"Brésil",NA,NA,"Caldas",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345792' target='other'> <mi>dwc_moreinfo</mi></a>","P00345792","P00345792_01 P00345792_02",NA,NA,NA,NA,NA,NA,NA,NA,"III 1199",NA,NA
"31","2015-09-03 19:27:36-03","MNHN","RECOLNAT_MNHN_P","P00345793","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Correa","Weddell, H.A.",NA,"1844",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345793' target='other'> <mi>dwc_moreinfo</mi></a>","P00345793","P00345793_01",NA,NA,NA,NA,NA,NA,NA,NA,"1160",NA,NA
"32","2015-09-03 19:27:36-03","MNHN","RECOLNAT_MNHN_P","P00345794","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Pabst","Claussen, P.",NA,"1843",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345794' target='other'> <mi>dwc_moreinfo</mi></a>","P00345794","P00345794_01",NA,NA,NA,NA,NA,NA,NA,NA,"152",NA,NA
"33","2015-09-03 19:27:36-03","MNHN","RECOLNAT_MNHN_P","P00345795","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Correa","Glaziou, A.",NA,"1894","12","26",NA,"Brésil",NA,NA,"Quituti, près de Formoza dans le bourbier",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345795' target='other'> <mi>dwc_moreinfo</mi></a>","P00345795","P00345795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-09-03 19:54:54-03","MNHN","RECOLNAT_MNHN_P","P00345797","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.",NA,"s.c.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,"hb","Donné par sa fille, Mme Simart, 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345797' target='other'> <mi>dwc_moreinfo</mi></a>","P00345797","P00345797_01",NA,NA,NA,NA,NA,NA,NA,NA,"15662",NA,NA
"35","2015-09-03 19:27:36-03","MNHN","RECOLNAT_MNHN_P","P00345798","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Correa","Hassler, E.",NA,NA,NA,NA,NA,"Paraguay",NA,NA,"Igatimí",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345798' target='other'> <mi>dwc_moreinfo</mi></a>","P00345798","P00345798_01",NA,NA,NA,NA,NA,NA,NA,NA,"4836",NA,NA
"36","2015-09-03 19:28:02-03","MNHN","RECOLNAT_MNHN_P","P00345799","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Correa","Hassler, E.",NA,NA,NA,NA,NA,"Paraguay",NA,NA,"Igatimí",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345799' target='other'> <mi>dwc_moreinfo</mi></a>","P00345799","P00345799_01",NA,NA,NA,NA,NA,NA,NA,NA,"4836",NA,NA
"37","2015-09-15 13:15:31-03","MNHN","RECOLNAT_MNHN_P","P00345801","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Correa","Balansa, B.",NA,"1874","11",NA,NA,"Paraguay",NA,NA,"Caaguazu, dans les marais",NA,NA,NA,NA,"hb","Reçu le 29 novembre 1877 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345801' target='other'> <mi>dwc_moreinfo</mi></a>","P00345801","P00345801_01",NA,NA,NA,NA,NA,NA,NA,NA,"645",NA,NA
"38","2015-09-03 19:54:32-03","MNHN","RECOLNAT_MNHN_P","P00345802","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Correa","Balansa, B.",NA,"1874","11",NA,NA,"Paraguay",NA,NA,"Caaguazu, dans les marais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345802' target='other'> <mi>dwc_moreinfo</mi></a>","P00345802","P00345802_01 P00345802_02",NA,NA,NA,NA,NA,NA,NA,NA,"645",NA,NA
"39","2016-12-02 11:08:25-02","MNHN","RECOLNAT_MNHN_P","P00345790","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Spiranthes","uliginosa","Spiranthes uliginosa","Barb.Rodr.",NA,"Glaziou, A.",NA,"1893","12","23",NA,"Brésil",NA,NA,"Cachaeira do campo, dans le Biejo",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345790' target='other'> <mi>dwc_moreinfo</mi></a>","P00345790","P00345790_01",NA,NA,NA,NA,NA,NA,NA,NA,"20508",NA,NA
"40","2015-09-03 19:32:20-03","MNHN","RECOLNAT_MNHN_P","P00345796","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Spiranthes","uliginosa","Spiranthes uliginosa","Barb.Rodr.",NA,"Glaziou, A.",NA,"1984","11","4",NA,"Brésil",NA,NA,"Goyaz. Rio da Gama, marécages",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345796' target='other'> <mi>dwc_moreinfo</mi></a>","P00345796","P00345796_01",NA,NA,NA,NA,NA,NA,NA,NA,"22166",NA,NA
"41","2015-09-03 19:28:02-03","MNHN","RECOLNAT_MNHN_P","P00345800","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Spiranthes","uliginosa","Spiranthes uliginosa","Barb.Rodr.",NA,"Hassler, E.",NA,NA,NA,NA,NA,"Paraguay",NA,NA,"Sierra de Amambay",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345800' target='other'> <mi>dwc_moreinfo</mi></a>","P00345800","P00345800_01",NA,NA,NA,NA,NA,NA,NA,NA,"11982",NA,NA
"42","2020-10-01 14:26:08-03","JBB","HEPH","6843","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Batista, JAN","Salles, AEH","257","1985","10","13","Southern America","Brasil","Distrito Federal","Brasília","Estrada do Plano Piloto - Guará atrás do Setor de Indústria","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto","1991","05","24",NA,NA,NA
"43","2020-10-01 14:26:08-03","JBB","HEPH","3736","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.","Meneguzzo, TEC","Maury, CM","465","1983","12","19","Southern America","Brasil","Distrito Federal","Brasília","Parque Nacional de Brasília, Córrego do Acampamento, prox. ao Regimento de Cavalaria e Guarda","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Pouco frequente",NA,NA,NA,NA,NA,"70570","auto","2009","12","20",NA,NA,NA
"44","2020-12-11 11:44:52-03","UFMG","BHCB","176","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb.Rodr.",NA,"Schwacke, CAW","s.n.","1904",NA,NA,"Southern America","Brasil","Minas Gerais",NA,"Cachoeira do Campo",NA,NA,NA,NA,NA,NA,"BHCB001520","BHCB001520",NA,NA,NA,NA,NA,"1995","10",NA,NA,NA,NA
"45","2013-12-03 14:54:00-02","MO","MOBOT","2475867","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb. Rodr.) Barb. Rodr.","G. Pabst, 28 Apr","Balduino Rambo","Rambo 34839","1947","1","10","South America","Brazil","Mato Grosso do Sul",NA,"Fazenda Bern. Velho, Bom Jesus. In paludosis.",NA,NA,"0E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"46","2009-08-23 08:49:00-03","MO","MOBOT","2475928","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb. Rodr.) Barb. Rodr.",NA,"Lyman B. Smith|Roberto M. Klein","Smith 11078",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2009-08-21 07:03:00-03","MO","MOBOT","2514097","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb. Rodr.) Barb. Rodr.",NA,"Émile Hassler","Hassler 10695",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2013-12-03 14:55:00-02","MO","MOBOT","2843653","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb. Rodr.) Barb. Rodr.","G. Pabst","Howard S. Irwin|Thomas R. Soderstrom","Irwin 7644","1964","10","31","South America","Brazil","Goiás",NA,"Serra do Caiapó. Boggy depression in campo, ca 40 km S of Caiaponia on road to Jataí.","-51.7833333","-17.2","800.00000000","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"49","2009-07-17 07:39:00-03","MO","MOBOT","2843714","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb. Rodr.) Barb. Rodr.","C.H. Dodson","Émile Hassler","Hassler s.n.",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
