"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","infraspecificEpithet","continentOcean","preparationType","occurrenceRemarks","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","relatedCatalogItem","dayIdentified","relationshipType","fieldNumber","individualCount","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","493661","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","R. P. Belém","639","1965","04","01","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau; CEPLAC, CEPEC","-39.2273659","-14.771874",NA,NA,NA,NA,"NY00493661",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742067' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","306166","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","M. H. Nee","48754","1998","03","21","Bolivia","Santa Cruz","Cordillera","Along new highway from Santa Cruz to Ibapó, 7.5 km S of Basilio.","-63.18","-18.18",NA,NA,"525","525","NY00306166",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534818' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","762109","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","M. H. Nee","50048","1998","07","11","Bolivia","Santa Cruz","Manuel María Caballero","Along highway from Comarapa to Samaipata, 6 km (by road) SE of Abra de Quiñe, 13 km (by road) NW of Mataral.","-64.3","-18.12",NA,NA,"1675","1675","NY00762109",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534814' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","493665","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","J. S. Blanchet","768","1831",NA,NA,"Brazil","Bahia",NA,"Circa Bahia",NA,NA,NA,NA,NA,NA,"NY00493665",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742072' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","493670","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata maximilianii","(Mart. ex Moq.) Sohmer","S. H. Sohmer","G. Klug","3782","1934","10",NA,"Peru","San Martín","Huallaga","Juan Jui, Alto Rí Huallaga","-76.730683","-7.179499",NA,NA,"400","400","NY00493670",NA,"Magnoliophyta","Caryophyllales","maximilianii","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668140' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00837892","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. G. da Silva","M. G. da Silva","4815","1979","06","07","Brazil","Mato Grosso","Juína","Aripuanã, Projeto Juina. Linha cinco (5).","-59.35","-10.2",NA,NA,NA,NA,"NY00837892",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930583' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","493656","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","L. B. Smith","R. Reitz","16628","1963","12","30","Brazil","Santa Catarina","Chapecó","Seminário Diocesano de Chapecó","-52.6181","-27.0967",NA,NA,"450","450","NY00493656",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534825' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00837890","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","P. M. Andrade","234","1984","05","26","Brazil","Minas Gerais","Caratinga","Fazenda Montes Claros.","-42.1392","-19.7897",NA,NA,NA,NA,"NY00837890",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930580' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","493666","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","G. G. Hatschbach","15993","1967","02","15","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7156","-25.7697",NA,NA,NA,NA,"NY00493666",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742073' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","493654","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","T. M. Pedersen","T. M. Pedersen","13700","1984","02","27","Brazil","Santa Catarina","Itapiranga","Popí","-53.7119","-27.1694",NA,NA,NA,NA,"NY00493654",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534820' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","305991","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","M. H. Nee","48811","1998","03","28","Bolivia","Santa Cruz","Andrés Ibáñez","0.6 km E of highway from Santa Cruz to Abapó, on dirt road to Cañaveral II.","-63.18","-18.15",NA,NA,"475","475","NY00305991",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534816' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","493673","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata maximilianii","(Mart. ex Moq.) Sohmer",NA,"B. D. Sucre","1481","1967","05","11","Brazil","Rio de Janeiro","Rio de Janeiro","Matas do Pae Ricardo","-43.2075","-22.9031",NA,NA,NA,NA,"NY00493673",NA,"Magnoliophyta","Caryophyllales","maximilianii","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668141' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00837891","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","P. M. Andrade","618","1985","01","19","Brazil","Minas Gerais","Caratinga","Est. Biol. de Caratinga. Matão","-42.1392","-19.7897",NA,NA,NA,NA,"NY00837891",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930581' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","493658","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","Á. L. Cabrera","34021","1983","06","17","Argentina","Jujuy",NA,"Depto. Ledesma. Camino a Los Cafetales",NA,NA,NA,NA,NA,NA,"NY00493658",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534811' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","493650","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.",NA,"T. M. Pedersen","15761","1991","03","23","Brazil","Rio Grande do Sul","Giruá","Near Giruá","-54.3494","-28.0283",NA,NA,NA,NA,"NY00493650",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534829' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","885059","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","L. Senna","P. T. Sano","s.n.","1994","02","24","Brazil","Bahia","Piata","Estrada Piatã - Inúbia, a ca. 25 km NW da Piatã.","-41.9233","-13.0719",NA,NA,"1370","1370","NY00885059",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971254' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","493808","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.",NA,"J. E. Leite","717","1941","12",NA,"Brazil","Rio Grande do Sul",NA,"São Salvador",NA,NA,NA,NA,NA,NA,"NY00493808",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534827' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00837894","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","J. R. Stehmann","s.n.","1991","07","06","Brazil","Minas Gerais",NA,"Tiradentes. Trilha para o alto da Serra de São Jose.","-44.15","-21.0872",NA,NA,NA,NA,"NY00837894",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930587' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","306064","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","M. H. Nee","48293","1998","02","13","Bolivia","Santa Cruz","Andrés Ibáñez","Just above floodplain of Río Piraí, along dirt road, the turnoff at 3 km WSW of bridge over Río Piraí on highway from Santa Cruz to Samaipata, former subtropical semideciduous forest.","-63.47","-18.13",NA,NA,"580","580","NY00306064",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534817' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00837893","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","J. J. Wurdack","D. C. Daly","D273","1980","09","25","Brazil","Maranhão","Bacabal","Fazenda Sâo Francisco, 11 km N of Km 337 of Br 316","-44.93","-4",NA,NA,NA,NA,"NY00837893","NY00837893_01","Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930584' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","493651","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","C. Kozera","C. Kozera","397","1996","11","29","Brazil","Paraná","Curitiba","Parque Barigui","-49.22","-25.37",NA,NA,NA,NA,"NY00493651",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534822' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","230280","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","M. H. Nee","M. H. Nee","47830","1998","01","07","Bolivia","Santa Cruz","Andrés Ibáñez","2.8 km SE of turnoff from Santa Cruz to Puerto Pailas highway, 15 km (by air) E of Cotoca.","-62.87","-17.72",NA,NA,"320","320","NY00230280",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534815' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","493657","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","L. Y. T. Westra","J. C. Lindeman","4698","1967","03","07","Brazil","Paraná","Guarapuava","Campo near Rio Reserva, ca. 85 km S.W. of Guarapuava","-52.0758963","-25.9309469",NA,NA,"800","1050","NY00493657",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534823' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","493660","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","C. E. O. Kuntze","s.n.","1992","12",NA,"Brazil","Rio de Janeiro","Itatiaia",NA,"-44.5631","-22.4961",NA,NA,"1200","1200","NY00493660",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742068' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-29 18:15:00-03","NY","NYBG","493668","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","P. Jorgensen","3733",NA,NA,NA,"Paraguay","Guairá",NA,"Villarrica",NA,NA,NA,NA,NA,NA,"NY00493668",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742074' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","493663","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","L. B. Smith","14049","1964","12","16","Brazil","Santa Catarina","Chapecó","Seminário Diocesiano, west of Chapecó","-52.62","-27.1",NA,NA,"350","450","NY00493663",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742071' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02796054","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","L. Senna","J. G. Jardim","47","1993","02","22","Brazil","Bahia","Morro do Chapéu","Ca. de 10 km, no Morrao do Chapéu, ao SW da cidade","-41.1558","-11.5503",NA,NA,"1150","1150","NY02796054","NY02796054_01","Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=165965' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","493667","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","L. B. Smith","9635","1956","12","30","Brazil","Santa Catarina","Dionísio Cerqueira","Tracotinga, 20 km west of Rio Capetinga on the road to Dionísio Cerqueira","-53.6394","-26.255",NA,NA,"900","1000","NY00493667",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742069' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01095529","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.",NA,"A. M. Amorim","4129","2004","06","13","Brazil","Bahia","Jussari","RPPN Serra do Teimoso. Rodovia Jussari/Palmira. Entrada ca. 7,5 km de Jussari","-39.5311","-15.1544",NA,NA,"641","641","NY01095529",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391582' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","493674","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata maximilianii","(Mart. ex Moq.) Sohmer","C. C. Townsend","S. A. Mori","11572","1979","03","15","Brazil","Bahia","Caatiba","Rodovia BA-265, trecho Caatiba/Barra do Choça, a 6 km a W de Caatiba","-40.4506382","-14.9907814",NA,NA,"1000","1000","NY00493674",NA,"Magnoliophyta","Caryophyllales","maximilianii","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668137' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-09-29 17:01:00-03","NY","NYBG","493671","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata maximilianii","(Mart. ex Moq.) Sohmer","S. H. Sohmer","M. Lillo","3853","1905","01","07","Argentina","Salta",NA,"Rosario de la Frontera",NA,NA,NA,NA,NA,NA,"NY00493671",NA,"Magnoliophyta","Caryophyllales","maximilianii","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668139' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","493672","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata maximilianii","(Mart. ex Moq.) Sohmer","S. H. Sohmer","G. G. Hatschbach","21577","1969","05","20","Brazil","Paraná","Jussara","Orto Florestal","-52.4692","-23.6217",NA,NA,NA,NA,"NY00493672",NA,"Magnoliophyta","Caryophyllales","maximilianii","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668138' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","493669","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata maximilianii","(Mart. ex Moq.) Sohmer","S. H. Sohmer","G. G. Hatschbach","14292","1966","04","29","Brazil","Paraná","Cianorte","Fda. Lagoa","-52.6047","-23.6633",NA,NA,NA,NA,"NY00493669",NA,"Magnoliophyta","Caryophyllales","maximilianii","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668142' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
