"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","verbatimLongitude","verbatimLatitude"
"13","2012-08-14 12:46:00-03","MO","MOBOT","100508643","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Anders F. Regnell","Regnell III 923","1885",NA,NA,"South America","Brazil","São Paulo",NA,"Inter São Simão et Casa Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA
"14","2019-12-19 11:19:13-03","UFG","UFG","45070","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","516","2008","09","06",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045070","UFG0045070",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48480.8333","-17013.1667"
"15","2019-12-19 11:19:13-03","UFG","UFG","45054","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","71","2008","05","02",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045054","UFG0045054",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48473.5","-17006.5"
"16","2019-12-19 11:19:13-03","UFG","UFG","45055","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","93","2008","05","02",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045055","UFG0045055",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48473.5","-17006.5"
"17","2019-12-19 11:19:13-03","UFG","UFG","45056","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","125","2008","05","02",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045056","UFG0045056",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48480.8333","-17013.1667"
"18","2019-12-19 11:19:13-03","UFG","UFG","45063","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","207","2008","06","01",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045063","UFG0045063",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48480.8333","-17013.1667"
"19","2019-12-19 11:19:13-03","UFG","UFG","45065","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","329","2008","07","05",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045065","UFG0045065",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48473.5","-17006.5"
"20","2019-12-19 11:19:13-03","UFG","UFG","45067","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","437","2008","09","06",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045067","UFG0045067",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48473.5","-17006.5"
"21","2019-12-19 11:19:13-03","UFG","UFG","45084","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","1404","2009","04","15",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045084","UFG0045084",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48480.8333","-17013.1667"
"22","2019-12-19 11:19:13-03","UFG","UFG","45088","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Resende, I.L.M.","1458","2009","04","15",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.9533004760742","-16.9727993011475",NA,NA,"UFG0045088","UFG0045088",NA,NA,NA,"Resende, I.L.M.","39117","auto","2010","01","15",NA,NA,NA,"-48473.5","-17006.5"
"23","2020-09-12 05:00:02-03","US","US","1440370","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B. Pastore","Riedel, -- & -- Lund","2225","1934","6",NA,"South America - Neotropics","Brazil","São Paulo",NA,"Brasiliae, inter Araracuara et Franca.",NA,NA,NA,NA,"US02887798","US02887798_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","2020-09-12 05:00:02-03","US","US","2927481","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B. Pastore","E. P. Heringer, T. S. Figueiras, F. R. Mendonca, B. A. S. Pereira & et al.","4863","1980","5","22","South America - Neotropics","Brazil","Distrito Federal",NA,"Bacia do Rio São Bartolomeu.",NA,NA,NA,NA,"US02887800","US02887800_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2020-09-12 05:00:02-03","US","US","1573833","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B. Pastore","L. Riedel","2225","1834","5",NA,"South America","Brazil","São Paulo",NA,"In camp Araracoara.",NA,NA,NA,NA,"US02887799","US02887799_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2020-09-12 05:00:02-03","US","US","3180430","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B. Pastore","M. A. Silva, F. R. Mendonca, T. S. Filgueiras & M. Pereira Neto","582","1988","4","25","South America - Neotropics","Brazil","Distrito Federal",NA,"Reserva Ecológica do IBGE.","-47.8764","-15.9597",NA,NA,"US02887801","US02887801_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"27","2020-09-12 05:00:02-03","US","US","201056","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","A. F. Regnell","III 923","1855","7","18","South America - Neotropics","Brazil","São Paulo",NA,"Casa Branca.",NA,NA,NA,NA,"US00121932","US00121932_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"Isotype","1",NA,NA
"28","2019-10-07 09:16:02-03","UEFS","HUEFS","184552","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B.Pastore","Pastore, J.F.B.","3373","2011","09","25",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Rodovia entre Teresina de Goiás e Alto Paraíso, próximo a entrada para a cachoeira dos Cristais.","-47.5099983215332","-14.1324996948242",NA,"Campo sujo, área recém queimada","HUEFS0184552","HUEFS0184552",NA,NA,"Asteranae","R.M.Harley","44724","auto","2014","10",NA,NA,NA,NA,NA,NA
"29","2019-10-07 09:16:21-03","UEFS","HUEFS","61371","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Souza, V.C.","11998","1996","07","06",NA,"Brasil","Minas Gerais","Diamantina","9 km de Diamantina em direção a Curvelo.","-43.6002998352051","-18.2493991851807",NA,"Campo rupestre.","HUEFS0061371","HUEFS0061371",NA,NA,"Asteranae","R.M.Harley","101169","auto","2003","08",NA,NA,NA,NA,NA,NA
"30","2019-10-07 09:16:21-03","UEFS","HUEFS","138141","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Amaral, A.G.","823","2007","02","24",NA,"Brasil","Distrito Federal",NA,"Brasília. Fazenda Água Limpa, borda de Mata de Galeria.","-47.905833","-15.926389",NA,"Campo sujo.","HUEFS0138141","HUEFS0138141",NA,NA,"Asteranae","A.C.Corrêa",NA,NA,"2007","07",NA,NA,NA,NA,"47W54'21''","15S55'35''"
"31","2019-10-07 09:16:21-03","UEFS","HUEFS","194326","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Aparecida da Silva, M.","7347","2011","06","03",NA,"Brasil","Goiás","Pirenópolis","Folha: SD-23-Z-D. Serra dos Pireneus. Estrada próxima à estrada.","-48.831944","-15.798611",NA,"Campo limpo úmido próxima aos Três Picos.","HUEFS0194326","HUEFS0194326","1300","1300","Asteranae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48W49'55''","15S47'55''"
"32","2019-11-01 15:01:47-03","UnB","UB","109906","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Amaral, AG; Matos, MQ; Haidar, RF","2408","2007","07",NA,"Southern America","Brasil","Distrito Federal","Sobradinho","Reserva Biológica Chapada da Contagem","-47.999167","-15.727778",NA,"Subarbusto; Cerrado sensu stricto.",NA,NA,"1200","1200",NA,"Amaral, AG",NA,NA,NA,NA,NA,NA,NA,NA,"-47.999167","-15.727778"
"33","2019-11-01 15:01:47-03","UnB","UB","109722","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Amaral, AG; Eugênio, CUO","2222","2006","12",NA,"Southern America","Brasil","Distrito Federal","Brasília","Fazenda Água Limpa (FAL)","-47.905556","-15.593056",NA,"Coleta de inventário na linha (L) 2, unidade amostral (UA) 2, apelidada em campo como Labiatae número 01 (número de coleta na planilha de campo); Erva; Campo Limpo.",NA,NA,"1050","1050",NA,"Munhoz, CBR",NA,NA,NA,NA,NA,NA,NA,NA,"-47.905556","-15.593056"
"34","2019-11-01 15:01:47-03","UnB","UB","109818","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Amaral, AG; Eugênio, CUO","2319","2007","04",NA,"Southern America","Brasil","Distrito Federal","Brasília","Fazenda Água Limpa (FAL)","-47.905556","-15.593056",NA,"Coleta de inventário na linha (L) 02, unidade amostral (UA) 21, apelidada em campo como Lamiaceae pequena; Subarbusto; Campo Sujo.",NA,NA,"1050","1050",NA,"Corrêa, ACG",NA,NA,NA,NA,NA,NA,NA,NA,"-47.905556","-15.593056"
"35","2019-05-06 11:58:20-03","UFU","HUFU","17359","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Barbosa, A.A.A.","1084","1998","09","11",NA,"Brasil","Minas Gerais","Uberlândia","Estação Ecológica do Panga","-48.2771987915039","-18.9186000823975",NA,"Erva.; Vereda.","HUFU00011620","HUFU00011620",NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-05-06 11:58:20-03","UFU","HUFU","42007","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Oliveira, G.C.","2312","2003","01","21",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Estiva, 10km da BR 050 na altura do km 25.","-48.126667","-19.100833",NA,"Herbácea, ca. 1 m. Branca arroxeada.; Vereda.","HUFU00011627","HUFU00011627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.126667","-19.100833"
"37","2019-05-06 11:58:20-03","UFU","HUFU","42008","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Oliveira, G.C.","450","2002","03","24",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Estiva, 10km da BR 050, na altura do km 25.","-48.126667","-19.100833",NA,"Herbácea, ca. 0,7 m. Branca lilás.; Vereda.","HUFU00011619","HUFU00011619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.126667","-19.100833"
"38","2019-05-06 11:58:20-03","UFU","HUFU","42009","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Oliveira, G.C.","87","2002","01","31",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Estiva, 10km da BR 050, na altura do km 25.","-48.126667","-19.100833",NA,"Herbácea, ca. 0,6 m. Branca lilás.; Vereda.","HUFU00011628","HUFU00011628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.126667","-19.100833"
"39","2019-05-06 11:58:20-03","UFU","HUFU","42010","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Oliveira, G.C.","148","2002","02","23",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, 6km da BR 050, na altura do km 25.","-48.1425","-19.088333",NA,"Herbácea, ca. 0,9 m. Branca.; Vereda.","HUFU00011621","HUFU00011621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.1425","-19.088333"
"40","2019-05-06 11:58:20-03","UFU","HUFU","42011","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Oliveira, G.C.","1810","2002","12","23",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, 6km da BR 050 na altura do km 25.","-48.1425","-19.088333",NA,"Herbácea, ca. 0,9 m. Branca.; Vereda.","HUFU00011622","HUFU00011622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.1425","-19.088333"
"41","2019-05-06 11:58:20-03","UFU","HUFU","42012","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Oliveira, G.C.","2278","2003","01","21",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, 6km da BR 050 na altura do km 25.","-48.1425","-19.088333",NA,"Herbácea, ca. 0,9 m. Branca.; Vereda.","HUFU00011625","HUFU00011625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.1425","-19.088333"
"42","2019-05-06 11:58:20-03","UFU","HUFU","42013","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Oliveira, G.C.","61","2002","01","31",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, 6km da BR 050, na altura do km 25.","-48.1425","-19.088333",NA,"Herbácea, ca. 0,6 m. Branca lilás.; Vereda.","HUFU00011624","HUFU00011624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.1425","-19.088333"
"43","2019-05-06 11:58:20-03","UFU","HUFU","42014","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Geraldo, C.O.","414","2002","03","24",NA,"Brasil",NA,NA,"6Km da BR 050 na altura do km 25.","-48.1425","-19.088333",NA,"Herbácea, ca. 0,9 m.; Vereda.","HUFU00011623","HUFU00011623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.1425","-19.088333"
"44","2019-05-06 11:58:20-03","UFU","HUFU","19672","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Barbosa, A.A.A.","1854","1999","03","12",NA,"Brasil","Minas Gerais","Uberlândia","Estrada para Campo Florido, Vereda 2, esquerdo e meio.","-48.2771987915039","-18.9186000823975",NA,"Erva com flor rósea.; Vereda.","HUFU00011626","HUFU00011626",NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-10 11:27:37-03","IBt","SP","394835","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Aparecida da Silva, M","5864","2006","03","27",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 10:07:15-03","IBt","SP","15481","S","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Loefgren, A","CGG1472","1889","11","14",NA,"Brasil","São Paulo","São Simão","Cerrado. Córrego Fundo, linha São Simão.","-47.5499992370605","-21.4699993133545",NA,"Herbacea, 1m alt.,, fl. capitulo alba.","SP006274","SP006274",NA,NA,NA,"Epling, C","27881","auto","1929",NA,NA,NA,NA,NA,NA,NA
