"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","individualCount","relatedCatalogItem","dayIdentified"
"11","2020-02-08 08:52:07-03","NBC","NL-BOTANY","U.1150485","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Vernonia","fagifolia","Vernonia fagifolia","Gardner","Harley RM",NA,"1988","12","11","Southern America","Brazil",NA,NA,"Bahia. Mun. Agua Quente, Pico das ALmas, vale ao N-O da Serra do Pau Queimado, Proximo da casa Folheta.","-42","-13.483333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1150485 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1150485","NL-U1150485","Magnoliopsidae","-42.0","-13.483333",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:17:40-03","MBM","MBM","272684","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","Hind, D.J.N.; et al.; et al.","4045","1996","11","04","Southern America","Brazil","Bahia","Piatã","Próximo ao Riacho Toboru","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,"MBM272684","MBM272684",NA,NA,NA,"Hind, D.J.N.","41184","auto",NA,NA,NA,NA,NA
"13","2020-12-21 16:17:40-03","MBM","MBM","272685","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","Hind, D.J.N.; et al.; et al.","4050","1996","11","05","Southern America","Brazil","Bahia","Piatã","Piatã","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,"MBM272685","MBM272685",NA,NA,NA,"Hind, D.J.N.","41184","auto",NA,NA,NA,NA,NA
"14","2020-12-11 11:33:44-03","UFMG","BHCB","56019","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","fagifolia","Vernonia fagifolia","Gardner","Magalhães, GM","3303","1942","07","23","Southern America","Brasil","Minas Gerais","Belo Horizonte","Engenho Nogueira.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Brejo. Pouco frequente. Arbustivo, 1m.",NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA
"15","2012-10-17 05:07:00-03","MO","MOBOT","3386412","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","Robert M. King|Scott A. Mori|Talmon S. dos Santos|José L. Hage","King 8072","1979","7","21","South America","Brazil","Bahia",NA,"Município de Rio de Contas, a 10 km as NW de Rio de Contas.",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-08-13 05:50:00-03","MO","MOBOT","3387172","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R.M. Harley|David J.N. Hind","Harley 27204","1988","12","11","South America","Brazil","Bahia",NA,"Agua Quente. Pico das Almas. Vale ao N-O da Serra do Pau Queimado. Próximo da Csa Folheta. Beira do Riacho Folheto. Entre rochas em mata aberta.","-42","-13.48333","1250.00000000","1300.00000000",NA,NA,NA,NA,NA,NA,NA,"D.J.N. Hind, maio",NA,NA,NA,NA,NA,NA,NA
"17","2009-08-28 05:32:00-03","MO","MOBOT","3387331","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","Robert M. King|Luther E. Bishop","King 8772","1981","2","2","South America","Brazil","Bahia",NA,"54 Km. E of Seabra along road towards Itaberaba.",NA,NA,"1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-08-28 05:32:00-03","MO","MOBOT","3387513","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","Robert M. King|Luther E. Bishop","King 8715","1981","1","31","South America","Brazil","Bahia",NA,"2 Km. along road S of Mucuge.",NA,NA,"2600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2009-08-28 05:32:00-03","MO","MOBOT","3387641","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","Robert M. King|Luther E. Bishop","King 8617","1981","1","24","South America","Brazil","Bahia",NA,"5 Km NW from the town of Rio das Contas toward Pico das Almas.",NA,NA,"2800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2922215","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R. M. King & L. E. Bishop","8715","1981","1","31","South America - Neotropics","Brazil","Bahia",NA,"2 Km. along road S of Mucuge",NA,NA,"792",NA,NA,NA,"US01624855","US01624855_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","3255384","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R. M. Harley","27829","1988","12","27","South America - Neotropics","Brazil","Bahia",NA,"Mun: Abaíra. Arredores de Catolés ma estrada para Guarda Mor","-41.87","-13.28","1050","1220",NA,NA,"US01624861","US01624861_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"22","2020-09-12 05:00:02-03","US","US","2922478","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R. M. King & L. E. Bishop","8617","1981","1","24","South America - Neotropics","Brazil","Bahia",NA,"5 Km NW from the town of Rio das Contas toward Pico das Almas",NA,NA,"853",NA,NA,NA,"US01624858","US01624858_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"23","2020-09-12 05:00:02-03","US","US","3713276","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","N. Roque, P. Acevedo-Rodriguez, V. Funk & S. Keeley","2151","2009","7","5","South America - Neotropics","Brazil","Bahia",NA,"Chapada Diamantina, Mucugê, Distrito de Guiné - subida do beco para o Pati","-41.47","-12.9803","1040","1400",NA,NA,"US01927557","US01927557_01","Dicotyledonae",NA,NA,"Robinson, H. E., (US)",NA,NA,NA,NA,"1",NA,NA
"24","2020-09-12 05:00:02-03","US","US","2948404","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","S. A. Mori & B. M. Boom","14295","1981","6","10","South America - Neotropics","Brazil","Bahia",NA,"Municipality of Lencois, along BR242, ca 15 km NW of Lencois at km 225",NA,NA,"900",NA,NA,NA,"US01624862","US01624862_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2020-09-12 05:00:02-03","US","US","2922654","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R. M. King & L. E. Bishop","8757A","1981","2","1","South America - Neotropics","Brazil","Bahia",NA,"From road 8 Km. along road S of Mucuge, 2-5 Km. E along base of mountain",NA,NA,"853","914",NA,NA,"US01624857","US01624857_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2020-09-12 05:00:02-03","US","US","2855670","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R. M. King, S. A. Mori, T. S. Santos & J. Hage","8072","1979","7","21","South America - Neotropics","Brazil","Bahia",NA,"Município de Rio de Contas, 10 km as NW de Rio de Contas",NA,NA,"1000",NA,NA,NA,"US01624859","US01624859_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"27","2020-09-12 05:00:02-03","US","US","2922229","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R. M. King & L. E. Bishop","8772","1981","2","2","South America - Neotropics","Brazil","Bahia",NA,"54 Km E of Seabra along road towards Itaberaba",NA,NA,"549",NA,NA,NA,"US01624856","US01624856_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"28","2020-09-12 05:00:02-03","US","US","3255371","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H. Rob.","R. M. Harley","27204","1988","12","11","South America - Neotropics","Brazil","Bahia",NA,"Mun: Agua Quente. Pico das Almas. Vale ao N-O da Serra do Pau Queimado. Próximo da Casa Folheta. Beira do Riacho Folheto. Entre rochas em mata aberta","-42","-13.48","1250","1300",NA,NA,"US01624860","US01624860_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"29","2019-10-07 09:12:08-03","UEFS","HUEFS","28693","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","Hind, D.J.N.","PCD4050","1996","11","05",NA,"Brasil","Bahia","Piatã",NA,"-41.886389","-13.060833","1300","1300",NA,"Cerrado arbóreo aberto, substrato gramíneo-lenhoso com árvores esparsas ou em aglomerados arbóresos. Solo de textura arenosa.","HUEFS0028693","HUEFS0028693","Asteranae","41W53'11''","13S3'39''","N.Roque",NA,NA,"2003","11",NA,NA,NA
"30","2019-10-07 09:12:08-03","UEFS","HUEFS","29581","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","Hind, D.J.N.","PCD4045","1996","11","04",NA,"Brasil","Bahia","Piatã","Pai Inácio, proximidade do riacho Toborou.","-41.763611","-13.156667","1100","1100",NA,NA,"HUEFS0029581","HUEFS0029581","Asteranae","41W45'49''","13S9'24''","N.Roque",NA,NA,"2003","11",NA,NA,NA
"31","2019-10-07 09:12:08-03","UEFS","HUEFS","74366","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","Conceição, A.S.","554","2003","05","29",NA,"Brasil","Bahia","Abaíra","Guarda-Mor","-41.863056","-13.308889","1310","1310",NA,"Campo rupestre.","HUEFS0074366","HUEFS0074366","Asteranae","41W51'47''","13S18'32''","R.L.Esteves",NA,NA,"2007","05",NA,NA,NA
"32","2020-07-23 11:59:36-03","CEPLAC","CEPEC","49268","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia",NA,"R. M. Harley","27829","1988","12","27",NA,"Brasil","Bahia","ABAÍRA","Arredores de Catolés, na estrada para Guarda Mor. Obs.: Foto.","-41.866667","-13.283333",NA,NA,NA,NA,NA,NA,NA,"41W52'","13S17'","SpeciesLink/lacunas",NA,NA,NA,NA,NA,"30/10/1989",NA
"33","2019-11-01 14:54:44-03","UnB","UB","124646","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","Killip, EP","8617","1981","01","24","Southern America","Brasil","Bahia",NA,"5km NW from the town of Rio das Contas towards Pico das Almas",NA,NA,NA,NA,NA,"Corollas white at base, lobes lavender, styles white.; Shrub 1,5m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-01 14:54:44-03","UnB","UB","124647","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","Killip, EP","8715","1981","01","31","Southern America","Brasil","Bahia",NA,"2km along road S of Mucugê",NA,NA,NA,NA,NA,"Flowers mostly past anthesis.; Shrub 1,5m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-01 14:54:44-03","UnB","UB","124648","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","Killip, EP","8772","1981","02","02","Southern America","Brasil","Bahia",NA,"54km E of Seabra along towards Itaberaba",NA,NA,NA,NA,NA,"In pappus.; Shrub 3/4m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:08:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Vernonia","fagifolia","Vernonia fagifolia","Gardner","Gardner, G","4775",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat ad Cidade Diamantina in prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:01:33-03","IBt","SP","22178","S","Plantae",NA,NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","Hardman, S","s.n.","1926","02","26",NA,"Brasil","Pernambuco","Recife",NA,"-34.8810997009277","-8.05389022827148",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vega, AJ","18865","auto","2014","10",NA,NA,"08"
