"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","typeStatus"
"11","2020-11-04 11:04:12-03","ESALQ","ESA","17928","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Aona, L.Y.S.",NA,NA,NA,"Miyagi, P.H. et al.","125.0","1994","09","06","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,NA,"ESA017928","Magnoliophyta",NA,NA,NA,"ESA017928","37574","auto",NA,NA,NA,NA
"12","2020-11-04 11:04:12-03","ESALQ","ESA","101382","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora",NA,"Zappi, D.",NA,NA,NA,"Breier, T.B.","1054.0","2003","05","14","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA101382","Magnoliophyta",NA,NA,NA,"ESA101382","34059","auto",NA,NA,NA,NA
"13","2020-11-04 11:04:12-03","ESALQ","ESA","98997","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora",NA,"Zappi, D.","2005",NA,NA,"Hatschbach, G.","73844.0","2002","09","26","Brasil","Paraná","Guaraqueçaba",NA,"-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,NA,"ESA098997","Magnoliophyta",NA,NA,NA,"ESA098997","37295","auto",NA,NA,NA,NA
"14","2020-11-04 11:04:12-03","ESALQ","ESA","17925","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Aona, L.Y.S.",NA,NA,NA,"Miyagi, P.H. et al.","69.0","1994","09","06","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,NA,"ESA017925","Magnoliophyta",NA,NA,NA,"ESA017925","37574","auto",NA,NA,NA,NA
"15","2020-11-04 11:04:12-03","ESALQ","ESA","16541","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Aona, L.Y.S.",NA,NA,NA,"Souza, V.C. et al.","4969.0","1993","12","03","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,"ESA016541","Magnoliophyta",NA,NA,NA,"ESA016541","44778","auto",NA,NA,NA,NA
"16","2020-11-04 11:04:12-03","ESALQ","ESA","75727","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Aona, L.Y.S.",NA,NA,NA,"Romão, G.O.; Nave, A.G.; Pereira, M.; Zevallos, P.; Garcia, R.; Rodrigues, R.R.","728.0","2001","04","19","Brasil","São Paulo","Itanhaém","Rio Ipanema, Caxetal. 7324662m; 0302259m","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,"Epífita, frutos róseo-claros.","ESA075727","Magnoliophyta",NA,NA,NA,"ESA075727","26998","auto",NA,NA,NA,NA
"17","2021-01-14 15:26:43-03","MN","R","204545","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.",NA,NA,NA,NA,"Calvente, A.M.","117","2004","10","10","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010029071",NA,NA,NA,NA,"R010029071",NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:26:43-03","MN","R","26676","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, D.","2014",NA,NA,"Brade, A.C.","11194","1931","09","20","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:26:43-03","MN","R","223618","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Almeida, M.C.","2014","11","07","Brade, A.C.; Duarte, A.P.","18586","1946","08","28","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"20","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0053963","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","L. Scheinvar",NA,NA,NA,"G. Hatschbach","48610","1984","8","10","Brazil","Parana",NA,"Col. Sto. Andrade (Mun. S. Jose dos Pinhais).","-49.19295","-25.533076",NA,NA,NA,NA,"Epifita, pendente, flor alva.",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-07 11:42:03-03","UFMS","CGMS","63875","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","D. Zappi","2005",NA,NA,"G. Hatschbach; J.M. Silva; R. Goldenberg","73844","2002","09","26","Brasil","Paraná","Guaraqueçaba","Tagaçaba, rodovia para Caetê.","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"Flor alva. Habitat: Floresta de Planície Litorânea. Habito: Epífita pendente.","CGMS1096843",NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA
"22","2021-03-01 16:27:17-03","UNICAMP","UEC","107730","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Oliveira, A; Maltez, HM","1999","03","10","Sampaio, D; Maltez, HM; Silva, C; Almeida, A; Silva, MMR","98","1999","01","07","Brazil","São Paulo","Pariquera-Açu","Parque Ecológico de Pariquera Abaixo (PEPA), na floresta de Caxetal, acessado pela Rodovia Pariquera-Iguape, no sítio do Sr. Dário, no lado sul da PEPA.","-47.783333","-24.666667","-47.783333","-24.666667",NA,NA,"Epífita. Frutos passando de róseos a alvos.; Floresta Ombrófila Densa. Caxetal típico com exploração antiga (30 anos).","UEC090915","Magnoliopsida",NA,NA,NA,"UEC090915",NA,NA,NA,NA,NA,NA
"23","2020-02-10 17:51:38-03","UNICAMP","UEC","137428","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2003","11",NA,"Breier, TB; Budke, JC","544","2002","08","22","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,NA,"UEC090937","Magnoliopsida",NA,NA,NA,"UEC090937",NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:27:17-03","UNICAMP","UEC","137455","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2003","11",NA,"Breier, TB; Dittrich, VAO","0654","2002","09","27","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, parcelas permanentes.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,"Ma parcela J11, caída no solo.","UEC090913","Magnoliopsida",NA,NA,NA,"UEC090913",NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:27:17-03","UNICAMP","UEC","137456","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2003","11",NA,"Breier, TB; Breier, ACB","0776","2002","12","14","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Trilha da Figueira, Núcleo Sete Barras.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,"Fruto branco a rosado.","UEC090919","Magnoliopsida",NA,NA,NA,"UEC090919",NA,NA,NA,NA,NA,NA
"26","2020-02-10 17:51:38-03","UNICAMP","UEC","137457","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2003","11",NA,"Breier, TB; Dittrich, VAO","0617","2002","09","24","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,NA,"UEC090914","Magnoliopsida",NA,NA,NA,"UEC090914",NA,NA,NA,NA,NA,NA
"27","2020-02-10 17:51:38-03","UNICAMP","UEC","137473","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2003",NA,NA,"Breier, TB; Singer, RB","1054","2003","05","14","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, estrada de acesso a parcela.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,NA,"UEC090920","Magnoliopsida",NA,NA,NA,"UEC090920",NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:27:17-03","UNICAMP","UEC","48127","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Gonzaga, DR","2015","09","15","Sucre, D","1091","1966","10","12","Brazil",NA,NA,"Estado de Guanabara, Morro Queimado.",NA,NA,NA,NA,"700","700","Epífita, umbrófila, flor amarela.","UEC090905","Magnoliopsida",NA,NA,NA,"UEC090905",NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:27:17-03","UNICAMP","UEC","48295","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2003",NA,NA,"Rizzini, CM; Banos, AAM; Bove, CP","353","1987","01","20","Brazil","Rio de Janeiro",NA,"Ilha da Marambaia. Praia Grande.",NA,NA,NA,NA,NA,NA,"Epífita, frutos rosa pálido.; Mata de restinga.","UEC090944","Magnoliopsida",NA,NA,NA,"UEC090944",NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:27:17-03","UNICAMP","UEC","75015","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2001","08",NA,"Miyagi, PH; Ivanauskas, NM; Leite, EC; Silva, IC; Ettori Junior, O; Fernandes, GD","68","1994","09","06","Brazil","São Paulo","Cananéia","Estrada Pariquera-açu - Cananéia, ca 58 Km de Pariquera. Extensa área de transição mata e restinga.","-47.84175","-24.900806","-47.84175","-24.900806",NA,NA,"Epífita, flores de pétalas brancas, com ápice avermelhado.","UEC090917","Magnoliopsida",NA,NA,NA,"UEC090917",NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:27:17-03","UNICAMP","UEC","75035","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2004","03",NA,"Miyagi, PH; Ivanauskas, NM; Leite, EC; Silva, IC; Ettori Junior, O; Fernandes, GD","69","1994","09","06","Brazil","São Paulo","Cananéia","Estrada Pariquera-açu - Cananéia, ca 58 Km de Pariquera.","-47.84175","-24.900806","-47.84175","-24.900806",NA,NA,"Epífita, flores de pétalas brancas, com ápice avermelhado.; Extensa área de transição mata e restinga.","UEC090941","Magnoliopsida",NA,NA,NA,"UEC090941",NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:27:17-03","UNICAMP","UEC","137453","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Breier, TB","2004","04",NA,"Breier, TB","1137","2004","04","10","Brazil","São Paulo","Cotia",NA,"-46.9099998474121","-23.6000003814697",NA,NA,NA,NA,"Frutos maduros variando do branco-rosado ao rosa.","UEC090916","Magnoliopsida",NA,NA,NA,"UEC090916","23869","auto",NA,NA,NA,NA
"33","2021-03-01 16:27:17-03","UNICAMP","UEC","122115","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2003",NA,NA,"Romão, GO; Nave, AG; Pereira, M; Zevallos, P; Garcia, R; Rodrigues, RR","728","2001","04","19","Brazil","São Paulo","Itanhaém","Rio Ipanema, Caxetal. 7324662m; 0302259mm","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,"Epífita, frutos róseo-claros.","UEC090940","Magnoliopsida",NA,NA,NA,"UEC090940","26998","auto",NA,NA,NA,NA
"34","2021-03-01 16:27:17-03","UNICAMP","UEC","133151","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Breier, TB",NA,NA,NA,"Breier, TB","1136","2003","03",NA,"Brazil","São Paulo","São Paulo","Campos USP.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Epífita, frutos rosados.","UEC090943","Magnoliopsida",NA,NA,NA,"UEC090943","53584","auto",NA,NA,NA,NA
"35","2021-03-01 16:27:17-03","UNICAMP","UEC","76238","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, DC","2001","08",NA,"Miyagi, PH; Zandoval, JA; Souza, JP","519","1995","02","15","Brazil","São Paulo","Sete Barras","Mamparra, Reserva Floresta Carlos Botelho, a 2 Km da sedinha, beira de estrada.","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"Epífita, frutos róseos esbranquiçados.","UEC090918","Magnoliopsida",NA,NA,NA,"UEC090918","34059","auto",NA,NA,NA,NA
"36","2021-03-01 16:27:17-03","UNICAMP","UEC","87923","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.",NA,NA,NA,NA,"Goldenberg, R; Rezende, AA; et al.","32400","1994","12","13","Brazil","São Paulo","Ubatuba","Ilha Anchieta - Trilha da Prainha.","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"Frutos esverdeados.","UEC090946","Magnoliopsida",NA,NA,NA,"UEC090946","34265","auto",NA,NA,NA,NA
"37","2021-03-01 16:27:17-03","UNICAMP","UEC","54033","S","Plantae","Cactaceae","Rhipsalis","hadrosoma","Rhipsalis hadrosoma","G.Lindb.","Taylor, NP","1993","12","15","Souza, WS; Britez, RM","1777","1987","08","29","Brazil","Paraná","Paranaguá","Ilha do Mel, Morro Bento Alves.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Erva epífita de flores brancas, coletada a 7m de altura; floresta de encosta (base).","UEC090908","Magnoliopsida",NA,NA,NA,"UEC090908","24916","auto",NA,NA,NA,NA
"38","2021-03-01 16:27:17-03","UNICAMP","UEC","54030","S","Plantae","Cactaceae","Rhipsalis","hadrosoma","Rhipsalis hadrosoma","G.Lindb.","Taylor, NP","1993","12","15","Souza, WS; Britez, RM","1766","1987","08","28","Brazil","Paraná","Paranaguá","Ilha do Mel, Reserva Ecológica.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Erva epífita com flores brancas (botões), pouco frequente em floresta da planície litorânea.","UEC090907","Magnoliopsida",NA,NA,NA,"UEC090907","24916","auto",NA,NA,NA,NA
"39","2019-08-20 10:08:46-03","UNICAMP","UEC","47032","S","Plantae","Cactaceae","Rhipsalis","hadrosoma","Rhipsalis hadrosoma","G.Lindb.","Taylor, NP","1993","12","06","Hoehne, W","s.n.","1936","03",NA,"Brazil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"UEC090910","Magnoliopsida",NA,NA,NA,"UEC090910","53584","auto",NA,NA,NA,NA
"40","2019-11-08 08:50:58-03","FURB","FURB","14061","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Soller, A","2011","04","04","Cadorin, T.J.","33","2009","09","10","Brasil","Santa Catarina","Gaspar","Horto Florestal da FURB.","-48.9366666","-26.9033333","-48.9366666","-26.9033333","10","10",NA,"FURB21454",NA,NA,NA,NA,"FURB21454",NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:00:24-03","FURB","FURB","14079","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Calvente, A","2011","11","24","Schmitt, J.L.; Cadorin, T.J. & Gasper, A.L. de","59","2009","09","16","Brasil","Santa Catarina","Porto Belo",NA,"-48.6019444","-27.1494444","-48.6019444","-27.1494444","3","3","Epífita IFFSC e8002a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita de árvore caída; flor esbranquiçada","FURB21450",NA,NA,NA,NA,"FURB21450",NA,NA,NA,NA,NA,NA
"42","2020-10-14 10:00:24-03","FURB","FURB","19915","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Soller, A","2011","04","04","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1288","2010","02","01","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889","-48.7619444","-27.8788889","180","180","Epífita IFFSC e226a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita; flor branca","FURB21453",NA,NA,NA,NA,"FURB21453",NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:00:24-03","FURB","FURB","20842","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Calvente, A","2011","11","24","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1331","2010","02","05","Brasil","Santa Catarina","Porto Belo",NA,"-48.6019444","-27.1494444","-48.6019444","-27.1494444","55","55","Epífita IFFSC e8002b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa de Terras Baixas; Estágio Médio a avançado Habito: epífita de arbórea; Fruto branco;","FURB01194",NA,NA,NA,NA,"FURB01194",NA,NA,NA,NA,NA,NA
"44","2020-10-14 10:00:24-03","FURB","FURB","22261","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Calvente, A","2011","11","24","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1583","2010","03","13","Brasil","Santa Catarina","Florianópolis","Parque Municipal da Lagoa do Peri.","-48.4902777","-27.7697223","-48.4902777","-27.7697223","9","9","Coleta Extra IFFSC (Epífita) Habitat: Restinga; Habito: epífita; Fruto branco;","FURB21451",NA,NA,NA,NA,"FURB21451",NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:00:24-03","FURB","FURB","23013","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Soller, A","2011","04","04","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1658","2010","03","16","Brasil","Santa Catarina","Florianópolis","Pântano do Sul (Parque Municipal da Lagoinha do Leste).","-48.4925","-27.7752778","-48.4925000","-27.7752778","46","46","Epífita IFFSC e8006a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita em árvore caída; Fruto rosa;","FURB21452",NA,NA,NA,NA,"FURB21452",NA,NA,NA,NA,NA,NA
"46","2021-03-16 17:51:31-03","UCS","HUCS","28345","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haworth","; Zappi, D.C.","2005",NA,NA,"Hatschbach, G.","73844","2002","09","26","Brasil","Paraná","Guaraque çaba","Tagaçaba rodovia para Caetê",NA,NA,NA,NA,NA,NA,"epífita pendente - Floresta de Planície Litorânea",NA,"Angiospermae","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:19:48-03","MBM","MBM","397104","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Lombardi, J.A.","2013","10",NA,"Lombardi, J.A.; Calazans, L.S.B.; Valadares, R.T.; Calazans, L.S.B.; Valadares, R.T.","10113","2013","10","07","Brazil","São Paulo","Cananéia","Morro São João, da estrada na SABESP até o mirante","-47.925","-25.021667","-47.925","-25.021667","50","130","Eífita pendente, pericarpelo creme avermelhado, tépalas creme, estames brancos.; Mata atlântica perturbada, em área arborizada.","MBM397104",NA,NA,"Southern America",NA,"MBM397104",NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:19:48-03","MBM","MBM","276252","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, D.","2005",NA,NA,"Hatschbach, G.; Silva, J.M.; Goldenberg, R.; Silva, J.M.; Goldenberg, R.","73844","2002","09","26","Brazil","Paraná","Guaraqueçaba","Tagaçaba, rodovia para Caetê","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"Epífita, pendente, flor alva. Floresta da planície litorânea","MBM276252",NA,NA,"Southern America",NA,"MBM276252","37295","auto",NA,NA,NA,NA
"49","2020-12-21 16:19:48-03","MBM","MBM","136701","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Zappi, D.","2005","10",NA,"Souza, W.S.; Britez, R.M.; Britez, R.M.","1777","1987","08","29","Brazil","Paraná","Paranaguá","Ilha do Mel, Morro Bento Alves","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Epífita de flores brancas à 7m de altura, começo da encosta do morro","MBM136701",NA,NA,"Southern America",NA,"MBM136701","24916","auto",NA,NA,NA,NA
"50","2020-12-21 16:19:48-03","MBM","MBM","425390","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Gonzaga, D.R.","2016","02","11","Vasconcelos, L.V.F.; Gonzaga, D.R.; Reis, R.C.C.; Gonzaga, D.R.; Reis, R.C.C.","10","2016","02","11","Brazil","Rio de Janeiro","Niterói","Parque Estadual da Serra da Tiririca, Trilha do alto mourão, trecho bem próximo ao início da subida para a Pedra do Elefante, à esquerda da trilha.","-43.020833","-22.971944","-43.020833","-22.971944","309","309","Epífita em tronco quebrado caído no chão, umbrófila; claudódios verde escuros, frutos alvos.","MBM425390",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
