"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","recordNumber","locality","phylum","order","scientificNameAuthorship","infraspecificEpithet","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","01254589","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","B. V. Rabelo","1983","08","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522027' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254589",NA,"2275","Parque Florestal da Fazendinha, 12 km S of Macapá","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Amapá","-51.09569","-0.04072","NY01254589_01","Macapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01254648","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","W. A. Rodrigues","1965","06","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523217' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254648",NA,"6951","Reserva Florestal Ducke, Q-31, árvore nº 1","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas","-59.9281883","-2.9548699","NY01254648_01","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00836037","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","M. dos R. Cordeiro","1974","06","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836037",NA,"105","Dardanelos Mato Grosso; Rio Aripuana. Estrada Santa Elena.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Mato Grosso","-59.4592","-10.1669","NY00836037_01","Aripuanã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","378613","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","A. P. Duarte","1961","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378613",NA,"5831","Entre Vista Chineza e Mesa do Imperator","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze",NA,"G. T. Prance","Rio de Janeiro","-43.2075","-22.9031","NY00378613_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00330631","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","M. Silveira","1994","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330631",NA,"829","Bacia do Rio Juruá, Rio Tarauacá. Seringal Macuripe, Colocação Remanso.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Acre","-71.3794444","-8.4608333","NY00330631_01","Tarauacá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01254568","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","J. M. de S. Miralha","1984","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521808' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254568",NA,"84","03 km ao S da parte central da Serra Aracá e 08 km ao E do rio Jauarí.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Amazonas","-63.316667","-0.816667","NY01254568_01","Barcelos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01254639","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","C. A. Cid Ferreira","1987","04","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522740' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254639",NA,"8876","Porto Velho. Próximo da Vila Campo Novo, área da Mineração Metalcom (antiga Mineração Mibrasa), morro atrás da casa de visitas.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Rondônia","-63.65","-10.583333","NY01254639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01254653","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","G. T. Prance","1971","07","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523347' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254653",NA,"14276","Rio Curuquetê, vicinity of Cachoeira Santo Antonio","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas","-65.67","-8.33","NY01254653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00836026","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","V. Nepomuceno","1974","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836026",NA,"s.n.","Chapada do Araripe","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Ceará","-39.4092","-7.2344","NY00836026_01","Crato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01254576","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","E. de Oliveira","1968","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254576",NA,"4098","Rio Jarí, Monte Dourado.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze",NA,"G. T. Prance","Pará","-52.539719","-0.8678545","NY01254576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01254579","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","J. M. de S. Miralha","1984","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521998' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254579",NA,"s.n.","Na encosta da Serra do Aracá em cima do talude pedregoso.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Amazonas","-63.33","0.82","NY01254579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00836013","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","M. dos R. Cordeiro","1974","06","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836013",NA,"82","Dardanelos Mato Grosso; Rio Aripuana. Estrada Santa Elena.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Mato Grosso","-59.4592","-10.1669","NY00836013_01","Aripuanã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01254622","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","E. Cordeiro","1952",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522285' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254622",NA,"145","Territorio do Guaporé. Porto Velho.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Rondônia",NA,NA,"NY01254622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01254573","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","J. M. de S. Miralha","1984","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521978' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254573",NA,"s.n.","Na encosta da Serra do Aracá em cima do talude pedregoso.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Amazonas","-63.33","0.82","NY01254573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01254592","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","G. T. Prance","1984","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254592",NA,"28919","Base of Serra do Aracá, 0-3km South of Central Massif, 3km E of rio Jauarí","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Amazonas","-63.4317094","0.874452","NY01254592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00867111","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","D. G. Campbell","1985","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867111",NA,"6341","Upper Río Moa near Fazenda Arizona.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Acre","-73.65","-7.48","NY00867111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01254569","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","J. M. de S. Miralha","1984","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521823' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254569",NA,"87","03 km ao S da parte central da Serra Aracá e 08 km ao E do rio Jauarí.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Amazonas","-63.316667","-0.816667","NY01254569_01","Barcelos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01254598","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","C. R. Sperling","1982","06","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522051' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254598",NA,"5940","Serra dos Carajás; AMZA camp 3-Alfa","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Pará","-50.55","-5.8","NY01254598_01",NA,"475","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01254557","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","M. J. P. Pires-O'Brien","1988","04","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521654' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254557",NA,"2090","Monte Dourado, Gleba Quaruba.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze",NA,"G. T. Prance","Pará","-52.85","-1.05","NY01254557_01","Almeirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01254631","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","C. A. Cid Ferreira","1985","04","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522331' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254631",NA,"5860","BR 230, Rod. Transamazônica a 303 km de Humaitá. Vila do Carmo, próximo ao Rio Aripuana","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas","-60.67","-7.58","NY01254631_01","Novo Aripuanã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01254601","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","G. T. Prance","1967","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522062' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254601",NA,"4196","Serrinha, Rio Mucajaí.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Roraima","-61.1159134","2.6449627","NY01254601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01254624","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","G. T. Prance","1974","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522294' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254624",NA,"22858","BR 319, Km 380, Manaus-Porto Velho Road, 2 km south of rio Jutaí.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas","-62.1301103","-5.5141899","NY01254624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01254680","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","L. F. Coêlho","1971","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523845' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254680",NA,"93","Estrada Manaus-Porto Velho ± Km 12.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas","-59.8535532","-3.2734899","NY01254680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01254553","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","W. A. Egler","1959","07","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521638' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254553",NA,"842","Tapajós, Rio Cururú. Missão.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze",NA,"G. T. Prance","Pará",NA,NA,"NY01254553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01254551","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","C. A. Cid Ferreira","1980","07","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254551",NA,"1916","Rio Trombetas, margem direita, Porto Trombetas, estrada da Mineração Rio - Norte, km 60, atrás da Mina de Bauxita.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze",NA,"G. T. Prance","Pará","-55.8661","-1.76556","NY01254551_01","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01254642","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","C. A. Cid Ferreira","1985","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254642",NA,"5956","BR 230, Rod. Transamazônica a 436 Km de Humaitá.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas","-59.833333","-7.166667","NY01254642_01","Novo Aripuanã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","378607","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","T. S. dos Santos","1972","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378607",NA,"2468","Distrito de Olivença km 21 para a Faz. Ipiranga ao N","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Bahia","-39.0492","-14.7892","NY00378607_01","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00835975","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","E. P. Heringer","1979","07","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835975",NA,"1761","Bacia do Rio São Bartolomeu","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Distrito Federal","-47.9294","-15.7797","NY00835975_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00836027","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","M. F. F. da Silva","1983","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836027",NA,"1102","BR 010, Transamazônica à 35 km da cidade de Carolina, lugarejo Pedra Caida.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Maranhão","-47.4692","-7.3331","NY00836027_01","Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01254561","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","B. Maguire","1963","09","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521666' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254561",NA,"56681","Porto Velho","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze",NA,"G. T. Prance","Rondônia","-63.8652474","-8.7588666","NY01254561_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
