"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","class","relatedCatalogItem","dayIdentified","typeStatus"
"12","2015-09-04 01:57:05-03","MNHN","RECOLNAT_MNHN_P","P03170626","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Glaziou, A.",NA,"1888","1","22",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Brésil. (Rio Jan.) alto Macahé","-42.5311012268066","-22.2819004058838","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170626' target='other'> <mi>dwc_moreinfo</mi></a>","P03170626","P03170626_01",NA,NA,NA,NA,NA,NA,"33190","auto","16736",NA,NA,NA,NA
"13","2015-09-04 01:57:05-03","MNHN","RECOLNAT_MNHN_P","P03170629","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Glaziou, A.|Custodio",NA,"1874","9","18",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil (Rio Janeiro) Gavea","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170629' target='other'> <mi>dwc_moreinfo</mi></a>","P03170629","P03170629_01",NA,NA,NA,NA,NA,NA,"57442","auto","7857",NA,NA,NA,NA
"14","2015-09-04 01:57:05-03","MNHN","RECOLNAT_MNHN_P","P03170631","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Glaziou, A.",NA,"1883","1","3",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. Rio Jan. São Christovão","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170631' target='other'> <mi>dwc_moreinfo</mi></a>","P03170631","P03170631_01",NA,NA,NA,NA,NA,NA,"57442","auto","13646",NA,NA,NA,NA
"15","2015-09-04 01:57:05-03","MNHN","RECOLNAT_MNHN_P","P03170625","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Glaziou|Jobert|Grand",NA,"1877","2","18",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.2075004577637","-22.9027996063232","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170625' target='other'> <mi>dwc_moreinfo</mi></a>","P03170625","P03170625_01",NA,NA,NA,NA,NA,NA,"57442","auto","8612",NA,NA,NA,NA
"16","2020-12-11 11:42:55-03","UFMG","BHCB","34946","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:42:55-03","UFMG","BHCB","41233","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:42:55-03","UFMG","BHCB","60109","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Lombardi, JA","4383","2001","06","01","Southern America","Brasil","Minas Gerais","Camanducaia","Mata do Vaga.","-46.150833","-22.74475",NA,"Interior de mata secundária de altitude. Liana, folíolos papiráceos, estéril",NA,NA,NA,"-46.150833","-22.74475","1160","1160",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:42:55-03","UFMG","BHCB","51171","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Lombardi, JA","3658",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Caratinga",NA,"-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA
"20","2020-12-11 11:42:55-03","UFMG","BHCB","36592","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Matozinhos","APA Carste de Lagoa Santa","-44.0814018249512","-19.5578002929688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20503","auto",NA,NA,NA,NA,NA
"21","2020-12-11 11:42:55-03","UFMG","BHCB","95026","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Echternacht, LA; Dornas, T; Mota, C; Almeida, TE","732","2004","12","10","Southern America","Brasil","Minas Gerais","Carmópolis de Minas","Estação Ecológica Estadual da Mata do Cedro.","-44.6349983215332","-20.5414009094238",NA,"Indivíduo jovem estéril em sub-bosque de Floresta Estacional Semidecidua.",NA,NA,NA,NA,NA,NA,NA,NA,"18828","auto",NA,NA,NA,NA,NA
"22","2020-12-11 11:42:55-03","UFMG","BHCB","78583","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Melo, PHA de; Melo Júnior, EA","317","2002","12","31","Southern America","Brasil","Minas Gerais","Arcos","Fazenda Faroeste. Rio São Miguel.","-45.5393981933594","-20.2819004058838",NA,"Sobre afloramento calcáreo. Cipó. Terrestre. Frutos imaturos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,"25000","auto",NA,NA,NA,NA,NA
"23","2020-12-11 11:42:55-03","UFMG","BHCB","31410","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Espírito Santo","Santa Teresa","Reserva de Santa Lúcia, trilha às margens do rio Timbuí","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA
"24","2020-12-11 11:42:55-03","UFMG","BHCB","41887","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Jequeri","Usina Hidrelétrica de Cachoeira.","-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22280","auto",NA,NA,NA,NA,NA
"25","2021-02-11 17:22:02-03","UFPR","UPCB","80512","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, J. A.","Lombardi, J.A.","8944","2011","12","17",NA,"Brasil","Minas Gerais","Santa Rita de Jacutinga","Margens da MG-457, estrada de terra em pavientação entre Santa Rita de Jacutinga/Bom Jardim de Minas, 785m","-44.185","-22.122",NA,"Amostra em sílica. Mata ombrófila secundária de encosta. Liana carnosa pendente, folíolos membranáceos, cálice rosado, corola amarela e amarelo-rosada..",NA,NA,"2011","-44.185","-22.122",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA
"26","2018-09-12 14:48:38-03","UNIOESTE","UNOP","8397","S","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, J.A.","Lombardi, J.A.; Saka, M.N.; Biral, L.; Poli, L.P.; Coan, A.I.; Saka, M.N.; Biral, L.; Poli, L.P.; Coan, A.I.","8944","2011","12","17",NA,"Brasil","Minas Gerais","Santa Rita de Jacutinga","Margens da MG-457, estrada de terra em pavimentação entre Santa Rita de Jacutinga/Bom Jardim de Minas.","-44.185028","-22.122389",NA,"Amostra em sílica. Mata ombrófila secundária de encosta. Liana carnosa pendente, folíolos membranáceos, cálice rosado, corola amarela a amarelo-rosada.",NA,NA,"2011","-44.185028","-22.122389","785","785","12",NA,NA,NA,NA,NA,NA,NA
"27","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","22365",NA,"Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","J. A. Lombardi/X-2004","A. P. Fontana; et al","872","2004","04","10",NA,"Brasil","Espírito Santo","Itaguaçu","Pedra do Caparaó","-40.981111","-19.741389",NA,"Cipó, frutos verdes.","MBML022365",NA,NA,"40W58'52","19S44'29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","4700",NA,"Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","J. A. Lombardi/24-02-2003","H. Q. Boudet Fernandes; et al","2467","1988","05","04",NA,"Brasil","Espírito Santo","Santa Teresa","Propr. André Ruschi, vizinha à Estação Biológica de Santa Lúcia","-40.538889","-19.963333",NA,"Cipó com gavinhas, frutos cor de vinho com pontos claros, semi-sombra, capoeirão degradado. Grota pedregosa.","MBML004700",NA,NA,"40W32'20","19S57'48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-07-15 14:43:50-03","UNESP-RC","HRCB","49392","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Lombardi","7295","2008","02","20",NA,"Brasil","São Paulo","Jundiaí",NA,"-46.935778","-23.230444",NA,"Liana carnosa, sub-bosque, folíolos herbáceos, estéril",NA,NA,NA,"46º56'08.8W","23º13'49,6S","850","850",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-07-15 14:43:50-03","UNESP-RC","HRCB","61976","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","Glaz. ex Lombardi","J.A. Lombardi","Marcusso",NA,NA,NA,NA,NA,"Brasil","São Paulo","São Manuel","Faz. Nsa. Conceição","-48.544892","-22.751119",NA,NA,NA,NA,NA,"48º32'41.61W","22º45'4.03S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-07-15 14:43:50-03","UNESP-RC","HRCB","41588","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","Glaz. ex Lombardi",NA,"Silverstone-Sopkin",NA,NA,NA,NA,NA,"Equador","Paranáovíncia Cotopaxi","Cantón Pujilí","Reserva Ecológica Los Ilinizas","-79.114722","-0.979167",NA,NA,NA,NA,NA,"79º06'53W","0º58'45S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-13 11:33:02-03","USP","SPF","206341","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, JA","Cavalcanti, ACS; Serrano, T","329","2009","02","01",NA,"Brasil","Rio de Janeiro","Araruama","Praia Seca.","-42.291667","-22.9375",NA,NA,"SPF00206341",NA,"2014","-42.291667","-22.9375",NA,NA,"09",NA,NA,NA,NA,NA,NA,NA
"33","2019-11-13 11:33:02-03","USP","SPF","38249","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, JA","Pirani, JR","1102","1985","01","12",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,"SPF00038249",NA,"2014",NA,NA,NA,NA,"09","13709","auto",NA,NA,NA,NA,NA
"34","2019-11-13 11:33:02-03","USP","SPF","176543","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, JA","Forzza, RC","3053","2004","03","09",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,"SPF00176543",NA,"2006",NA,NA,NA,NA,"06","30417","auto",NA,NA,NA,NA,NA
"35","2019-11-13 11:33:02-03","USP","SPF","190222","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, JA","Forzza, RC","4392","2007","01","23",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,"SPF00190222",NA,"2014",NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA
"36","2019-11-13 11:33:02-03","USP","SPF","148412","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, JA","Kuhlmann, M","2670","1951","03","22",NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,"SPF00148412",NA,"2014",NA,NA,NA,NA,"09","32988","auto",NA,NA,NA,NA,NA
"37","2014-04-04 18:28:53-03","PNFM","IRAI","6873","S","Plantae","Magnoliophyta",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Villagra, B.L.P.","Villagra, B.L.P.","145","2006","12","12",NA,"Brasil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga, rampa de acesso ao Instituto de Botânica","-46.622972","-23.643833",NA,"Planta trepadeira preênsil, flores com cálice vermelho, interior da corola amarela, estames amarelos","IRAI00006873",NA,NA,"-46.622972","-23.643833","790","790",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-07 09:37:21-03","UEFS","HUEFS","128161","PreservedSpecimen","Plantae","Angiospermae","Vitales","Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","J.A.Lombardi","Forzza, R.C.","3053","2004","03","09",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, mata em frente a entrada do Parque Liana com frutos verdes pintalgados de verde-claro, 6 ex.","-43.793098449707","-21.8425006866455",NA,NA,"HUEFS0128161","HUEFS0128161","2009",NA,NA,NA,NA,"07","30417","auto",NA,"Rosanae",NA,NA,NA
"39","2020-07-23 12:24:33-03","CEPLAC","CEPEC","59833","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana",NA,"J. A. Lombardi","W. W. Thomas","10089","1993","10","22",NA,"Brasil","Bahia","PRADO","Reserva Florestal Brasil Holanda S/A; entrada no Km 18 a E de Itamaraju, a 8Km da entrada.","-39.333333","-17.183333",NA,NA,NA,NA,NA,"39W20'","17S11'",NA,NA,NA,NA,NA,NA,NA,"30/12/1994",NA,NA
"40","2020-07-23 12:24:33-03","CEPLAC","CEPEC","7306","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana",NA,"J. A. Lombardi","R. S. Pinheiro","1356","1971","06","15",NA,"Brasil","Bahia","UNA","Rod. Rio Branco/Una.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,"28/02/1994",NA,NA
"41","2021-04-08 17:13:19-03","UESB","HUESB","8953","S","Plantae","Dicotyledoneae",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, L.","Brandão, G.S.; Silva, G.S.; Silva, G.S.","186","2013","12","17",NA,"Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.2075004577637","-14.3625001907349",NA,"Trepadeira. Folhas alternas, gavinha oposta à folha.; Mata Atlântica.","HUESB000008953",NA,"2013",NA,NA,NA,NA,"06","31265","auto",NA,NA,NA,NA,NA
"42","2014-09-23 10:59:53-03","G","G","G00343437","S","Plantae",NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, J. A.","Glaziou, A. F. M.","13646","1883",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00343437",NA,"1993","-42.9125","-22.48222222",NA,NA,"01",NA,NA,NA,NA,NA,"01","ISOTYPUS of Vitis serroniana Glaz."
