"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"11","2021-04-05 14:33:42-03","UNESC","CRI","2132","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","R. M. Klein","4005","1962","12","14","Brasil","Santa Catarina","Papanduva","Serra do Espigão.","-50.144722","-26.370833","50º8'41''W","26º22'15''S","844","844","Habitat: mata Habito: arbórea","CRI004615","CRI004615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:42-03","UNESC","CRI","6901","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","R. M. Klein",NA,"1962","12","07","Brasil","Santa Catarina","Caçador","Rio dos Bugres.","-51.015278","-26.775833","51º0'55''W","26º46'33''S","933","933","Habitat: Imbuial Habito: árvore","CRI004611","CRI004611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:34-03","UNESC","CRI","14124","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","Caleb Borges","Joanna Casnok",NA,"2003","07","13","Brasil","Santa Catarina","Turvo","São Peregrino","-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"Habitat: Terrestre Habito: Arbórea","CRI012774",NA,"2018","11","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:42-03","UNESC","CRI","5275","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","Valdecir de Faveri","Valcedir de Faveri",NA,"1996","11","11","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Habito: árvore","CRI004608","CRI004608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:34-03","UNESC","CRI","6626","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","Reitz; Klein","14310","1962","12","20","Brasil","Santa Catarina","Campos Novos",NA,"-51.225278","-27.402222","51º13'31''W","27º24'8''S",NA,NA,"Habitat: Pinhal Habito: arbórea","CRI004612","CRI004612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:41:33-03","E","E","305291","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis",NA,NA,"Silva, J.M.; Soares, A.; Maschio, W.","2208","1997","09","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00305291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305291",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:311523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1546312","PreservedSpecimen","Plantae","Meliaceae","Cedrela","elliptica","Cedrela elliptica","Rizzini",NA,"W. A. Ducke","s.n. [= herb.RB 35472]","1937","06","30","Brazil","Amazonas",NA,"Rio Branco, Serra Grande, mata da parte inferior",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834378' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546312","NY01546312_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","53518","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis glabrior","C.DC.",NA,"Sello","s.n.","1908",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=618962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00053518","NY00053518_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales","lectotype","glabrior",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01023470","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","H. L. de M. Barreto","H. L. de M. Barreto","7767","1935","12","21","Brazil","Minas Gerais","Belo Horizonte","Jardim Botanico.","-43.9378","-19.9208",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193959' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023470","NY01023470_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01142209","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","B. T. Styles","B. A. Krukoff","6408","1934","09","14","Brazil","Amazonas","Humaitá","Basin of Rio Madeira; near Tres Casas.","-62.6839542","-6.9876421",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1574375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142209","NY01142209_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","885840","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.",NA,"M. C. Tschá","354","1995","11","29","Brazil","Pernambuco","Caruaru","Murici, Brejo dos Cavalos.","-36","-8.31",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885840","NY00885840_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00841420","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","J. M. Pires","16470","1978","08","05","Brazil","Mato Grosso",NA,"Sararé, sudeste do Campo Base do RADAMBRASIL; em pastagem artificial.","-58.92","-13.83",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841420","NY00841420_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","389962","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","P. K. H. Dusén","P. K. H. Dusén","10788","1910","11","10","Brazil","Paraná",NA,"Vallinhos","-50.37","-25.32",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389962","NY00389962_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","389955","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","J. A. Pastore; J. B. Baitello","A. Leme","SPSF5932","1980","08","14","Brazil","São Paulo","Cedral","Cedral","-49.26","-20.9",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389955","NY00389955_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1802167","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.",NA,"M. P. M. de Lima","449","2001","08","29","Brazil","Minas Gerais","Itamonte","Parque Nacional de Itatiaia. Caminho para Serra Negra, antes da chegada em Vargem Grande.","-44.7122","-22.3164",NA,NA,"1646",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2046778' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802167","NY01802167_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00841428","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","E. P. Heringer","16017","1975","09","23","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841428","NY00841428_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","390548","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","B. T. Styles","A. P. Viégas","2326","1938","10","07","Brazil","São Paulo","Campinas","Campinas. Faz. Santa Elisa","-47.06","-22.9",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390548","NY00390548_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01023469","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","B. T. Styles","A. P. Duarte","3093","1950","09","13","Brazil","Minas Gerais","Sete Lagoas","Estaçao Experimental do Estado de Minas Gerais.","-44.2467","-19.4658",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193956' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023469","NY01023469_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","390550","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","B. T. Styles","G. G. Hatschbach","26382","1971","02","20","Brazil","Paraná","Coronel Vivida","Rod. Pr. 367","-52.5678","-25.9797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390550","NY00390550_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00841423","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","L. Riedel","s.n.","1821",NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841423","NY00841423_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00841416","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","H. S. Irwin","5512","1964","08","23","Brazil","Minas Gerais","Burití","Fazenda Furquilho Novo.","-46.4302778","-15.6171",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841416","NY00841416_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","389963","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","C. E. Smith, Jr.","L. B. Smith","12806","1964","10","21","Brazil","Santa Catarina","Guaraciaba","Forest, Sao Luiz","-53.58","-26.62",NA,NA,"500","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389963","NY00389963_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00841425","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","T. C. Plowman","8356","1980","02","03","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feinho.","-48.6008","-8.5006",NA,NA,"400","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841425","NY00841425_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00841426","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","C. Smith","Sello","s.n.","1909",NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"Museum botanicum Berolinense. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841426","NY00841426_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","402036","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","G. G. Hatschbach","C. B. Poliquesi","326","1995","06","23","Brazil","Paraná","Rio Bonito do Iguaçú","Fazenda Giacomet-Marodin, Pinhal Ralo","-52.5256","-25.4908",NA,NA,NA,NA,"See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402036",NA,NA,NA,NA,"South America","separate fruit",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","389964","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","A. M. Strugnell","F. C. Hoehne","28322",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389964","NY00389964_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00841429","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","E. P. Heringer","5501","1980","09","24","Brazil","Distrito Federal","Brasília","Fazenda Santa Prisca.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841429","NY00841429_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,"70570","auto",NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","389951","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","B. T. Styles","A. F. M. Glaziou",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389951","NY00389951_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","389969","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","L. B. Smith","R. Reitz","2647","1956","02","06","Brazil","Santa Catarina","Ibirama","Horto Florestal I.N.P., Ibirama","-49.5178","-27.0569",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389969","NY00389969_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1127951","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","Illegible Determiner Name","H. de F. Leitão Filho","12988","1981","09","12","Brazil","São Paulo","Pereira Barreto","Rod. Alianças-Pereira-Barreto a beira de estrada.","-51.0997","-20.63",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272398' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127951","NY01127951_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","389956","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","L. B. Smith","A. Gevieski","38","1953","11","20","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389956","NY00389956_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","389958","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","R. F. Vieira","R. F. Vieira","1161","1991","11","18","Brazil","Bahia","Correntina","Mata de dentro a 12 km da cidade","-44.63","-13.37",NA,NA,"620","620","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389958","NY00389958_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00841421","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","B. T. Styles","B. Maguire","57040","1963","10","11","Brazil","Distrito Federal","Brasília","Between Fercal and Brasilia.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841421","NY00841421_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","389965","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","H. Velloso","R. M. Klein","250","1949","12","02","Brazil","Santa Catarina","Brusque","Mata do Azambuja, Brusque","-48.910147","-27.126635",NA,NA,"50","50","Eq. Ecologia nr. 115 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389965","NY00389965_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","01038844","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.",NA,"M. H. Nee","34563","1987","03","29","Brazil","Rondônia","Costa Marques","Ca. 5 Km. NW of Costa Marques.","-64.233333","-12.416667",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611891' target='other'> <mi>dwc_moreinfo</mi></a>","NY01038844","NY01038844_01 NY01038844_02 NY01038844_03",NA,NA,NA,"South America","separate fruit",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","389959","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","R. P. Belém","3554","1968","05","15","Brazil","Bahia","Itabuna","Itabuna. Saída para Uruçuca","-39.2843628","-14.6904677",NA,NA,NA,NA,"Coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389959","NY00389959_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Sapindales",NA,NA,NA,NA,NA,NA,NA,NA,NA
