"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","fieldNumber","class"
"11","2019-11-21 14:32:10-03","UFJF","CESJ","59294","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","O.S. Ribas; J.M. Silva","7624","2007","04","12","América do Sul","Brasil","Minas Gerais","Patos de Minas","Moreira","-46.5181007385254","-18.5788993835449",NA,NA,NA,"Herbácea, até 1m, capítulo alvo. Do Cerrado.","CESJ059294",NA,"J.N. Nakajima","2009",NA,NA,"69541","auto",NA,NA,NA,NA,NA
"12","2021-03-01 16:25:05-03","UNICAMP","UEC","174787","S","Plantae","Magnoliopsida",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(A.DC.) Sch.Bip.","Chagas e Silva, F","256","1980","03","09",NA,"Brazil","Distrito Federal","Brasília","Taguatinga, QNL Taguatinga Norte - DF.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Herbácea pilosa de campo limpo, folhas sem membranaceas, caítulo com sépalas verdes na base e vermelho na extremidades, flores com pétalas roxo-claro.","UEC030075","UEC030075","Christ, H","2018",NA,NA,"70570","auto","01","10",NA,NA,NA
"13","2021-03-01 16:25:05-03","UNICAMP","UEC","133579","S","Plantae","Magnoliopsida",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(A.DC.) Sch.Bip.","Moraes, MD; Moraes, JHD; Berg, HS","670","2004","04","22",NA,"Brazil","Minas Gerais","Delfinópolis","17km oeste de Delfinópolis para Rifania, no sopé da Serra da Canastra","-46.8539009094238","-20.343900680542","700","700",NA,"Herbácea 1m, flores alvas.; Cerrado.","UEC137885","UEC137885","Moraes, MD",NA,NA,NA,"41380","auto",NA,NA,NA,NA,NA
"14","2021-03-01 16:25:05-03","UNICAMP","UEC","111803","S","Plantae","Magnoliopsida",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(A.DC.) Sch.Bip.","Nakajima, JN; Romero, R; Guilherme, FAG","296","1994","04","19",NA,"Brazil","Minas Gerais","São Roque de Minas","Estrada para Sacramento, 13km da sede administrativa, PARNA Serra da Canastra.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Herbáceo, ca. 0,4m. Brácteas esverdeadas. Colora e estilete brancos.; Campo limpo, solo argiloso (pastagem abandonada)","UEC137884","UEC137884","Esteves, RL","2002",NA,NA,"57119","auto","07","12",NA,NA,NA
"15","2021-03-01 16:25:05-03","UNICAMP","UEC","63504","S","Plantae","Magnoliopsida",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(A.DC.) Sch.Bip.","Ribas, OS; Guimarães, D","448","1992","01","10",NA,"Brazil","Santa Catarina","Campo Alegre","rodeio Grande, subda para Serra do Quiriri.","-49.2655982971191","-26.1924991607666","1100","1100",NA,"Capítulos liláses.; Campo graminoso da encosta do morro.","UEC137886","UEC137886","Esteves, RL","2002",NA,NA,"37493","auto","07","12",NA,NA,NA
"16","2019-11-08 08:50:04-03","FURB","FURB","26383","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Ribas, O.S.; Silva, J.M.","7624","2007","04","12",NA,"Brasil","Minas Gerais","Patos de Minas","Moreira.","-46.5181007385254","-18.5788993835449",NA,NA,NA,NA,"FURB00914","FURB00914","Nakajima, JN","2009",NA,NA,"69541","auto",NA,NA,NA,NA,NA
"17","2019-08-16 08:38:36-03","UTFPR","HCF","16764","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","M.G. Caxambu","6136","2015","04","24",NA,"Brasil","MG","Delfinópolis","Estância Jo, próxima à Serra da Canastra","-46.902444","-20.298","670","670",NA,"erva ca. 0,45 m, heliófita, pilosa. Capítulos alvos.",NA,NA,"E. Barboza","2015","46°54'08,8 W","20°17'52,8 S",NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:16:59-03","MBM","MBM","409290","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Caxambu, M.G.","6136","2015","04","24",NA,"Brasil","Minas Gerais","Delfinópolis","Estância Jo, Próximo à Serra da Canastra","-46.902444","-20.298","670","670",NA,"Erva ca. 0,45 m, heliófita, pilosa. Capítulos alvos.; Relevo: ondulado. Vegetação: Savana (campo sujo).","MBM409290","MBM409290","Barboza, E.","2015","-46.902444","-20.298",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:16:59-03","MBM","MBM","156673","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Hatschbach, G.; Schinini, A.; Silva, J.M.; Schinini, A.; Silva, J.M.","58747","1993","02","09","Southern America","Brazil","Mato Grosso do Sul","Ponta Porã","22km O da rodovia para Antônio João","-55.7256011962891","-22.5361003875732",NA,NA,NA,NA,"MBM156673","MBM156673","Robinson, H.",NA,NA,NA,"102608","auto",NA,NA,NA,NA,NA
"20","2020-12-21 16:16:59-03","MBM","MBM","87541","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Hatschbach, G.","47307","1983","12","16","Southern America","Brazil","Mato Grosso do Sul","Tacuru","Rod. MT-642, 5km O de Tacuru","-55.0158004760742","-23.6324996948242",NA,NA,NA,NA,"MBM087541","MBM087541","Robinson, H.",NA,NA,NA,"36822","auto",NA,NA,NA,NA,NA
"21","2020-12-21 16:16:59-03","MBM","MBM","330129","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Ribas, O.S.; Silva, J.M.; Silva, J.M.","7624","2007","04","12","Southern America","Brazil","Minas Gerais","Patos de Minas","Moreira","-46.5181007385254","-18.5788993835449",NA,NA,NA,"Herbácea, até 1m, capítulo alvo. Do cerrado","MBM330129",NA,"Nakajima, J.","2009",NA,NA,"69541","auto","09",NA,NA,NA,NA
"22","2020-12-11 11:33:25-03","UFMG","BHCB","50369","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Figueira, JEC; Miranda, CAK; Canelas, MAS; Martins, VCS","s.n.","2000","02","22","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó., Próximo às Vellozias Gigantes (C1) e Charco (C2)","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Erva. Brácteas verdes. Flores roxas; Campo limpo (campo de altitude)","BHCB016200",NA,NA,"2015",NA,NA,"26557","auto","11",NA,NA,NA,NA
"23","2009-06-30 11:50:00-03","MO","MOBOT","100197631","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","J.N. Nakajima|R. Romero|F.A.G. Guilherme","Nakajima 296","1994","4","19","South America","Brazil","Minas Gerais",NA,"Estrada para Sacramento, 13 km da sede administrativa, Parna Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,NA,NA,NA,NA,"J.N. Nakajima",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","2010-06-15 16:09:00-03","MO","MOBOT","1073186","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Elsa M. Zardini|S. Zavala","Zardini 44236","1996","1","17","South America","Paraguay","San Pedro",NA,"Yaguareté forest. (Sustainable Forest Systems Site). Cerrado scrub on red sandy soil (study site).","-56.0794445","-23.8055556","180.00000000",NA,NA,NA,NA,NA,"2002",NA,NA,NA,NA,NA,NA,NA,"4","1041",NA
"25","2017-03-16 11:26:00-03","MO","MOBOT","1226792","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Elsa M. Zardini|Leongino Guerrero","Zardini 46498","1997","2","26","South America","Paraguay","Amambay",NA,"Parque Nacional Cerro Corá. Buffer zone.","-56.0105556","-22.6861111",NA,NA,NA,NA,NA,NA,"Harold Robinson (US)",NA,NA,NA,NA,NA,NA,NA,"4","1094",NA
"26","2010-06-09 15:17:00-03","MO","MOBOT","1227739","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Elsa M. Zardini|Leongino Guerrero","Zardini 46914","1997","5","28","South America","Paraguay","San Pedro",NA,"Yaguareté Forest (Sustainable Forest Systems site): trail to Céspedes Cué. Cerrado scrub. Collecting area: 200 m 2 of removed soil adjacent to a 1 hectare cleared land.","-56.1130556","-23.8102778","200.00000000",NA,NA,NA,NA,NA,"Harold Robinson (US)",NA,NA,NA,NA,NA,NA,NA,"3","1103",NA
"27","2010-06-09 15:18:00-03","MO","MOBOT","1265061","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Elsa M. Zardini|Leongino Guerrero","Zardini 47965","1998","1","15","South America","Paraguay","Canindeyú",NA,"Mbaracayú Natural Reserve, administered by Fundación Moises Bertoni. Cerrado scrub.","-55.2791667","-24.1877777",NA,NA,NA,NA,NA,NA,"Harold Robinson (US)",NA,NA,NA,NA,NA,NA,NA,"4","1128",NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","1283189","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Elsa M. Zardini|Leongino Guerrero","Zardini 48323","1998","3","12","South America","Paraguay","San Pedro",NA,"Yaguarete Forest (Sustainable Forest Systems site) around aserradero. Cerrado scrub and cerrado forest. Same spot as Zardini #43575-43673 (August) #44256-44307 (January), #45567-45640 (October) and #46791-46903 (May); collecting area: around two hectares.","-56.21138","-23.79611","210.00000000",NA,NA,NA,NA,NA,"Harold Robinson (US)",NA,NA,NA,NA,NA,NA,NA,"4","1135",NA
"29","2014-10-21 15:54:00-02","MO","MOBOT","3323877","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Fátima Mereles","Mereles H. 003396","1989","11","11","South America","Paraguay","Amambay",NA,"Parque Nacional Cerro Cora.",NA,NA,NA,NA,NA,NA,NA,NA,"E.K.O. Hattori",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"30","2016-11-17 10:44:00-02","MO","MOBOT","3361101","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","F. Javier Fernández Casas|J. Molero","Fernández Casas 5965","1982","2","4","South America","Paraguay","Canindeyú",NA,"17 km al Sur Ype-Hu, en matorral denso de un cerrado tpico",NA,NA,NA,NA,NA,NA,NA,NA,"N. Soria",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"31","2017-11-17 14:50:00-02","MO","MOBOT","3361166","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Alexander C. Brade","Brade 16191","1940",NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Pruski (MO)",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"32","2017-11-17 14:50:00-02","MO","MOBOT","3361213","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","BRADE","BRADE 16191","1940",NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Pruski (MO)",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"33","2017-11-17 14:51:00-02","MO","MOBOT","3361252","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Lima","Lima 78048",NA,NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Pruski (MO)",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"34","2017-11-17 14:56:00-02","MO","MOBOT","3361284","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Ezechias P. Heringer|Tarciso S. Filgueiras|Roberta C. de Mendonça|Anajúlia E. Heringer Salles|B.A.S. Pereira|F. Chagas|E.S. Silva","Heringer 4519","1980","4","20","South America","Brazil","Distrito Federal",NA,"Bacia do Rio S. Bartolomeus",NA,NA,NA,NA,NA,NA,NA,NA,"John Pruski (MO)",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"35","2014-10-21 15:46:00-02","MO","MOBOT","573215","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Elsa M. Zardini|et al.","Zardini 4173","1988","1","7","South America","Paraguay","Amambay",NA,"Parque Nacional Cerro Corá. Cerrado en límite Oeste del Parque.",NA,NA,NA,NA,NA,NA,NA,NA,"E.K.O. Hattori",NA,NA,NA,NA,NA,NA,NA,"3","88-6",NA
"36","2014-10-21 15:52:00-02","MO","MOBOT","977153","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Nélida Soria","Soria Rey 5872","1993",NA,NA,"South America","Paraguay","Amambay",NA,"Parque Nacional Cerro Corá, camino a la Col. Naranja jhai.",NA,NA,NA,NA,NA,NA,NA,NA,"E.K.O. Hattori",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"37","2014-10-21 15:51:00-02","MO","MOBOT","978136","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Nélida Soria","Soria Rey 6037","1993",NA,NA,"South America","Paraguay","Amambay",NA,"Parque Nacional Cerro Corá, limite O, cerca de la Col. Aceite-i.",NA,NA,NA,NA,NA,NA,NA,NA,"E.K.O. Hattori",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"38","2014-10-21 15:49:00-02","MO","MOBOT","985751","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Nélida Soria","Soria Rey 5684","1992",NA,NA,"South America","Paraguay","Amambay",NA,"Parque Nacional Cerro Corá, Cerrado camino al Cerro Alambique.",NA,NA,NA,NA,NA,NA,NA,NA,"E.K.O. Hattori",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"39","2019-05-23 11:07:55-03","UFLA","ESAL","12635","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","M. L. Gavilanes(5188); S. D'Angelo Neto","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras","Parque Ecologico Quedas do Rio Bonito","-44.999444","-21.245278",NA,NA,NA,"erva; 0.20; esbranquiçada;; campo rupestre",NA,NA,"Martins, CPV","2017","-44.999444","-21.245278",NA,NA,"09",NA,NA,NA,NA
"40","2019-05-23 11:07:55-03","UFLA","ESAL","13851","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Lourenço, RA","161",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras","Parque Ecologico Quedas do Rio Bonito","-44.999444","-21.245278",NA,NA,NA,"erva; 0.42; ;",NA,NA,"Martins, CPV","2017","-44.999444","-21.245278",NA,NA,"09",NA,NA,NA,NA
"41","2019-12-17 13:53:22-03","UFLA","ESAL","30857","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Mourão, B; Mansanares, M E; Ribeiro, W S; Tro","5","2016","04","07",NA,"Brasil","Minas Gerais","Mindurí","Camping da Lua, Brejo","-44.584444","-21.608333",NA,NA,NA,"Subarbusto, capítulo com brácteas involucrais vináceas, papus creme e flores com ramos do estigma roxos; Brejo",NA,NA,"Martins, C P V","2017","-44.584444","-21.608333",NA,NA,"02",NA,NA,NA,NA
"42","2019-08-20 12:04:41-03","UFLA","ESAL","31433","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Arruda, I A C; Mansanares, M E; Martins, C P V; Ribeiro, W S","84","2015","09","22",NA,"Brasil","Minas Gerais","Itutinga","Serra do Pombeiro porção Sul","-44.690556","-21.393056","1111","1111",NA,"Erva, 30cm, filárias com base verde claro, ápice verde escuro e flores creme.; Campo Rupestre, campo geral.",NA,NA,"Martins, C P V","2017","-44.690556","-21.393056",NA,NA,"09",NA,NA,NA,NA
"43","2019-08-20 12:04:41-03","UFLA","ESAL","31494","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Arruda, I A C; Martins, C P V; Ribeiro, W S","283","2015","11","28",NA,"Brasil","Minas Gerais","Itutinga","Serra do Galinheiro","-44.771611","-21.421083","1073","1073",NA,"Erva, 40cm, filárias verdes com ápice vináceo, papus creme, flores brancas e estilete branco.; Campo Rupestre, campo geral arenoso.",NA,NA,"Martins, C P V","2017","-44.771611","-21.421083",NA,NA,"09",NA,NA,NA,NA
"44","2019-08-20 12:04:41-03","UFLA","ESAL","31563","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Arruda, I A C; Martins, C P V","476","2016","02","27",NA,"Brasil","Minas Gerais","Itutinga","Serra do Pombeiro porção Sul","-44.723472","-21.389861","1033","1033",NA,"Subarbusto, 30cm, filárias da base do capítulo verdes c/ ápice vináceo, filárias do ápice do capítulo vináceas, flores brancas c/ ramos estigmáticos brancos.; Campo Rupestre, campo geral arenoso úmido.",NA,NA,"Martins, C P V","2017","-44.723472","-21.389861",NA,NA,"09",NA,NA,NA,NA
"45","2019-08-20 12:04:41-03","UFLA","ESAL","31607","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Arruda, I A C; Martins, C P V; Ribeiro, W S","619","2016","03","21",NA,"Brasil","Minas Gerais","Itutinga","Serra do Pombeiro porção Norte","-44.757778","-21.35525","1193","1193",NA,"Subarbusto, 40cm, filárias verde-escuro c/ bordas vináceas, flores brancas, ramos estigmáticos brancos e papus acastanhados.; Campo Rupestre, campo geral arenoso.",NA,NA,"Martins, C P V","2017","-44.757778","-21.35525",NA,NA,"09",NA,NA,NA,NA
"46","2019-08-20 12:04:41-03","UFLA","ESAL","32140","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Martins, CPV; Ribeiro, WS","442","2016","04","10",NA,"Brasil","Minas Gerais","Lavras","Serra do Campestre, início da Serra a partir da rodovia Lavras-Luminárias em direção a leste.","-44.979167","-21.339778","111","111",NA,"Subarbusto com aproximadamente 50cm; filárias verdes e flores alvas.; Campo Limpo (graminóide pedregoso) em área de Campo Rupestre",NA,NA,NA,NA,"-44.979167","-21.339778",NA,NA,NA,NA,NA,NA,NA
"47","2019-05-23 11:07:55-03","UFLA","ESAL","30850","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Domingos, DQ; Cambraia, CFC","401","2008","03","30",NA,"Brasil","Minas Gerais","Lavras","Parque Ecológico Quedas do Rio Bonito, Próximo às estufas","-44.999698638916","-21.2453002929688",NA,NA,NA,"Possui brácteas involucrais vináceas e flores magentas; Cerrado",NA,NA,"Mansanares, M E","2016",NA,NA,"20044","auto","02",NA,NA,NA,NA
"48","2019-12-19 11:17:26-03","UFG","UFG","44596","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Resende, I.L.M.","233","2008","05","31",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.7925","-17.0175",NA,NA,NA,NA,"UFG0044596","UFG0044596","Nakahima, J.","2009","-48.7925","-17.0175",NA,NA,"07","20",NA,NA,NA
"49","2019-12-19 11:17:26-03","UFG","UFG","44642","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Resende, I.L.M.","781","2008","12","15",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.801389","-17.024167",NA,NA,NA,NA,"UFG0044642","UFG0044642","Nakahima, J.","2009","-48.801389","-17.024167",NA,NA,"07","20",NA,NA,NA
"50","2019-12-19 11:17:26-03","UFG","UFG","44686","S","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Resende, I.L.M.","1457","2009","04","15",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.7925","-17.016389",NA,NA,NA,NA,"UFG0044686","UFG0044686","Nakahima, J.","2009","-48.7925","-17.016389",NA,NA,"07","20",NA,NA,NA
