"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","class","individualCount","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"11","2019-05-06 12:03:00-03","UFU","HUFU","37452","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.","Oliveira, G.C.","2029","2002","12","23",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itororó, A 300 metros da estrada vicinal RM 479, na altura do km 1,3.","-48.2771987915039","-18.9186000823975",NA,"Herbácea ca. de 0,30 m.; Vereda.","HUFU00033124","HUFU00033124",NA,NA,NA,NA,"2005","03","18",NA,NA,"58223","auto"
"12","2019-05-06 12:03:00-03","UFU","HUFU","41484","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.","Oliveira, G.C.","2624","2002","01","31",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, A 6 km da BR 050, na altura do km 25.","-48.2771987915039","-18.9186000823975",NA,"Herbácea ca. de 0,4 m.; Vereda.","HUFU00033120","HUFU00033120",NA,NA,NA,NA,"2005","04","18",NA,NA,"58223","auto"
"13","2019-05-06 12:03:00-03","UFU","HUFU","41478","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Oliveira, G.C.","2386","2003","01","22",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itororó, a 300 metros da estrada vicinal RM 479, na altura do km 1,3.","-48.2771987915039","-18.9186000823975",NA,"Herbácea, ca. 0,45 m. Amarela.; Vereda.","HUFU00033118","HUFU00033118",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"14","2019-05-06 12:03:00-03","UFU","HUFU","41479","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Oliveira, G.C.","2384","2003","01","22",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itororó, a 300 metros da estrada vicinal RM 479, na altura do km 1,3.","-48.2771987915039","-18.9186000823975",NA,"Herbácea, ca. 0,4 m. Amarela.; Vereda.","HUFU00033126","HUFU00033126",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"15","2019-05-06 12:03:00-03","UFU","HUFU","37467","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.","Oliveira, G.C.","2026","2002","12","23",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itororó, A 300 metros da estrada vicinal RM 479, na altura do km 1,3.","-48.2771987915039","-18.9186000823975",NA,"Herbácea ca. de 0,35 m.; Vereda.","HUFU00033127","HUFU00033127",NA,NA,NA,NA,"2005","03","18",NA,NA,"58223","auto"
"16","2019-05-06 12:03:00-03","UFU","HUFU","18825","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Araújo, G.M.","2108","1999","02","05",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itororó, Borda e meio da vereda 1.","-48.2771987915039","-18.9186000823975",NA,"Planta ca. de 35 cm de altura. Flor amarela.; Vereda.","HUFU00033122","HUFU00033122",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"17","2019-05-06 12:03:00-03","UFU","HUFU","22397","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Barbosa, A.A.A.","3095","2000","02","04",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itororó, Meio da vereda 1, lado direito","-48.2771987915039","-18.9186000823975",NA,"Erva com flor amarela, com botões.; Vereda.","HUFU00033113","HUFU00033113",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"18","2019-05-06 12:03:00-03","UFU","HUFU","27820","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Amaral, A.F.","s.n.","2001","01","22",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itroró","-48.2771987915039","-18.9186000823975",NA,NA,"HUFU00033123","HUFU00033123",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"19","2020-08-04 12:49:14-03","UFU","HUFU","17781","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Arantes, A.A.A.","Amaral, A.F.","9","1998","05","12",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itroró, Vereda 1.","-48.2771987915039","-18.9186000823975",NA,"Folhas retorcidas, flores amarelas.","HUFU00033114","HUFU00033114",NA,NA,NA,NA,"2005","09",NA,NA,NA,"58223","auto"
"20","2020-11-26 10:01:07-03","IBt","SP","374514","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Oliveira, GC","2217","2003","01","20",NA,"Brasil","Minas Gerais","Uberaba",NA,"-47.9319000244141","-19.7483005523682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73879","auto"
"21","2020-11-26 10:01:07-03","IBt","SP","376820","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Oliveira, GC","2386","2003","01","22",NA,"Brasil","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"22","2020-11-26 10:01:07-03","IBt","SP","374513","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Oliveira, GC","2267","2003","01","21",NA,"Brasil","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"23","2020-11-26 10:01:07-03","IBt","SP","376811","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Oliveira, GC","2820","2002","12","23",NA,"Brasil","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto"
"24","2021-01-07 09:34:39-03","IBt","SP","446592","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"Tannus, JLS","508","2001","12","13",NA,"Brasil","São Paulo","Itirapina",NA,"-47.8199996948242","-22.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22843","auto"
