"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","imagecode","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","monthIdentified","dayIdentified"
"11","2020-08-31 09:06:28-03","INPA","INPA","123117","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Kirkbride Junior, JH","4588","1981","12","16","Southern America","Brasil","Distrito Federal",NA,"Encosta do Morro da Canastra à base da escarpa","-47.9","-15.583333",NA,NA,NA,NA,NA,"INPA0123117",NA,"Wurdack, JJ","1983","INPA0123117 INPA0123117_e",NA,"-47.9","-15.583333",NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","2530443","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack","Holotype","H. S. Irwin","11197","1965","12","11","South America - Neotropics","Brazil","Distrito Federal",NA,"Lagoa Paranoa.",NA,NA,NA,NA,NA,NA,NA,"US00120285",NA,NA,NA,"US00120285_01",NA,NA,NA,"Dicotyledonae","1",NA,NA
"13","2020-09-02 16:33:00-03","Cenargen","CEN","74708","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Eduarda Barreto Andrade Dias","200","2006","11","23",NA,"Brasil","DF","BRASILIA","Parque Nacional de Brasília","-47.936666","-15.663333",NA,"1114","1114","Exsicatas",NA,"CEN00074708",NA,"A. F. A. Versiane","2015","CEN00074708",NA,"-47.936666","-15.663333",NA,"2","09",NA
"14","2019-09-04 19:06:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis",NA,"Type [status unknown]","A. Glaziou","21311","1894",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"15","2019-09-04 19:39:02-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis",NA,"Type [status unknown]","A. Glaziou","21311","1894","8","18","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"16","2019-11-01 15:04:00-03","UnB","UB","100690","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Cogn.",NA,"Kirkbride Junior, JH","4588","1981","12","16","Southern America","Brasil","Distrito Federal",NA,"Morro da Canastra","-47.9","-15.583333",NA,NA,NA,NA,NA,NA,NA,"Wurdack, JJ",NA,NA,NA,"-47.9","-15.583333",NA,NA,NA,NA
"17","2019-05-06 11:59:23-03","UFU","HUFU","50359","S","Plantae",NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Dias, F.B.A.; Amaral-Santos, A. & Silveira, A.M.","200","2006","11","23",NA,"Brasil","Distrito Federal","Brasília","Parque Nacional de Brasília","-47.9296989440918","-15.7797002792358","70570",NA,NA,NA,"Campo rupestre, afloramneto rochoso, relevo inclinado.","HUFU00061043","auto","Versiane, A.F.A.","2015","HUFU00061043",NA,NA,NA,NA,NA,"09","14"
"18","2019-05-06 11:59:23-03","UFU","HUFU","38791","S","Plantae",NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Heringer, E.P.; Fiqueiras, I.S.; et al.","s.n.","1980","03","24",NA,"Brasil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9296989440918","-15.7797002792358","70570",NA,NA,NA,"Mata ciliar.","HUFU00061044","auto","Versiane, A.F.A.","2015","HUFU00061044",NA,NA,NA,NA,NA,"09","14"
"19","2019-05-06 11:59:23-03","UFU","HUFU","76822","S","Plantae",NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Fidelis, A.; Daibes, L.F.; Barbosa, E.G. & Rosa, J.G.","921","2014","02","09",NA,"Brasil","Goiás","Cavalcante","Reserva Natural Serra do Tombador, Área recém queimada (16 meses).","-47.4583015441895","-13.7974996566772","92497",NA,NA,NA,"Flor lilás escuro, folha pilosa.; Campo sujo.","HUFU00074603","auto","Romero, R.","2018","HUFU00074603",NA,NA,NA,NA,NA,"08","24"
"20","2016-04-05 09:29:37-03","CAS","CAS-BOT","498822","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Heringer, E. P.; Figueiras, T. S.; Mendonça, R. C.; Pereira, B. A. S.; Heringer Salles, A. E.; Chagas e Silva, F.","4061","1980","3",NA,"South America","Brazil","Distrito Federal","Brasilia","Bacia do Rio São Bartolomeu. Quadrícula No. 155.","-47.9296989440918","-15.7797002792358","70570",NA,NA,NA,"Subarbusto; folhas com bordos pilosos; flores corola rósea; estames amarelados ou avermelhados; beira de mata ciliar.",NA,"auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"21","2019-11-21 10:09:44-03","IBt","SP","194995","S","Plantae",NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Kirkbride Jr, JH","4588","1981","12","16",NA,"Brasil","Distrito Federal","Brasília","Encosta do Morro da Canastra, à base da escarpa","-47.9","-15.583333",NA,"1040","1040",NA,NA,NA,NA,"Wurdack, JJ","1983",NA,NA,"-47.9","-15.583333",NA,NA,NA,NA
"22","2009-09-22 10:32:59-03","UM","RECOLNAT_UM_MPU","MPU013413","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Glaz.","isosyntype","Glaziou, A.",NA,"1894","1","1",NA,"Brésil",NA,NA,"Plateau de Goyaz : Guariroba au Morro do Cabatão",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu013413' target='other'> <mi>dwc_moreinfo</mi></a>","MPU013413",NA,"Cogniaux",NA,NA,"21311",NA,NA,NA,NA,NA,NA
