"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","yearIdentified","typeStatus","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"22","2019-08-16 08:41:26-03","UTFPR","HCF","20697","S","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","E.D. Lozano","1585","2013","10","29",NA,"Brasil","PR","Piraquara","Reservatório Piraquara II, estrada para","-49.024444","-25.513889",NA,NA,NA,"Cespitosa, 50 cm, flores amarelas, campo limpo úmido. Campos de Curitiba.",NA,NA,"E.D. Lozano",NA,NA,NA,"2014",NA,NA,NA,"49°01'28 W","25°30'50 S",NA,NA
"23","2020-12-21 16:47:51-03","MBM","MBM","401752","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.","2138","2013","12","04","Southern America","Brazil","Paraná","Balsa Nova","São Luís do Purunã, Fazenda Tamanduá","-49.714722","-25.538611",NA,NA,NA,"Cespitosa, 30 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401752","MBM401752","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.714722","-25.538611",NA,NA
"24","2020-12-21 16:47:51-03","MBM","MBM","401753","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.","2147","2013","12","04","Southern America","Brazil","Paraná","Balsa Nova","São Luís do Purunã, próximo a Pousada Cainã","-49.724444","-25.438611",NA,NA,NA,"Cespitosa, 40 cm, flores amarelas, campo úmido, Próximo a rio lajeado.; Campos Gerais.","MBM401753","MBM401753","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.724444","-25.438611",NA,NA
"25","2020-12-21 16:47:51-03","MBM","MBM","401757","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Reginato, M.; Engels, M.E.; Reginato, M.","2555","2014","01","22","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, próximo ao cume do Pico Itapiroca","-48.834722","-25.245556",NA,NA,NA,"Cespitosa, 40 cm, flores alvas, fim da floração, campo úmido.; Refugio Vegetacional Altomontano.","MBM401757","MBM401757","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-48.834722","-25.245556",NA,NA
"26","2020-12-21 16:47:51-03","MBM","MBM","401759","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","1699","2013","11","02","Southern America","Brazil","Paraná","Carambeí","Alto Carambeí, estrada para o Rio São João","-50.123056","-24.905833",NA,NA,NA,"Cespitosa, 30 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401759","MBM401759","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-50.123056","-24.905833",NA,NA
"27","2020-12-21 16:47:51-03","MBM","MBM","401761","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Brotto, M.L.; Brotto, M.L.","2618","2014","02","09","Southern America","Brazil","Paraná","Morretes","Conjunto Marumbi, Pico Boa Vista","-48.928611","-25.4575",NA,NA,NA,"Cespitosa, 50 cm, flores amarelas, campo limpo.; Refugio Vegetacional Altomontano.","MBM401761","MBM401761","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-48.928611","-25.4575",NA,NA
"28","2020-12-21 16:47:51-03","MBM","MBM","401762","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Blum, C.T.; Scheer, M.B.; Blum, C.T.; Scheer, M.B.","2712","2014","07","23","Southern America","Brazil","Paraná","Morretes","Serra da Igreja, Morro Primeiro de Maio","-48.854444","-25.61",NA,NA,NA,"Cespitosa, 50 cm, em fruto passado, campo sujo.; Refugio Vegetacional Altomontano.","MBM401762","MBM401762","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-48.854444","-25.61",NA,NA
"29","2020-12-21 16:47:51-03","MBM","MBM","401764","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.","2474","2013","12","19","Southern America","Brazil","Paraná","Palmeira","Fazenda Boiada","-49.8625","-25.285556",NA,NA,NA,"Cespitosa, 50 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401764","MBM401764","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.8625","-25.285556",NA,NA
"30","2020-12-21 16:47:51-03","MBM","MBM","401769","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Felitto, G.; Felitto, G.","1168","2012","10","09","Southern America","Brazil","Paraná","Ponta Grossa","Fazenda Capão das Almas","-49.855","-25.285556",NA,NA,NA,"Herbácea, 30 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401769","MBM401769","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.855","-25.285556",NA,NA
"31","2020-12-21 16:47:51-03","MBM","MBM","401770","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Felitto, G.; Saridakis, D.P.; Felitto, G.; Saridakis, D.P.","1208","2012","12","19","Southern America","Brazil","Paraná","Ponta Grossa","PARNA dos Campos Gerais, Cachoeira São Jorge","-50.055833","-25.034444",NA,NA,NA,"Herbácea, 30 cm, flores amarelas, cespitosa, solo raso e arenoso, campo úmido.; Campos Gerais.","MBM401770","MBM401770","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-50.055833","-25.034444",NA,NA
"32","2020-12-21 16:47:51-03","MBM","MBM","401771","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Damasceno, B.; Damasceno, B.","2505","2013","12","20","Southern America","Brazil","Paraná","Ponta Grossa","PARNA dos Campos Gerais, Cachoeira São Jorge","-50.055556","-25.034444",NA,NA,NA,"Cespitosa, 30 cm, flores amarelas, campo úmido, margem do Rio São Jorge.; Campos Gerais.","MBM401771","MBM401771","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-50.055556","-25.034444",NA,NA
"33","2020-12-21 16:47:51-03","MBM","MBM","401984","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Ariati, V.; Peffer, R.A.; Peffer, R.A.","1030","2014","10","25","Southern America","Brazil","Paraná","Tijucas do Sul","Morro Araçatuba, no cume","-48.983333","-25.9",NA,NA,NA,NA,"MBM401984","MBM401984","Lozano, E.D.",NA,NA,NA,"2015",NA,NA,NA,"-48.983333","-25.9",NA,NA
"34","2020-12-21 16:47:51-03","MBM","MBM","429226","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Silva, J.M.; Reis-Silva, G.A.; Silva, J.M.; Reis-Silva, G.A.","4030","2017","11","23","Southern America","Brazil","Paraná","Balsa Nova","Recanto dos Papagaios, no entorno","-49.766917","-25.468083",NA,NA,NA,"Herbácea, cespitosa, 40 cm, flor amarela, em campo úmido.; Campos Gerais.","MBM429226",NA,"Lozano, E.D.",NA,NA,NA,"2017",NA,NA,NA,"-49.766917","-25.468083",NA,NA
"35","2020-12-21 16:47:51-03","MBM","MBM","429473","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Barboza, E.; Canestraro, B.K.; Barboza, E.; Canestraro, B.K.","4635","2020","01","22","Southern America","Brazil","Santa Catarina","Campo Alegre","Campos do Quiriri","-48.975639","-26.023917",NA,NA,NA,"Herbácea, cespitosa, 30 cm, flor amarela, em banhado.; Campo de Altitude.","MBM429473",NA,"Lozano, E.D.",NA,NA,NA,"2020",NA,NA,NA,"-48.975639","-26.023917",NA,NA
"36","2020-12-21 16:47:51-03","MBM","MBM","250521","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Ziller, S.R.","1738","1999","01","03","Southern America","Brazil","Paraná","Balsa Nova","Rod. BR-277, próximo ao trevo com a Rod. BR-376","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"MBM250521","MBM250521","Hatschbach, G.","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:47:51-03","MBM","MBM","301138","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Mocochinski, A.Y.; Scheer, M.B.; Milano, M.Z.; Proença, R.T.; Scheer, M.B.; Milano, M.Z.; Proença, R.T.","234","2003","11","14","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Pico Tucum","-49.0553016662598","-25.3055992126465","1700","1700",NA,"Refugio Vegetacinal Altomontano.","MBM301138","MBM301138","Scheer, M.B.","55154","auto",NA,"2004",NA,"07",NA,NA,NA,NA,NA
"38","2020-12-21 16:47:51-03","MBM","MBM","35982","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Hatschbach, G.","7480","1960","11","16","Southern America","Brazil","Paraná","Curitiba","Atuba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM035982","MBM035982","Smith, L.B.","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:47:51-03","MBM","MBM","35986","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Hatschbach, G.","7470","1960","11","16","Southern America","Brazil","Paraná","Curitiba","Atuba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM035986","MBM035986","Smith, L.B.","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:47:51-03","MBM","MBM","176569","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Motta, J.T.","1048","1987","08","08","Southern America","Brazil","Paraná","Morretes","Marumbi, pico Boa Vista","-48.834400177002","-25.476900100708",NA,NA,NA,"Erva, flor amarela.; Em depressão úmida.","MBM176569","MBM176569","Lozano, E.D.","30514","auto",NA,"2014",NA,"09","09",NA,NA,NA,NA
"41","2020-12-21 16:47:51-03","MBM","MBM","35985","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Hatschbach, G.","13518","1966","01","13","Southern America","Brazil","Paraná","Palmeira","Fazenda Boiada","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"MBM035985",NA,"Smith, L.B.","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:47:51-03","MBM","MBM","129621","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Cordeiro, J.; Silva, J.M.; Silva, J.M.","593","1988","11","30","Southern America","Brazil","Paraná","São José dos Pinhais","Mergulhão","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM129621","MBM129621","Kral, R.","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:47:51-03","MBM","MBM","161216","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Cordeiro, J.; Barboza, E.; Barboza, E.","934","1992","11","19","Southern America","Brazil","Santa Catarina","Campo Alegre","Serra do Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"MBM161216","MBM161216","Kral, R.","37493","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:47:51-03","MBM","MBM","2992","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Reitz, R.; Klein, R.M.; Klein, R.M.","10485","1960","12","21","Southern America","Brazil","Santa Catarina","São Francisco do Sul","Morro do Campo Alegre","-48.6380996704102","-26.2432994842529",NA,NA,NA,NA,"MBM002992","MBM002992","Smith, L.B.","23627","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:47:51-03","MBM","MBM","401758","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.","2169","2013","12","04","Southern America","Brazil","Paraná","Campo Largo","São Luís do Purunã, próximo ao portal","-49.710556","-25.474167",NA,NA,NA,"Cespitosa, 50 cm, flores amarelas, em barranco a beira da estrada.; Campos Gerais.","MBM401758","MBM401758","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.710556","-25.474167",NA,NA
"46","2020-12-21 16:47:51-03","MBM","MBM","389086","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Motta, J.T.; Dombrowski, L.T.; Cordeiro, J.; Saridakis, D.P.; Dombrowski, L.T.; Cordeiro, J.; Saridakis, D.P.","4229","2013","12","18","Southern America","Brazil","Paraná","Balsa Nova","Estrada Tamanduá-Ponte dos Arcos","-49.709444","-25.478889","1044","1044",NA,"Herbácea; flores amarelas.; Campo úmido.","MBM389086","MBM389086","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.709444","-25.478889",NA,NA
"47","2020-12-21 16:47:51-03","MBM","MBM","401754","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.","2158","2013","12","04","Southern America","Brazil","Paraná","Balsa Nova","São Luís do Purunã, próximo ao Haras Topo da Serra","-49.721667","-25.466944",NA,NA,NA,"Cespítosa, 30 cm, flores amarelas, campo úmido.; Campos Gerais.","MBM401754","MBM401754","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.721667","-25.466944",NA,NA
"48","2020-12-21 16:47:51-03","MBM","MBM","401755","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2179","2013","12","10","Southern America","Brazil","Paraná","Balsa Nova","Recanto dos Papagaios","-49.766944","-25.463889",NA,NA,NA,"Cespitosa, 50 cm, flores amarelas, campo úmido em barranco a beira da estrada.; Campos Gerais.","MBM401755","MBM401755","Lozano, E.D.",NA,NA,NA,"2014",NA,NA,NA,"-49.766944","-25.463889",NA,NA
