"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","eventTime","coordinatePrecision","geoFlag","individualCount"
"11","2021-03-01 16:25:48-03","UNICAMP","UEC","169099","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Bringel Jr, JBA; Rodrigues, AS; Santos, FFM; et al.","108","2004","04","04",NA,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do Gama - DF.&nf;Ambiente: campo sujo.&nf;Relevo: inclinado.&nf;Substrato: plintossolo.&nf;Substrato geral: Plintossolo e alguns (poucos) trechos de solo arenoso.","-48.053889","-16.04",NA,NA,NA,"Material coletado: exsicatas.&nf;Uso: &nf;Frequência relativa: frequente no local.&nf;Cor da flor: roxa.&nf;Cor do fruto: &nf;Hábito: subarbusto com cerca de 80 cm de altura.","UEC007625","UEC007625","Bringel Jr, JBA","2006","07","-48.053889","-16.04",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:25:48-03","UNICAMP","UEC","3719","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Semir, J","s.n.","1976","03","18",NA,"Brazil","Goiás","Chapada dos Viadeiros","15km apos Alto-Paraizo",NA,NA,NA,NA,NA,"Subarbusto até 70cm, flores purpureas.; Nativo em campo rupestre.","UEC138713","UEC138713","Calago, K","1997","11",NA,NA,"20",NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:25:48-03","UNICAMP","UEC","3720","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Semir, J","s.n.","1976","03","18",NA,"Brazil","Goiás","Chapada dos Viadeiros","15km apos Alto-Paraizo",NA,NA,NA,NA,NA,"Herbácio, flores pupureas.; Nativo em campo rupestre.","UEC138714","UEC138714","Calago, K","1997","11",NA,NA,"24",NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:25:48-03","UNICAMP","UEC","42403","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Irwin, HS; Harley, RM; Smith, GL","32817","1971","03","20",NA,"Brazil","Goiás","Chapada dos Viadeiros","surrounded by campo, ca. 19km N. of Alto do paraizo",NA,NA,"1250","1250",NA,"Herb. to ca. 50cm tall.Heads magenta.; Cerrado on steep rocky slopes","UEC138715","UEC138715","Leitão Filho, HF","1985","09",NA,NA,"06",NA,NA,NA,NA,NA,NA
"15","2021-03-25 09:27:02-03","UNICAMP","UEC","89963","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Silva, GP; Pereira, RL","935","1992","03","02",NA,"Brazil","Distrito Federal","Brasília","Rodovia br060 Santo Antonio do Descoberto km1","-48.017072","-15.759053","1000","1000",NA,"flor rosa; Plantas crescendo em lugar umido, mas nao sujeito a encharcamento.","UEC126880","UEC126880","Castro, MS","2016","06","-48.017072","-15.759053","09",NA,NA,NA,NA,NA,NA
"16","2014-10-14 15:56:23-03","BS","M","M-0029356","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","King, R.M.",NA,"1980","01","25",NA,"Brasil",NA,NA,"Distrito Federal Chapada da Contagem, 23 km. NW of the central sector of Brasilia. Wet campo (seasonal marsh) at 3400 ft elevation.",NA,NA,NA,NA,NA,NA,"M0029356",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE","21:00",NA,NA,NA
"17","2020-12-21 16:16:23-03","MBM","MBM","159088","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","59261","1993","06","11","Southern America","Brazil","Goiás","Campo Alegre","Rod. BR-050, 5-8km S do trevo para Ipameri",NA,NA,NA,NA,NA,NA,"MBM159088","MBM159088","Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:16:23-03","MBM","MBM","62404","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","Irwin, H.S.; et al.; et al.","34167","1972","01","15","Southern America","Brazil","Goiás","Pirenópolis","Serra dos Pireneus, ca. 10km E de Pirenópolis","-48.9592018127441","-15.852499961853",NA,NA,NA,NA,"MBM062404","MBM062404","Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,"40887","auto",NA
"19","2020-12-21 16:16:23-03","MBM","MBM","243976","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","Hatschbach, G.; et al.; et al.","70242","2000","02","16","Southern America","Brazil","Goiás","Pirenópolis","Serra dos Pireneus, Fazenda Solar dos Pireneus","-48.9592018127441","-15.852499961853",NA,NA,NA,NA,"MBM243976","MBM243976","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,"40887","auto",NA
"20","2020-10-01 14:15:39-03","JBB","HEPH","18768","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Nóbrega, MGG","1780","2003","02","20","Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília Cristo Redentor","-47.85","-15.866667","1025","1025",NA,NA,NA,NA,"Bringel Júnior, JBA","2003","03","-47.85","-15.866667",NA,NA,NA,NA,NA,NA,NA
"21","2020-10-01 14:15:39-03","JBB","HEPH","19497","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Rodrigues Silva, R; Milhomens, LC","895","2003","09","16","Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília","-47.858611","-15.890278","1130","1130",NA,"Frequente",NA,NA,"Rivera, VL","2005","08","-47.858611","-15.890278",NA,NA,NA,NA,NA,NA,NA
"22","2020-10-01 14:15:39-03","JBB","HEPH","2516","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Maury, CM","137","1982","05","13","Southern America","Brasil","Distrito Federal","Planaltina","Estação Ecológica de Águas Emendadas","-47.613611","-15.545833","1000","1000",NA,NA,NA,NA,"Teles, AM; Oliveira, NV","2015","04","-47.613611","-15.545833",NA,NA,NA,NA,NA,NA,NA
"23","2020-10-01 14:15:39-03","JBB","HEPH","30030","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Munhoz, CBR; Eugênio, CUO; Corrêa, ACG; Bodens, FWP; Nascimento, TR","3588","2008","03","13","Southern America","Brasil","Distrito Federal","Brasília","Jardim Botânico de Brasília","-47.847222","-15.8725",NA,NA,NA,NA,NA,NA,"Fonseca, ML","2009","12","-47.847222","-15.8725",NA,NA,NA,NA,NA,NA,NA
"24","2020-10-01 14:15:39-03","JBB","HEPH","20250","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Oliveira, JS","79","2004","02","06","Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília campo de murundu","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Coordenadas em UTM 22L 019 3976 8241296",NA,NA,"Oliveira, MS",NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA
"25","2020-10-01 14:15:55-03","JBB","HEPH","13598","S","Plantae","Dicotyledon","Asterales","Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Munhoz, CBR; et al.","359","1997","05","30","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda do Dr. Brasil em Água Fria Projeto WWF/ASFLO","-47.509167","-14.0725",NA,NA,NA,NA,NA,NA,"Rivera, VL","1997","05","-47.509167","-14.0725","30",NA,NA,NA,NA,NA,NA
"26","2020-10-01 14:15:55-03","JBB","HEPH","14087","S","Plantae","Dicotyledon","Asterales","Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Oliveira, RC; et al.","1112","1998","05","03","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria","-47.509167","-14.091111","1370","1370",NA,NA,NA,NA,"Rivera, VL","1998","05","-47.509167","-14.091111","03",NA,NA,NA,NA,NA,NA
"27","2020-10-01 14:15:55-03","JBB","HEPH","14325","S","Plantae","Dicotyledon","Asterales","Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Munhoz, CBR; et al.","712","1998","04","26","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Água fria 1","-47.509167","-14.0725","460","460",NA,NA,NA,NA,"Rivera, VL","2003","01","-47.509167","-14.0725",NA,NA,NA,NA,NA,NA,NA
"28","2020-10-01 14:15:55-03","JBB","HEPH","24402","S","Plantae","Dicotyledon","Asterales","Asteraceae","Vernonia","eitenii","Vernonia eitenii","H.Rob.","Amaral, AG; et al.","2171","2008","07","14","Southern America","Brasil","Distrito Federal","Planaltina","Estação Ecológica de Águas emendadas. Próximo à vereda Serrinha, divisa da estação.","-47.577778","-15.586944",NA,NA,NA,"Levantamento realizado para o Plano de Manejo.",NA,NA,"Amaral, AG","2008","08","-47.577778","-15.586944",NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","3277424","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","Gustavo Martinelli","Martinelli 985","1980","10","12","South America","Brazil","Distrito Federal",NA,"Chapada da Contagem, about 35 km N of Brasilia. Cerrado vegetation, occasionally burned over. In dark, moist soil. About 2 to 3 feet tall.",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,"V. L. Rivera (SPF), May/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2011-02-17 10:58:00-02","MO","MOBOT","2697013","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H. Rob.","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 18622","1968","1","15","South America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Serra dos Pirineus. Cerrado. 15 km. N. of Corumbá de Goiás on road to Niquelandia, Goiás in valley of Rio Corumbá. Cerrado and low woods on sandstone slopes.",NA,NA,"1150.00000000",NA,NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA
"31","2009-09-20 11:59:00-03","MO","MOBOT","2697016","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H. Rob.","Robert M. King|Frank Almeda|George Eiten","King 8313","1980","1","26","South America","Brazil","Distrito Federal",NA,"Chapada da Contagem. 23 km. NW of the central sector of Brasilia. Wet campo (seasonal marsh).",NA,NA,"1036.32000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA
"32","2020-08-31 08:53:00-03","INPA","INPA","105976","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Hatschbach, GG","44573","1982","02","10","Southern America","Brasil","Paraná","Mandirituba","Rod. BR-116. Campo graminoso de pequenas colinas.","-49.326099395752","-25.7789001464844",NA,NA,NA,NA,"INPA0105976","INPA0105976 INPA0105976_e","Hatschbach, GG","1982","03",NA,NA,NA,NA,NA,NA,"20385","auto",NA
"33","2019-12-19 11:17:24-03","UFG","UFG","60133","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","Oliveira, N.V.; Silva, G.H.","5","2015","03","12",NA,"Brasil","Goiás","Pirenópolis",NA,"-48.88125","-15.805417","1282","1282",NA,NA,"UFG0060133","UFG0060133","Oliveira, N.V.","2015","03","-48.88125","-15.805417","30",NA,NA,NA,NA,NA,NA
"34","2019-12-19 11:17:29-03","UFG","UFG","8874","S","Plantae",NA,NA,"Asteraceae","Vernonia","eitenii","Vernonia eitenii","H. Rob.","Rizzo, J.A.","8804","1973","02","15",NA,"Brasil","Goiás","Cristalina","Serra dos Topázios","-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,"UFG0008874","UFG0008874","Rivera, V.L.","2005","05",NA,NA,"30",NA,NA,NA,"85457","auto",NA
"35","2020-09-12 05:00:02-03","US","US","2922297","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","R. M. King & L. E. Bishop","8854A","1981","2","7","South America - Neotropics","Brazil","Goiás",NA,"West of road to Monte Alegre de Goias, 12-20 Km. N of Alto Paraiso de Goias",NA,NA,"1219","1341",NA,NA,"US01630615","US01630615_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"36","2020-09-12 05:00:02-03","US","US","3497398","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","J. G. Stutts & G. Martinelli","985","1980","10","12","South America - Neotropics","Brazil","Distrito Federal",NA,"Chapada da Contagem, about 35 km N of Brasilia",NA,NA,"1200",NA,NA,NA,"US01630607","US01630607_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"37","2020-09-12 05:00:02-03","US","US","2922298","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","R. M. King & L. E. Bishop","8853A","1981","2","7","South America - Neotropics","Brazil","Goiás",NA,"West of road to Monte Alegre de Goias, 12-20 Km. N of Alto Paraiso de Goias",NA,NA,"1219","1341",NA,NA,"US01630608","US01630608_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"38","2020-09-12 05:00:02-03","US","US","3389404","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","G. Hatschbach, M. M. Hatschbach, O. S. Ribas & D. Willberg","70242","2000","2","16","South America - Neotropics","Brazil","Goiás",NA,"Serra dos Pireneus, Fazenda Solar dos Pireneus (Mun. Pirenópolis)",NA,NA,"1200","1300",NA,NA,"US01630610","US01630610_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"39","2020-09-12 05:00:02-03","US","US","3398357","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","M. Fonseca & D. Alvarenga","2220","1991","12","23","South America - Neotropics","Brazil","Distrito Federal",NA,"Reserva Ecológica do IBGE; área do Córrego Taquera",NA,NA,"1015",NA,NA,NA,"US01630609","US01630609_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"40","2020-09-12 05:00:02-03","US","US","2858824","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","H. S. Irwin, R. M. Harley & G. L. Smith","32817","1971","3","20","South America - Neotropics","Brazil","Goiás",NA,"The Planalto do Brasil, Chapada dos Veadeiros, ca. 19km N. of Alto do Paraiso",NA,NA,"1250",NA,NA,NA,"US01630613","US01630613_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"41","2020-09-12 05:00:02-03","US","US","2818471","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","H. S. Irwin, R. M. Harley & G. L. Smith","32817","1971","3","20","South America - Neotropics","Brazil","Goiás",NA,"The Planalto do Brasil, Chapada dos Veadeiros, ca. 19km N. of Alto do Paraiso",NA,NA,"1250",NA,NA,NA,"US01630614","US01630614_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"42","2020-09-12 05:00:02-03","US","US","2818374","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","H. S. Irwin, R. Souza & R. Reis dos Santos","11364","1965","12","17","South America - Neotropics","Brazil","Distrito Federal",NA,"The Planalto do Brasil, Cerrado, Chapada da Contagem, ca. 10 km E of Brasília",NA,NA,"1000",NA,NA,NA,"US01630616","US01630616_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"43","2020-09-12 05:00:02-03","US","US","3429051","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","C. B. Munhoz, N. Rodrigues & K. Ramos","2651","2001","3","27","South America - Neotropics","Brazil","Goiás",NA,"Fazenda Agua Fria, Alto Paraíso de Goiás, cerca de 10Km em direcão a Teresina de Goiás",NA,NA,"1448",NA,NA,NA,"US01630611","US01630611_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"44","2020-09-12 05:00:02-03","US","US","3429060","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H. Rob.) H. Rob.","C. B. Munhoz, N. Rodrigues & K. Ramos","2596","2001","3","10","South America - Neotropics","Brazil","Goiás",NA,"Fazenda Agua Fria, Alto Paraíso de Goiás, cerca de 10Km em direcão a Teresina de Goiás",NA,NA,"1448",NA,NA,NA,"US01630612","US01630612_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"45","2020-09-12 05:00:02-03","US","US","2901884","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonia","eitenii","Vernonia eitenii","H. Rob.","R. M. King","8313","1980","1","26","South America - Neotropics","Brazil","Distrito Federal",NA,"Chapada da Contagem.",NA,NA,"1036","1036",NA,NA,"US00147244","US00147244_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Isotype",NA,NA,NA,"1"
"46","2020-09-02 16:21:21-03","Cenargen","CEN","85982","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","cf. eitenii","Lessingianthus cf. eitenii","(H.Rob.) H.Rob.","Cássia Beatriz Rodrigues Munhoz","3812","2008","04","11",NA,"Brasil","DF","BRASILIA","Jardim Botânico de BRasília (JBB) , folha SD-23-Y-C","-47.847222","-15.8725",NA,NA,"Exsicatas","Com sépalas verdes e capítulos roxos, Doação do Instituto Brasileiro de Geografia e Estatística IBGE 72835 - Plantas do Brasil - Distrito Federal.","CEN00085982","CEN00085982","M. L. Fonseca","2008","07","-47.847222","-15.8725",NA,NA,NA,NA,NA,NA,"1"
"47","2020-09-02 16:21:25-03","Cenargen","CEN","104391","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","João Bernardo de Azevedo Bringel Jr.","1204","2015","02","25",NA,"Brasil","DF","BRASILIA","Chapada Imperial, próximo à sede. Campo sujo próximo a buritizal.","-48.107777","-15.557777","1210","1210","Exsicatas",NA,"CEN00104391","CEN00104391","J. B. Bringel","2015","08","-48.107777","-15.557777",NA,NA,NA,NA,NA,NA,"4"
"48","2020-09-02 16:21:25-03","Cenargen","CEN","55663","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","João Bernardo de Azevedo Bringel Jr.","108","2004","04","01",NA,"Brasil","DF","BRASILIA","Reserva Ecológica do Gama-DF.","-48.053888","-16.04",NA,NA,"Exsicatas","Substrato Geral: Plintossolo e alguns (poucos) trechos de solo arenoso.","CEN00055663","CEN00055663","B. M. T. Walter","2016","09","-48.053888","-16.04",NA,NA,NA,NA,NA,NA,"3"
"49","2020-09-02 16:21:25-03","Cenargen","CEN","75768","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Juliene Roveratti Santos","249","2006","03","02",NA,"Brasil","DF","BRASILIA","DF 001 - Boarda do Parque Nacional de Brasília - Brazlândia. Ca. 5 km antes do portão 9","-48.075","-15.628611","1276","1276","Exsicatas",NA,"CEN00075768","CEN00075768","B. M. T. Walter","2016","09","-48.075","-15.628611",NA,NA,NA,NA,NA,NA,"2"
