"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","continentOcean","class","order","individualCount","relatedCatalogItem","typeStatus"
"21","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","24900",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/13-07-2005",NA,NA,NA,"L. Kollmann; et al","8052","2005","07","13","Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul","-41.019167","-20.403889",NA,NA,NA,"Erva 1m. Rupestre no sol, frutos vermelhos, pétalas brancas.","MBML024900",NA,"MBML024900_1 MBML024900_2","41W1'9","20S24'14",NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","24928",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/21-11-2005",NA,NA,NA,"R. L. Teixeira",NA,"2005","08",NA,"Brasil","Espírito Santo","Afonso Cláudio","Três Pontões","-41.046389","-20.076667",NA,NA,NA,"Rupícola no sol.","MBML024928",NA,"MBML024928","41W2'47","20S4'36",NA,NA,NA,NA,NA,NA
"23","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","31201",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/17-07-2007","2007","07","17","L. Kollmann; A.P. Fontana, P. Labiak, M. Kaehler & F. B. Matos","9934","2007","07","17","Brasil","Espírito Santo","Itaguaçu","Caparaó","-40.981111","-19.741389",NA,"1180","1180","Rupícola no sol. Flores brancas.","MBML031201",NA,"MBML031201","40W58'52","19S44'29",NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","31248",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/17-07-2007","2007","07","17","L. Kollmann; A.P. Fontana, P. Labiak, M. Kaehler & F. B. Matos","9952","2007","07","17","Brasil","Espírito Santo","Itaguaçu","Caparaó","-40.981111","-19.741389",NA,"1360","1360","Arbusto, rupícola no so. Frutos secos.","MBML031248",NA,"MBML031248","40W58'52","19S44'29",NA,NA,NA,NA,NA,NA
"25","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","32631",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/06-11-2007",NA,NA,NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10130","2007","11","06","Brasil","Espírito Santo","Itaguaçu","Alto Misterioso, mata divisa com Joacyr Demuner.","-40.775278","-19.806111",NA,"855","855","Pedra 2, rupestre no sol. Flores brancas, frutos verdes com alas avermelhadas.","MBML032631",NA,"MBML032631","40W46'31","19S48'22",NA,NA,NA,NA,NA,NA
"26","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","33247",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. J. C. KOLLMANN, 09/01/2008",NA,NA,NA,"M. Simonelli; R. Brito, L. F. Magnago","1312","2007","11","24","Brasil","Espírito Santo","Santa Teresa","Pedra do Cruzeiro","-40.826111","-19.874444",NA,"868","868","Afloramento rochoso, flores brancas, 1m de alt., face abaxial prateada","MBML033247",NA,"MBML033247","40W49'34","19S52'28",NA,NA,NA,NA,NA,NA
"27","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","35120",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade",NA,NA,NA,NA,"C. Esgario; et al","13","2005","10","12","Brasil","Espírito Santo","Afonso Cláudio","Três Pontões","-41.079722","-20.076667",NA,NA,NA,NA,"MBML035120",NA,"MBML035120","41W4'47","20S4'36",NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","40571",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L.Kollmann/9-11-2010",NA,NA,NA,"L. Kollmann","12083","2010","11","09","Brasil","Espírito Santo","Santa Maria de Jetibá","Garrafão","-40.870278","-20.175",NA,"1000","1000","Planta rupicola ao sol, folhas verdes na face adaxial, prateadas abaxial, inflorescência avermelhada, frutos verdes avermelhados. Floração em cultivo.","MBML040571",NA,"MBML040571","40W52'13","20S10'30",NA,NA,NA,NA,NA,NA
"29","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","42409",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L.Kollmann",NA,NA,NA,"L. Kollmann; A.P.Fontana","12271","2011","04","20","Brasil","Espírito Santo","Vargem Alta",NA,"-40.994306","-20.453056",NA,NA,NA,"Morro de sal, arbusto 2 m ao sol, folhas prateadas face abaxial, botões brancos, frutos secos.","MBML042409",NA,"MBML042409","40W59'39,5","20S27'11",NA,NA,NA,NA,NA,NA
"30","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","42423",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L.Kollmann/19-8-2010",NA,NA,NA,"L. Kollmann; & R.M.Pizziolo","11999","2010","08","19","Brasil","Espírito Santo","Santa Teresa","Alto Rio Perdido","-40.739722","-19.826944",NA,"800","800","Arbusto 2m rupícola ao sol, folhas adaxiais verdes, abaxiais cinzas, inflorescência vermelha.","MBML042423",NA,"MBML042423","40W44'23","19S49'37",NA,NA,NA,NA,NA,NA
"31","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","42430",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L.Kollmann/30-8-2010",NA,NA,NA,"L. Kollmann","12033","2010","08","30","Brasil","Espírito Santo","Santa Maria de Jetibá","Alto São Sebastião","-40.816667","-19.983333",NA,"850","850","Rupícola ao sol, folhas lanulosas face abaxial, inflorescência vermelhas, frutos vermelhos, sépalas e pétalas brancos, estigma e estames amarelos.","MBML042430",NA,"MBML042430","40W49'","19S59'",NA,NA,NA,NA,NA,NA
"32","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","5006",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","E. L. Jacques/10-11-1998",NA,NA,NA,"L. Kollmann","28","1988","07","24","Brasil","Espírito Santo","Itarana","Pedra do Cruzeiro","-40.826111","-19.874444",NA,NA,NA,"Rupícola, heliófila. Associada com velloziaceae. Planta de 1m de altura. Inteiramente coberta de pêlo branco, pedicelo vermelho quando os pêlos caem. Ovário vermelho. Flor branca. Ovário sem asas. Herb/culta. (jardim rupestre).","MBML005006",NA,"MBML005006","40W49'34","19S52'28",NA,NA,NA,NA,NA,NA
"33","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","50700",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann",NA,NA,NA,"L. Kollmann","12450","2012","09","04","Brasil","Espírito Santo","Santa Teresa","Alto Rio Perdido","-40.739722","-19.826944",NA,"700","700","Arbusto 3m, rupicola ao sol, flores brancas, frutos vermelhos.","MBML050700",NA,"MBML050700","40W44'23","19S49'37",NA,NA,NA,NA,NA,NA
"34","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","50708",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L.Kollmann/01-11-2010",NA,NA,NA,"L. Kollmann; R.L. Kollmann","12065","2010","11","01","Brasil","Espírito Santo","Santa Teresa","Alto Rio Perdido","-40.739722","-19.826944",NA,"800","800","Caule marrom com endumento cinza, folhas verdes brilhosas na face adaxial, cinza abaxial, inflorescencia avermelhada, bractea rosada, tepalas branco de base rosa.","MBML050708",NA,"MBML050708","40W44'23","19S49'37",NA,NA,NA,NA,NA,NA
"35","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","52469",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","A.P. Fontana/18-05-2007",NA,NA,NA,"A. P. Fontana; K.A. Brahim, L.N. Lima & W. Pertel","3372","2007","05","18","Brasil","Espírito Santo","Afonso Cláudio","Serra Pelada. Pedra dos Três Pontões. Inselbergue.","-41.037111","-20.076167",NA,"1078","1078","Arbusto, ca. 1,8m. Flores masculinas brancas com base avermelhada e estames amarelos. Projeto CORES-JBRJ.","MBML052469",NA,"MBML052469","41W2'13,6","20S4'34,2",NA,NA,NA,NA,NA,NA
"36","2020-07-24 17:21:05-03","MBML","MBML-HERBARIO","6042",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade",NA,NA,NA,NA,"H. Q. Boudet Fernandes; et al","3000","1990","08","16","Brasil","Espírito Santo","Afonso Cláudio","Alto Três Pontões (pico da antena de rádio amador) - 20º04' S e 41º02'W. Altitude ca. 1050 m. Vegetação rupestre altimontana.","-41.036111","-20.076389",NA,NA,NA,"Erva, até 1m de altura. Indumento branco. Flores brancas com base avermelhada. Campo.","MBML006042",NA,"MBML006042","41W2'10","20S4'35",NA,NA,NA,NA,NA,NA
"37","2020-09-17 15:32:39-03","MBML","MBML-HERBARIO","6995",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/09-07-2001",NA,NA,NA,"H. Q. Boudet Fernandes; Stefan Porembski e Devanir G. Loss","3167","1996","04","13","Brasil","Espírito Santo","Santa Teresa","Pedra Alegre, ca. 850 m/s.m.","-40.824722","-19.888889",NA,NA,NA,"Sub-arbusto ca 1,5m de altura. Ramos e folhas (face abaxial), com indumento lanuginoso branco. Frutos maduros marrons.","MBML006995",NA,"MBML006995","40W49'29","19S53'20",NA,NA,NA,NA,NA,NA
"38","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","8835",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann 10/11/98",NA,NA,NA,"L. Kollmann; E. Bausen & W. Pizziolo","943","1998","11","10","Brasil","Espírito Santo","Santa Teresa","Pedra do Cruzeiro, divisa com Itarana","-40.826111","-19.874444",NA,NA,NA,"Rupícola. Planta 2m. Flores brancas. Frutos vermelhos.","MBML008835",NA,"MBML008835","40W49'34","19S52'28",NA,NA,NA,NA,NA,NA
"39","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","30542",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/23-05-2007","2007","05","23","L. Kollmann; A. P. Fontana & Kaio A. Brahim","9837","2007","05","23","Brasil","Espírito Santo","Afonso Cláudio","Estrada Garrafão, 3 Pontões, Serra Pelada, Mata Fria.","-41.1239013671875","-20.0741996765137","25110",NA,NA,"Arbusto 1,50m no sol. Flores rosas, frutos secos.","MBML030542","auto","MBML030542",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","3376107","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade",NA,NA,NA,NA,"L. J. Kollmann","0028","1988","7","24","Brazil","Espírito Santo","Santa Teresa","Itarana, pedra do cruzeiro","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,NA,"auto",NA,NA,NA,"South America - Neotropics","Dicotyledonae","Violales","1",NA,NA
"41","2020-09-12 05:00:02-03","US","US","2852465","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade",NA,NA,NA,NA,"S. A. Mori, L. A. Mattos Silva & T. S. Santos","10699","1978","9","19","Brazil","Bahia","Itamaraju","Fazenda pau-brasil, ca. 5 km nw of itamaraju, mata higrofila sul baiana","-39.5311012268066","-17.0391998291016","55932",NA,NA,NA,"US00324358","auto","US00324358_01",NA,NA,"South America - Neotropics","Dicotyledonae","Violales","1",NA,NA
"42","2019-10-07 09:24:01-03","UEFS","HUEFS","190653","PreservedSpecimen","Plantae","Angiospermae","Begoniaceae","Begonia","albidula","Begonia albidula","Brade",NA,NA,NA,NA,"Kollmann, L.","11999","2010","08","19","Brasil","Espírito Santo","Santa Teresa","Alto Rio Perdido.","-40.739722","-19.826944",NA,"800","800",NA,"HUEFS0190653",NA,"HUEFS0190653","40W44'23''","19S49'37''",NA,"Rosanae","Cucurbitales",NA,NA,NA
"43","2020-07-23 11:59:43-03","CEPLAC","CEPEC","94132","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula",NA,"E. L. Jacques",NA,NA,NA,"H. Q. B. Fernandes","3000","1990","08","16","Brasil","Espírito Santo","afonso claudio","Alto Três Pontões (pico da antena de rádio amador).","-41.033333","-20.066667",NA,NA,NA,NA,NA,NA,NA,"41W2'","20S4'",NA,NA,NA,NA,"14/01/1998",NA
"44","2020-07-23 11:59:43-03","CEPLAC","CEPEC","63635","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula",NA,"E. L. Jacques",NA,NA,NA,"G. Hatschbach","60096","1993","11","11","Brasil","Espírito Santo","domingos martins","Pedra Azul.","-40.6591987609863","-20.3633003234863","48150",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"30/04/1998",NA
"45","2020-07-23 11:59:43-03","CEPLAC","CEPEC","69192","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula",NA,"E. L. Jacques",NA,NA,NA,"G. Hatschbach","46895","1983","10","16","Brasil","Espírito Santo","domingos martins","Pedra Azul.","-40.6591987609863","-20.3633003234863","48150",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"30/04/1998",NA
"46","2019-11-21 10:01:40-03","IBt","SP","413180","S","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Brade, AC","1950",NA,NA,"Brade, AC","19785","1949","05","12","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.184700012207","-20.6035995483398","23588","1200","1200","Planta 0,5-0,8 m alt.; fl. alvescente","SP000133","auto","SP000133",NA,NA,NA,NA,NA,NA,NA,"Isotype"
