"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","dayIdentified","class","order","fieldNumber","continentOcean","individualCount","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"11","2021-02-08 12:41:57-03","UFRGS","ICN","191401","S","Plantae","Dicotyledon","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos","Molz, M",NA,NA,"Molz, M","s.n.","2012","07","18","Brasil","RS","Porto Alegre","Fundação Zoobotânica.","Arvoreta jovem, 2m altura.; Cultivada.","ICN00023483","ICN00023483",NA,NA,NA,NA,"América do Sul",NA,"-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"12","2021-02-08 12:41:57-03","UFRGS","ICN","171979","S","Plantae","Dicotyledon","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos","Molz, M; Grings, M",NA,NA,"Molz, M; M. Grings, G Seger","s.n.","2012","08","11","Brasil","RS","Três Cachoeiras","Morro Azul, rio Paraíso","WGS-84; Arvoreta com 4 m de altura e flores lilás; Na mata ciliar","ICN00023481","ICN00023481",NA,NA,NA,NA,"América do Sul",NA,"-49.954444","-29.416389",NA,NA,NA,NA,"-49.954444","-29.416389","49","49"
"13","2021-02-08 12:41:57-03","UFRGS","ICN","177351","S","Plantae","Dicotyledon","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos","Molz, M",NA,NA,"Molz, M","s.n.","2014","04","02","Brasil","RS","Morrinhos do Sul","ao lado da ponte sobre o Rio dos Negros","Árvoreta com 4m de altura, flores lilases","ICN00023482","ICN00023482",NA,NA,NA,NA,"América do Sul",NA,"-49.933056","-29.36",NA,NA,NA,NA,"-49.933056","-29.36","22","22"
"14","2021-02-08 12:42:14-03","UFRGS","ICN","123616","S","Plantae","Dicotyledon","Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F. Mattos) M.J. Silva & A.M.G. Azevedo","Silva, MJ","2010","07","Sobral, M; Vignoli-Silva, M; Bordignon, SAL","9465",NA,NA,NA,"Brasil","RS","Três Cachoeiras",NA,"Região de mata atlântica; arvoreta 5m, em beira de rio; flores azul-claras.","ICN00024784","ICN00024784","22",NA,NA,NA,"América do Sul",NA,"-49.9244003295898","-29.4556007385254","17224","auto",NA,NA,NA,NA,NA,NA
"15","2021-02-08 12:42:14-03","UFRGS","ICN","111223","S","Plantae","Dicotyledon","Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F. Mattos) M.J. Silva & A.M.G. Azevedo","Silva, MJ","2010","07","Laroca, J; Balbueno, R","95034","1995","09","24","Brasil","RS","São Francisco de Paula","Aratinga",NA,"ICN00024785","ICN00024785 ICN00024785_1","22",NA,NA,NA,"América do Sul",NA,"-50.5835990905762","-29.4480991363525","76715","auto",NA,NA,NA,NA,"838","838"
"16","2021-02-08 12:42:14-03","UFRGS","ICN","089954","S","Plantae","Dicotyledon","Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F. Mattos) M.J. Silva & A.M.G. Azevedo","Silva, MJ","2010","07","Waechter, JL","2431","1990","10","18","Brasil","RS","Torres",NA,"Arbusto de + ou - 1,5m de altura, infl. pêndulas e flores violáceas; frutos verdes.; em barranco rochoso na beira de um rio.","ICN00024787","ICN00024787 ICN00024787_1","22",NA,NA,NA,"América do Sul",NA,"-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA
"17","2021-02-08 12:42:14-03","UFRGS","ICN","135627","S","Plantae","Dicotyledon","Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F. Mattos) M.J. Silva & A.M.G. Azevedo","Silva, MJ","2010","07","Hagelund, K","15132","1984","02","15","Brasil","RS","Torres","Vila Morro Azul","Árvore, com flores","ICN00024786","ICN00024786 ICN00024786_1","22",NA,NA,NA,"América do Sul",NA,"-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA
"18","2020-08-26 10:48:59-03","MCN-FZBRS","HAS","43713","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos",NA,NA,NA,"Senna, R.M.","934","2005","06",NA,"Brasil","Rio Grande do Sul","Itati","Arroio Carvalho, Estação Ecológica Estadual Aratinga.","beira de mata; beira de mata; Projeto Mata Atlântica","HAS0043713",NA,NA,NA,NA,NA,NA,NA,"-50.1006","-29.4897",NA,NA,NA,NA,"-50,1006","-29,4897",NA,NA
"19","2020-08-26 10:48:59-03","MCN-FZBRS","HAS","44507","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos",NA,NA,NA,"Schmidt, R.","1117","2005","04",NA,"Brasil","Rio Grande do Sul","Itati","Arroio Carvalho; Estação Ecológica Estadual Aratinga","arvoreta","HAS0044507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-08-26 10:48:59-03","MCN-FZBRS","HAS","44598","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos",NA,NA,NA,"Schmidt, R.","1243","2005","04",NA,"Brasil","Rio Grande do Sul","Itati","Arroio Carvalho; Estação Ecológica Estadual Aratinga","árvore","HAS0044598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-08-26 10:48:59-03","MCN-FZBRS","HAS","69244","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos","Neubert, E.E. E.E.","1995","01","Silveira, N.","6819","1988","12",NA,"Brasil","Rio Grande do Sul","Torres (Três Cachoeiras - RS)","No Rio da Terra","arvoreta; Cerca de 3,5m. de altura. Flores comidas por algum inseto.","HAS0069244",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-08-26 10:48:59-03","MCN-FZBRS","HAS","95102","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos","Schmit, R.",NA,NA,"Nilson, A.","1148","2005","06",NA,"Brasil","Rio Grande do Sul","Itati","Arroio Carvalho, Estação Ecológica Estadual Aratinga.","Flor lilás.","HAS0095102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-08-26 10:48:59-03","MCN-FZBRS","HAS","84394","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F. Mattos",NA,NA,NA,"Silveira, N.","1328","1984","06",NA,"Brasil","Rio Grande do Sul","Torres","Porto Fagundes,","Cerca de 3m. de altura, flores lilases.","HAS0084394",NA,NA,NA,NA,NA,NA,NA,"-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA
"24","2020-08-26 10:48:59-03","MCN-FZBRS","HAS","87617","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F.Mattos","Mattos, N.F.",NA,NA,"Camargo, O.R.","1140","1976","04",NA,"Brasil","Rio Grande do Sul","Torres","Rio da Terra - 4º distrito","No mato na margem do rio. Árvore - 12m. Botões florais e frutos imaturos.","HAS0087617",NA,NA,NA,NA,NA,NA,NA,"-49.7268981933594","-29.3353004455566","20837","auto","Holotypus",NA,NA,NA,NA,NA
"25","2020-08-26 10:49:01-03","MCN-FZBRS","HAS","70584","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Muellera","torrensis","Muellera torrensis","(N. Mattos)M.J. Silva & A. M. G. Azevedo","Silva, M. J.","2010","07","Silveira, N.","1329","1984","06",NA,"Brasil","Rio Grande do Sul","Torres","Porto Fagundes","arvoreta; cerca de 4,0m de altura, frutos imaturos.","HAS0070584",NA,"22",NA,NA,NA,NA,NA,"-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA
