"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","eventTime","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","02694672","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","L.A. Gomes","L.A. Gomes","1004","2013","02","22","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto","-37.425417","-11.398694","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2977033' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","477256","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","J. A. de Jesus","412","1969","08","28","South America","Brazil","Bahia","Maraú","6 Km ao lado N","-39.0144","-14.1033","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477256","NY00477256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01304006","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","O. C. Nascimento","401","1978","01","02","South America","Brazil","Pará","Tomé-Açu","Margem do R. Acará.","-48.1522","-2.41889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1627322' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304006","NY01304006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","477232","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","J. Almeida","790","1968","10","31","South America","Brazil","Bahia","Ilhéus","CEPEC","-39.2281","-14.7536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477232","NY00477232_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01418151","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","F. N. Cabral","D. C. Daly","D896","1980","11","08","South America","Brazil","Pará","Acará","Fazenda Borba Gato, near Rio Acará, 30 km W of Tomé-Açu--Paragominas road. Leave road approx. 30 km S of Tomé-Açu.","-48.1556511","-2.4145606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1667392' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418151","NY01418151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01022866","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"N. T. da Silva","4835","1978","08","15","South America","Brazil","Goiás",NA,"Rio Araguaia, Rio Côco, margem esquerda.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162843' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022866","NY01022866_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","477231","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","T. S. dos Santos","2143","1971","11","13","South America","Brazil","Bahia","Uruçuca","Fazenda Sao José Km. 3 ao S. B. Central","-39.2842","-14.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477231","NY00477231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02694671","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","L.A. Gomes","L.A. Gomes","1004","2013","02","22","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto","-37.425417","-11.398694","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953036' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694671","NY02694671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","477195","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"E. Ecologia","9","1949","11","17","South America","Brazil","Santa Catarina","Brusque","Mata do Hoffman","-48.9","-27.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477195","NY00477195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","477252","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","L. A. Mattos Silva","1964","1985","11","22","South America","Brazil","Bahia","Nilo Peçanha","Rodovia Nilo Peçanha/Cairu, km. 2","-39.0918258","-13.6098971","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477252","NY00477252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","477192","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","G. Mariz","262","1965","10","27","South America","Brazil","Pernambuco","Recife","Curado IPEANE","-34.8808","-8.0542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477192","NY00477192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","477193","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"T. S. dos Santos","1096","1970","09","15","South America","Brazil","Bahia","Belmonte","Estaçao Experimental de Belmonte - CEPLAC","-38.88","-15.86","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477193","NY00477193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-28 14:18:00-03","NY","NYBG","477198","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis",NA,NA,"W. J. Hahn","1026","1983","01","13","South America","Paraguay","Paraguarí",NA,"Parque Nacional Ybycui","-56.83","-26","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1477244","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"T. J. Killeen","6851","1994","10","15","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Reserva Ecológica El Refugio.","-61.0481","-14.7622","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1741731' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477244","NY01477244_01","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","477197","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"R. B. Foster","11958","1986","10","21","South America","Peru","Madre de Dios","Manú","Parque Nacional Manu; Rio Manu; Rio Cumerjali","-71.53","-11.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477197",NA,"350","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","477262","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","T. S. dos Santos","943","1970","07","15","South America","Brazil","Espírito Santo","Linhares","Lagoa Juparana; lado L","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477262","NY00477262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01788361","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","L.A. Gomes","L.A. Gomes","278","2011","11","11","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto, Borda da mata.","-37.41839","-11.4003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2057703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01788361","NY01788361_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01304007","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","M. H. Nee","D. C. Daly","D896","1980","11","08","South America","Brazil","Pará","Acará","Fazenda Borba Gato, near Rio Acará, 30 km W of Tomé-Açu--Paragominas road. Leave road approx. 30 km S of Tomé-Açu.","-48.1556511","-2.4145606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1627572' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304007","NY01304007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","196752","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"W. L. Balée","1062","1985","09","23","South America","Brazil","Maranhão","Monção","Basin of the Rio Turiaçu; Ka'apor Indian Reserve; within 7 km of the settlement of Urutawy","-45.938086","-3.166032","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1034296","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Rheedia","brasiliensis","Rheedia brasiliensis","(Mart.) Planch. & Triana","R. Spichiger","A. C. Cervi","CA7244","1994","11","29","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250425' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034296","NY01034296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02104638","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Rheedia","brasiliensis","Rheedia brasiliensis","(Mart.) Planch. & Triana",NA,"L. Nusbaumer","3910","2014","04","19","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, localité de Quebrangulo.","-36.434919","-9.236315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511817' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104638",NA,"860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01874509","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Rheedia","brasiliensis","Rheedia brasiliensis","(Mart.) Planch. & Triana",NA,"L. Nusbaumer","4063","2014","05","18","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, localité de Quebrangulo.","-36.450025","-9.240551","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2512204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874509","NY01874509_01","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","688706","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Rheedia","brasiliensis","Rheedia brasiliensis salicifolia","Chodat & Hassl.",NA,"E. Hassler","7038","1900","01",NA,"South America","Paraguay",NA,NA,"In regione cursus superioris fluminis Y-acá.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=867933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688706","NY00688706_01",NA,NA,"salicifolia","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1182636","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Rheedia","brasiliensis","Rheedia brasiliensis","(Mart.) Planch. & Triana","C. M. Vieira","R. R. Guedes","2254","1991","10","29","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Estadual de Paraíso. Parcela 8B. Área 08B.","-42.883","-22.483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182636","NY01182636_01","390","390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-08 11:07:52-03","UNESP-IBB","BOTU","33511","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,"Souza, H.R.","1","2019","03","18",NA,"Brasil","São Paulo","Catanduva","Recanto do Rei, rua Soto Filho, 1555 Jardim Oriental","-48.929444","-21.166944",NA,NA,"BOTU033511",NA,NA,NA,NA,NA,"48°55'46w","21°10'01s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-06-29 11:29:51-03","UFRJ","RFA","31285","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","C.M. Vieira","M.A. Louzada; J.C. Gomes","1","2002","00","00",NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,"Coletas da amostragem fitossociológica. Parcela: P5. Ind.: 204.","RFA20491",NA,NA,NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-13 09:19:22-03","UFRJ","RFA","26377","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","C.M. Vieira","A. Quinet","24/67","2001","01","26",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão.","-43.123611","-22.566667",NA,"Árvore, 12 m de altura, folha verde discolor, fruto laranja, comum no local, mata de encosta sobre solo argiloso/arenoso, luminosidade média.","RFA36013",NA,"280","280",NA,NA,"43º7'25''W","22º34'0''S",NA,NA,"2001","11","05",NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:19:22-03","UFRJ","RFA","26494","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","C.M. Vieira","F.M.B. Pereira","43/63","2001","01","14",NA,"Brasil","Rio de Janeiro","São José do Vale do Rio Preto","Sítio Serra do Capim.","-42.876944","-22.157222",NA,"Árvore, 10 m de altura, 15 cm de DAP, mata ciliar sobre solo argiloso/arenoso, frutos amarelos.","RFA36014",NA,"809","809",NA,NA,"42º52'37''W","22º9'26''S",NA,NA,"2001","11","05",NA,NA,NA,NA,NA,NA
"39","2020-06-29 11:29:51-03","UFRJ","RFA","40832","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","Carla Y G. Manão","Maria Raquel Figueiredo",NA,"2015","11","14",NA,"Brasil","Minas Gerais","Matipó","Fazenda Revolta","-42.339444","-20.280556",NA,"Planta com folha ca, 13 cm. Frutos pequenos","RFA56878",NA,NA,NA,NA,NA,"42º20'22''W","20º16'50''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-06-29 11:29:51-03","UFRJ","RFA","22357","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.",NA,NA,NA,"1985","07","04",NA,"Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746",NA,NA,"RFA40870",NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-09-10 21:42:30-03","UNEMAT","TANG","3241","S","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","Ferneda Rocha, LC","Dias, DC; Salgueiro, A; Amorim, DP; Virtuoso, VS","s.n.","2014","09","26",NA,"Brasil","Mato Grosso","Itaúba","Lote C de supressão, Resgate da flora UHE Colider","-55.73","-10.972222",NA,NA,"TANG000003241",NA,"262","262",NA,NA,"-55.73","-10.972222",NA,NA,"2015","04","01",NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:37:09-03","EAO","IAN","108759","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","Nascimento, EAP","Pires, JM","47466","1960","08","12","Southern America","Brasil","Amapá","Oiapoque","Forest in French Guiana, opposite Colônia Agrícola do Oipoque, Brasil, about 4km north of mouth of Cricú River. Frequent.","-51.916667","3.716667",NA,NA,"IAN108759",NA,NA,NA,NA,NA,"-51.916667","3.716667",NA,NA,"2018","03","29",NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:37:09-03","EAO","IAN","131955","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","Nascimento, EAP","Harley, RM; Souza, R","11146","1968","11","20","Southern America","Brasil","Mato Grosso",NA,"Rio Suia Missú, c. 20km N of the ferry and c.50km N.N.W. of base camp.&nf;Riverside forest at river margin.",NA,NA,NA,NA,"IAN131955",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","03","29",NA,NA,NA,NA,NA,NA
