"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","sex","class","relatedCatalogItem","relationshipType","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber"
"26","2020-09-23 10:39:17-03","E","E","42279","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Jenman, G.S.","7508",NA,NA,NA,"GY",NA,NA,"Coast lands and estuaries of rivers.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00042279 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042279",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-09-23 10:39:17-03","E","E","42278","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum",NA,NA,NA,NA,NA,"Jenman, G.S.","7509",NA,NA,NA,"GY",NA,NA,"Coast region [+e?]",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00042278 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042278",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-28 16:34:00-03","NY","NYBG","273229","PreservedSpecimen","Plantae","Euphorbiaceae","Excoecaria","biglandulosa","Excoecaria biglandulosa montevidensis","Müll.Arg.",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273229","NY00273229_01","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales","montevidensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","263397","PreservedSpecimen","Plantae","Euphorbiaceae","Excoecaria","biglandulosa","Excoecaria biglandulosa clausseniana","Müll.Arg.",NA,NA,NA,NA,"P. Clausen","783",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263397","NY00263397_01","South America","sheet",NA,"type","Magnoliophyta","Malpighiales","clausseniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","263398","PreservedSpecimen","Plantae","Euphorbiaceae","Excoecaria","biglandulosa","Excoecaria biglandulosa clausseniana","Müll.Arg.",NA,NA,NA,NA,"P. Clausen","783",NA,NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263398","NY00263398_01","South America","sheet",NA,"type","Magnoliophyta","Malpighiales","clausseniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","263399","PreservedSpecimen","Plantae","Euphorbiaceae","Excoecaria","biglandulosa","Excoecaria biglandulosa","Müll.Arg.",NA,NA,NA,NA,"A. F. Regnell","243",NA,NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=318270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263399","NY00263399_01","South America","sheet",NA,"syntype","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","263397","PreservedSpecimen","Plantae","Euphorbiaceae","Excoecaria","biglandulosa","Excoecaria biglandulosa clausseniana","Müll.Arg.",NA,NA,NA,NA,"P. Clausen","783",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263397","NY00263397_01","South America","sheet",NA,"type","Magnoliophyta","Malpighiales","clausseniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","263398","PreservedSpecimen","Plantae","Euphorbiaceae","Excoecaria","biglandulosa","Excoecaria biglandulosa clausseniana","Müll.Arg.",NA,NA,NA,NA,"P. Clausen","783",NA,NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263398","NY00263398_01","South America","sheet",NA,"type","Magnoliophyta","Malpighiales","clausseniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-28 16:34:00-03","NY","NYBG","273229","PreservedSpecimen","Plantae","Euphorbiaceae","Excoecaria","biglandulosa","Excoecaria biglandulosa montevidensis","Müll.Arg.",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273229","NY00273229_01","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales","montevidensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","83812","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","albomarginatum","Sapium albomarginatum","Pax & K.Hoffm.",NA,NA,NA,NA,"H. F. Pittier","8795","1920","04",NA,"Venezuela","Carabobo",NA,"Vicinity of Valencia",NA,NA,NA,NA,"400","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00083812","NY00083812_01","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","58547","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum longifolium","Müll.Arg.",NA,NA,NA,NA,"F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058547","NY00058547_01","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales","longifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","58541","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum aubletianum","Müll.Arg.",NA,NA,NA,NA,"R. Spruce","2198","1852","01",NA,"Brazil","Amazonas",NA,"Prope San [São] Gabriel de Cachoeira, ad Rio Negro, Brasiliae borealis",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058541",NA,"South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","aubletianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","214553","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum lanceolatum","Müll.Arg.",NA,NA,NA,NA,"R. Spruce","511",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214553","NY00214553_01","South America","sheet",NA,"isolectotype","Magnoliophyta","Malpighiales","lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","58549","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum lanceolatum*squarrosum","Müll.Arg.",NA,NA,NA,NA,"F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=129535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058549","NY00058549_01","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales","lanceolatum*squarrosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","58542","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum aubletianum","Müll.Arg.",NA,NA,NA,NA,"R. Spruce","2198","1852","01",NA,"Brazil","Amazonas",NA,"Prope San [São] Gabriel de Cachoeira, ad Rio Negro, Brasiliae borealis",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058542",NA,"South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","aubletianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","58548","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum brevifolium","Müll.Arg.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058548","NY00058548_01","South America","sheet",NA,"syntype","Magnoliophyta","Malpighiales","brevifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","214554","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum lanceolatum","Müll.Arg.",NA,NA,NA,NA,"R. Spruce","s.n.","1849","12",NA,"Brazil","Pará",NA,"In vicinibus Obidos","-55.5168772","-1.9047014",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214554","NY00214554_01","South America","sheet",NA,"isolectotype","Magnoliophyta","Malpighiales","lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","58550","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum longifolium","Müll.Arg.",NA,NA,NA,NA,"G. Gardner","2721",NA,NA,NA,"Brazil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058550","NY00058550_01","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales","longifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","58543","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum longifolium","Müll.Arg.",NA,NA,NA,NA,"G. Gardner","2721","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058543","NY00058543_01","South America","sheet",NA,"isotype","Magnoliophyta","Malpighiales","longifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","58541","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","biglandulosum","Sapium biglandulosum aubletianum","Müll.Arg.",NA,NA,NA,NA,"R. Spruce","2198","1852","01",NA,"Brazil","Amazonas",NA,"Prope San [São] Gabriel de Cachoeira, ad Rio Negro, Brasiliae borealis",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058541",NA,"South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","aubletianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
