"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-09-12 05:00:02-03","US","US","3482012","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H. Rob.",NA,"R. Romero, J. N. Nakajima & D. Simao","1633","1995","1","9","South America - Neotropics","Brazil","Minas Gerais",NA,"Próximo a guarita de Sacramento, PARNA Serra da Cabastra, Sacramento",NA,NA,NA,NA,"US01630797","US01630797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"12","2020-09-12 05:00:02-03","US","US","3240138","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H. Rob.",NA,"B. A. S. Pereira","2352","1993","1","14","South America - Neotropics","Brazil","Goiás",NA,"Município de Santo Antônio do Descoberto. Fazenda Canteiro do Paraiso",NA,NA,NA,NA,"US01630796","US01630796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"13","2020-09-12 05:00:02-03","US","US","3170051","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H. Rob.",NA,"D. Alvarenga, B. Walter, R. C. Mendonça & E. Cardoso","197","1989","3","21","South America - Neotropics","Brazil","Goiás",NA,"Município de Vianópolis; campo sujo próximo à mata cilliar","-48.53","-16.75",NA,NA,"US01630795","US01630795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"14","2020-09-12 05:00:02-03","US","US","2818375","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonia","irwinii","Vernonia irwinii uniflora","G.M. Barroso",NA,"H. S. Irwin","11397","1966","1","5","South America - Neotropics","Brazil","Distrito Federal",NA,"Cerrado, Sobradinho.",NA,NA,NA,NA,"US00147269","US00147269_01",NA,NA,"uniflora","Isotype",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"15","2020-09-02 16:21:25-03","Cenargen","CEN","108507","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.","J. B. Bringel","Marcelo Fragomeni Simon","3244","2018","04","30",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Caminho para estrada da SANEAGO, 2 km W da cidade.","-47.539166","-14.136388","Exsicatas","Subarbusto delgado 50 cm. Folhas discolores. Brácteas vináceas, flores creme.","CEN00108507","CEN00108507","1260","1260",NA,NA,"2018","05",NA,NA,NA,NA,"3","-47.539166","-14.136388"
"16","2019-11-13 11:16:24-03","USP","SPF","217956","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.","Loeuille, B","Cândido, JB","42","2013","03","15",NA,"Brasil","Minas Gerais","Rio Paranaíba","230 próximo ao trevo da BR 354.","-46.247200012207","-19.1935997009277",NA,NA,"SPF00217956",NA,NA,NA,NA,NA,"2014",NA,NA,"29416","auto",NA,NA,NA,NA
"17","2019-11-01 14:54:08-03","UnB","UB","138805","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.",NA,"Alvarenga, D; Walter, BMT; Mendonça, RC; Cardoso, E","197","1989","03","21","Southern America","Brasil","Goiás","Vianópolis",NA,"-48.533333","-16.75",NA,"Arbusto 0,6m. Flor roxa escura.; Campo sujo próximo a mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48.533333","-16.75"
"18","2019-11-01 14:54:08-03","UnB","UB","138806","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.",NA,"Munhoz, CBR; Oliveira, M; Anael","712","1998","04","26","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.509167","-14.0725",NA,"Flor em capítulos de cor roxa.; Campo limpo seco",NA,NA,"4600","4600",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.509167","-14.0725"
"19","2019-11-01 14:54:08-03","UnB","UB","138807","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.",NA,"Heringer, EP","13175A","1974","03","10","Southern America","Brasil","Goiás","Cidade Eclética","50km de Brasília",NA,NA,NA,"Arbusto 0,4m. Flores roxas.; Cerrado seco, aberto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-01 14:54:08-03","UnB","UB","14830","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.",NA,"Martins, CR","225","2004","02","05","Southern America","Brasil","Distrito Federal","Brasília","Parque Nacional de Brasília. Área ao lado da antiga pista de pouso de ultraleve próxima à administração.","-47.926944","-15.731111",NA,"Planta de 0,3m; Campo sujo antropizado com 40-50% de capim-gordura. Solo: Solo latossolo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.926944","-15.731111"
"21","2019-11-01 14:54:08-03","UnB","UB","189095","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.","Rivera, VL","Zanatta, MRV; Silva, JS","1163","2012","01","14","Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas (ESECAE)","-47.624444","-15.573056",NA,"Fotos (M.R.V.Zanatta); Erva 0,8m. Flor violeta, brácteas avermelhadas; Campo sujo / Campo cerrado",NA,NA,"1036","1036",NA,NA,"2015",NA,NA,NA,NA,NA,NA,"-47.624444","-15.573056"
"22","2019-11-01 14:54:08-03","UnB","UB","189108","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.","Rivera, VL","Zanatta, MRV; Silva, JS","1176","2012","01","16","Southern America","Brasil","Distrito Federal","Brasília","Parque Nacional de Brasília (PNB)","-48.031944","-15.641389",NA,"Fotos (M.R.V.Zanatta); Erva, 0,8m. Folhas discolores. Flor violeta, brácteas vinho. Botão com brácteas verdes; Campo sujo seco",NA,NA,"1156","1156",NA,NA,"2012",NA,NA,NA,NA,NA,NA,"-48.031944","-15.641389"
"23","2019-11-01 14:54:08-03","UnB","UB","97897","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.",NA,"Irwin, HS","12149","1966","01","30","Southern America","Brasil","Distrito Federal",NA,"Chapada da Contagem",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-01 14:54:08-03","UnB","UB","1543","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.",NA,"Irwin, HS; Santos, RR; Souza, R","11397","1965","01","05","Southern America","Brasil","Distrito Federal","Brasília","Sobradinho","-47.9296989440918","-15.7797002792358",NA,"Tipo.; Erva 0,4m. Flor magenta; Cerrado.","UB0036906","UB0036906","1100","1100",NA,"holotype",NA,NA,NA,"70570","auto",NA,NA,NA,NA
"25","2019-11-01 14:54:08-03","UnB","UB","124764","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(Barroso) H.Rob.",NA,"Nakajima, JN","2148","1996","11","23","Southern America","Brasil","Minas Gerais","São Roque de Minas","Guarita de Sacramento, ca. 2km Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,"Brácteas verde-arroxeadas. Corola e ramos doe stilete arroxeado. Anteras brancas; Herbáceo 0,4m.; Borda de cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA
"26","2019-05-06 11:53:33-03","UFU","HUFU","13398","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.","Nakajima, J.N.","Nakajima, J.N.; Romero, R.","2148","1996","11","23",NA,"Brasil","Minas Gerais","Sacramento","Guarita de Sacramento, Cerca de 2km do PARNA.","-47.439998626709","-19.8652992248535",NA,"Herbáceo, ca. 0,4 m. Brácteas verde-arroxeadas, corola e ramos do estilete arroxeados. Anteras brancas.; Borda de cerrado.","HUFU00058105","HUFU00058105",NA,NA,NA,NA,"1998","08",NA,"69737","auto",NA,NA,NA,NA
"27","2019-05-06 11:53:33-03","UFU","HUFU","7301","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","irwinii","Lessingianthus irwinii","(G.M.Barroso) H.Rob.","Nakajima, J.N.","Romero, R.; et al.","1633","1995","01","09",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Guarita de Sacramento.","-46.3657989501953","-20.2453002929688",NA,"Brácteas verde-arroxeadas. Corola e estigma lilás, anteras creme.; Campo limpo.","HUFU00058107","HUFU00058107",NA,NA,NA,NA,"1998","05",NA,"57119","auto",NA,NA,NA,NA
