"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","dayIdentified","sex"
"15","2020-02-08 09:49:49-03","NBC","NL-BOTANY","U.1474217","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Plowman TC; et al.","1980","04","Southern America","Brazil","Bahia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1474217 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1474217","NL-U1474217","Webster GL",NA,"12",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,"U 0016683",NA,NA,NA,NA
"16","2020-02-08 09:49:49-03","NBC","NL-BOTANY","L.1076240","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Krukoff BA","1933","08","Southern America","Brazil","Acre","Basin of Rio Purus",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1076240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1076240","NL-L1076240",NA,NA,"03","-69","-9.333333",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-69.0","-9.333333","U 0052275 | Uw 19852a",NA,NA,NA,NA
"17","2020-02-08 09:49:49-03","NBC","NL-BOTANY","U 0062276","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Krukoff BA","1933","08","Southern America","Brazil","Acre","Basin of Rio Purus",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200062276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0062276",NA,NA,NA,"03","-69","-9.333333",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-69.0","-9.333333","Uw 19852a",NA,NA,NA,NA
"18","2020-11-04 12:17:57-03","ESALQ","ESA","21774","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Rodrigues, R.R. et al.","1995","09",NA,"Brasil","São Paulo",NA,NA,NA,"ESA021774","ESA021774","Cordeiro, I.","188.0","04","-48.0999984741211","-24.5200004577637",NA,NA,"Eldorado",NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:32:55-03","MN","R","100416","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll. Arg.",NA,"Freire Allemão, F.; Cysneiros, M.",NA,NA,NA,"Brasil","Ceará",NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","R010053041","R010053041_001",NA,"1361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:17:01-03","UFV","VIC","001002","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Mueel Arg",NA,"Mexia, Y.","1931","01",NA,"Brasil","Minas Gerais",NA,NA,"Tall,cut over woods, alt.740 m, tree 10 m, high.","VIC001002","VIC001002",NA,"5476","03",NA,NA,NA,NA,"Rio Branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-24 17:09:04-03","UFES","SAMES","7578","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Saporetti,A.M.J.","2017","04",NA,"Brasil","Espírito Santo","Propriedade particular situada atrás da residência da Sra Zilma.",NA,"Flores róseas e frutos imaturos verdes com longo pedúnculo.","SAMES07578",NA,NA,"61","20","-40.076099395752","-18.9055995941162",NA,NA,"Jaguaré",NA,"43085","auto",NA,NA,"-399033333.0","-189519444.0",NA,NA,NA,NA,NA
"22","2019-08-20 10:22:38-03","UNICAMP","UEC","60128","S","Plantae","Magnoliopsida",NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Vieira, AOS; Yamamoto, K","1992","05",NA,"Brazil","Rio de Janeiro","Bairro Paraíso. Centro de Primatologia d, mata úmida, atravessada por curso d'água.",NA,"Árvore ca. 1 m alt, pedicelo e corola avermelhada e frutos amarelos","UEC056950","UEC056950","Cordeiro, I","26228","02","-43.040599822998","-22.6527996063232",NA,NA,"Magé",NA,"20531","auto","2012","08",NA,NA,NA,NA,NA,NA,NA
"23","2020-04-22 16:22:55-03","UFPB","JPB","59507","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"W.M.B. São-Mateus; Jardim, JG; Sulzbacher, M; Silva, B; Souza, J","2012","03","Southern America","Brasil","Rio Grande do Norte","Mata Estrela",NA,"Sub-arbusto 1,5-2 m alt. Folhas membranáceas discolores com a face adaxial mais escura. Frutos verdes com o cálice persistente de coloração marrom com o bordo claro.; HABITAT: Restinga arbórea","JPB0059507",NA,"Torres, A.M.","99","09","-35.022778","-6.377778","50","50","Baía Formosa",NA,NA,NA,"2019",NA,"-35.022778","-6.377778",NA,NA,NA,NA,NA
"24","2020-03-17 18:13:43-03","UESC","UESC","17046","S","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Mull. Arg.",NA,"L.A.Mattos Silva","1995","05",NA,"Brasil","Bahia",NA,NA,"Arbusto, aprox. 3 m de altura.","UESC0017046",NA,"M.J.Silva","3126","06","-39.0494003295898","-14.7889003753662",NA,NA,"Ilhéus",NA,"61245","auto","2006","02",NA,NA,NA,NA,NA,NA,NA
"25","2020-03-17 18:13:43-03","UESC","UESC","17039","S","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Mull. Arg.",NA,"L.A.Mattos Silva","1999","03",NA,"Brasil","Bahia","Olivença",NA,"Mata Higrófila Sul Baiana; Arbusto, 2,5m.","UESC0017039",NA,"L.A.Mattos-Silva","3903","17","-39.0494003295898","-14.7889003753662",NA,NA,"Ilhéus",NA,"61245","auto","2016","04",NA,NA,NA,NA,NA,NA,NA
"26","2015-09-05 07:14:12-03","MNHN","RECOLNAT_MNHN_P","P04855144","PreservedSpecimen",NA,NA,NA,"Phyllanthaceae","Phyllanthus","ramosus","Phyllanthus ramosus","Vell.",NA,"Mexia, Y.","1931","1",NA,"Brasil","Minas Gerais","Districto Rio Branco, Fazenda da Reserva.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04855144' target='other'> <mi>dwc_moreinfo</mi></a>","P04855144","P04855144_01",NA,NA,"3",NA,NA,"740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5476",NA,NA,NA
"27","2015-09-05 07:14:12-03","MNHN","RECOLNAT_MNHN_P","P04855145","PreservedSpecimen",NA,NA,NA,"Phyllanthaceae","Phyllanthus","ramosus","Phyllanthus ramosus","Vell.",NA,"Glaziou",NA,NA,NA,"Brasil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04855145' target='other'> <mi>dwc_moreinfo</mi></a>","P04855145","P04855145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11530",NA,NA,NA
"28","2015-09-05 07:46:22-03","MNHN","RECOLNAT_MNHN_P","P00610019","PreservedSpecimen",NA,NA,NA,"Phyllanthaceae","Phyllanthus","ramosus","Phyllanthus ramosus","Vell.",NA,"Riedel, L.",NA,NA,NA,"Brésil",NA,NA,"hb","Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00610019' target='other'> <mi>dwc_moreinfo</mi></a>","P00610019","P00610019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-09-05 07:14:13-03","MNHN","RECOLNAT_MNHN_P","P04855146","PreservedSpecimen",NA,NA,NA,"Phyllanthaceae","Phyllanthus","ramosus","Phyllanthus ramosus","Vell.",NA,"Glaziou",NA,NA,NA,"Brasil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04855146' target='other'> <mi>dwc_moreinfo</mi></a>","P04855146","P04855146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11499",NA,NA,NA
"30","2011-02-22 16:57:00-03","MO","MOBOT","2964495","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll. Arg.",NA,"Scott A. Mori|Brian M. Boom","1981","5","South America","Brazil","Bahia","Municipality of Itanagra, road from Itanagra to Subauma, 8 km W of Itanagra. Slightly disturbed primary forest.",NA,NA,NA,NA,"Ronald Liesne,r","Mori 14111","26",NA,NA,"50.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2013-05-07 06:03:00-03","MO","MOBOT","3279342","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll. Arg.",NA,"Ynés Mexia","1931","1","South America","Brazil","Minas Gerais","Districto Rio Branco. Fazenda da Reserva; tall, cut-over woods.",NA,NA,NA,NA,"Standley","Mexia 5476","3",NA,NA,"740.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2008-05-27 22:02:00-03","MO","MOBOT","3279340","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll. Arg.",NA,"Boris A. Krukoff","1933","8","South America","Brazil","Acre","Near mouth of Rio Macauhan (tributary of Rio Yaco). On terra firma.",NA,NA,NA,NA,NA,"Krukoff 5256","3","-69","-9.33333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-10-27 15:25:00-02","MO","MOBOT","2917296","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","ramosus","Phyllanthus ramosus","Vell.",NA,"W. Wayt Thomas","2001","10","South America","Brazil","Bahia","11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco.",NA,NA,NA,NA,"R.Liesner (MO)","Thomas 12679","30","-39.3833333","-14.35","175.00000000","200.00000000","Aurelino Leal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"34","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","45669",NA,"Plantae",NA,NA,"Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll. Arg.",NA,"A. M. Assis; A. M. Vago & J. Santos","2012","07",NA,"Brasil","Espírito Santo","PNM Monte Mochuara - trilha na vertente para Sertão Velho - vegetação preservada",NA,"Subarbusto 1,5m; pedunculo floral e calice vermelhos; frutos verdes. Floresta em estagio avançado de regeneraçao","MBML045669","MBML045669",NA,"3217","01","-40.442194","-20.297861","350","350","Cariacica",NA,NA,NA,NA,NA,"40W26'31,9","20S17'52,3",NA,NA,NA,NA,NA
"35","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","45682",NA,"Plantae",NA,NA,"Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll. Arg.",NA,"A. M. Assis; A. M. Vago & J. Santos","2012","07",NA,"Brasil","Espírito Santo","PNM Monte Mochuara - trilha para o topo do Morro - estágio inicial",NA,"Subarbusto 0,5m; flores brancas e frutos verdes. Macega sobre afloramento rochoso","MBML045682","MBML045682",NA,"3268","04","-40.441694","-20.288694","80","80","Cariacica",NA,NA,NA,NA,NA,"40W26'30,1","20S17'19,3",NA,NA,NA,NA,NA
"36","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","9532",NA,"Plantae",NA,NA,"Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"L. Kollmann; E. Bausen & W. Pizziolo","1999","01",NA,"Brasil","Espírito Santo","São Lourenço, Mata Fria",NA,"Arvoreto 7m. DAP 12cm. Fuste 3m. Frutos verdes.","MBML009532","MBML009532","E. R. Martins/03-XI-2011","1723","27","-40.683611","-19.931111",NA,NA,"Santa Teresa",NA,NA,NA,NA,NA,"40W41'1","19S55'52",NA,NA,NA,NA,NA
"37","2021-03-04 11:06:05-03","UFRB","HURB","14638","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Victor Jr., V.","2013","01",NA,"Brasil","Bahia","Serra do Papuã; APA do Pratigi",NA,NA,"HURB000014638",NA,NA,"978","11","-39.3736000061035","-14.1641998291016",NA,NA,"Ibirapitanga",NA,"33549","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-04 11:06:05-03","UFRB","HURB","14639","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Victor Jr., V.","2013","01",NA,"Brasil","Bahia","Serra do Papuã; APA do Pratigi",NA,NA,"HURB000014639",NA,NA,"2096","16","-39.3736000061035","-14.1641998291016",NA,NA,"Ibirapitanga",NA,"33549","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-26 13:57:13-03","IMA","MAC","48824","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Chagas-Mota","2010","07",NA,"Brasil","Paraíba","Reserva Biológica de Guaribas.",NA,"Arbusto ca. 1 m de altura. Frutos verdes.; Mata Atlântica.","MAC0048824","MAC0048824","A.M.Torres","7863","21","-35.18585","-6.712222",NA,NA,"Mamanguape",NA,NA,NA,"2019","02","-35.18585","-6.712222",NA,NA,NA,"26",NA
"40","2021-02-25 10:11:57-03","CVRD","CVRD","13630","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Siqueira, G.S.","2011","12","América do Sul","BRASIL","ES","Depois do entrocamento das Reservas, REBIO, FIBRIA, VALE",NA,"<ll>dwc_commonname:</ll> Badalo","CVRD013630",NA,"Geovane S. Siqueira","681","06","-39.954139","-19.075222","38","38","Linhares","Magnoliopsida",NA,NA,"2011","12","39°57'14,9W","19°04'30,8S",NA,NA,NA,"06",NA
"41","2021-02-25 10:11:57-03","CVRD","CVRD","4828","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Folli, D.A.","1994","02","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Badalo","CVRD004828",NA,"Erika Ramos Martins","2204","08","-40.0722007751465","-19.3910999298096",NA,NA,"Linhares","Magnoliopsida","48094","auto","2011","04",NA,NA,NA,NA,NA,"20",NA
"42","2020-09-12 05:00:02-03","US","US","USw9443","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus",NA,NA,"B. A. Krukoff",NA,NA,"South America - Neotropics","Brazil","Acre","Near mouth of Rio Macauhan, basin of Rio Purus",NA,NA,NA,NA,NA,"5256",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"43","2020-09-12 05:00:02-03","US","US","3387252","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus",NA,NA,"D. Folli","1994","2","South America - Neotropics","Brazil","Espirito Santo","Reserva Florestal de Linhares. Linhares.",NA,NA,NA,NA,NA,"2204","8",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"44","2020-09-12 05:00:02-03","US","US","2854236","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus",NA,NA,"S. A. Mori & R. M. King","1979","7","South America - Neotropics","Brazil","Bahia","Mun de Maracas. Fazenda dos Passaros.",NA,NA,NA,NA,NA,"12176","13",NA,NA,"900",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"45","2020-09-12 05:00:02-03","US","US","1664027","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus",NA,NA,"B. A. Krukoff","1933","8","South America - Neotropics","Brazil","Amazonas","Territory of Acre; near mouth of Rio Macauhan (tributary of Rio Yaco).",NA,NA,NA,NA,NA,"5256","3","-69","-9.33",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"46","2019-10-07 09:32:38-03","UEFS","HUEFS","23390","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Phyllanthaceae","Phyllanthus","cladotrichus","Phyllanthus cladotrichus","Müll.Arg.",NA,"Mattos-Silva, L.A.","1995","05",NA,"Brasil","Bahia",NA,NA,NA,"HUEFS0023390","HUEFS0023390","M.J.Silva","3126","06","-39.0494003295898","-14.7889003753662","100","100","Ilhéus","Rosanae","61245","auto","2006","03",NA,NA,NA,NA,NA,NA,NA
