"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"11","2017-02-01 14:17:00-02","NY","NYBG","725746","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis",NA,NA,"J. E. Montes","27483","1958","South America","Argentina","Loreto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00725746",NA,"04","22","Misiones","Candelaria",NA,NA,"220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","669240","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"E. Lleras","2007","1985","South America","Brazil","23km da bifurcaçao da estrada Lontra-Presidente Nereu com a BR-470.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669240","NY00669240_01","04","26","Santa Catarina","Presidente Nereu","-49.52","-27.23","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-24 17:11:06-03","UTFPR","DVPR","5351","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","M. Nee",NA,"Risso, VB","30","2017",NA,"Brasil",NA,NA,"Arbusto. Fruto: semente - Flor: amarela, V84.","DVPR005351",NA,"05","07","Paraná","Salto do Lontra","-53.3086013793945","-25.783899307251",NA,NA,"15986","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:11:06-03","UTFPR","DVPR","5294","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","M. Nee",NA,"Estevan, DA; et al.","2273","2017",NA,"Brasil","RPPN Salto Chopim",NA,"Avoreta, 5 metros, com flores roxas.; Floresta Estacional Semidecidual","DVPR005294",NA,"08","30","Paraná","São Jorge d' Oeste","-53.0445","-25.3611",NA,NA,NA,NA,"Antonelo, F.A.","2017","-53.0445","-25.3611",NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-02-10 11:46:47-02","BM","SOLANACEAE_SOURCE_BR","73226","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Giacomin, L.L.; Knapp, S.; Rodrigues, I.M.C.","2026","2013","Southern America","Brazil","Margens da rodovia BR-354 indo de Engenheiro Passos para Itamonte, ca. 2 km antes da entrada para parte alta do Parque Nacional de Itatiaia",NA,"Arbusto escandente, 3 m, em afloramento granitico. Flores com corola roxa, tornando-se amarelas. Estames com anteras roxas, conectivos acinzentados a roxos.; fragmento Floresta Ombrófila Densa degradada","BM001035008",NA,"11","20","Rio de Janeiro","Resende","-44.752694","-22.387278","1458","1458",NA,NA,NA,NA,"-44.752694","-22.387278","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"16","2015-02-10 11:46:47-02","BM","SOLANACEAE_SOURCE_BR","73226","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Giacomin, L.L.; Knapp, S.; Rodrigues, I.M.C.","2026","2013","Southern America","Brazil","Margens da rodovia BR-354 indo de Engenheiro Passos para Itamonte, ca. 2 km antes da entrada para parte alta do Parque Nacional de Itatiaia",NA,"Arbusto escandente, 3 m, em afloramento granitico. Flores com corola roxa, tornando-se amarelas. Estames com anteras roxas, conectivos acinzentados a roxos.; fragmento Floresta Ombrófila Densa degradada",NA,NA,"11","20","Rio de Janeiro","Resende","-44.752694","-22.387278","1458","1458",NA,NA,NA,NA,"-44.752694","-22.387278","Dicotyledoneae","166979",NA,NA,NA,NA,NA,NA
"17","2015-02-10 11:46:47-02","BM","SOLANACEAE_SOURCE_BR","35181","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Regnell, A.F.","III-992","1857","Southern America","Brazil","Caldas",NA,NA,NA,NA,"10","08","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Knapp, S.","2009",NA,NA,"Dicotyledoneae",NA,"01",NA,NA,NA,NA,NA
"18","2015-02-10 11:46:47-02","BM","SOLANACEAE_SOURCE_BR","73226","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Giacomin, L.L.; Knapp, S.; Rodrigues, I.M.C.","2026","2013","Southern America","Brazil","Margens da rodovia BR-354 indo de Engenheiro Passos para Itamonte, ca. 2 km antes da entrada para parte alta do Parque Nacional de Itatiaia",NA,"Arbusto escandente, 3 m, em afloramento granitico. Flores com corola roxa, tornando-se amarelas. Estames com anteras roxas, conectivos acinzentados a roxos.; fragmento Floresta Ombrófila Densa degradada",NA,NA,"11","20","Rio de Janeiro","Resende","-44.752694","-22.387278","1458","1458",NA,NA,NA,NA,"-44.752694","-22.387278","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"19","2020-06-26 00:41:30-03","UFBA","ALCB","114914","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs.",NA,"Silva, JM; Abe, LM","3134","1999","Southern America","Brasil","Parque Estadual das Lauráceas.",NA,"1 m de altura, flor lilás.",NA,NA,"12","14","Paraná","Tunas do Paraná","-49.0858001708984","-24.9743995666504",NA,NA,"41885","auto","Stehmann, JR","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:35:19-03","NBC","NL-BOTANY","L.2864357","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Vincent D",NA,NA,"Southern America","Brazil","Bresil: Minas Geraes: Caldas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2864357 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2864357","NL-L2864357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 10:35:19-03","NBC","NL-BOTANY","U.1729024","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Tressens SG; et al.",NA,"1994","Southern America","Argentina","Mosiones, Dep. Giarani. Predio Guarani, Pcada al ayo. Soberbio. Selva de laurel y guatambu, con helechos ar borescentes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1729024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1729024","NL-U1729024","11","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 10:35:19-03","NBC","NL-BOTANY","U.1729068","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Regnell AF",NA,"1859","Southern America","Brazil","Prov. Minas Geraes: Caldas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1729068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1729068","NL-U1729068","12","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:19:54-03","ESALQ","ESA","14499","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis",NA,NA,"Pereira, S.C.","1528.0","1981",NA,"Brasil",NA,NA,NA,"ESA014499","ESA014499","12","02","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 12:16:10-03","ESALQ","ESA","135509","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"J.M. Silva","3134.0","2008",NA,"Brasil",NA,NA,NA,"ESA135509",NA,"11","14","Paraná","Tunas do Paraná","-49.0858001708984","-24.9743995666504",NA,NA,"41885","auto","J.R. Stehmann","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:33:40-03","MN","R","11952","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis",NA,NA,"Glaziou, A.F.M.","11387 a","1879",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000011952","R000011952_001","09","09","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Stehmann, J.R.","2017",NA,NA,NA,NA,"05","10",NA,NA,NA,NA
"26","2019-12-19 08:15:32-03","FPS","FPS","3052","MachineObservation","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Schwirkowski, P.","2479","2017",NA,"Brasil","Rio Vermelho, após as minas de caulim",NA,"<ll>dwc_commonname:</ll> Baga-de-veado","FPS03052,MBM423643,FURB55755","FPS03052_v01 FPS03052_v02 FPS03052_v03 FPS03052_v04 FPS03052_v05 FPS03052_v06 FPS03052_v07 FPS03052_v08 FPS03052_v09 FPS03052_v10 FURB55755","10","12","Santa Catarina","São Bento do Sul","-49.216471","-26.301231",NA,NA,NA,NA,"Schwirkowski, P.","2017","-49.216471","-26.301231",NA,NA,"10","12","voucher","FURB 55755, MBM 423643",NA,NA
"27","2019-12-19 08:15:32-03","FPS","FPS","1952","MachineObservation","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Schwirkowski, P.",NA,"2009",NA,"Brasil","Serra Alta. Ponte do Rio Banhados. Borda de mata.",NA,"<ll>dwc_commonname:</ll> Baga-de-veado","FPS01952","FPS01952_v01 FPS01952_v02 FPS01952_v03 FPS01952_v04 FPS01952_v05 FPS01952_v06","11","14","Santa Catarina","São Bento do Sul","-49.383625","-26.275633",NA,NA,NA,NA,"Schwirkowski, P.","2009","-49.383625","-26.275633",NA,NA,"11","14",NA,NA,NA,NA
"28","2019-12-19 08:15:32-03","FPS","FPS","2462","MachineObservation","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Schwirkowski, P.","1897","2016",NA,"Brasil","Serra Alta. Propriedade do Sr. Ivo Drechsler, ao lado da Estrada Saraiva",NA,"<ll>dwc_commonname:</ll> Baga-de-veado","FPS02462,FURB52003","FPS02462_v01 FPS02462_v02 FPS02462_v03 FPS02462_v04 FPS02462_v05 FPS02462_v06 FPS02462_v07 FURB52003","10","02","Santa Catarina","São Bento do Sul","-49.363059","-26.279973",NA,NA,NA,NA,"Schwirkowski, P.","2016","-49.363059","-26.279973",NA,NA,"10","02","voucher","FURB 52003",NA,NA
"29","2019-02-15 11:50:59-02","IPA","IPA","12636","S","Plantae","Plantae",NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Pickel, B.","s.n.","1939","Southern America","Brasil","Capital, Chácara Mourrinhos.",NA,NA,"IPA0012636",NA,"11","30","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","Stehmann, J.R.","2006",NA,NA,NA,NA,"12","06",NA,NA,NA,NA
"30","2019-08-27 13:33:35-03","IAP","PACA-AGP","35935","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Hatschbach, G.","511","1946",NA,"Brasil",NA,NA,"Habitat: In dumetosis","PACA035935",NA,"11","03","PR","Piraí-Mirim",NA,NA,NA,NA,NA,NA,"E. L. C. Soares","2006",NA,NA,"Magnoliatae",NA,"05","02",NA,NA,NA,NA
"31","2019-08-27 13:33:35-03","IAP","PACA-AGP","59080","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Pivetta","957","1953",NA,"Brasil","P. Ijuí",NA,"Habitat: In silvula","PACA059080",NA,"11","14","RS","Pestana",NA,NA,NA,NA,NA,NA,"E. L. C. Soares","2006",NA,NA,"Magnoliatae",NA,"05","02",NA,NA,NA,NA
"32","2020-12-20 21:19:31-03","UFV","VIC","010286","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","Sendt.",NA,"Soares, A.A.","s.n.","1987",NA,"Brasil","Parque Iguaçú",NA,"Planta de 1 a 2 ,5 m, pételas roxas cálice verde.","VIC010286","VIC010286","12","16","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-20 21:19:31-03","UFV","VIC","010625","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","Sendt.",NA,"Kummrow, R.","s.n.","1988",NA,"Brasil","Parque Iguaçú",NA,"Arbusto de cerca de 2 m,sépalas róseas, estames roxos( semelhante a cor das pétalas. Mata de Araucária em clareira.","VIC010625","VIC010625","12","02","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-10 14:35:19-03","UFSC","CTBS","997","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"Dambros, Vanessa Giseli","9","2014",NA,"Brasil&nf;Brasil","UFSC, estacionamento próximo à trilha do pessegueirinho.",NA,"Apresenta pilosidade nas folhas e caule, flores roxas. Vegetação fechada, com a maioria de espécies nativas.",NA,NA,"09","12","Santa Catarina","Curitibanos","-50.534169","-27.286678",NA,NA,NA,NA,"Pastore, J.F.B.","2014","50°32'3.01W","27°17'12.04S",NA,NA,"09","12",NA,NA,NA,NA
"35","2019-08-19 13:47:15-03","ASU","ASU-PLANTS","ASU0049133","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"S. G. Tressens; M. de Pompert, G. Lavia, V. Maruñak, V. Revilla, F. Robledo y S. Valenzuela","5103","1994",NA,"Argentina","Predio Guarani, Picada al ayo. Soberbio.",NA,"Arbusto 1.60 m alt., fetido. Corola violacea, lobulos revolutos; anteras moradas. Fruto elip soide, 1.5-2 cm diam., verde claro con franjas longitudinales verde oscuras.",NA,NA,"11","30","Misiones",NA,"-54.205","-26.91639",NA,NA,NA,NA,"Tressens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 14:46:16-03","UFJF","CESJ","49937","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","sciadostylis",NA,"Solanum sciadostylis","(Sendtn.) Bohs",NA,"M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Roman; F.S. Souza","131","2008","América do Sul","Brasil","Pocinhos do Rio Verde, Pedra Branca",NA,"Arvoreta ca. 2,5 m, bordo de mata. Estames roxos com pétalas alvas e lilás, botões roxos, frutos verdes rajados de roxo.","CESJ049937",NA,"03","28","Minas Gerais","Caldas","-46.386100769043","-21.9235992431641",NA,NA,"25710","auto","J.R. Stehmann","2008",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA
"37","2021-03-01 16:41:30-03","UNICAMP","UEC","14741","S","Plantae","Magnoliopsida",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Taroda, N; et al.","6622","1977",NA,"Brazil","Estação de tratamento de Água de Valinhos.",NA,"Arbusto até 3m de altura. Flores roxas.; Nativo em mata.","UEC033552","UEC033552","09","23","São Paulo","Vinhedo","-46.974722","-23.036111",NA,NA,NA,NA,"Stehmann, JR","1994","-46.974722","-23.036111",NA,NA,"12","13",NA,NA,NA,NA
"38","2021-03-01 16:41:30-03","UNICAMP","UEC","30072","S","Plantae","Magnoliopsida",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Silva, AF; Muller, C; Yamamoto, K; Stubblebine, MT","8862","1978",NA,"Brazil","Estação de Tratamento de Águas de Valinhos - Sítio Caragoatá.",NA,"Arbusto, 1,5m de altura; flor lilás, fruto verde.; Mata.","UEC085610","UEC085610","11","23","São Paulo","Vinhedo","-46.974722","-23.036111",NA,NA,NA,NA,"Stehmann, JR","1994","-46.974722","-23.036111",NA,NA,"12","13",NA,NA,NA,NA
"39","2021-03-01 16:41:30-03","UNICAMP","UEC","23115","S","Plantae","Magnoliopsida",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Leitão Filho, HF; Shepherd, F; Martins, FR; et al.","11815","1980",NA,"Brazil","Próximo à cidade.",NA,"Arbusto até 1,5m de altura; flores jovens roxas mais velhas brancas.; Cerrado, em local sombreado, úmido e próximo a Campo rupestre.","UEC085613","UEC085613","12","09","Minas Gerais","Lavras","-44.999698638916","-21.2453002929688",NA,NA,"20044","auto","Stehmann, JR","1994",NA,NA,NA,NA,"12","13",NA,NA,NA,NA
"40","2021-03-01 16:41:30-03","UNICAMP","UEC","89051","S","Plantae","Magnoliopsida",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Pereira, SC; et al.","873","1981",NA,"Brazil","Escubre de Sta. Rosália.",NA,"Arbusto, até 3m de altura; flores liláz-arroxeadas.; Em local úmido de baixada.","UEC085615","UEC085615","03","16","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:41:30-03","UNICAMP","UEC","23858","S","Plantae","Magnoliopsida",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Pereira, SC; et al.","873","1981",NA,"Brazil","Escubre de Sta. Rosália.",NA,"Arbusto, até 3m de altura; flores liláz-arroxeadas.; Em local úmido de baixada.","UEC085608","UEC085608","03","16","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:41:30-03","UNICAMP","UEC","29851","S","Plantae","Magnoliopsida",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Leitão Filho, HF; Shepherd, GJ; Yamamoto, K; Joly, CA","1773","1982",NA,"Brazil","Estrada de Minas Gerais, Rodovia Poços de Caldas-Campestre.",NA,"Arbusto até 3m de altura; flores jovens roxas, posteriormente esbranquiçadas, frutos jovens verdes.; Mata, no interior de lata em local úmido.","UEC085605","UEC085605","12","01","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-01 16:41:30-03","UNICAMP","UEC","22482","S","Plantae","Magnoliopsida",NA,"Solanaceae","Cyphomandra","sciadostylis",NA,"Cyphomandra sciadostylis","Sendtn.",NA,"Martins, FR; et al.","279","1978",NA,"Brazil","Santa Rosália.",NA,"Arbusto, 60cm de altura; flores com pétalas lilázes, estigma verde e anteras roxas.; Em campo secundário.","UEC085614","UEC085614","07","05","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051",NA,NA,"23696","auto","Stehmann, JR","1994",NA,NA,NA,NA,"12","13",NA,NA,NA,NA
