"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"12","2019-11-06 09:57:04-03","UFOP","OUPR","12743","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Longhi-Wagner, H.M.","2012","03",NA,NA,NA,"Lagoa Santa","-43.8897018432617","-19.6271991729736","12338","auto",NA,NA,NA,NA
"13","2020-12-21 16:40:01-03","MBM","MBM","25850","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Hatschbach, G.","7770",NA,NA,NA,"Southern America","Brazil","Paraná","Rio das Cinzas, Barra do Perdizes",NA,NA,NA,"Do cerrado","MBM025850","MBM025850",NA,"Swallen, J.R.","1961",NA,NA,NA,NA,"Arapoti","-49.8266983032227","-24.1578006744385","41852","auto",NA,NA,NA,NA
"14","2020-12-21 16:40:01-03","MBM","MBM","559","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Hatschbach, G.; Haas, H.; Haas, H.","14012","1966","03","14","Southern America","Brazil","Paraná","Rio cajuru",NA,NA,NA,"Do cerrado","MBM000559","MBM000559",NA,"Longhi-Wagner, H.","2008","10",NA,NA,NA,"Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto",NA,NA,NA,NA
"15","2020-10-01 14:26:46-03","JBB","HEPH","13779","S","Plantae","Monocotyledon","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Oliveira, RC","753","1997","07","30","Southern America","Brasil","Ceará","Chapada do Araripe Parque Florestal do Araripe",NA,NA,NA,NA,NA,NA,NA,"Rodrigues Silva, R","1997",NA,NA,NA,NA,"Crato","-39.4094009399414","-7.23416996002197","30071","auto",NA,NA,NA,NA
"16","2020-10-01 14:26:46-03","JBB","HEPH","24193","S","Plantae","Monocotyledon","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Amaral, AG","1996","2008","07","03","Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília. Coleta nº 1. Cerrado próximo ao campo da Cássia.",NA,NA,NA,"Levantamento feito para o Plano de Manejo",NA,NA,NA,"Chacon, RG","2008",NA,NA,NA,NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA
"17","2020-10-01 14:26:46-03","JBB","HEPH","6477","S","Plantae","Monocotyledon","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Salles, AEH","1144","1989","11","06","Southern America","Brasil","Minas Gerais","80km de Paracatu, Reserva da Campo",NA,NA,NA,NA,NA,NA,NA,"Filgueiras, TS","1989",NA,NA,NA,NA,"Paracatu","-46.874698638916","-17.2222003936768","72344","auto",NA,NA,NA,NA
"18","2020-10-01 14:26:46-03","JBB","HEPH","6544","S","Plantae","Monocotyledon","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Salles, AEH","1214","1989","09","16","Southern America","Brasil","Minas Gerais","80km de Paracatu, Reserva da Campo",NA,NA,NA,NA,NA,NA,NA,"Filgueiras, TS","1989",NA,NA,NA,NA,"Paracatu","-46.874698638916","-17.2222003936768","72344","auto",NA,NA,NA,NA
"19","2020-12-11 11:44:58-03","UFMG","BHCB","107291","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Almeida, TE; Heringer, G; Lara, DS; Costa, ACV da","1030","2007","04","30","Southern America","Brasil","Minas Gerais",NA,"120","120",NA,"Erva terrestre no Campo Limpo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamantina","-43.697417","-17.886361",NA,NA,"-43.697417","-17.886361",NA,NA
"20","2020-12-11 11:44:58-03","UFMG","BHCB","200160","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Rezende, SG","7237","2019","04","25","Southern America","Brasil","Minas Gerais","Cocais","890","890",NA,"Erva; Campo Rupestre sobre Quartzito Arbustivo","BHCB200160",NA,NA,NA,NA,NA,NA,NA,NA,"Barão de Cocais","-43.377778","-19.847778",NA,NA,"-43.377778","-19.847778",NA,NA
"21","2020-12-11 11:44:58-03","UFMG","BHCB","57429","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Stehmann, JR; Velten, SB; Fonseca, CC; Delgado, PCS; Goodwin, KL","s.n.","2001","02","14","Southern America","Brasil","Minas Gerais","APA Pau-de-Fruta - COPASA",NA,NA,NA,"Erva em campo sujo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA
"22","2020-12-11 11:44:58-03","UFMG","BHCB","51328","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Lombardi, JA","s.n.","2000","04","07","Southern America","Brasil","Minas Gerais","Parque Estadual do Rio Preto.",NA,NA,NA,"Areal, cerrado e mata ciliar. Erva, inflorescências arroxeadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895","26697","auto",NA,NA,NA,NA
"23","2020-12-11 11:44:58-03","UFMG","BHCB","51332","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Lombardi, JA","s.n.","2000","04","07","Southern America","Brasil","Minas Gerais","Parque Estadual do Rio Preto.",NA,NA,NA,"Areal, cerrado e mata ciliar. Erva, inflorescências arroxeadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895","26697","auto",NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","1765405","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Gerrit Davidse|T.P. Ramamoorthy","Davidse 10790","1976","2","28","South America","Brazil","Minas Gerais","Ca. 8 km NW of Congonhas along Highway 135 to Belo Horizonte. Cerrado with gravelly soil.","970.00000000",NA,NA,NA,NA,NA,NA,"H. Longhi-Wagner, 1991 (ICN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1126",NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","1765408","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital","Davidse 11383","1976","3","15","South America","Brazil","Paraná","12 km SW of Jaguariaíva along Highway PR-11 to Ponto Grossa. Open grassland with some marshy areas.","1100.00000000",NA,NA,NA,NA,NA,NA,"H. Longhi-Wagner, 1991 (ICN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1178",NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","246390","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Per Dusén","Dusén 9710","1910","4","16","South America","Brazil","Paraná","Jaguariahyva",NA,NA,NA,NA,NA,NA,NA,"Longhi-Wagner, H. M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","2819742","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Per Dusén","Dusén 15072","1914",NA,NA,"South America","Brazil","Paraná","Jaguariahyva opp. in campo. Cerrado.","720.00000000",NA,NA,NA,NA,NA,NA,"H.M. Longhi-Wagner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2009-10-24 06:55:00-02","MO","MOBOT","2821258","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","George Eiten|Tatiana Sendulsky","Eiten 2859","1961","5","31","South America","Brazil","São Paulo","São José dos Campo: 5.5 km S & 1.9 km E of main plaza in city of São José dos Campos (along road to Paraibuna). Cerrado low woodland with trees 3-5 m tall 5-15 m apart, scattered shrubs and grass.",NA,NA,NA,NA,NA,NA,NA,"Longhi-Wagner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2009-07-27 09:38:00-03","MO","MOBOT","229339","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Auguste F.M. Glaziou","Glaziou 17896","1889",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-19 11:20:02-03","UFG","UFG","42938","S","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Herter","Amaral, A.G.; et al.","1196","2008","07","03",NA,"Brasil","Distrito Federal",NA,NA,NA,NA,NA,"UFG0042938","UFG0042938",NA,"Chacon, R.G.","2008","09",NA,NA,NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA
"31","2018-08-28 14:52:35-03","UPF","RSPF","1469","S","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","H. Longhi","709","1978","12","08","América do Sul","Brasil","Rio Grande do Sul","Cerro Paloma",NA,NA,NA,"Gramineae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sant'Ana do Livramento","-55.5327987670898","-30.8908004760742","79795","auto",NA,NA,NA,NA
"32","2018-08-28 14:52:35-03","UPF","RSPF","680","S","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","J.F.M. Valls; et al.","2470",NA,NA,NA,"América do Sul","Brasil","Rio Grande do Sul","Entre Manoel Vianna e São Franscisco, Km 20, sobre o rio Ibicuí",NA,NA,NA,"Gramineae/ Ex. ICN 22306",NA,NA,NA,"B.M.A. Severo",NA,NA,NA,NA,NA,"São Francisco de Assis","-55.1310997009277","-29.5503005981445","48310","auto",NA,NA,NA,NA
"33","2021-03-01 11:50:41-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, H; Furlan, A; Isejima, EM","UFP7487","1982","04","11",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Campo arenoso. Folhas verdes, enrolam.; Campo arenoso. Folhas verdes, enrolam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA
"34","2021-03-01 11:50:41-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, H; Furlan, A; Isejima, EM","UFP7487","1982","04","11",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Campo arenoso. Folhas verdes, enrolam.; Campo arenoso. Folhas verdes, enrolam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA
"35","2021-03-01 11:50:41-03","UFPE","UFP","7487","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, H; Furlan, A; Isejima, EM","UFP7487","1982","04","11",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Campo arenoso. Folhas verdes, enrolam.; Campo arenoso. Folhas verdes, enrolam.","UFP007487",NA,NA,NA,NA,NA,NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA
"36","2020-09-12 05:00:02-03","US","US","601164","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","P. K. Dusén","9710","1910","4","16","South America","Brazil","Paraná","Jaguariahyva.",NA,NA,NA,NA,"US00139334","US00139334_01","Isotype",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"37","2020-09-12 05:00:02-03","US","US","81237","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Aristida","trinii","Aristida trinii","Henrard","A. F. M. Glaziou","17896","1889",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US00131496","US00131496_01","Type fragment",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","2020-09-02 16:36:06-03","Cenargen","CEN","107266","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","José Francisco Montenegro Valls","8789","1985","05","19",NA,"Brasil","MT","Distrito de Vale do Guaporé. 28,2 km ao norte do Rio Novo, ao longo da rodovia BR - 174 (Pontes e Lacerda - Vilhena).","600","600","Exsicatas","Grosseira.","CEN00107266","CEN00107266",NA,"H. M. Longhi-Wagner","1999",NA,NA,NA,NA,"COMODORO","59.7619444","-13.894722",NA,NA,"59.7619444","-13.894722",NA,"5"
"39","2019-11-13 11:28:39-03","USP","SPF","179187","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Viana, PL","2260","2006","08","19",NA,"Brasil","Minas Gerais","Serra da Ferrugem",NA,NA,NA,NA,"SPF00179187","SPF00179187",NA,"Viana, PL","2006","10",NA,NA,NA,"Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318","auto",NA,NA,NA,NA
"40","2019-11-13 11:28:39-03","USP","SPF","35076","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Longhi-Wagner, HM","CFCR6016","1984","11","15",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"SPF00035076",NA,NA,"Longhi-Wagner, HM","1995","08",NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"41","2019-11-13 11:28:39-03","USP","SPF","35075","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Longhi-Wagner, HM","CFCR6015","1984","11","15",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"SPF00035075","SPF00035075",NA,"Longhi-Wagner, HM",NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"42","2019-11-13 11:28:40-03","USP","SPF","35702","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, HM","CFCR6102","1984","11","18",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"SPF00035702","SPF00035702",NA,"Longhi-Wagner, HM","1985","03",NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA
"43","2019-11-13 11:28:40-03","USP","SPF","23181","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, HM","CFCR2970","1982","04","11",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"SPF00023181","SPF00023181",NA,"Longhi-Wagner, HM","1984",NA,NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA
"44","2019-11-13 11:28:40-03","USP","SPF","43751","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Zappi, DC","CFCR9849","1986","07","23",NA,"Brasil","Minas Gerais","Córrego Escurinha.","740","740",NA,NA,"SPF00043751","SPF00043751",NA,"Longhi-Wagner, HM","1988",NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA
"45","2019-11-13 11:28:40-03","USP","SPF","42448","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Giulietti, AM","CFSC9786","1986","05","03",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"SPF00042448","SPF00042448",NA,"Longhi-Wagner, HM",NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"46","2019-11-13 11:28:40-03","USP","SPF","35078","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, HM","CFCR6018","1984","11","15",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"SPF00035078","SPF00035078",NA,"Longhi-Wagner, HM","1986",NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"47","2019-11-13 11:28:40-03","USP","SPF","35077","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, HM","CFCR6017","1984","11","15",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"SPF00035077","SPF00035077",NA,"Longhi-Wagner, HM","1985","03",NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"48","2019-11-13 11:28:40-03","USP","SPF","35070","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","trinii","Aristida trinii","Henrard","Longhi-Wagner, HM","CFCR6010","1984","11","15",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"SPF00035070","SPF00035070",NA,"Longhi-Wagner, HM","1985","03",NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"49","2019-10-07 09:21:36-03","UEFS","HUEFS","205449","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Munhoz, C.B.R.","7221","2010","05","03",NA,"Brasil","Minas Gerais","Fazenda do Seu Geraldão, acesso por Inhaí.","1154","1154",NA,"Cerrado rupestre.","HUEFS0205449","HUEFS0205449",NA,NA,NA,NA,"Lilianae",NA,NA,"Diamantina","-43.885556","-17.9275",NA,NA,"43W53'8''","17S55'39''",NA,NA
"50","2021-02-12 15:02:23-03","UFSCar","SPSC","7208","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","D.M. Silva",NA,"2007","03",NA,NA,"Brasil","São Paulo","UFSCar.",NA,NA,NA,"Cerrado",NA,NA,NA,"I.A. Silva",NA,NA,NA,NA,NA,"São Carlos",NA,NA,NA,NA,"9999","9999",NA,NA
"51","2019-11-01 15:15:49-03","UnB","UB","203349","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Oliveira, ACP","s.n.","2007","08","11","Southern America","Brasil","Rio Grande do Norte","Catolé, Área do exército.",NA,NA,NA,"Cerrado.",NA,NA,NA,"Oliveira, RC; Valls, JFM","2010","07",NA,NA,NA,"Rio do Fogo","-35.4","-5.410556",NA,NA,"-35.4","-5.410556",NA,NA
"52","2019-11-01 15:15:49-03","UnB","UB","163235","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Munhoz, CBR; Emmert, P; Mello, TRB","7221","2010","05","03","Southern America","Brasil","Minas Gerais","Fazenda do Seu Geraldão, acesso por Inhaí","1154","1154",NA,"Erva, 0,8m. Flores em antese e murchas; Cerrado rupestre","UB0016910","UB0016910",NA,"Mello, TRB","2010",NA,NA,NA,NA,"Diamantina","-43.885556","-17.9275",NA,NA,"-43.885556","-17.9275",NA,NA
"53","2019-11-01 15:15:49-03","UnB","UB","186493","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Aristida","ekmaniana","Aristida ekmaniana","Henrard","Goodland, R","3768A","1967","08","09","Southern America","Brasil","Minas Gerais","7 km north of Frutal on highway BR-14",NA,NA,NA,"Voucher specimen for phytosociological survey, taken from Stand 240. Common in stand; Campo sujo (very open xeromorphic scrub savanna)","UB0016608","UB0016608",NA,"Longhi-Wagner, HM","1990","05",NA,NA,"22","Frutal","-48.940601348877","-20.0247001647949","46367","auto",NA,NA,NA,NA
