"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","dayIdentified","class","individualCount","relatedCatalogItem"
"11","2019-10-09 11:20:01-03","UFBA","ALCB","65733","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Guedes, ML; Loureiro, DM","Guedes, ML; Alunos de Botânica III","10872","2004","04","03","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Lages","-41.15","-11.55",NA,NA,NA,"de ca 30cm. Folhas membranáceas, discolores. Flores com pétalas lilases, estames com filetes alvos, anteras amarelas. Fruto cápsula imatura.; Campo sujo","ALCB062119",NA,"2004","04","-41.15","-11.55",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:20:01-03","UFBA","ALCB","67713","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Guedes, ML","Roque, N; Alunos de Botânica III","1103","2004","09","03","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.001389","-11.635833","767","767",NA,"1,3m de altura, planta viscosa; folhas discolores. Hipanto verde-vermelho, cálice lilás, anteras amarelas-avermelhadas.","ALCB061296",NA,"2004","09","-41.001389","-11.635833",NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:20:01-03","UFBA","ALCB","73627","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Roque, N; Alunos de Botânica III","1448","2006","07","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para as Andorinhas","-41.341389","-12.992222","980","980",NA,"1,5m de altura, hipanto e sépalas verdes, pétalas laranjas com base amarela, estames amarelos.","ALCB061295",NA,"2011","01","-41.341389","-12.992222",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:20:01-03","UFBA","ALCB","78272","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins",NA,"Franco, EL","s/n","2007","05","17","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê","-41.343889","-13.016667","948","948",NA,"ca. 1,5m alt. Corola rósea, estames amarelos. Frutos castanhos.","ALCB061297",NA,NA,NA,"-41.343889","-13.016667",NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:20:01-03","UFBA","ALCB","78272","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins",NA,"Franco, EL","s/n","2007","05","17","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê","-41.343889","-13.016667","948","948",NA,"ca. 1,5m alt. Corola rósea, estames amarelos. Frutos castanhos.",NA,NA,NA,NA,"-41.343889","-13.016667",NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:20:01-03","UFBA","ALCB","78272","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins",NA,"Franco, EL","s/n","2007","05","17","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê","-41.343889","-13.016667","948","948",NA,"ca. 1,5m alt. Corola rósea, estames amarelos. Frutos castanhos.",NA,NA,NA,NA,"-41.343889","-13.016667",NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:20:01-03","UFBA","ALCB","88836","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins",NA,"Roque, N; Alunos de Botânica III","1984","2009","05","23","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha Cruzeiro dos Bêbados até Medonha.","-41.366667","-13","1020","1020",NA,"ca. 2m alt. Sépalas verdes, corola laranja com base amarela, anteras amarelas.","ALCB061298",NA,NA,NA,"-41.366667","-13",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:13:20-03","ESALQ","ESA","25742","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins","Rodrigues, K.F.","Harley, R.M. et al.",NA,"1994","02","16",NA,"Brasil","Bahia","Lençóis",NA,"-41.3899993896484","-12.563099861145",NA,NA,NA,NA,"ESA025742","ESA025742",NA,NA,NA,NA,"47385","auto",NA,NA,NA,NA,NA
"19","2020-12-20 21:18:18-03","UFV","VIC","045330","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins",NA,"Baumgratz; et al.","1460","2015","12","08",NA,"Brasil","Bahia","Mucugê","Chapada Diamantina","-41.3708000183105","-13.0052995681763",NA,NA,NA,"Subarbusto de ca 60 cm de altura, ramos verde acastanhados,folhas verdes discolores de flores de hipanto e cálice verdes, pétalas alaranjadas de base amarela,estames amarelos,estilete alvo amarelado,frutos jovens verdes posteriormente","VIC045330","VIC045330",NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"20","2021-03-01 16:33:46-03","UNICAMP","UEC","122310","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Almeda, F; Romero, R; Martins, AB; Belinello, R","8296","1999","05","16",NA,"Brazil","Bahia",NA,"Estrada para Igatu, ca. 23 km do trevo de Mucugê.","-41.312306","-12.894472",NA,NA,NA,"Subarbusto, ca. 0,8m. Corola laranja com base amarela; estames amarelos.; Campo rupestre. 720m.","UEC003439","UEC003439","2011","01","-41.312306","-12.894472",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:33:46-03","UNICAMP","UEC","122347","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Almeda, F; Romero, R; Martins, AB; Belinello, R","8286","1999","05","15",NA,"Brazil","Bahia","Mucugê","Estrada Andaraí - Mucugê, próximo ao cemitério de Mucugê, km 48.","-41.374083","-13.008306",NA,NA,NA,"Arbusto bastante ramificado com os ramos prostrados. Corola laranja, base amarela; estames amarelos.; Campo arenoso úmido, na base de campo rupestre. 960m.","UEC003442","UEC003442","2011","01","-41.374083","-13.008306",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:33:46-03","UNICAMP","UEC","145875","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Santos, AKA; Oliveira, EC; Rocha, SF; et al.","443","2005","08","16",NA,"Brazil","Bahia","Mucugê","Trilha para a mata do medonho.","-41.37","-13.255556","1000","1000",NA,"Arbusto, ca. 1,2 m alt. Folhas verdes, discolores, face abaxial mais clara. Estames e estiletes amarelos. Cálice e hipanto verde. Pétalas bicolores, amarela na base e o restante laranja. Frutos castanhos. Coletada no interior da mata.","UEC003441","UEC003441","2011","01","-41.37","-13.255556",NA,NA,NA,NA,NA,NA,NA
"23","2019-08-20 10:18:09-03","UNICAMP","UEC","145935","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Rodrigues, KF; Fortuna-Perez, AP; Silva, MJ","281","2007","03","14",NA,"Brazil","Bahia","Mucugê","Subida para Serra do Gobira, início da trilha. Campo sujo.","-41.383056","-13.083056",NA,NA,NA,"Subarbusto ca. 1 m alt., ereto. Pétalas bicolores com metade inferior amarela e parte superior vermelho-alaranjado; estames amarelos.","UEC003446","UEC003446","2007","03","-41.383056","-13.083056",NA,NA,NA,NA,NA,NA,NA
"24","2019-08-20 10:18:09-03","UNICAMP","UEC","146046","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Rodrigues, KF; Fortuna-Perez, AP; Silva, MJ","279","2007","03","14",NA,"Brazil","Bahia","Mucugê","Subida para Serra do Gobira, início da trilha.Campo sujo.","-41.370833","-13.059722",NA,NA,NA,"Subarbusto ca. 1 m alt., ereto. Pétalas bicolores com metade inferior amarela e parte superior vermelho-alaranjado; estames amarelos.","UEC003443","UEC003443","2007","03","-41.370833","-13.059722",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:33:46-03","UNICAMP","UEC","154990","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Rodrigues, KF","Santos, AKA; Oliveira, EC; Rocha, SF; et al.","443","2005","08","16",NA,"Brazil","Bahia","Mucugê","Trilha para a mata do medonho.","-41.37","-13.255556","1000","1000",NA,"Arbusto, ca. 1,2 m alt. Folhas verdes, discolores, face abaxial mais clara. Estames e estiletes amarelos. Cálice e hipanto verde. Pétalas bicolores, amarela na base e o restante laranja. Frutos castanhos. Coletada no interior da mata.","UEC019445","UEC019445","2011","01","-41.37","-13.255556",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:33:46-03","UNICAMP","UEC","171198","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins",NA,"Almeda, F; Romero, R; Martins, AB; Belinello, R","8296","1999","05","16",NA,"Brazil","Bahia",NA,"Estrada para Igatu, ca 23km do trevo de Mucugê.","-41.312306","-12.894472","720","720",NA,"Campo rupestre. Subarbusto, ca 0.8m. Corola laranja com base amarela; estames amarelos.","UEC073022","UEC073022",NA,NA,"-41.312306","-12.894472",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:33:46-03","UNICAMP","UEC","175665","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins",NA,"Hind, N; Bautista, HP; Smith, S","3615","1996","07","14",NA,"Brazil","Bahia","Mucugê","Estrada Igatu-Mucugê, a 3 Km de Igatu.","-42.144722","-12.898056","960","960",NA,"Arbusto, até 1m. Folhas membranáceas, concolores, face adaxial com nervuras impressas e abaxial com nervuras proeminentes avermelhadas, pecíolo vermelho. Flores de cálice verde, pétalas laranjas com base amarela; filetes, anteras, esti","UEC099536","UEC099536",NA,NA,"-42.144722","-12.898056",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:33:46-03","UNICAMP","UEC","55405","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Martins, AB","Harley, RM","22663","1980","05","27",NA,"Brazil","Bahia","Serra dos Lençois","About 7-10 km. along the main Seabra-Itaberaba road W. of the Lençois turning, by the Rio Mucugézinho.","-41.433333","-12.466667","800","800",NA,"Viscid herb to 40 cm. Leaves pale green. Calyx pale green. Petals reddish - orange with golden yellow base. Stamens yellow.; Extensive sandstone outcrops with shrubs and small trees & some damp ground.","UEC055471","UEC055471","1984",NA,"-41.433333","-12.466667",NA,NA,"holotypus",NA,NA,NA,NA
"29","2021-03-01 16:33:46-03","UNICAMP","UEC","31539","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Martins, AB","Harley, RM","22481","1980","05","24",NA,"Brazil","Bahia","Serra dos Lençois","Municipio of Palmeiras, Middle and upper slopes of Pai Inácio ca. 15 km. N.W. of Lençois, just N. of the main Seabra - Itaberaba road.","-41.466667","-12.45","900","1100",NA,"Shrub to 80 cm. with slightly viscid leaves, rugose, mid green above, pale beneath. Sepals green. Petals orange-red with yellow base. Anthers yellow.; Open grassy slopes with sandstone rocks, and with low woodland.","UEC055472","UEC055472","1982","11","-41.466667","-12.45",NA,NA,"paratypus","29",NA,NA,NA
"30","2020-12-21 16:34:02-03","MBM","MBM","90888","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins","Wurdack, J.J.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","47927",NA,NA,NA,"Southern America","Brazil","Bahia","Mucugê","Rio Paraguaçu","-41.3708000183105","-13.0052995681763",NA,NA,NA,"Sublenhosa, 50 cm; pétalas vermelhas, estames e anteras amarelas. Campo rupestre, entre rochas","MBM090888","MBM090888","1985",NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"31","2021-02-11 17:19:34-03","UFPR","UPCB","90735","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins","Guedes, M.L.","Roque, N.","1103",NA,NA,NA,NA,"Brasil","Bahia","Chapada da Diamantina",NA,"-41.001389","-11.616667",NA,NA,NA,"Campo rupestre.. Subarbusto: 1,3m de altura, planta viscosa; folhas discolores. Hipanto verde-vermelho, cálice lilás, anteras amarelas-avermelhadas.","UPCB0034323","UPCB0034323","2004","09","-41.001389","-11.616667",NA,NA,NA,NA,NA,NA,NA
"32","2021-02-11 17:19:34-03","UFPR","UPCB","92749","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins","Guedes, M.L.","Roque, N.","1103",NA,NA,NA,NA,"Brasil","Bahia","Chapada da Diamantina",NA,"-41.001389","-11.616667",NA,NA,NA,"Campo rupestre.. Subarbusto: 1,3m de altura, planta viscosa; folhas discolores. Hipanto verde-vermelho, cálice lilás, anteras amarelas-avermelhadas.","UPCB0034323","UPCB0034323","2004","09","-41.001389","-11.616667",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 11:49:06-03","UFPE","UFP","86827","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins","Baumgratz, JFA","Baumgratz, JFA; Bovivni, M; Nadruz, T; Meneguzzo, T; Jordão, LSB","1461","2015","07","08",NA,"Brasil","Bahia","Mucugê",NA,"-41.369722","-13.003889","1002","1002",NA,"Subarbusto ca. 60cm alt., heliófilo, crescendo no terreno do hotel Pé da Serra, na parte de trás, sobre rochas; ramos verde-acastanhados; folhas verdes discolores; flores c/hipanto e cálice verdes, pétalas alaranjadas c/base amarela, e","UFP086827",NA,"2015","07","-41.369722","-13.003889",NA,NA,NA,NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","2939736","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins",NA,"R. M. Harley, G. L. Bromley, A. M. Carvalho, J. Nunes & E. B. Santos","22481","1980","5","24","South America - Neotropics","Brazil","Bahia","Palmeiras","Serra dos Lençois.iddle and upper slopes of Pai Inácio ca. 15 Km NW of Lençois, just N of the main Seabra-Itaberaba road","-41.47","-12.45","900","1100",NA,NA,"US01894244","US01894244_01 US01894244_02",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"35","2020-09-12 05:00:02-03","US","US","3017005","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins",NA,"G. Hatschbach & R. Kummrow","47927","1984","6","15","South America - Neotropics","Brazil","Bahia","Mucugê","Rio Paraguaçu","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"US01894243","US01894243_01 US01894243_02",NA,NA,NA,NA,"52493","auto",NA,NA,"Dicotyledonae","1",NA
"36","2020-09-12 05:00:02-03","US","US","3713342","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins",NA,"N. Roque & Alunos de Bot. III","1984","2009","5","23","South America - Neotropics","Brazil","Bahia",NA,"Mucugê, Chapada Diamantina, Trilha Cruzeiro dos Bêbados até Medonha.","-41.37","-13","1020",NA,NA,NA,"US02924227","US02924227_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"37","2020-09-12 05:00:02-03","US","US","2939737","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B. Martins",NA,"R. M. Harley","22663","1980","5","27","South America - Neotropics","Brazil","Bahia",NA,"7-10 km along Seabra-Itaberaba road W of the Lencois turning, by Rio Mucugezinho.",NA,NA,"800","800",NA,NA,"US00120240","US00120240_01",NA,NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledonae","1",NA
"38","2019-11-13 11:25:15-03","USP","SPF","123839","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Santos, AKA","Hind, DJN","PCD3615","1996","07","14",NA,"Brasil","Bahia","Mucugê",NA,"-42.144722","-12.898056","960","960",NA,NA,"SPF00123839",NA,"2010","01","-42.144722","-12.898056",NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:12:31-03","USP","SPF","104204","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Guedes, MLS; Baumgratz, JFA","Carvalho, AMV","PCD1063","1994","10","27",NA,"Brasil","Bahia","Lençóis",NA,"-41.440278","-12.459722","910","910",NA,NA,"SPF00104204",NA,"1998",NA,"-41.440278","-12.459722",NA,NA,NA,NA,NA,NA,NA
"40","2019-11-13 11:25:15-03","USP","SPF","94702","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Santos, AKA","Harley, RM","CFCR14121","1994","02","16",NA,"Brasil","Bahia","Lençóis",NA,"-41.3899993896484","-12.563099861145","900","1000",NA,NA,"SPF00094702",NA,"2010","01",NA,NA,"47385","auto",NA,NA,NA,NA,NA
"41","2019-11-13 11:25:15-03","USP","SPF","40679","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","Wurdack, JJ","Hatschbach, G","47927","1984","06","15",NA,"Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"SPF00040679",NA,"1985",NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"42","2019-10-07 09:34:10-03","UEFS","HUEFS","169216","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","C.van den Berg","Oliveira, P.N.de","44","2011","03","26",NA,"Brasil","Bahia","Mucugê","Trilha Sandália Bordada.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"HUEFS0169216","HUEFS0169216","2015","08",NA,NA,"52493","auto",NA,NA,"Rosanae",NA,NA
"43","2019-10-07 09:34:10-03","UEFS","HUEFS","147748","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","C.van den Berg","Santos, D.L.dos","14","2009","02","23",NA,"Brasil","Bahia","Igatu","Entrada do Labirinto, quadrante 3.","-41.3","-12.883333",NA,NA,NA,NA,"HUEFS0147748","HUEFS0147748","2015","08","41W18'","12S53'",NA,NA,NA,NA,"Rosanae",NA,NA
"44","2019-10-07 09:34:10-03","UEFS","HUEFS","117806","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","wurdackii","Cambessedesia wurdackii","A.B.Martins","A.K.A.Santos","Harley, R.M.","55606","2007","02","24",NA,"Brasil","Bahia","Mucugê","Reserva Municipal de Sempreviva. Trilha de Lizardo, que vai de Tiburtino para a cidade.","-41.3525","-12.998333","932","932",NA,"Campo rupestre.","HUEFS0117806","HUEFS0117806","2008","02","41W21'9''","12S59'54''",NA,NA,NA,NA,"Rosanae",NA,NA
