"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","class","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"11","2020-11-04 10:56:24-03","ESALQ","ESA","116276","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora",NA,"Souza, M.C.","Braga, J.M.A.","3781.0","1996","01","01",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"ESA116276","ESA116276","-44.5633010864258","-22.4960994720459","Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:14:56-03","ESALQ","ESA","53682","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Lima, D.F.","Lucas, E.J. et al.","682.0","2006","11","24",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA053682",NA,"-42.0297012329102","-20.8083000183105","Faria Lemos","14353","auto",NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:14:56-03","ESALQ","ESA","118660","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Lima, D.F.","Nicolau, S.A.","3313.0","2007","07","01",NA,"Brasil","São Paulo",NA,NA,NA,"ESA118660",NA,"-45.8400001525879","-23.5300006866455","Salesópolis","18032","auto",NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0055941","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M. Sobral (specieslink)","Al Gentry; E. Zardini","49915","1985","2","8",NA,"Brazil","Bahia","Mun. Guaratinga. Road from BR-101 to Cajuita.",NA,"Tree, fruits green.",NA,NA,"-39.6667","-16.7167",NA,NA,NA,NA,NA,"150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:36:40-03","UNICAMP","UEC","155569","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cam.","Souza, MC","Braga, JMA; et al.","3781","1996","01","13",NA,"Brazil","Rio de Janeiro","Parque Nacional de Itatiaia. Ponte do Maromba, próximo à margem do Rio Campo Belo.",NA,"Árvore, ca. 5m altura. Folhas cartáceas, lustrosas na face adaxial e quando jovens com a nervura central vermelha na face adaxial. Infl. com raque vinácea. Botões florais com hipâncio verde a vináceo, corola alva.; Mata Densa.","UEC055806","UEC055806","-44.75","-22.466667","Itatiaia",NA,NA,NA,"2004","1050","1050","12","-44.75","-22.466667",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:36:40-03","UNICAMP","UEC","200197","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cam.","Meireles, LD","Padgurschi, MCG; Belinello, R","M1237","2009",NA,NA,NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar",NA,"Parcela M - Projeto Biota-FAPESP. Árvore com 12 metros de altura. Frequência da espécie na parcela: n=6","UEC177742",NA,"-45.183333","-23.4","São Luiz do Paraitinga",NA,NA,NA,"2016","990","1045",NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:36:40-03","UNICAMP","UEC","200457","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cam.","Meireles, LD","Pereira, LS; Belinello, R; Gomes, JAMA","N1388","2007","12",NA,NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 6 metros de altura. Frequência da espécie na parcela: n=2; Mata Atlântica","UEC157995","UEC157995","-45.183333","-23.4","São Luiz do Paraitinga",NA,NA,NA,"2017","990","1045",NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:36:40-03","UNICAMP","UEC","182750","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cam.","Sobral, M","Shirasuna, RT; Simão-Bianchini, R; Rossi, L; Kiyama, CY","37","1994","09","05",NA,"Brazil","São Paulo","Estação Biológica de Boracéia. Estrada para a barragem da SABESPno rio Guaratuba.",NA,"Árvore, 4m alt. Frutos imaturos verdes bem claro.","UEC020426","UEC020426","-45.8400001525879","-23.5300006866455","Salesópolis","18032","auto",NA,"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:36:40-03","UNICAMP","UEC","18750","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cam.","Sobral, M","Shirasuna, RT; Simão-Bianchini, R; Rossi, L; Kiyama, CY","37","1994","09","05",NA,"Brazil","São Paulo","Estação Biológica de Boracéia. Estrada para a barragem da SABESPno rio Guaratuba.",NA,"Árvore, 4m alt. Frutos imaturos verdes bem claro.","UEC020426","UEC020426","-45.8400001525879","-23.5300006866455","Salesópolis","18032","auto",NA,"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-06-25 21:38:12-03","UFPB","JPB","18681","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Myrtaceae","Myrcia","paniculata","Myrcia paniculata","Krug & Urb.",NA,"Agra, MF; et al.","1369","1992","02","05","Southern America","Brasil","Paraíba",NA,NA,NA,NA,NA,"-34.978056","-7.114167","Santa Rita",NA,NA,NA,NA,"16","16",NA,"-34.978056","-7.114167",NA,NA,NA,NA,NA,NA,NA
"21","2020-05-11 19:01:22-03","UFPB","JPB","2108","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Myrtaceae","Myrcia","paniculata","Myrcia paniculata","Krug & Urb.",NA,"Xavier, LP","JPB2108","1969","02","02","Southern America","Brasil","Paraíba",NA,NA,NA,NA,NA,"-34.833889","-6.981111","Cabedelo",NA,NA,NA,NA,"3","3",NA,"-34.833889","-6.981111",NA,NA,NA,NA,NA,NA,NA
"22","2020-04-22 16:22:26-03","UFPB","JPB","26538","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Myrtaceae","Myrcia","paniculata","Myrcia paniculata","Krug & Urb.",NA,"Gadelha Neto, PC","482","1992","01","01","Southern America","Brasil","Paraíba",NA,NA,NA,NA,NA,"-38.228056","-6.759444","Sousa",NA,NA,NA,NA,"220","220",NA,"-38.228056","-6.759444",NA,NA,NA,NA,NA,NA,NA
"23","2020-04-22 16:22:26-03","UFPB","JPB","32745","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Myrtaceae","Myrcia","paniculata","Myrcia paniculata","Krug & Urb.","Prance, JT","Gadelha Neto, PC; Pontes, RA; Leite da Luz, PF","1090","2004","02","17","Southern America","Brasil","Paraíba","Jardim Botânico.",NA,"; DESC: Arbustivo. Tabuleiro. Substrato arenoso.",NA,NA,"-34.863056","-7.115","João Pessoa",NA,NA,NA,"2004","47","47","07","-34.863056","-7.115","01",NA,NA,NA,NA,NA,NA
"24","2020-06-29 09:31:34-03","UFRRJ","RBR","38213","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M.C. Souza","G.R. Souza; G.R. Alves","1624","2015","11","27",NA,"Brasil","São Paulo","Brasil, Arapeí SP, Fragmento da Baleia, Vale do Paraíba do Sul. Floresta semidecidual. ca.22°37#?#16,14#?##?#S 44°26#?#24,93#?##?#O, 619m.",NA,NA,"RBR00038213","RBR00038213","-44.439998626709","-22.6700000762939","Arapeí","13253","auto",NA,"2015",NA,NA,"11",NA,NA,"27",NA,NA,NA,NA,NA,NA
"25","2020-06-29 09:31:34-03","UFRRJ","RBR","38221","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M.C. Souza","G.R. Souza; R.G. Alves","1619","2011","06","12",NA,"Brasil","São Paulo","Fragmento da Baleia, Brasil, Arapeí SP, Fragmento da Baleia, Vale do Paraíba do Sul. Floresta semidecidual. ca.22°37#?#16,14#?##?#S 44°26#?#24,93#?##?#O, 619m.",NA,NA,"RBR00038221","RBR00038221","-44.439998626709","-22.6700000762939","Arapeí","13253","auto",NA,"2015",NA,NA,"11",NA,NA,"27",NA,NA,NA,NA,NA,NA
"26","2020-06-29 09:31:34-03","UFRRJ","RBR","35053","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M.C. Souza","J.M.A. Braga","3781","1996","01","13",NA,"Brasil","Rio de Janeiro","parque Nacional de Itatiaia",NA,NA,"RBR00035053","RBR00035053","-44.5633010864258","-22.4960994720459","Itatiaia","19648","auto",NA,"2004",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 09:31:34-03","UFRRJ","RBR","42393","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","134","2015","05","30",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Peixe. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042393","RBR00042393","-43.0075","-22.466111","Guapimirim",NA,NA,NA,NA,"1192","1192",NA,"43º0'27''W","22º27'58''S",NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 09:31:34-03","UFRRJ","RBR","42386","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","456","2017","06","30",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha Mozart Catão. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042386","RBR00042386","-42.988889","-22.451389","Teresópolis",NA,NA,NA,NA,"1172","1172",NA,"42º59'20''W","22º27'5''S",NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 09:31:34-03","UFRRJ","RBR","42387","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","394","2017","03","22",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Margem do Rio Bonfim, Vale do Bonfim, próximo a pousada campo de aventuras. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042387","RBR00042387","-43.090833","-22.463889","Petrópolis",NA,NA,NA,NA,"1073","1073",NA,"43º5'27''W","22º27'50''S",NA,NA,NA,NA,NA,NA,NA
"30","2020-06-29 09:31:34-03","UFRRJ","RBR","42388","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","377","2017","01","20",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Dedo de Deus. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042388","RBR00042388","-43.003611","-22.47","Guapimirim",NA,NA,NA,NA,"979","979",NA,"43º0'13''W","22º28'12''S",NA,NA,NA,NA,NA,NA,NA
"31","2020-06-29 09:31:34-03","UFRRJ","RBR","42389","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","371","2017","01","15",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha Mozart Catão. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042389","RBR00042389","-42.988889","-22.451389","Teresópolis",NA,NA,NA,NA,"1196","1196",NA,"42º59'20''W","22º27'5''S",NA,NA,NA,NA,NA,NA,NA
"32","2020-06-29 09:31:34-03","UFRRJ","RBR","42390","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","360","2016","12","03",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha 360°. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042390","RBR00042390","-42.988611","-22.454444","Teresópolis",NA,NA,NA,NA,"1287","1287",NA,"42º59'19''W","22º27'16''S",NA,NA,NA,NA,NA,NA,NA
"33","2020-06-29 09:31:34-03","UFRRJ","RBR","42391","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","289","2016","07","29",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha 360°. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042391","RBR00042391","-42.989167","-22.455833","Teresópolis",NA,NA,NA,NA,"1320","1320",NA,"42º59'21''W","22º27'21''S",NA,NA,NA,NA,NA,NA,NA
"34","2020-06-29 09:31:34-03","UFRRJ","RBR","42392","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","252","2016","02","15",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha 360°. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042392","RBR00042392","-42.988056","-22.453611","Teresópolis",NA,NA,NA,NA,"1254","1254",NA,"42º59'17''W","22º27'13''S",NA,NA,NA,NA,NA,NA,NA
"35","2020-06-29 09:31:34-03","UFRRJ","RBR","42394","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","L.F. Gonçalves","L.F. Gonçalves","133","2015","05","30",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Peixe. Parque Nacional da Serra dos Órgãos",NA,NA,"RBR00042394","RBR00042394","-43.006111","-22.466667","Guapimirim",NA,NA,NA,NA,"1048","1048",NA,"43º0'22''W","22º28'0''S",NA,NA,NA,NA,NA,NA,NA
"36","2020-06-29 09:31:34-03","UFRRJ","RBR","42777","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","T.P.P. Alverga","T.P.P. Alverga",NA,"2015","05","28",NA,"Brasil","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar- F53/5.",NA,NA,"RBR00042777",NA,"-43.5125","-23.028611","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"43º30'45''W","23º1'43''S",NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 09:31:34-03","UFRRJ","RBR","42936","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","T.P.P. Alverga","T.P.P. Alverga",NA,"2015","05","28",NA,"Brasil","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar S.A.U / A 1435.",NA,NA,"RBR00042936",NA,"-43.230556","-22.521389","Petrópolis",NA,NA,NA,NA,NA,NA,NA,"43º13'50''W","22º31'17''S",NA,NA,NA,NA,NA,NA,NA
"38","2020-06-29 09:31:34-03","UFRRJ","RBR","38223","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M.C. Souza","G.R. Souza; R.G. Alves","1614","2011","05","21",NA,"Brasil","São Paulo","Fragmento da Baleia, Brasil, Arapeí SP, Fragmento da Baleia. Vale do Paraíba do Sul. Floresta semidecidual. ca.22°37#?#26,07#?##?#S 44°26#?#36,85#?##?# O, 650m.",NA,NA,"RBR00038223","RBR00038223","-44.439998626709","-22.6700000762939","Arapeí","13253","auto",NA,"2015",NA,NA,"11",NA,NA,"27",NA,NA,NA,NA,NA,NA
"39","2020-06-29 09:31:34-03","UFRRJ","RBR","38210","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M.C. Souza","G.R. Souza; R.G. Alves","1630","2011","06","19",NA,"Brasil","São Paulo","Fragmento da Baleia, Fragmento da Baleia, vale do Paraíba do Sul. Floresta semidecidual. ca.22°37#?#16,14#?##?#S 44°26#?#24,93#?##?# O, 619m.",NA,NA,"RBR00038210","RBR00038210","-44.439998626709","-22.6700000762939","Arapeí","13253","auto",NA,"2015",NA,NA,"11",NA,NA,"27",NA,NA,NA,NA,NA,NA
"40","2020-06-29 09:31:34-03","UFRRJ","RBR","29496","S","Plantae",NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M.C. Souza","F.C. Nettesheim","40","2002","05","14",NA,"Brasil","Rio de Janeiro","Ilha da Marambaia",NA,NA,"RBR00029496","RBR00029496","-44.040599822998","-22.9596996307373","Mangaratiba","17272","auto",NA,"2007",NA,NA,"09",NA,NA,"04",NA,NA,NA,NA,NA,NA
"41","2019-11-01 15:33:06-03","PUC-RIO","FCAB","7756","PreservedSpecimen","Plantae",NA,"Angiospermae","Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","M. Souza","J.M. Freire; R.R. Oliveira; B.L. Rosendo","623","2010","06","10",NA,"Brasil","Rio de Janeiro","Maciço da Pedra Branca 10.5",NA,"Árvore com 8 m de altura, com 38 cm de CAP.","FCAB007756",NA,"-75.021889","-66.3025","Camorim",NA,NA,NA,NA,"470","470",NA,"-75.021889","-66.3025",NA,NA,NA,NA,NA,NA,NA
"42","2016-01-12 00:12:12-02","MNHN","RECOLNAT_MNHN_P","P00161407","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Aulomyrcia","laxiflora","Aulomyrcia laxiflora latifolia","O.Berg","Lima","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161407' target='other'> <mi>dwc_moreinfo</mi></a>","P00161407","P00161407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latifolia","lectotype","654",NA,NA,NA
"43","2016-01-12 13:02:49-02","MNHN","RECOLNAT_MNHN_P","P00161408","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Aulomyrcia","laxiflora","Aulomyrcia laxiflora latifolia","O.Berg","Lima","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161408' target='other'> <mi>dwc_moreinfo</mi></a>","P00161408","P00161408_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latifolia","lectotype","654",NA,NA,NA
"44","2015-10-05 23:38:36-03","MNHN","RECOLNAT_MNHN_P","P00161161","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Lima","Sello",NA,NA,NA,NA,NA,"Brésil",NA,"s.l.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161161' target='other'> <mi>dwc_moreinfo</mi></a>","P00161161","P00161161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2002-08-11 18:22:05-03","MNHN","RECOLNAT_MNHN_P","P00161213","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Amorim","Glaziou, A.",NA,"1870","3","14",NA,"Brésil",NA,"Cachoeira (Rio)","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161213' target='other'> <mi>dwc_moreinfo</mi></a>","P00161213","P00161213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3979",NA,NA,NA
"46","2015-10-04 06:05:18-03","MNHN","RECOLNAT_MNHN_P","P00161214","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Amorim","Glaziou, A.",NA,"1870","3","14",NA,"Brésil",NA,"Cachoeira (Rio)","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161214' target='other'> <mi>dwc_moreinfo</mi></a>","P00161214","P00161214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3979",NA,NA,NA
"47","2015-09-04 13:45:53-03","MNHN","RECOLNAT_MNHN_P","P00161290","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","laxiflora","Myrcia laxiflora","Cambess.","Lima","Sello",NA,NA,NA,NA,NA,"Brésil",NA,NA,"hb","donné en 1864 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161290' target='other'> <mi>dwc_moreinfo</mi></a>","P00161290","P00161290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
