"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","continentOcean","phylum","order","sex"
"11","2020-04-22 16:25:58-03","UFPB","JPB","35923","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Pontes, RA","2006","09","20","Pontes, RA; Gadelha Neto, PC","355","2006","05","24","Brasil","Paraíba","São João do Tigre","APA das Onças, Povoado do Quati, lajedo dos Coelhos","-36.8478012084961","-8.07917022705078","29531","; DESC: Saxícola em pequenos agrupamentos em pleno sol, juntamente com Hohenbergia horrida. Planta robusta de folhas com bainhas alvas, lâminas amareladas e acúleos castanhos. Escapo e raque avermelhados. Frutos muito passados. Espécie considareda rara e",NA,"auto",NA,NA,NA,NA,NA,NA,"Southern America","Angiosperma","Monocotyledon",NA
"12","2021-03-21 19:40:01-03","UFC","EAC","11681","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Siqueira Filho, J.A.","2004","02","18","Fernandes, A.; Matos, F.J.A.","EAC11681","1982","09","28","Brasil","Pernambuco","Triunfo",NA,"-38.1016998291016","-7.83805990219116","14606",NA,"EAC0011681","auto",NA,NA,NA,NA,"EAC0011681",NA,"Southern America","Monocotyledon",NA,NA
"13","2021-03-04 11:04:38-03","UFRB","HURB","23662","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","A.P.Fontana","2010","03","22","Fontana, A.P.; Marques, C.F.; Nascimento, O.G. & Rodrigues, G.","6553","2010","03","16","Brasil","Pernambuco","Triunfo","Pico do Papagaio, Topo, afloramento rochoso granítico;","-38.555528","-7.822722",NA,"rupicola, no sol, folhas verdes amarronzadas, inflorescência, bracteas e ovário verde, cálice amarelo, em cultivo. FOTO","HURB000023662",NA,"38º33'19,90W","07º49'21,80S","1185","1185","HURB000023662 HURB000023662_1",NA,NA,NA,NA,NA
"14","2021-03-01 11:55:10-03","UFPE","UFP","10836","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Siqueira-Filho, JA","2002","11","21","Silva, DC","24","1994","11","29","Brasil","Pernambuco","Porção",NA,NA,NA,NA,"Folhas lanceoladas de cor arroxeada. Escapo floral de mais ou menos 60cm. Brácteas vermelhas. Flores amareladas na base e esverdeada na porção superior.; Folhas lanceoladas de cor arroxeada. Escapo floral de mais ou menos 60cm. Bráctea","UFP010836",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pales",NA
"15","2021-03-01 11:55:10-03","UFPE","UFP","33307","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Siqueira-Filho, JA","2002","08","13","Siqueira-Filho, JA","1260","2002","08","13","Brasil","Pernambuco","Triunfo",NA,"-38.056056","-7.822833",NA,"Planta rupícola. Folhas vináceas na bainha foliar e ápice com máculas negras. Folhas 61-64X6,5-8cm comp. Bainha 29-29,5X11-14cm comp. Escappo floral 70-78cm alt. Brácteas dos ramos vermelhos, não excedendo eles. Material depositado no","UFP033307",NA,"-38.056056","-7.822833","1193","1193",NA,NA,NA,NA,"Pales",NA
"16","2021-03-01 11:55:10-03","UFPE","UFP","33326","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Leme, EMC","2006","07",NA,"Siqueira-Filho, JA","1277","2002","08","15","Brasil","Pernambuco",NA,NA,"-38.025528","-8.655056",NA,"Planta epífita facultativa em frutificação. Frutos globosos, esverdeados.; Planta epífita facultativa em frutificação. Frutos globosos, esverdeados.","UFP033326",NA,"-38.025528","-8.655056","1109","1109",NA,NA,NA,NA,"Pales",NA
"17","2021-03-01 11:55:10-03","UFPE","UFP","42611","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Siqueira-Filho, JA","2006","01","27","Siqueira-Filho, JA; Espirito-Santo, FS; Nascimento, GSG","1550","2006","01","27","Brasil","Pernambuco","Floresta",NA,"-38.218611","-8.653333",NA,"Epífita facultativa. Folhas variando de verde a vináceas. Inflorescência medindo entre 1,25 a 1,35m comp., paniculada, alvacenta com lanugem branco-acinzentadas ao longo do escapo floral. Brácteas secundárias menores que os ramos, verm","UFP042611",NA,"-38.218611","-8.653333","1007","1007",NA,NA,NA,NA,"Pales",NA
"18","2021-03-01 11:55:10-03","UFPE","UFP","69879","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Mendes, K","2011","01","20","Mendes, K; Alves, M; Cavalcanti, D; Chagas, MA; Cardoso, G","525","2010","08","29","Brasil","Pernambuco","São Caetano",NA,"-36.191389","-8.235556",NA,"Terrestre com cerca de 1,6 metros;Folhas vináceas;Escapo e brácteas florais rosas; sépias verdes; pétalas amarelas.&nf;&nf;&nf;&nf;; Em meio a Caatinga(Estrato B).","UFP069879",NA,"-36.191389","-8.235556",NA,NA,NA,NA,NA,NA,"Pales",NA
"19","2021-03-01 11:55:10-03","UFPE","UFP","69880","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Mendes, K","2011","01","20","Mendes, K; Alves, M; Cavalcanti, D; Chagas, MA; Cardoso, G","525","2010","08","29","Brasil","Pernambuco","São Caetano",NA,"-36.191389","-8.235556",NA,"Terrestre com cerca de 1,6 metros;Folhas vináceas;Escapo e brácteas florais rosas; sépias verdes; pétalas amarelas.&nf;&nf;&nf;&nf;; Em meio a Caatinga(Estrato B).","UFP069880",NA,"-36.191389","-8.235556",NA,NA,NA,NA,NA,NA,"Pales",NA
"20","2021-03-01 11:55:10-03","UFPE","UFP","10839","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Leme, EMC","2006","07",NA,"Sousa, GM","60","1994","12","07","Brasil","Pernambuco","Pesqueira",NA,"-36.6963996887207","-8.35778045654297","36615","Epífita sobre orelha de negro.; Epífita sobre orelha de negro.","UFP010839","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Pales",NA
"21","2021-04-05 12:31:00-03","UNIVASF","HVASF","9295","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","A.P. Fontana","2010","07","15","A.P. Fontana","6991","2010","07","15","Brasil","Pernambuco","Triunfo","Sítio Santa Rita, Propriedade do Sr Natanael Cordeiro de Pádua, próximo do Pico do Papagaio",NA,NA,NA,"Rupícola, no sol, Inflorescência vermelha, Cálice amarelo com base verde.","HVASF009295",NA,"9999.000000","9999.000000","1185","1185",NA,NA,"América do Sul",NA,NA,"U"
"22","2021-04-05 12:31:00-03","UNIVASF","HVASF","1564","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","J.A. Siqueira Filho","2002","08","13","J.A. Siqueira Filho","1260","2002","08","13","Brasil","Pernambuco","Triunfo","Pico do Papagaio",NA,NA,NA,"Planta rupícola. Folhas vináceas na binha foliar e ápice com máculas negras. Folhas 61-64X6,5-8cm comp. Bainha 29-39,5X11-14cm comp. Escapo floral 70-78cm alt. Brácteas dos ramos vermelhos, não excedendo eles. Material depositado no Bromeliário Biouniverso sob o n° 479.","HVASF001564",NA,"9999.000000","9999.000000","1193","1193",NA,NA,"América do Sul",NA,NA,"U"
"23","2021-04-05 12:31:00-03","UNIVASF","HVASF","42","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","J.A. Siqueira Filho","2006","01","27","J.A. Siqueira Filho","1550","2006","01","27","Brasil","Pernambuco","Tacaratu","REBIO Serra Negra",NA,NA,NA,"Epífita facultativa. Folhas variando de verde a vináceas. Inflorescência medindo entre 1,25 a 1,35m comp., paniculada, alvacenta com lanugem branco-acinzentadas ao longo do escapo floral. Brácteas secundárias menores que os ramos, vermelhas, alvacenta. Flores tubulosas de corola laranja, ovário esverdeado com presença de escamas. Brácteas florais agudas, vermelhas esverdeadas. População em plena floração. Material cultivado no Bromeliário Biouniverso n° BBIO 645","HVASF000042",NA,"9999.000000","9999.000000","1007","1007","HVASF000042_01 HVASF000042_02",NA,"América do Sul",NA,NA,"U"
"24","2021-04-05 12:31:00-03","UNIVASF","HVASF","8804","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","A.P. Fontana","2010","03","22","A.P. Fontana","6553","2010","03","16","Brasil","Pernambuco","Triunfo","Pico do Papagaio. Topo, afloramento rochoso granítico",NA,NA,NA,"Rupícola, no sol. Folhas verdes-amarronsadas. Inflorescência, brácteas e ovário verde. Cálice amarelo. Em cultivo.","HVASF008804",NA,"9999.000000","9999.000000","1185","1185","HVASF008804_v01 HVASF008804_v02 HVASF008804_v03",NA,"América do Sul",NA,NA,"U"
"25","2019-11-21 10:02:30-03","IBt","SP","328551","S","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms","Martinelli, G","1998","08",NA,"Souza, GM; et al.","69","1995","03","08","Brasil","Pernambuco",NA,"Reserva Biológica de Serra Negra, Floresta/Inajá.",NA,NA,NA,NA,"SP050718",NA,NA,NA,NA,NA,"SP050718",NA,NA,NA,NA,NA
"26","2019-11-21 10:02:30-03","IBt","SP","333083","S","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms",NA,NA,NA,NA,"Martinelli, G; et al.","15043","1998","08","08","Brasil","Pernambuco","Inajá","Reserva Biológica de Serra Negra","-38.013056","-8.657222",NA,NA,"SP050719",NA,"-38.013056","-8.657222","900","1000","SP050719",NA,NA,NA,NA,NA
"27","2019-11-21 10:02:30-03","IBt","SP","69023","S","Plantae","Bromeliaceae","Aechmea","werdermannii","Aechmea werdermannii","Harms",NA,NA,NA,NA,"Mee, M","s.n.","1961","11","25","Brasil","Pernambuco",NA,"Serra Negra",NA,NA,NA,NA,"SP050720",NA,NA,NA,NA,NA,"SP050720",NA,NA,NA,NA,NA
