"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","02099116","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","P. Fiaschi","2716","2005","02","19","South America","Brazil","Bahia","Ilhéus","Rodovia Ilhéus-Itacaré (BA 001), na altura do km 20, estrada à esquerda. Acesso ao Retiro. Ramal vicinal ca. 5,5 km à direita, para a Lagoa Encantada","-39.11722222","-14.5861111","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475346' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099116","NY02099116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","720479","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","M. Groppo, Jr.","A. M. V. de Carvalho","4583",NA,NA,NA,"South America","Brazil","Bahia","Santa Luzia","Ca. 7.5 km na estrada da BR-101 para Santa Luzia","-39.3972","-15.4142",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720479","NY00720479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02099112","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","P. Fiaschi","1866","2003","11","07","South America","Brazil","Bahia","Jussari","Estrada Jussari-Palmira, entrada à esquerda ca. 7.5 km. Fazenda Teimoso. RPPN Serra do Teimoso.","-39.5286","-15.1581",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475250' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099112","NY02099112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02636609","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","J. L. Paixão","510","2005","06","17","South America","Brazil","Bahia","Ilhéus","RPPN Salto Apepique. Rodovia Ilhéus-Itacaré (BA 001), com entrada à esq. na altura do km 20 (Ponta da Tulha) - acesso ao Retiro, ramal vicinal ca. 5.5 km à direita para a Lagoa Encantada.","-39.1236","-14.5861","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474980' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636609","NY02636609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01197942","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","J. L. Paixão","55","1988","07","20","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso.","-39.5286","-15.1581",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408347' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197942","NY01197942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01240895","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","A. M. Amorim","1701","1995","08","14","South America","Brazil","Bahia","Una","Estrada Sao José-Una, km 08. Ramal a direita a partir de Sao José","-39.0753","-15.2933",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240895","NY01240895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01241060","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","A. M. Amorim","1693","1995","08","14","South America","Brazil","Bahia","Una","Estrada Sao José-Una, km 08. Ramal a direita a partir de Sao José","-39.0753","-15.2933",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01241060","NY01241060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02099111","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","L. Biral","A. M. Amorim","2425","1998","05","10","South America","Brazil","Bahia","Santa Luzia","Entrada a 11,3 km a E da Sede do município Serra da Onça, ca. 4,5 km da estrada","-39.2569077","-15.3417536","510","510","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=62542' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099111","NY02099111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","470226","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","ligustrina","Maytenus ligustrina","Reissek","R. M. de Carvalho-Okano","H. C. de Lima","2173","1984","10","14","South America","Brazil","Rio de Janeiro","Magé","Paraiso, Area do Centro de Primatologia do RJ","-43.0406","-22.6531","190","190","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1182114","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","ligustrina","Maytenus ligustrina","Reissek",NA,"C. M. B. Correia","296","1991","11","22","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Caminho para o Morro do Pirulito. ?rea F04.","-42.88333","-22.48333",NA,NA,"sheet","Individuo F0400. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397306' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:29:47-03","UFRJ","RFA","40486","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.",NA,"Konno, T.U.P.; Silva, M.F.O. & Galvão, M.N.","1178","2009","07","16",NA,"Brasil","Rio de Janeiro","Macaé","Lagomar, Petrobrás, Terminal Cabúnas (TECAB).","-41.435278","-22.172778",NA,NA,NA,NA,"RFA32924",NA,NA,"41º26'7''W","22º10'22''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-06-29 11:29:47-03","UFRJ","RFA","15276","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","A. Joffily","P. Occhioni","6091","1974","09",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos. Próximo ao Morro Garrafão","-43.2075004577637","-22.9027996063232","600","600",NA,"Arvoreta frequente. Fruto maduro","RFA36926",NA,NA,NA,NA,"2001","09","17","57442","auto",NA,NA,NA,NA,NA
"23","2020-11-13 09:19:19-03","UFRJ","RFA","25700","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","Ana J. Coutinho","A. Quinet","17/54","2000","11","25",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá.","-43.124444","-22.573333","290","290",NA,"Árvore, 1,5m de altura, DAP 17cm, flor: botões verdes, folha verde discolor, comum no local.","RFA35490",NA,NA,"43º7'28''W","22º34'24''S","2001","10","10",NA,NA,NA,NA,NA,NA,NA
"24","2020-11-13 09:19:19-03","UFRJ","RFA","26762","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","A.J. Coutinho","A. Quinet","24/71","2001","02","12",NA,"Brasil","Rio de Janeiro","Magé","Estrada do Matão.","-43.138056","-22.583056","170","170",NA,"Árvore, 4m de altura, 24cm de DAP, folha verde discolor, fruto deiscente imaturo verde, comum no local.","RFA35491",NA,NA,"43º8'17''W","22º34'59''S","2001","08","22",NA,NA,NA,NA,NA,NA,NA
"25","2020-07-07 00:49:06-03","UFBA","ALCB","035122","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","brasiliensis","Monteverdia brasiliensis","(Mart.) Biral","Guedes, ML","Mattos Silva, LA; Pinheiro, RS; Araújo, M; Bacelar, TG; Martins, LSS","3671","1997","12","11","Southern America","Brasil","Bahia","Una","Litoral Sul, Fazenda São Rafael (antiga Faz. Dendhevea). Coletas na mata 'Os Golçalves'","-39.0752983093262","-15.2932996749878",NA,NA,NA,"Ca. 8 m de altura x 8 cm de diâmetro. Flores cremes a alaranjadas. Folhas com as faces adaxial verde-escuro e abaxial verde-claro.; Vegetação de mata higrófila sul baiana. Solo argilo-silicoso.","ALCB036531","ALCB036531",NA,NA,NA,"2020","07","03","36070","auto",NA,NA,NA,NA,NA
"26","2020-07-07 00:49:06-03","UFBA","ALCB","75948","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","brasiliensis","Monteverdia brasiliensis","(Mart.) Biral","Guedes, ML","Lopes, MMM; Amorim, AMA; Paixão, JL da; Gomes, LCJ; Goldenberg, R","592","2006","04","09","Southern America","Brasil","Bahia","Camacã","Litoral Sul, RPPN. Serra Bonita. 9,7km W de Camaçã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel. Trilha ao lado do espaço destinado à casa do proprietário da RPPN","-39.565278","-15.391667","850","850",NA,"ca 6m alt. Folhas cartáceas, levemente discolores. Frutos imaturos verdes.","ALCB036444","ALCB036444",NA,"-39.565278","-15.391667","2020","07","01",NA,NA,NA,NA,NA,NA,NA
"27","2020-07-07 00:49:06-03","UFBA","ALCB","05066","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","brasiliensis","Monteverdia brasiliensis","(Mart.) Biral","Guedes, ML","Lordêlo, RP","50","1958","05","18","Southern America","Brasil","Bahia","Cruz das Almas","Recôncavo Sul, Bosque do Inst. Baiano de Fumo","-39.1018981933594","-12.6700000762939",NA,NA,NA,"Grande.","ALCB036376","ALCB036376",NA,NA,NA,"2020","07","06","14660","auto",NA,NA,NA,NA,NA
"28","2020-07-07 00:49:06-03","UFBA","ALCB","028603","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","brasiliensis","Monteverdia brasiliensis","(Mart.) Biral","Guedes, ML","Mattos Silva, LA; Amorim, AMA; Leme, EC; Hahoum, P","3105","1995","04","07","Southern America","Brasil","Bahia","Una","Litoral Sul, Serra do Javí. Ramal com entrada no km 9 da Rodovia São José do Paraíso/Una. Mata nebulosa a 2-3 km da entrada","-39.0752983093262","-15.2932996749878","600","600",NA,"Ca. 2,5 m de altura. Frutos imaturos verdes.; Solo argiloso.","ALCB036410","ALCB036410",NA,NA,NA,"2020","07","02","36070","auto",NA,NA,NA,NA,NA
"29","2020-02-08 08:57:24-03","NBC","NL-BOTANY","U.1194908","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.",NA,"Folli DA",NA,"1995","08","02","Southern America","Brazil",NA,NA,"Reserva Florestal de Linhares-Linhares-ES.Brasil, Estrada: Flamengo, Km: 0, Mata de Tabuleiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1194908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1194908","NL-U1194908",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"30","2020-11-04 11:04:42-03","ESALQ","ESA","115220","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis",NA,"Biral, L.","Lopes, J.C.","283.0","2011","04","20",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"ESA115220","ESA115220",NA,NA,NA,"2013",NA,NA,"48094","auto",NA,NA,NA,NA,NA
"31","2020-11-04 11:04:43-03","ESALQ","ESA","84645","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","ligustrina","Maytenus ligustrina","Reiss.","Biral, L.","Urbanetz, C.; Déstro, G.F.G.; Moreira-Coneglian, I.R.; Harder, I.C.F.; Muniz, M.R.A.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","133.0","2003","04","22",NA,"Brasil","São Paulo","Eldorado","Parque Estadual Intervales, Trilha de acesso à Estação Ecológica Xitué. Vegetação Secundária de Floresta Ombrófila Densa Montana, com intenso histórico de degradação, a partir de extrativismo seletivo de palmito e madeira, com vários trechos dominados por","-482.136","-241.703","790","790",NA,"Árvore de 2,8m, frutos maduros laranja-avermelhados e semente negra com arilo branco","ESA084645","ESA084645",NA,"-482,136","-241,703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:04:43-03","ESALQ","ESA","84642","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","ligustrina","Maytenus ligustrina","Reiss",NA,"Urbanetz, C.; Déstro, G.F.G.; Moreira-Coneglian, I.R.; Harder, I.C.F.; Muniz, M.R.A.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","48.0","2003","04","17",NA,"Brasil","São Paulo","Guapiara","Parque Estadual Intervales, Trilha da Bocaina em direção à gruta da Mãozinha e do Minotauro.Vegetação Secundária de Floresta Ombrófila Densa Montana, com trechos mais preservados sobre rochas cársticas (calcáreas)","-48.265","-241.615","820","820",NA,"Árvore, frutos imaturos verde-amarronzados","ESA084642","ESA084642",NA,"-48,265","-241,615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-14 15:26:56-03","MN","R","8177","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","ligustrina","Maytenus ligustrina","Reissek","Carvalho-Okano, R.M.","Glaziou, A.F.M.","13664","1882","12","23",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantae Flum. Ex Herb.; Herb. J. de Saldanha, 7523","R000008177","R000008177_001 R000008177_002 R000008177_003",NA,NA,NA,"1991","07","10",NA,NA,NA,NA,NA,NA,NA
"34","2021-01-14 15:26:56-03","MN","R","8183","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","ligustrina","Maytenus ligustrina","Reissek","Carvalho-Okano, R.M.","Glaziou, A.F.M.","2876","1868","01","28",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008183","R000008183_001",NA,NA,NA,"1991","07","10",NA,NA,NA,NA,NA,NA,NA
"35","2021-01-14 15:26:56-03","MN","R","73982","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","ligustrina","Maytenus ligustrina","Reissek",NA,"Glaziou, A.F.M.; Netto, L.S.M. & Schwacke, C.A.W",NA,"1881","09",NA,NA,"Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959",NA,NA,NA,"Plantas do Brasil Central","R000073982","R000073982_001 R000073982_002",NA,NA,NA,NA,NA,NA,"40069","auto",NA,NA,NA,NA,NA
"36","2015-07-02 14:01:23-03","JBP","HPL","9382","S","Plantae",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis",NA,"R. Tsuji","R. Tsuji","2092","2007","08","28",NA,"Brasil","MG","Fervedouro","Coletado nas proximidades do município de Fervedouro; sentido Parque Estadual Serra do Brigadeiro.","-42.2789","-20.7256",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007","08","28","20038","auto",NA,NA,NA,NA,NA
"37","2020-12-20 21:16:34-03","UFV","VIC","19188","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart","Carvalho-Okano, R.M. de","Farias, G.L.","474","1991","11","22",NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal de Linhares, Estrada Santa Terezinha, próximo à estrada, encontrado no Aceiro do Espelta. Mata de Tabuleiro.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Árvore, c.a. de 4,0 metros de altura, 2,0 metros de fuste; CAP de 13 cm; diâmetro da copa de 2,0 metros. Casc a áspera,; botão floral creme; flor creme. Exsudação seiva; descamação em placas.","VIC019188","VIC019188",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA
"38","2020-12-20 21:16:34-03","UFV","VIC","49296","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","brasiliensis","Monteverdia brasiliensis","(Mart.) Biral","Saporetti, A W J","Saporetti, A W J","112","2006","03",NA,NA,"Brasil","Bahia","Caravelas","Muçununga Florestada","-39","-17","42","42",NA,"Fanerófita, com 19,62 cm de CAS e 5 m de altura; frutos imaturos verdes; Espodossolo","VIC049296",NA,NA,"-39","-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 14:33:19-03","UFJF","CESJ","48843","PreservedSpecimen","Plantae","Angiosperma",NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Reissek","M.Groppo","N.L. Abreu; K. Antunes; P.L. Viana; F.S. Souza; N.F.O. Mota; T.E. Almeida; A.M. Teles; B.No","189","2007","04","10","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Após a região do Burro de Ouro.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Na gruta. Árvore ca. 4 m, beira do curso d#?#água. Arilo alvo.","CESJ048843",NA,NA,NA,NA,"2007","07",NA,"20815","auto",NA,NA,NA,NA,NA
"40","2021-03-01 16:27:48-03","UNICAMP","UEC","50749","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","Carvalho-Okano, RM","Mattos Silva, LA; Brito, HS","671","1979","10","30",NA,"Brazil","Bahia","Itamaraju","Faz. Pau Brasil., Ca. 5 Km ao NW de Itamarajú.","-39.55","-17.166667",NA,NA,NA,"Arvorezinha, 4m x 10cm. Flores amarelas.; Mata Higrófila Sul Baiana.","UEC027757","UEC027757",NA,"-39.55","-17.166667","1992","10","06",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:27:48-03","UNICAMP","UEC","62109","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis","Mart.","Biral","Kuhlmann, JG","06595","1943","12","05",NA,"Brazil","Espírito Santo",NA,"Chapadão Pancas, Rio doce.",NA,NA,NA,NA,NA,"Árvore de 3-4, flores alvacentas.","UEC043714","UEC043714",NA,NA,NA,"2012","10",NA,NA,NA,NA,NA,NA,NA,NA
