"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","stateProvince","minimumElevationInMeters","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","class","sex"
"11","2008-05-27 22:02:00-03","MO","MOBOT","648184","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Alexander Hirtz","Hirtz 1422","1983","11",NA,"South America","Ecuador",NA,NA,NA,NA,NA,"Cogn.","Pastaza","850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","648481","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"G. A. Suárez","Suárez 136",NA,NA,NA,"South America","Ecuador",NA,NA,NA,NA,NA,"Cogn.","Napo","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","649631","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Alexander Hirtz","Hirtz 1439","1983","12",NA,"South America","Ecuador",NA,NA,NA,NA,NA,"Cogn.","Napo","550.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-04 11:29:58-03","UEMA","SLUI","5754","PreservedSpecimen","Plantae","Angiospermae",NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Costa da Silva, M. J.; Ferreira, A. W. C.; Silva-Júnior, W. R.","70","2019","11","27",NA,"Brasil","Fazenda Sete Irmãos, igarapé afluente do Rio Macaxeira, próximo à cerca de divisa da Fazenda Sete Irmãos",NA,NA,"SLUI005754",NA,"Cogn.","Maranhão",NA,"Ferreira, A.W.C.",NA,"Cândido Mendes","-45.800611","-1.868694",NA,NA,NA,NA,"45°48'2.2W","1°52'7.3S",NA,NA,NA,NA,NA
"15","2021-01-04 11:29:58-03","UEMA","SLUI","5753","PreservedSpecimen","Plantae","Angiospermae",NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Costa da Silva, M. J.; Ferreira, A. W. C.; Silva-Júnior, W. R.","69","2017","11","03",NA,"Brasil","Fazenda Sete Irmãos, igarapé Cumaruzal",NA,NA,"SLUI005753",NA,"Cogn.","Maranhão",NA,"Ferreira, A.W.C.",NA,"Cândido Mendes","-45.786056","-1.8435",NA,NA,NA,NA,"45°47'9.8W","1°50'36.6S",NA,NA,NA,NA,NA
"16","2014-11-06 16:18:30-02","UFPB","EAN","6091","S","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,NA,"3356","1990","11","21",NA,"Brasil",NA,NA,"Erva; flores verdes. Mantida em cultivo no orquidário..Habitat: Epífita, sobre árvore morta.",NA,NA,"Cogn","Bahia",NA,"L. P. Felix","1990","Itajubá",NA,NA,NA,NA,"11","23",NA,NA,NA,NA,NA,NA,NA
"17","2021-02-25 10:11:27-03","CVRD","CVRD","4735","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Folli, D.A.","2118","1993","12","10","América do Sul","BRASIL","Erva epífita.",NA,"<ll>dwc_commonname:</ll> Orquídea corrente amarela","CVRD004735","CVRD004735","Cogn.","ES",NA,"Claudio Nicoletti Fraga","2006","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","05","18",NA,NA,NA,NA,NA,"Liliopsida",NA
"18","2021-02-25 10:11:27-03","CVRD","CVRD","15863","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Siqueira, G.S.","1246","2018","01","09","América do Sul","BRASIL","Proximo a saída da trilha do pequí vinagreiro",NA,"<ll>dwc_commonname:</ll> Orquídea corrente amarela","CVRD015863",NA,"Cogn.","ES",NA,"Geovane S. Siqueira","2018","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","01","09",NA,NA,NA,NA,NA,"Liliopsida",NA
"19","2020-09-12 05:00:02-03","US","US","1190173","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Notylia","amesii","Notylia amesii","Isotype","J. S. de la Cruz","1674","1922",NA,NA,"South America - Neotropics","Guyana",NA,NA,NA,NA,NA,"L.B. Sm. & S.K. Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"20","2020-09-12 05:00:02-03","US","US","1455982","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Notylia","conduplicans","Notylia conduplicans",NA,"G. Klug","999","1930","2",NA,"South America - Neotropics","Peru",NA,NA,NA,NA,NA,NA,"Loreto","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,"1","Monocotyledonae",NA
"21","2019-10-07 09:20:06-03","UEFS","HUEFS","202571","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Popovkin, A.V.","1645",NA,NA,NA,NA,"Brasil","Algodão.",NA,NA,"HUEFS0202571","HUEFS0202571","Cogn.","Bahia","95","D.N.Carvalho","2015","Entre Rios","-37.966667","-12.166667",NA,NA,"01",NA,"37W58'0''","12S10'","95",NA,NA,"Lilianae",NA
"22","2019-10-07 09:20:06-03","UEFS","HUEFS","85534","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Queiroz, L.P.de","9464","2004","09","03",NA,"Brasil","Encosta da Serra do Orobó, Bom Jardim",NA,"Floresta estacional com dossel a ca. 15 m alt.","HUEFS0085534","HUEFS0085534","Cogn.","Bahia","478","D.N.Carvalho","2015","Rui Barbosa","-40.475833","-12.3275",NA,NA,"01",NA,"40W28'33''","12S19'39''","478",NA,NA,"Lilianae",NA
"23","2019-07-09 12:46:47-03","F","FMNH-SEEDPLANTS","V0434144F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"J. A. Steyermark","74770","1953","3","30","South America","Venezuela",NA,NA,NA,"V0434144F","V0434144F_01 V0434144F_02",NA,"Bolívar",NA,"RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74770",NA,"Monocotyledoneae",NA
"24","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Luschnath, B","s.n.",NA,NA,NA,"Southern America","Brazil","Habitat in prov. Bahia",NA,"in Herb. Hort. Petropol. et Acad Petropol. &nf;Floret Novembri",NA,NA,"Cogn.","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Luschnath, B","s.n.",NA,NA,NA,"Southern America","Brazil","Habitat in prov. Bahia",NA,"in Herb. Hort. Petropol. et Acad Petropol. &nf;Floret Novembri",NA,NA,"Cogn.","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-04-30 16:07:34-03","UFMT","CNMT","6790","S","Plantae","Angiosperma",NA,"Orchidaceae","Notylia","microchila","Notylia microchila",NA,"Petini-Benelli, A.","1014","2015","02","03",NA,"Brasil","Próximo ao Colégio Buriti,ámargem da Rod.MT-251",NA,"Flores albescens.Projeto: Filogenia de Catasetum L.C.Rich. Ex Kunth (Orchidaceae) e monografia do gênero para a Flora de Mato Grosso, Brasil.","CNMT006790",NA,"Cong.","Mato Grosso",NA,"Petini-Benelli, A.","2015","Chapada dos Guimarães","-55.749722","-15.460556",NA,NA,"02","03","55°44'59W","15°27'38S",NA,NA,NA,NA,NA
"27","2010-11-16 13:30:06-02","AMES","HU-HERB","AMES 00083020","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","amesii","Notylia amesii",NA,"G. A. De la Cruz Aparicio","1674",NA,NA,NA,"South America","Guyana","Between Demerara and Berbice Rivers","Microscope slide,Sheet",NA,NA,NA,"L. B. Smith & S. K. Harris",NA,NA,NA,NA,NA,NA,"5.8333333333",NA,NA,NA,NA,NA,NA,NA,"1674",NA,NA,NA
"28","2010-11-16 13:30:06-02","GH","HU-HERB","GH 00101901","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","amesii","Notylia amesii","Holotype","G. A. De la Cruz Aparicio","1674",NA,NA,NA,"South America","Guyana","Between Demerara and Berbice Rivers","Microscope slide,Sheet",NA,NA,NA,"L. B. Smith & S. K. Harris",NA,NA,NA,NA,NA,NA,"5.8333333333",NA,NA,NA,NA,NA,NA,NA,"1674",NA,NA,"undetermined"
"29","2010-11-17 11:41:45-02","AMES","HU-HERB","AMES 00083026","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","conduplicans","Notylia conduplicans","Type material","G. Klug","10031",NA,NA,NA,"South America","Peru","Vicinity of Iquitos","Microscope slide,Sheet",NA,NA,NA,"C. Schweinfurth","Loreto","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10031",NA,NA,NA
"30","2010-11-17 11:48:07-02","AMES","HU-HERB","AMES 00101911","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Notylia","conduplicans","Notylia conduplicans","Holotype","G. Klug","10031",NA,NA,NA,"South America","Peru","Vicinity of Iquitos","Microscope slide,Sheet",NA,NA,NA,"C. Schweinfurth","Loreto","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10031",NA,NA,"undetermined"
