"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","locality","imagecode","infraspecificEpithet","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","class","relatedCatalogItem","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00933277","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","G. G. Hatschbach","59854","1994","02","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933277","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Minas Gerais","Rod. BR-050, 60 km S de Araguari","NY00933277_01","desmodioides","R. C. Barneby","Araguari","-48.1869","-18.6472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00933261","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","H. S. Irwin","21366","1968","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933261","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Tocantins","10 km S. of Guará.","NY00933261_01","desmodioides","R. C. Barneby","Guaraí","-48.52","-8.93","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00933281","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","T. C. Plowman","8127","1980","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933281","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Tocantins","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","NY00933281_01","desmodioides","R. C. Barneby","Presidente Kennedy","-48.6008","-8.5006","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01347111","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","C. R. Sperling","5642","1982","05","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1672647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347111","Magnoliophyta","Fabales","Barneby",NA,"Pará","Serra dos Carajás. 2 km W of AMZA camp N-5.","NY01347111_01","carajarum","R. C. Barneby",NA,"-50.13","-6.07","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00933282","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","M. Aparecida da Silva","4081","1999","03","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933282","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Tocantins","Ilha do Bananal. Reserva Indígena Carajá-Macaúba ao lado da Sede do Parque Nacional do Araguaia. Local denominado Lajedo","NY00933282_01","desmodioides","R. C. Barneby","Lagoa da Confusão","-50.4778","-10.4306","180","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01347110","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","N. A. Rosa","4483","1983","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1382106' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347110","Magnoliophyta","Fabales","Barneby",NA,"Pará","Serra Norte, (Serra dos Carajás), arredores do alojamento N1.",NA,"carajarum","R. C. Barneby","Marabá","-50.2921486","-6.0253411","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01347107","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri","J. M. Pires","16180","1978","07","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1672640' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347107","Magnoliophyta","Fabales","Benth.",NA,"Goiás","Rodovia Belém-Brasília, perto de Colinas, Rio Gameleira.","NY01347107_01",NA,"J. Santos Silva","Colinas do Sul","-48.0781","-14.1517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01347115","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","R. de S. Secco","216","1982","05","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1672651' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347115","Magnoliophyta","Fabales","Barneby",NA,"Pará","Arredores da estrada p/ N1.","NY01347115_01","carajarum","R. C. Barneby","Marabá","-49.1178","-5.3686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01347108","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","D. C. Daly","1726","1981","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314795' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347108","Magnoliophyta","Fabales","Barneby",NA,"Pará","Serra dos Carajás, 25-30 Km NW of Serra Norte mining camp","NY01347108_01","carajarum","R. C. Barneby",NA,"-50.433333","-5.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01347113","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","A. S. L. da Silva","1847","1984","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1315132' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347113","Magnoliophyta","Fabales","Barneby",NA,"Pará","Serra dos Carajás N-4, mina pilôto para exploração de ferro.",NA,"carajarum","R. C. Barneby","Marabá","-50.1736164","-6.0551244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","3053","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","M. G. da Silva","3031","1977","04","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003053","Magnoliophyta","Fabales","Barneby","holotype","Pará","Marabá, Serra dos Carajás, caminho para o azul Beira do lago, do acampamente","NY00003053_01","carajarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01347109","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","N. A. Rosa","4483","1983","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314899' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347109","Magnoliophyta","Fabales","Barneby",NA,"Pará","Serra Norte, (Serra dos Carajás), arredores do alojamento N1.","NY01347109_01","carajarum","R. C. Barneby","Marabá","-50.2921486","-6.0253411","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01347114","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","A. S. L. da Silva","1825","1984","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1315131' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347114","Magnoliophyta","Fabales","Barneby",NA,"Pará","Serra dos Carajás N-4, mina pilôto para exploração de ferro.","NY01347114_01","carajarum","R. C. Barneby","Marabá","-50.1736164","-6.0551244","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01347112","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","A. S. L. da Silva","1825","1984","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1382622' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347112","Magnoliophyta","Fabales","Barneby",NA,"Pará","Serra dos Carajás N-4, mina pilôto para exploração de ferro.","NY01347112_01","carajarum","R. C. Barneby","Marabá","-50.1736164","-6.0551244","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00957577","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","H. S. Irwin","21200","1968","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957577","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Tocantins","Ca. 15 km S. of Araguaína.",NA,"desmodioides","R. C. Barneby","Araguaína","-48.15","-7.3","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00957557","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","W. R. Anderson","6814","1973","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957557","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Goiás","24 km by road SW of Monte Alegre de Goiás",NA,"desmodioides","R. C. Barneby","Monte Alegre de Goiás","-47.23","-13.45","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00933279","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","G. G. Hatschbach","62698","1995","05","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933279","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Mato Grosso","Rod. BR-247, Chapada dos Parecis, 50-70 km O do trevo para Arenápolis","NY00933279_01","desmodioides","R. C. Barneby","Diamantino","-56.4458","-14.4086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00957580","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","G. G. Hatschbach","59854","1994","02","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957580","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Minas Gerais","Rod. BR-050, 60 km S de Araguari","NY00957580_01","desmodioides","R. O. Vanni","Araguari","-48.1869","-18.6472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00933280","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","G. G. Hatschbach","60344","1994","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933280","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Tocantins","Rodovia Campos Belos a Taguatinga, 5 km S de Novo Alegre","NY00933280_01","desmodioides","R. C. Barneby","Arraias","-46.9381","-12.9317","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00933283","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","J. M. Pires","16180","1978","07","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933283","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Goiás","Rodovia Belém-Brasília, perto de Colinas, Rio Gameleira.","NY00933283_01","desmodioides","R. C. Barneby","Colinas do Sul","-48.0781","-14.1517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00933278","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","G. G. Hatschbach","62702","1995","05","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933278","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Mato Grosso","Córrego Buriti","NY00933278_01","desmodioides","R. C. Barneby","Arenápolis","-56.8458","-14.4506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00957581","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri desmodioides","C. Macedo","5487","1989","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957581","Magnoliophyta","Fabales","(Benth.) Barneby",NA,"Minas Gerais","Capinópolis",NA,"desmodioides","R. C. Barneby","Capinópolis","-49.5694","-18.6819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-06-29 11:30:37-03","UFRJ","RFA","34088","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","Esteves, F.A.","17","2005","00","00",NA,"Brasil",NA,NA,"Flores roxas","RFA21967",NA,NA,"Barneby",NA,"Pará","Carajás, Lagoa N1E",NA,"carajarum","Borges, L.M.","Pará",NA,NA,NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:30:37-03","UFRJ","RFA","34087","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri carajarum","Esteves, F.A.","10","2005","00","00",NA,"Brasil",NA,NA,NA,"RFA21965",NA,NA,"Barneby",NA,"Pará","Carajás, Lagoa N1A",NA,"carajarum","Borges, L.M.","Pará",NA,NA,NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-24 17:10:42-03","UTFPR","DVPR","3801","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri","Caxambu, MG; et al.","4719","2013","08","16",NA,"Brasil",NA,NA,"Erva armada com acúleos, reptante, heliófita, Flores rosas. Frutos imaturos verdes.; Relevo: Suave-ondulado.","DVPR003801","Magnoliophyta",NA,"(Benth.) Barneby",NA,"Minas Gerais","Fazenda Nova",NA,NA,"Ribas, OS","São José","-46.13057","-20.43152","803","803","2015","-46.13057","-20.43152",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-08 17:40:08-03","EAO","IAN","161885","PreservedSpecimen","Plantae","Leguminosae-Caesalp.","Mimosa","skinneri","Mimosa skinneri carajarum","Daly, DC; Silva, MG da; Callejas, R; Taylor, E; Rosario, C; Santos, MR dos","1726","1981","12","05","Southern America","Brasil",NA,NA,"Prostrate herb, stamens blue. Leaves ford within two seconds when disturbed.","IAN161885","Dicotiledônea",NA,"Barneby",NA,"Pará","Serra dos Carajas, 25-30km NW of serra Norte mining camp.",NA,"carajarum","New York Botanical Garden",NA,NA,NA,NA,NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-08 17:40:08-03","EAO","IAN","187355","PreservedSpecimen","Plantae","Leguminosae-Caesalp.","Mimosa","skinneri","Mimosa skinneri carajarum","Viana, PL; Versieux, LM; Garcia, LC; Giorni, VT; Costa-Silva, LV","4056","2009","03","14","Southern America","Brasil",NA,NA,"Erva.","IAN187355","Dicotiledônea",NA,"Barneby",NA,"Pará","Serra Tarzan, Ambiente úmido.",NA,"carajarum",NA,"Canaã dos Carajás","-50.151667","-6.3375",NA,NA,NA,"-50.151667","-6.3375",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-08 17:40:08-03","EAO","IAN","188463","PreservedSpecimen","Plantae","Leguminosae-Caesalp.","Mimosa","skinneri","Mimosa skinneri desmodioides","Marinho, G","54","2011","04","02","Southern America","Brasil",NA,NA,"Erva, Planta pilosa, Inflorescência globular com flores rosa.","IAN188463","Dicotiledônea",NA,"(Benth.) Barneby",NA,"Maranhão","Base Geraldina, Mirador-MA.",NA,"desmodioides","Simon, MF","Mirador","-44.3630981445312","-6.37083005905151",NA,NA,"2012",NA,NA,"09","25","176498","auto",NA,NA,NA,NA,NA
"39","2021-04-08 17:40:08-03","EAO","IAN","141795","PreservedSpecimen","Plantae","Leguminosae-Caesalp.","Mimosa","skinneri","Mimosa skinneri carajarum","Silva, NT da; Ribeiro, BS","3546","1972","08","19","Southern America","Brasil",NA,NA,"Planta rastera. Flor rosea.","IAN141795","Dicotiledônea",NA,"Barneby",NA,"Pará","Serra dos Carajas; acamp. 1",NA,"carajarum",NA,"Marabá","-49.1178016662598","-5.36860990524292","700","700",NA,NA,NA,NA,NA,"262883","auto",NA,NA,NA,NA,NA
"40","2021-04-08 17:40:08-03","EAO","IAN","169702","PreservedSpecimen","Plantae","Leguminosae-Caesalp.","Mimosa","skinneri","Mimosa skinneri","Cordeiro, MR","2881","1999","02","26","Southern America","Brasil",NA,NA,"Erva; flor branca.","IAN169702","Dicotiledônea",NA,"Benth.",NA,"Pará","Lajeiro de pedra, Kempori, reserva do projeto Pinkaiti, aldeia A'ukre.",NA,NA,"Borges, LM","Ourilândia do Norte","-51.0839004516602","-6.75472021102905",NA,NA,"2012",NA,NA,"06","27","209767","auto",NA,NA,NA,NA,NA
"41","2020-11-06 15:26:57-03","EPAMIG","PAMG","2004","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri var. desmodioides","M. Brandão","5659","1975","05","15",NA,"Brasil",NA,NA,"Cerrado. Subarbusto em pequenas touceiras densas, flores em glomérulos róseos. Unicata",NA,NA,"Fabales","(Benth.) Barneby",NA,"Minas Gerais","BR-262 entre Luz e Bom Despacho",NA,"var. desmodioides","V.F. Dutra",NA,NA,NA,NA,NA,"2008","W","S","02","12",NA,NA,NA,NA,NA,NA,NA
"42","2020-10-22 10:34:28-03","EPAMIG","PAMG","46181","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri var. desmodioides","M. Brandão","29170","1999","03","02",NA,"Brasil",NA,NA,"Cerrado. Unicata",NA,NA,"Fabales","(Benth.) Barneby",NA,"Minas Gerais",NA,NA,"var. desmodioides","V.F. Dutra","Perdizes","-47.282778","-19.355278","992","992","2008","47° 16' 58W","19° 21' 19S","02","12",NA,NA,NA,NA,NA,NA,NA
"43","2020-10-22 10:34:28-03","EPAMIG","PAMG","26238","PreservedSpecimen","Plantae","Fabaceae","Mimosa","skinneri","Mimosa skinneri var. desmodioides","M. Brandão","18611","1991","02","21",NA,"Brasil",NA,NA,"Unicata",NA,NA,"Fabales","(Benth.) Barneby",NA,"Minas Gerais","Colégio Agrícola",NA,"var. desmodioides","V.F. Dutra","Uberaba","-47.9325","-19.750278","752","752","2008","47° 55' 57W","19° 45' 1S","02","12",NA,NA,NA,NA,NA,NA,NA
