"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"11","2021-02-12 16:06:15-03","CPAN-UFMS","COR","10112","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Bortolotto, I. M.; Damasceno-Júnior, G. A.; Ishii, I. H.; Assis, E. M.; Rosso, C. & Magalhães, V.","1489","2004","11","02",NA,"Brasil","Mato Grosso do Sul","Corumbá","Próximo à comunidade do Amolar; margem do rio Paraguai","-57.493611","-18.049444","100",NA,"Liana; flor rasa em botão Habito: Liana",NA,NA,NA,"57º29'37''W","18º2'58''S","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-02 16:28:54-03","CPAN-UFMS","COR","6854","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Walters, L.; Fortney, R.; Simmers, B.; Gottgens, J. & Benedct, M.",NA,"1997","08","13",NA,"Brasil","Mato Grosso do Sul","Corumbá","Acurizal; à 22 Km W do Amolar e 25 Km ESE do Porto Guaiba","-57.553056","-17.831389","100",NA,"Arbusto ereto, 1 m de altura Habito: Arbusto",NA,"Damasceno-Júnior, G. A.",NA,"57º33'11''W","17º49'53''S","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-29 18:02:02-03","CPAN-UFMS","COR","18051","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","P. Acevedo Rodriguez; M. R. Pace, G. M. Antar and J. M. Antunes","16723","2017","09","05",NA,"Brasil","Mato Grosso do Sul","Corumbá","Vegetation along riverside.","-57.6775","-18.962222","96",NA,"Twining liana > 10 m long; inflorescences ascending; calyx burgundy; petals lilac; standard purple, with white spot at the base; fruits green, spreading. Habito: Twining liana",NA,"M.T. Strong",NA,"57º40'39''W","18º57'44''S","96","2018",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-02 16:28:54-03","CPAN-UFMS","COR","5604","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Freitas, A. L; Sório, V. F.","6","1998","05","17",NA,"Brasil","Mato Grosso do Sul","Corumbá","Pantanal do Paraguai; Corixo Preza","-57.489722","-18.040278","100",NA,"Liana; flor roxa; fruto verde, piloso Habito: Liana",NA,"Damasceno-Júnior, G. A.",NA,"57º29'23''W","18º2'25''S","100","1998","10","07",NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:12:37-03","NBC","NL-BOTANY","U 0036529","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Lindeman JC; Haas JH de",NA,"1966","06","26","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200036529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0036529","Queiroz LP de",NA,NA,NA,NA,"1991","08","01","Magnoliopsidae",NA,NA,NA,NA,NA
"16","2020-02-08 09:12:37-03","NBC","NL-BOTANY","U 0080426","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Lindeman JC; Haas JH de",NA,"1966","06","26","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200080426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0080426","Queiroz LP de",NA,NA,NA,NA,"1991","08","01","Magnoliopsidae",NA,NA,NA,NA,NA
"17","2020-02-08 09:12:37-03","NBC","NL-BOTANY","U.1248377","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Lindeman JC; Haas JH de",NA,"1966","06","26","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1248377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1248377","Queiroz LP de","NL-U1248377",NA,NA,NA,"1991","08","01","Magnoliopsidae","U 0036528",NA,NA,NA,NA
"18","2020-02-08 09:12:37-03","NBC","NL-BOTANY","U.1302601","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Meyer T",NA,"1944","02","08","Southern America","Argentina",NA,NA,"Prov. de Corrientes. Loc. Isla San Martin (frente a Ituzaingó).",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1302601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1302601",NA,"NL-U1302601",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"19","2020-11-04 11:09:20-03","ESALQ","ESA","110725","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii",NA,"Souza, V.C.","32321.0","2006","07","13",NA,"Brasil","Mato Grosso","Poconé",NA,"-56.6227989196777","-16.2567005157471",NA,NA,NA,"ESA110725","Souza, V.C.","ESA110725",NA,NA,NA,"2006","07","14",NA,NA,"200792","auto",NA,NA
"20","2020-11-19 10:23:43-03","CPAP","CPAP","10287","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Bueno, N. C.","523","1994","07","08",NA,"Brasil","MS","Ladário","Fazenda Rabicho, Pantanal do rio Paraguai","-57.583333","-19.033333","85",NA,"Trepadeira. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Mata ciliar. SUBSTRATO: solo areno-argiloso. RELEVO: plano.",NA,"A. Sanchez",NA,"57°35' W","19°02' S","85","1997",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-19 10:23:43-03","CPAP","CPAP","20831","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Garcia, H. C.","13","2006","06","27",NA,"Brasil","MS","Corumbá","Baía do Tuiuiú; rio Paraguai; Pantanal","-57.6533012390137","-19.0091991424561",NA,NA,"Trepadeira. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Pouco frequente. AMBIENTE: Lagoa marginal e área inundável. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,"Garcia, H. C.",NA,"57 35'26''W","18 48'12''S",NA,"2006","09",NA,NA,NA,"295160","auto",NA,NA
"22","2020-11-19 10:23:43-03","CPAP","CPAP","24804","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Silva, R. R.","379","2003","10","20",NA,"Brasil","MS","Ladário","Bico do Papagaio (Área da Marinha do Brasil). Interior de Mata Ciliar. Solo: argiloso..","-57.6016998291016","-19.0046997070312",NA,NA,"Trepadeira. Frutos imaturos castanho-amarelados; frutos maduros castanho-verdeados.",NA,"R. R. Silva",NA,NA,NA,NA,"2003","10","20",NA,NA,"23141","auto",NA,NA
"23","2020-11-19 10:24:02-03","CPAP","CPAP","25314","PreserverdSpecimen","Plantae",NA,NA,"Leguminosae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Pott, A.","9388","2001","09","14",NA,"Brasil","Mt","Poconé","Local Baía do Caracará, parque Nacional do Pantanal, Pantanal.","-56.6227989196777","-16.2567005157471",NA,NA,"Trepadeira. . Frequente. Flor: ausente. Borda muito alagável (1,7m) de lagoa. Solo: vértico. Relevo: Plano.",NA,"R. R. Silva",NA,NA,NA,NA,"2006","04","10",NA,NA,"200792","auto",NA,NA
"24","2020-11-19 10:23:43-03","CPAP","CPAP","10024","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Cervi, A. C.","3288","1991","08","22",NA,"Brasil","MS","Corumbá","Estrada da Manga, próximo ao rio Negro, Pantanal","-57.6533012390137","-19.0091991424561",NA,NA,"Trepadeira. FLOR: roxa. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: . SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA
"25","2021-04-07 11:44:08-03","UFMS","CGMS","52470","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","G.A. Damasceno-Junior; J.V. Silva; M.L. Bueno; A. Monteiro","4912","2008","03","30",NA,"Brasil","Mato Grosso do Sul","Rio Brilhante",NA,"-54.1963889","-21.565",NA,NA,"Papilionoideae. Flor lilás. Habitat: Floresta estacional semidecidua submontana. Habito: Trepadeira.","CGMS1082443","A. Sartori",NA,"-54,1963889","-21,565",NA,"2018","06","06",NA,NA,NA,NA,NA,NA
"26","2021-04-07 11:44:09-03","UFMS","CGMS","56489","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","V.J. Pott; A. Pott","9337","2007","06","09",NA,"Brasil","Mato Grosso","Cocalinho","Rodovia MT-326, 13 km oeste de Cocalinho, Fazenda Lealdade.","-51.1063889","-14.3266667","230",NA,"Papilionoideae. Flor roxa. Fruto verde. Habitat: Vegetação ripária secundária, com buriti (Mauritia flexuosa). Solo areno-siltoso. Relevo plano. Frequente. Habito: Trepadeira. 3,00 m de altura.","CGMS1086447","A. Sartori",NA,"-51,1063889","-14,3266667","230","2018","06","06",NA,NA,NA,NA,NA,NA
"27","2021-04-07 11:44:06-03","UFMS","CGMS","19029","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","I.M. Bortolotto; G.A. Damasceno Júnior; I.H. Ishii; E.M. Assis; C. Rosso; V. Magalhães","1489","2004","11","02",NA,"Brasil","Mato Grosso do Sul","Corumbá","Margem do Rio Paraguai, próximo à Comunidade do Amolar.","-57.4936111","-18.0494444",NA,NA,"Papilionoideae. Flor rosa em botão. Duplicata do COR Habitat: Mata Ciliar do Rio Paraguai- Área de Inundaçãoplano. Habito: liana.","CGMS1048328",NA,NA,"-57,4936111","-18,0494444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-07 11:44:06-03","UFMS","CGMS","19176","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","M.A. Tomas; V.A. Assunção; G.M. Canhete; H.C. Vinci-Carlos; A.L. Francisco","10","2007","08","19",NA,"Brasil","Mato Grosso do Sul","Corguinho","Distrito de Taboco. Estância Ambiental Quinta do Sol, MS-356, km 12. Margem do Córrego Galheiros.","-55.245","-19.775",NA,NA,"Papilionoideae. Flor roxa.Cálice vináceo eFruto aveludado. Habitat: Cerrado. Habito: Subarbusto.","CGMS1048484","A. Sartori",NA,"-55,245","-19,775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-07 11:44:08-03","UFMS","CGMS","28894","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Z.V. Pereira; S.F.Luft; R.B. Caboco; C. Gomes","9","2005","07","13",NA,"Brasil","Mato Grosso do Sul","Entre Taquarussu, Jateí e Naviraí","Parque Estadual das Várzeas do Rio Ivinhema.",NA,NA,NA,NA,"Papilionoideae. Flores roxas. Frutos secos torcidos. Habitat: Borda da Mata Pindaíba. Habito: Liana.","CGMS1058353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-07 11:44:08-03","UFMS","CGMS","25095","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","S.C.H. Medeiros; M. C. Teixeira; R. M. Gamarra; C. Aoki","90","2009","06","05",NA,"Brasil","Mato Grosso do Sul","Corumbá","Rio Paraguai proximo a Serra do Amolar.","-57.4780556","-18.0166667",NA,NA,NA,"CGMS1054519","A. Pott",NA,"-57,4780556","-18,0166667",NA,"2009","06","05",NA,NA,NA,NA,NA,NA
"31","2021-04-07 11:44:06-03","UFMS","CGMS","19295","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","A.P. Oliveira; D.C.L. Kufner; E.C. Bertazzoni; J.C. Vilas Boas","33","2007","08","04",NA,"Brasil","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal MS.","-57.1405555","-19.8066667","125",NA,"Papilionoideae. Habitat: Borda de estrada. Habito: Liana.","CGMS1048603","A.L.B. Sartori",NA,"-57,1405555","-19,8066667","125",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-07 11:44:08-03","UFMS","CGMS","39240","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","M.F. Barros; T.G. Freitas; C.S. Souza","8","2013","07","09",NA,"Brasil","Mato Grosso do Sul","Mato Grosso do Sul",NA,NA,NA,NA,NA,"Papilionoideae.","CGMS1068622","A. Sartori",NA,NA,NA,NA,"2018","06","06",NA,NA,NA,NA,NA,NA
"33","2021-04-07 11:44:08-03","UFMS","CGMS","27264","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","S.N. Moreira; V.A. Assunção; L.S. Rodrigues; B. Bueno","265","2009","06","04",NA,"Brasil","Mato Grosso do Sul","Corumbá","Baía Mandioré - Pantanal do Paraguai.","-57.4538889","-18.2311111","400",NA,"Papilionoideae. Flor roxa. Fruto esverdeado. Fruto piloso. Habitat: Polygonetun com predomínio de Polygonum ferrugineum Habito: Erva aquática anfíbia.","CGMS1056703","V.J. Pott",NA,"-57,4538889","-18,2311111","400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-04-07 11:44:09-03","UFMS","CGMS","58079","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","L.M. Bergamo; B.B. Brandão; A.H.A. Souza","27","2015","11","09",NA,"Brasil","Mato Grosso do Sul","Jateí","Parque Estadual das Várzeas do Rio Ivinhema.","-53.6575","-22.9166667",NA,NA,"Faboideae Corola papilionada. Habitat: Área alterada com manchas de mata ripária. Habito: Liana, volúvel, trepadeira.","CGMS1088017","A.H.A. Souza; B.B. Brandão; L.M. Bergamo",NA,"-53,6575","-22,9166667",NA,"2015","11","09",NA,NA,NA,NA,NA,NA
"35","2021-04-07 11:44:06-03","UFMS","CGMS","2208","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","C.A. Conceição","1310","1983","04","03",NA,"Brasil","Mato Grosso do Sul","Corumbá","Rio Taquari. Margens do rio.","-57.6533333","-19.0091667","118",NA,"Papilionoideae.","CGMS1017147","L.P. Queiroz",NA,"-57,6533333","-19,0091667","118",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-07 11:44:08-03","UFMS","CGMS","56488","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","A. Pott; V.J. Pott","15637","2009","06","05",NA,"Brasil","Mato Grosso do Sul","Corumbá","Baía próxima à Serra do Amolar, Rio Paraguai, Pantanal.","-57.4780556","-18.0272223","90",NA,"Papilionoideae. Flor roxa. Habitat: Vegetação arbustiva ripária inundada, com Ipomoea carnea. Solo argiloso. Relevo plano. Frequente. Habito: Liana.","CGMS1086446","A. Pott",NA,"-57,4780556","-18,0272223","90",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-07 11:44:09-03","UFMS","CGMS","58622","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","V.J. Pott; A. Pott","4768","2001","07","04",NA,"Brasil","Mato Grosso do Sul","Ladário","Fazenda Uruba, planície de inundação do Rio Paraguai, Pantanal.","-57.3525","-19.0730556",NA,NA,"Papilionoideae. Flor roxo bispo. Fruto ausente. Habitat: Campo arbustivo, alagável, em vazante, (canal de drenagem). Solo argiloso. Relevo plano deprimido. Ocasional. Habito: Trepadeira.","CGMS1088537","A. Pott",NA,"-57,3525","-19,0730556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-07 11:44:06-03","UFMS","CGMS","19400","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","M.L. Bueno; E.O. Rocha-Júnior; A.F. Souza; F. Belan","466","2007","04","08",NA,"Brasil","Mato Grosso do Sul","Corumbá","Estrada Parque.","-57.0433333","-19.4877777",NA,NA,"Papilionoideae. Flor Lilás. Habitat: Cerrado. Raro. Habito: Herbácea.","CGMS1048711","A. Pott; G.A. Damasceno-Junior",NA,"-57,0433333","-19,4877777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-04-07 11:44:09-03","UFMS","CGMS","9915","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","V.F. Kinupp; U.M. Resende; E. Guimarães","2348","2002","03","10",NA,"Brasil","Mato Grosso","Diamantino","Fazenda Sete Lagoas. Nascente do rio Paraguai. Rio Paraguaizinho, próximo à nascente do rio Paraguai. Expedição Aquarap/2002, Sítio 6, Ponto 10.","-56.4461111","-14.4086111","269",NA,"Papilionoideae. Flores roxas visitadas por mangavas.","CGMS1017146","L.P. Queiroz",NA,"-56,4461111","-14,4086111","269",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-04-07 11:44:08-03","UFMS","CGMS","52039","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","A.L.B. Sartori","842","2002","04","20",NA,"Brasil","Mato Grosso do Sul","Nova Andradina","Km 151.","-53.4483333","-22.3241667",NA,NA,"Papilionoideae. Flor roxa. Fruto imaturo verde, maduro acastanhado. Flor com mácula roxo-escura. Cálice vináceo. Habitat: Várzea. Solo encharcado sazonalmente. Habito: Liana.","CGMS1082019","A. Sartori",NA,"-53,4483333","-22,3241667",NA,"2018","06","06",NA,NA,NA,NA,NA,NA
"41","2021-04-07 11:44:06-03","UFMS","CGMS","12037","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","M.C. Nascimento",NA,"2002","09","17",NA,"Brasil","Mato Grosso","Campo Verde","Chapada dos Guimarães.","-55.2177778","-15.4936111",NA,NA,"Papilionoideae. Flor roxa. Fruto marrom.","CGMS1041427","A. Sartori",NA,"-55,2177778","-15,4936111",NA,"2018","06","06",NA,NA,NA,NA,NA,NA
"42","2021-04-07 11:44:06-03","UFMS","CGMS","2168","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","C.A. Conceição","283","1984","07","08",NA,"Brasil","Mato Grosso do Sul","Corumbá","Baía do Tamengo.","-57.6533333","-19.0091667","118",NA,"Papilionoideae. Flor lilás, vistosa. Sobre arbustos.","CGMS1017148","L.P. Queiroz",NA,"-57,6533333","-19,0091667","118",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-07 11:44:08-03","UFMS","CGMS","28875","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dioclea","burkartii","Dioclea burkartii","R.H.Maxwell","Z.V. Pereira; G. Lobtchencko; R.B. Caboco; D. Dal Castel; C.F. Gomes; A. Napolitano; M.E.S. Gomes","277","2003","09","06",NA,"Brasil","Mato Grosso do Sul","Entre Taquarussu, Jateí e Naviraí","Parque Estadual das Várzeas do Rio Ivinhema.",NA,NA,NA,NA,"Papilionoideae. Flores roxas.","CGMS1058335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
