"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","class","relatedCatalogItem"
"14","2021-03-01 16:21:49-03","UNICAMP","UEC","122947","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Konno, T","Tozzi, AMGA; Vilhalva, DAA","2001459","2001","11","13",NA,"Brazil","Minas Gerais","Itacambira",NA,"-43.345","-17.000444","1250","1250",NA,"Liana, flores creme-amareladas, frutos imaturos verdes.","UEC040708","UEC040708","2003","10",NA,NA,NA,"-43.345","-17.000444",NA,NA,NA,NA,NA
"15","2021-03-01 16:21:49-03","UNICAMP","UEC","127088","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A","Simões, AO; Barbosa, AR; Flores, AS; Rodrigues, RS; Belinello, R","1177","2002","01","24",NA,"Brazil","Minas Gerais","Grão Mogol","beira do Rio das Mortes Junto a ponte sobre o rio.","-42.90275","-16.603333","690","690",NA,"Liana, látex branco, flores branco-amareladas.","UEC040710","UEC040710","2005",NA,NA,NA,NA,"-42.90275","-16.603333",NA,NA,NA,NA,NA
"16","2021-03-01 16:21:49-03","UNICAMP","UEC","135461","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A","Simões, AO; Singer, RB","1309","2002","03","29",NA,"Brazil","Minas Gerais","Grão Mogol","Estrada de acesso à cidade.","-42.893889","-16.557222","790","790",NA,"Liana, volúvel, látex branco. flores creme. Em afloramento rochoso.","UEC040709","UEC040709","2005",NA,NA,NA,NA,"-42.893889","-16.557222",NA,NA,NA,NA,NA
"17","2021-03-01 16:21:49-03","UNICAMP","UEC","117780","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A","Rapini, A; Kawasaki, ML; Mello-Silva, R","366","1997","09","30",NA,"Brazil","Minas Gerais","Itacambira","Serra de Itacambira, estrada Juramento - Itacambira, 1250msm.","-43.3088989257812","-17.0646991729736",NA,NA,NA,"Subarbusto, 0,5m alt. sobre rochas. Flores amarelas.","UEC040707","UEC040707","1999",NA,NA,"48089","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:12:27-03","MBM","MBM","65597","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A.","Hatschbach, G.","42889","1980","03","23","Southern America","Brazil","Minas Gerais","Cristália","Bem Querer","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,"MBM065597","MBM065597",NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:12:27-03","MBM","MBM","124527","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","52021","1988","05","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Rio das Mortes","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM124527","MBM124527",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:12:27-03","MBM","MBM","416233","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Barboza, E.","Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3038","2018","11","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra Periperi","-42.929167","-16.536667","1026","1026",NA,"Liana volúvel, corola branca.; Campo rupestre com elementos de Caatinga.","MBM416233",NA,"2019","02","05",NA,NA,"-42.929167","-16.536667",NA,NA,NA,NA,NA
"21","2020-12-21 16:12:27-03","MBM","MBM","416246","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Barboza, E.","Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3051","2018","11","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra Periperi","-42.927778","-16.541944","1105","1105",NA,"Liana volúvel, laticífera; flor branca.; Campo rupestre com elementos de Caatinga.","MBM416246",NA,"2019","02","05",NA,NA,"-42.927778","-16.541944",NA,NA,NA,NA,NA
"22","2020-12-21 16:12:27-03","MBM","MBM","228372","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67994","1998","07","18","Southern America","Brazil","Minas Gerais","Grão Mogol","Estrada Grão Mogol - Cristália, ponte no Rio Itacamburuçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM228372","MBM228372",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:12:27-03","MBM","MBM","142422","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","54943","1991","02","09","Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM142422","MBM142422",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:12:27-03","MBM","MBM","59875","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A.","Hatschbach, G.","41325","1978","04","22","Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM059875","MBM059875",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-06-17 18:20:39-03","MNHN","RECOLNAT_MNHN_P","P00636297","PreservedSpecimen",NA,NA,NA,NA,"Ditassa","cordeiroana","Ditassa cordeiroana",NA,"Lachenaud","Pignal, M.",NA,"2008","7","4",NA,"Brazil",NA,NA,"District of Suçuarana. Serra Escura","-41.10306","-14.2225",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00636297' target='other'> <mi>dwc_moreinfo</mi></a>","P00636297","P00636297_01",NA,NA,NA,NA,NA,NA,NA,"3323",NA,NA,NA,NA
"26","2020-03-29 15:24:35-03","MNHN","RECOLNAT_MNHN_P","P02288486","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Pignal","Pignal, M.|de Oliviera Soares filho, A.|Coelho, M.",NA,"2008","7","4",NA,"Brasil","Bahia","Tanhaçu","District of Suçuarana. Serra Escura","-41.10306","-14.2225","646",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02288486' target='other'> <mi>dwc_moreinfo</mi></a>","P02288486","P02288486_01",NA,NA,NA,NA,NA,NA,NA,"3323",NA,NA,NA,NA
"27","2020-10-01 14:20:48-03","JBB","HEPH","17391","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","Rapini, A","Hatschbach, G","42889","1980","03","23","Southern America","Brasil","Minas Gerais","Cristália","Bem Querer","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-12-11 11:31:45-03","UFMG","BHCB","109933","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Rapini, A; Ribeiro, PL; Santos, AKA","1359","2007","02","03","Southern America","Brasil","Minas Gerais","Grão Mogol","Ca. 5 km da cidade, estrada para Barrocão.","-42.950278","-16.613333","765","765",NA,"Arbusto volúvel. Corola creme, corona esverdeada.",NA,NA,"2007",NA,NA,NA,NA,"-42.950278","-16.613333",NA,NA,NA,NA,NA
"29","2020-12-11 11:31:45-03","UFMG","BHCB","189975","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Quaresma, AS","675","2018","01","07","Southern America","Brasil","Minas Gerais","Itabirito","BR 040, Às margens da rodovia BR 040, sentido Belo Horizonte #?# Congonhas, próximo ao km 580, ao lado direito da rodovia. Coordenadas aproximadas","-43.965278","-20.2475",NA,NA,NA,NA,"BHCB189975",NA,"2018","01","17",NA,NA,"-43.965278","-20.2475",NA,NA,NA,NA,NA
"30","2020-12-11 11:31:45-03","UFMG","BHCB","52304","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Pirani, JR; Kameyama, C; Meguro, M; Mello-Silva, R de; Cordeiro, I","CFCR9123","1986","01","09","Southern America","Brasil","Minas Gerais","Itacambira","Estrada para Montes Claros.","-43.3088989257812","-17.0646991729736",NA,NA,NA,"Subarbusto ereto, 30-50 cm alt. Flores amarelo-claras.; Em fenda de rochas.",NA,NA,NA,NA,NA,"48089","auto",NA,NA,NA,NA,NA,NA,NA
"31","2020-12-11 11:31:45-03","UFMG","BHCB","99028","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Tameirão Neto, E","4234","2005","10","04","Southern America","Brasil","Minas Gerais","Itacambira","Fazenda Tamanduá, Plantar MG 15.","-43.3088989257812","-17.0646991729736",NA,NA,NA,"Subarbustivo.; Campo limpo.",NA,NA,NA,NA,NA,"48089","auto",NA,NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:31:45-03","UFMG","BHCB","26407","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Carvalho, MG; Silva, ST","538","1991","09","13","Southern America","Brasil","Minas Gerais","Cristália","Morro do Chapéu","-42.8622016906738","-16.8003005981445",NA,NA,NA,"Hábito rastejante. Corola amarela.; Campo rupestre, quartzítico.",NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:31:45-03","UFMG","BHCB","26407","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Carvalho, MG; Silva, ST","538","1991","09","13","Southern America","Brasil","Minas Gerais","Cristália","Morro do Chapéu","-42.8622016906738","-16.8003005981445",NA,NA,NA,"Hábito rastejante. Corola amarela.; Campo rupestre, quartzítico.",NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:31:45-03","UFMG","BHCB","52303","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Rapini, A; Kawasaki, ML; Mello-Silva, R de","347","1997","09","28","Southern America","Brasil","Minas Gerais","Cristália","Vale do Córrego Jacuba, entre Cristália e Botumirim.","-42.8622016906738","-16.8003005981445","700","700",NA,"Trepadeira. Flores amarelas.",NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:31:45-03","UFMG","BHCB","26410","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"Carvalho, MG; Silva, ST","465","1991","07","25","Southern America","Brasil","Minas Gerais","Botumirim","Veredas.","-43.010799407959","-16.872200012207",NA,NA,NA,"Folhas pequenas. Flor amarela, miúda.; Nas pedras. Cerrado.",NA,NA,NA,NA,NA,"39434","auto",NA,NA,NA,NA,NA,NA,NA
"36","2014-11-03 15:35:00-02","MO","MOBOT","100670904","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","M. Pignal","M. Pignal","Pignal 3323","2008","7","4","South America","Brazil","Bahia","Tanhaçu","District of Suçuarana. Serra Escura.","-41.1030556","-14.2225","646.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"37","2008-05-27 22:02:00-03","MO","MOBOT","1237549","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","J. Fontella P.","Renato de Mello-Silva|et al.","Mello-Silva CFCR11457","1987","11","3","South America","Brazil","Minas Gerais",NA,"Grão Mogol, montanha a esquerda do riacho Ribeiro, Trilha da Tropa","-42.91666","-16.54166","1100.00000000","1150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
"38","2013-03-10 18:47:00-03","MO","MOBOT","1237550","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","J. Fontella P.","Maria L. Kawasaki|et al.","Kawasaki 8370","1985","9","4","South America","Brazil","Minas Gerais",NA,"Grão Mogol, Vale do Rio Itacambiruçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2008-05-27 22:02:00-03","MO","MOBOT","1237551","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","J. Fontella P.","I. Cordeiro|et al.","Cordeiro 8978","1986","1","6","South America","Brazil","Minas Gerais",NA,"Grão Mogol, próximo do Córrego das Mortes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-01-19 05:29:00-02","MO","MOBOT","1237552","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","J. Fontella P.","Ana M. Giulietti|et al.","Giulietti 9854","1986","7","23","South America","Brazil","Minas Gerais",NA,"Grão Mogol, Córrego Escurinha",NA,NA,"740.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","1237553","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","J. Fontella P.","I. Cordeiro|et al.","Cordeiro 10017","1985","9","2","South America","Brazil","Minas Gerais",NA,"Grão Mogol, Rib. dos Bois",NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2014-09-01 11:21:00-03","MO","MOBOT","1237554","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","J. Fontella P.","Daniela C. Zappi","Zappi 12052","1988","5","28","South America","Brazil","Minas Gerais",NA,"Grão Mogol, margem direita do rio Itacambiruçu, entre a ponta para Cristália e a fazenda Jambeiro","-42.75","-16.58333","650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2014-08-23 05:35:00-03","MO","MOBOT","2825066","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","A. Rapini","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 23566","1969","2","19","South America","Brazil","Minas Gerais",NA,"Rocky river bank, Rio Itacambiruçu, and adjacent rocky cerrado, ca. 10km west of Grão Mogol, road to Cristália",NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-03-28 17:00:00-03","MO","MOBOT","2825134","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","A. Rapini, Dec.","José R. Pirani","Pirani 4291","1998","5","13","South America","Brazil","Minas Gerais",NA,"Rio Pardo de Minas, estrada Serranópolis Rio Pardo, trecho da Serra Geral; Serra de Poções (nome local) ou Serra Deus me Livre 9Na Folha Geomapas). Grande inselberg quartzítico","-42.8191667","-15.9683334","860.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"45","2015-03-01 14:56:00-03","MO","MOBOT","2825237","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","A. Rapini","M.G. Carvalho|S.T. Silva","Carvalho 538","1991","9","13","South America","Brazil",NA,NA,"Cristália (Novro do Chapéu)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2009-12-04 16:26:00-02","MO","MOBOT","2825279","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","A. Rapini","Gert G. Hatschbach|Maria M. Hatschbach|O.S. Ribas","Hatschbach 54943","1991",NA,NA,"South America","Brazil","Minas Gerais",NA,"Rio Itacambiruçu (Mun. Grão Mogol)",NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2014-09-01 12:26:00-03","MO","MOBOT","2825360","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella","M.A. Farinaccio V.","M.A. Farinaccio|Renato de Mello-Silva|José R. Pirani|P.D. de Oliveira|J. Lovo|D.Y.A.C. dos","Farinaccio 680","2004","3","30","South America","Brazil","Minas Gerais",NA,"Grão-Mogol: Ribeirão dos Bois, á saída da cidade na estrada para o rio Ventania. Vegetação arbustiva entre afloramentos rochosos mais ou menos planos. 16;33'31.2S, 42:53'09.4W",NA,NA,"830.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-09-12 05:00:02-03","US","US","2885704","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","cordeiroana","Ditassa cordeiroana","Fontella",NA,"H. S. Irwin, R. Reis dos Santos, R. Souza & S. F. Fonsêca","23515","1969","2","18","South America - Neotropics","Brazil","Minas Gerais",NA,"The Planalto do Brasil, Serra do Espinhaço, Sandy slopes with sandstone outcrops and adjacent rocky river margin, Rio Itacambiruçu, ca. 15km north of Grão Mogol.",NA,NA,"950",NA,NA,NA,"US03258350","US03258350_01",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA
