"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","year","month","day","stateProvince","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class"
"19","2019-11-05 16:43:01-03","UFOP","OUPR","20672","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Messias, M.C.T.B.; Silva, J.L.; Tonaco, A.C. & Ataíde, E.","1708",NA,"Brasil","Serra de Antônio Pereira, Samarco, Alegria 7",NA,"Erva. Em campo rupestre.",NA,"2007","12","19","Minas Gerais",NA,"Rapini, A.","2009","10","06","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"20","2019-11-05 16:43:01-03","UFOP","OUPR","22694","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Messias, M.C.T.B.; Silva, J.L. & Kozovits, A.R.","2344",NA,"Brasil","Serra de Antônio Pereira, Samarco, Alegria 7",NA,"Liana, flores amarelo claras. Planta latescente. Campo rupestre sobre canga ferruginosa",NA,"2009","04","24","Minas Gerais",NA,"Rapini, A.","2009","10","06","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"21","2019-11-05 16:43:01-03","UFOP","OUPR","831","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Badini, J.","s.n.",NA,"Brasil","Serra do Itacolomi",NA,"Subescandente, flores branco-amareladas. Fendas de rochas de quartzito.",NA,"1981","04","18","Minas Gerais",NA,"Fontella, J.","1983","11","12","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"22","2019-11-05 16:43:01-03","UFOP","OUPR","835","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Peron, M.V.","s.n.",NA,"Brasil","Topo da Pedra Itacolomi.",NA,"Subescandente, flores amareladas. Entre rochas de quartzito.",NA,"1986","04","06","Minas Gerais",NA,"Peron, M.V.","1986","04","15","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:12:28-03","MBM","MBM","268225","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Krieger, L.; et al.; et al.","s.n.","Southern America","Brazil","Serra de Ibitipoca",NA,NA,"MBM268225","1970","05","15","Minas Gerais","MBM268225","Fontella, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:31:45-03","UFMG","BHCB","105859","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Marino, F; Dutra, M","239","Southern America","Brasil","Parque Estadual do Itacolomi, Caminho para o Pico do Itacolomi.",NA,"Liana.; Vegetação rasteira. Campo rupestre.",NA,"2007","02","02","Minas Gerais",NA,NA,"2008",NA,NA,"Ouro Preto","-43.48","-20.43",NA,NA,"-43.48","-20.43","1754","1754",NA,NA
"25","2020-12-11 11:31:45-03","UFMG","BHCB","180944","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Carmo, FF","4357","Southern America","Brasil","Serra da Gandarela, C1",NA,"Coletado em fendas e depressões na rocha. Afloramento de canga.","BHCB035698","2009","02","17","Minas Gerais",NA,NA,"2011",NA,NA,"Rio Acima","-43.683111","-20.093806",NA,NA,"-43.683111","-20.093806","1624","1624",NA,NA
"26","2020-12-11 11:31:45-03","UFMG","BHCB","191534","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Paiva, JAM; Souza, JAM; Silva, SHA","1689","Southern America","Brasil","Parque Estadual do Itacolomi",NA,"Erva, 0,15 m. Flor branca. Látex branco; erva escandente; Campo Rupestre Quartzítico","BHCB191534","2018","02","27","Minas Gerais",NA,NA,"2018","07","17","Ouro Preto","-43.473333","-20.430278",NA,NA,"-43.473333","-20.430278","1747","1747",NA,NA
"27","2020-12-11 11:31:45-03","UFMG","BHCB","44337","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Paiva, JAM; Souza, JAM; Silva, S","1738","Southern America","Brasil","RPPN Capivari I",NA,"Erva 0,3m. Flores cremes. Látex branco.; Campo rupestre quartzítico",NA,"2018","03","13","Minas Gerais",NA,NA,"2018","03",NA,"Santa Bárbara","-43.629167","-20.149444",NA,NA,"-43.629167","-20.149444","1485","1485",NA,NA
"28","2020-12-11 11:31:45-03","UFMG","BHCB","8240","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Grandi, TSM; et al.","2409","Southern America","Brasil","Itacolomi",NA,"Campo rupestre.",NA,"1987","02","25","Minas Gerais",NA,NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"29","2021-01-15 17:51:35-03","UFMG","BHCB","83554","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Magalhães, M","1118","Southern America","Brasil","Serra de Lavras Novas",NA,"Pouco frequente.; Trepadeira. Flor alva.; Entre rochas.",NA,"1942","01","18","Minas Gerais",NA,NA,"2005","09",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"30","2015-08-10 05:49:00-03","MO","MOBOT","428856","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Amaro Macedo","Macedo 2800","South America","Brazil","Stacoloni",NA,NA,NA,"1950","12","28","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","1247917","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Léonidas Damazio","Damazio 1363","South America","Brazil",NA,NA,NA,NA,"1904","3","28","Minas Gerais",NA,"H. Hua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-02-19 04:30:00-03","MO","MOBOT","428847","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"C.F.P. Martius","Martius 20182","South America","Brazil","Majo.",NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"33","2020-09-12 05:00:02-03","US","US","2196940","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"A. Macedo","2800","South America - Neotropics","Brazil","Itacolomi. Municipio Ouro Preto.",NA,NA,"US03263512","1950","12","28","Minas Gerais","US03263512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"34","2020-09-12 05:00:02-03","US","US","287476","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"-. Sello","s.n.","South America","Brazil","Brasilia.",NA,NA,"US03263513",NA,NA,NA,NA,"US03263513_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"35","2020-09-12 05:00:02-03","US","US","1484340","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"G. H. von Langsdorff","s.n.","South America - Neotropics","Brazil",NA,NA,NA,"US03263514",NA,NA,NA,"Minas Gerais","US03263514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"36","2021-03-15 18:24:36-03","USP","SPF","37625","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Hensold, N","CFCR3931",NA,"Brasil","Serra do Garimpo, 10 km by road NW of Barão de Cocais.",NA,"Vine, flowers white.","SPF00037625","1982","05","04","Minas Gerais","SPF00037625","Rapini, A","1999",NA,NA,"Barão de Cocais","-43.508889","-19.864444",NA,NA,"-43.508889","-19.864444","1200","1300",NA,NA
"37","2021-03-15 18:24:36-03","USP","SPF","128271","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Badini, J","s.n.",NA,"Brasil","Serra do Itacolomi",NA,"Erva prostrada entre rochedos. Flores brancas.","SPF00128271","1987","11","14","Minas Gerais","SPF00128271","Peron, M","1987","11","19","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"38","2019-09-04 19:51:23-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Ditassa","laevis","Ditassa laevis",NA,"Type [status unknown]","C. F. P. von Martius",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"39","2019-11-01 14:52:40-03","UnB","UB","117836","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Ferreira, MB","92","Southern America","Brasil","Serra da Piedade, estrada Belo Horizonte - Ipatinga",NA,"Flores branca amareladas.; Cipó",NA,"1970","01","20","Minas Gerais",NA,"Fontella, J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:06:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Sello, HL","1091","Southern America","Brazil","In Brasilia meridionali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 16:26:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Martius, CFP","s.n.","Southern America","Brazil","In prov. Minarum ad declivitatem montis Itambé do Mato dentro.",NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,"Itambé do Mato Dentro","-43.32","-19.41",NA,NA,"-43.32","-19.41",NA,NA,NA,NA
"42","2017-09-11 17:06:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Sello, HL","1070","Southern America","Brazil","In Brasilia meridionali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-05 09:46:14-03","IBt","SP","17954","S","Plantae",NA,NA,"Apocynaceae","Ditassa","laevis","Ditassa laevis","Mart.",NA,"Novaes, JS","s.n.",NA,"Brasil","Itacolomi",NA,NA,NA,"1907","02","15","Minas Gerais",NA,"Rapini, A","1997","07",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
