"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","eventTime","fieldNumber","individualCount"
"17","2020-09-23 10:41:54-03","E","E","83574","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala",NA,NA,NA,NA,NA,"Cordeiro, J. & Cruz, J.M.","1327","1996","10","15","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083574",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:92498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02705652","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","antonia","Marlierea antonia","(O.Berg) D.Legrand",NA,NA,NA,NA,"M. F. Santos","840","2012","03","06","Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar - Nucleo Picinguaba. Trilha para a praia Brava da Almada, a partir da praia da Fazenda. No sub-bosque.","-44.8675","-23.3572",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005028' target='other'> <mi>dwc_moreinfo</mi></a>","NY02705652","62",NA,"NY02705652_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","616134","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","grandiflora","Myrcia grandiflora","(O.Berg) D.Legrand","S. M. Silva",NA,NA,NA,"R. X. Lima","89","1993","10","22","Brazil","Paraná","Guaraqueçaba","Cidade de Guaraqueçaba (arredores)","-48.32","-25.27",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616134",NA,NA,"NY00616134_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-28 16:19:00-03","NY","NYBG","616136","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","grandiflora","Myrcia grandiflora",NA,NA,NA,NA,NA,"J. Steinbach","56569","1916","10","28","Argentina","Santa Cruz",NA,"Del Sara",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616136","450","450",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-28 16:19:00-03","NY","NYBG","616137","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","grandiflora","Myrcia grandiflora",NA,NA,NA,NA,NA,"J. Steinbach","7228","1924","09","15","Bolivia","Santa Cruz","Sara","Corneira de B- Vista. Meereshöhe",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616137","500","500",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","616135","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","grandiflora","Myrcia grandiflora","(O.Berg) D.Legrand","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","2628","1966","10","03","Brazil","Paraná",NA,"Along road Praia de Leste - Morretes",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616135",NA,NA,"NY00616135_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","616412","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","E. M. Nic Lughadha",NA,NA,NA,"R. Reitz","3385","1956","07","09","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616412","200","200","NY00616412_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","616383","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","24039","1970","03","17","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616383","100","100","NY00616383_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","616405","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","M. L. Kawasaki",NA,NA,NA,"F. C. Hoehne","s.n.","1938","03","23","Brazil","São Paulo","Guarujá",NA,"-46.25","-23.99",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616405",NA,NA,"NY00616405_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","616386","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","C. M. D. E. Legrand",NA,NA,NA,"R. M. Klein","253","1950","07","28","Brazil","Santa Catarina","Brusque","Mata do Hoffman, Brusque","-48.9","-27.1",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616386","50","50","NY00616386_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","616387","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","R. Reitz",NA,NA,NA,"R. Reitz","6509","1958","02","28","Brazil","Santa Catarina",NA,"Três Barras, Garuva, Sao Francisco do Sul",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616387","200","200","NY00616387_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","616408","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","S. M. Silva",NA,NA,NA,"S. F. Athayde","220","1995","01","07","Brazil","Paraná","Guaraqueçaba","Guaraqueçaba; Morro do Quitumbé ou do Costao","-48.33","-25.28",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616408",NA,NA,"NY00616408_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00907779","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"P. W. Richards","6571","1968","08","02","Brazil","Mato Grosso",NA,"Base Camp campo","-51.77","-12.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907779",NA,NA,"NY00907779_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00907749","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"G. C. G. Argent","6425","1967","09","19","Brazil","Mato Grosso",NA,"c. 6 km. S. of Xavantina (R & A transect)","-52.23","-14.63",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907749",NA,NA,"NY00907749_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1018096","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"S. J. da Silva Neto","1546","2001","12","11","Brazil","Rio de Janeiro","Nova Iguaçú","Estrada para Itacolomi, trilha da lagoa.","-43.4508","-22.7594",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018096",NA,NA,"NY01018096_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","616404","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","M. L. Kawasaki",NA,NA,NA,"O. Handro","s.n.","1946","02","27","Brazil","São Paulo","Sao Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botânico","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616404",NA,NA,"NY00616404_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00907725","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"G. C. G. Argent","6673","1967","10","06","Brazil","Mato Grosso",NA,"c. 1km. W. of Base Camp","-51.77","-12.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907725",NA,NA,"NY00907725_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00907752","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"J. A. Ratter","R276","1967","08","02","Brazil","Mato Grosso",NA,"c 6km SW. of Xavantina","-52.33","-14.73",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907752",NA,NA,"NY00907752_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","616394","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","2384","1956","01","09","Brazil","Santa Catarina","Guaramirim","Guaramirim","-49.0028","-26.4733",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616394","100","100","NY00616394_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","616395","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala magnifolia","D.Legrand","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","42742","1980","01","24","Brazil","Paraná","Cerro Azul","Cab. Rib. do Tigre","-49.2608","-24.8236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616395",NA,NA,"NY00616395_01","South America","sheet",NA,"Magnoliophyta","Myrtales","magnifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00907751","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"J. A. Ratter","R2030","1968","07","02","Brazil","Mato Grosso",NA,"4 Km N of Base Camp of the Expedition. C. 270 Km N of Xavantina","-51.87","-12.9",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907751",NA,NA,"NY00907751_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00907724","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","M. L. Kawasaki",NA,NA,NA,"C. A. Cid Ferreira","6132","1985","09","18","Brazil","Mato Grosso","Nobres","BR 163, a 10 km ao S do Povoado Sorriso","-55.8","-12.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907724",NA,NA,"NY00907724_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","616409","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","M. Sobral",NA,NA,NA,"J. M. Silva","323","1987","09","25","Brazil","Paraná","Campina Grande do Sul","Rio Capivari","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616409",NA,NA,"NY00616409_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00907778","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","C. E. B. Proença",NA,NA,NA,"C. E. B. Proença","325","1982","12","12","Brazil","Bahia","Sao Desidério","Fazenda Duas Patrias na margem do Rio Grande, local Sítio Grande, extremo oeste da Bahia","-44.9731","-12.3633",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907778",NA,NA,"NY00907778_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","616379","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","M. L. Kawasaki",NA,NA,NA,"W. W. Thomas","5749","1987","12","07","Bolivia","Santa Cruz","José Miguel de Velasco","Serrania de Huanchaca. Parque Nacional Prof. Noel Kempff Mercado","-60.72","-13.98",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616379",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","616390","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","1643","1954","03","02","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616390","300","300","NY00616390_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00907776","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"J. F. Ramos","R. & S.92","1967","10",NA,"Brazil","Mato Grosso",NA,"Collected near the base camp of the expedition (c. 270 km N of Xavantina)","-51.87","-12.9",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907776",NA,NA,"NY00907776_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","1015077","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.","E. M. Nic Lughadha",NA,NA,NA,"B. Braga","s.n.","1969","08","07","Brazil","São Paulo",NA,"Serra da Cantareira, São Paulo, Pinheirinho.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099563' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015077",NA,NA,"NY01015077_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","00907747","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","Miq.",NA,NA,NA,NA,"G. C. G. Argent","6784","1968","08","26","Brazil","Mato Grosso",NA,"R3 c 3 km S of Base Camp","-51.77","-12.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907747",NA,NA,"NY00907747_01","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
