"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"11","2014-03-10 16:25:00-03","MO","MOBOT","100678875","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) A. Prata & M.G. López",NA,"Robert S. Williams","Williams 897","1902","3","4","South America","Bolivia","La Paz","Larecaja","Apolo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"12","2020-06-15 15:30:08-03","UNESP-RC","HRCB","26145","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López","Prata, A.P.","Longhi-Wagner, H.","3271","1996","01","26",NA,"Brasil","São Paulo","Pirassununga",NA,"-47.4199981689453","-21.9899997711182",NA,NA,NA,NA,NA,NA,"2005","04",NA,NA,NA,"24621","auto",NA,NA,NA,NA
"13","2020-09-02 16:23:38-03","Cenargen","CEN","45492","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","aff. loefgrenii","Bulbostylis aff. loefgrenii","(Boeckeler) Prata & M.G.López","B. M. T. Walter","Roberta Cunha de Mendonça","4501","2001","10","19",NA,"Brasil","GO","POSSE","Estrada entre Guarani e Posse. Entrada em desvio ao lado direito de quem vai p/ Posse, área cercada.","-46.3694000244141","-14.0930995941162","Exsicatas","15 cm de altura; folhas membranáceas; inflorescência marrom. Doação do Herbário IBGE - Reserva Ecológica do IBGE. Plantas do Brasil - Goiás.","CEN00045492","CEN00045492",NA,NA,"2017","01","-4637000.0","-1496139.0",NA,"55730","auto",NA,"1","830","830"
"14","2020-09-02 16:23:38-03","Cenargen","CEN","59843","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","aff. loefgrenii","Bulbostylis aff. loefgrenii","(Boeckeler) Prata & M.G.López","A. P. Prata","Anderson Cássio Sevilha","2145","2002","08","17",NA,"Brasil","PB","MAMANGUAPE","Reserva Biológica Guaribas, Área II - Palmeiral.","-35.1260986328125","-6.83861017227173","Exsicatas",NA,"CEN00059843","CEN00059843",NA,NA,"2008","11","-3518278.0","-670306.0",NA,"36853","auto",NA,"3","68","68"
"15","2020-09-02 16:23:38-03","Cenargen","CEN","80369","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","cf. loefgrenii","Bulbostylis cf. loefgrenii","(Boeckeler) Prata & M.G.López","B. M. T. Walter","Marcelo Fragomeni Simon","953","2010","10","16",NA,"Brasil","RO","PORTO VELHO","Ao longo da BR - 364, 5 km oeste de Mutum Paraná.","-64.917777","-9.6094444","Exsicatas","Crescendo em área aberta. Floresta sazonalmente inundável com dossel médio de 8 m. Área de influência direta da UHE Jirau.","CEN00080369","CEN00080369",NA,NA,"2017","01","-64.917777","-9.6094444",NA,NA,NA,NA,"8","83","83"
"16","2020-09-02 16:23:38-03","Cenargen","CEN","39628","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","cf. loefgrenii","Bulbostylis cf. loefgrenii","(Boeckeler) Prata & M.G.López","B. M. T. Walter","Ernestino de S. Gomes Guarino","529","2000","12","20",NA,"Brasil","DF","BRASILIA","Fazenda Sucupira, na borda da mata do córrego Riacho Fundo, próximo a entrada das parcelas da fitossociologia.","-47.9296989440918","-15.7797002792358","Exsicatas",NA,"CEN00039628","CEN00039628",NA,NA,"2017","01","-4800000.0","-1586667.0",NA,"70570","auto",NA,"5","1100","1100"
"17","2020-09-02 16:23:39-03","Cenargen","CEN","15248","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López","A. P. Prata","Bruno Machado Teles Walter","883","1991","12","09",NA,"Brasil","GO","MINACU","Em frente ao viveiro antigo da UHE Serra da Mesa (5 km da entrada Norte do canteiro de obras).","-48.283333","-13.8","Exsicatas","Brácteas castanhas, estigma alvo. Área de influência da UHE Serra da Mesa.","CEN00015248","CEN00015248",NA,NA,"2005","11","-48.283333","-13.8",NA,NA,NA,NA,"5","500","500"
"18","2020-09-02 16:23:39-03","Cenargen","CEN","79949","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López","B. M. T. Walter","Jair Eustáquio Quintino de Faria Jr.","1163","2011","02","25",NA,"Brasil","GO","ALTO HORIZONTE","Brasil - Goiás - Alto Horizonte - Fazenda do Senhor Manoel Braz, Cerrado Sensu Stricto.","-49.3386001586914","-14.1955995559692","Exsicatas","Inflorescência verde. HERBÁRIO UB - Goiás","CEN00079949","CEN00079949",NA,NA,"2017","01",NA,NA,NA,"27619","auto",NA,"1",NA,NA
"19","2020-09-02 16:23:39-03","Cenargen","CEN","50924","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López","A. P. Prata","José Floriano Barêa Pastore","138","2002","12","01",NA,"Brasil","GO","APARECIDA DE GOIANIA","Chácara Jatobá.","-49.2439002990723","-16.823299407959","Exsicatas",NA,"CEN00050924","CEN00050924",NA,NA,"2008","11",NA,NA,NA,"14888","auto",NA,"2",NA,NA
"20","2019-11-13 11:18:30-03","USP","SPF","123650","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López","Prata, AP","Rezende, UM","7","1997","05","15",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Cerrado na nascente do rio Quaúrola.","-54.6464004516602","-20.4428005218506",NA,NA,"SPF00123650",NA,NA,NA,"2005","11",NA,NA,NA,"161190","auto",NA,NA,NA,NA
"21","2019-11-13 11:18:30-03","USP","SPF","117745","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López","Prata, AP","Longhi-Wagner, HM","s.n.","1996","01","26",NA,"Brasil","São Paulo","Pirassununga","Cerrado de Emas","-47.4199981689453","-21.9899997711182",NA,NA,"SPF00117745",NA,NA,NA,"2005","11",NA,NA,NA,"24621","auto",NA,NA,NA,NA
"22","2019-10-07 09:20:48-03","UEFS","HUEFS","25426","PreservedSpecimen","Plantae","Angiospermae","Poales","Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López",NA,"Queiroz, L.P.de","4808","1997","02","23",NA,"Brasil","Bahia","Barra","Dunas do S.Francisco. Ibiraba (=Icatu), Santa Cruz, em frente ao povoado de Ibiraba, no caminho para os Brejos.","-42.833333","-10.8",NA,"Scrub arbustivo-arbóreo sobre dunas arenosas.","HUEFS0025426","HUEFS0025426","Lilianae",NA,NA,NA,"42W50'0''","10S48'0''",NA,NA,NA,NA,NA,NA,NA
"23","2019-10-07 09:20:48-03","UEFS","HUEFS","129527","PreservedSpecimen","Plantae","Angiospermae","Poales","Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","(Boeckeler) Prata & M.G.López",NA,"Melo, E.","5319","2007","11","02",NA,"Brasil","Bahia","Palmeiras","Mata ciliar do rio Mucugezinho.","-41.374444","-12.451667",NA,NA,"HUEFS0129527","HUEFS0129527","Lilianae",NA,NA,NA,"41W22'28''","12S27'6''",NA,NA,NA,NA,NA,"376","376"
"24","2019-11-01 15:13:38-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Bulbostylis","loefgrenii","Bulbostylis loefgrenii","A. Prata & M.G. López","Prata, AP","Ratter, JA","4042","1976","12","13","Southern America","Brasil","Distrito Federal","Brasília","Jardim Botânico de Brasília, Fazenda Água Limpa-Universidade de Brasília","-47.9296989440918","-15.7797002792358",NA,"Growing in clumps on the floor of cerradão (tall savanna woodland)- reserve area","UB0031512","UB0031512",NA,NA,"2008","12",NA,NA,"30","70570","auto",NA,NA,NA,NA
