"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","identifiedBy","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","typeStatus","previousCatalogNumber","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"624","2020-12-21 16:35:50-03","MBM","MBM","43727","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Mattos, J.","1962","09","22","Brazil","São Paulo",NA,"Barra de Una",NA,NA,NA,NA,NA,NA,"MBM043727","MBM043727","Berg, C.C.",NA,NA,NA,NA,"10600",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","2020-12-21 16:35:50-03","MBM","MBM","416661","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Marinero, F.; Ferreira, P.C.; Ariati, V.; Lozano, E.D.; Mascaro, C.; Ferreira, P.C.; Ariati, V.; Lozano, E.D.; Mascaro, C.","2017","02","09","Brazil","Santa Catarina","Itapoá","Pontal, Área para ampliação do Terminal Retroportuário G. Laffite","-48.612778","-26.173611","-48.612778","-26.173611","15","15","MBM416661",NA,"Marinero, F.","Árvore 8 m; frutos verdes.","2017","02","09","623",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","2020-12-21 16:35:50-03","MBM","MBM","57425","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Occhioni, P.","1977","05",NA,"Brazil","Rio de Janeiro",NA,"Vale dos Padrinhos",NA,NA,NA,NA,NA,NA,"MBM057425","MBM057425","Berg, C.C.",NA,NA,NA,NA,"8228",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","2020-12-21 16:35:50-03","MBM","MBM","276921","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Mota, R.C.; et al.; et al.","2002","10","10","Brazil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Ribeirão do Campo","-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"MBM276921","MBM276921","Mota, R.C.",NA,NA,NA,NA,"1671","60318","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","2020-12-21 16:35:50-03","MBM","MBM","295679","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Trameirão Neto, E.","2002","08","05","Brazil","Minas Gerais","Mariana","Esquerda do Ribeirão do Carmo","-43.4160995483398","-20.377799987793",NA,NA,NA,NA,"MBM295679","MBM295679","Lombardi, J.A.",NA,NA,NA,NA,"3480","33524","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","2020-12-21 16:35:50-03","MBM","MBM","270366","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Trameirão Neto, E.","2001","02","23","Brazil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,"MBM270366","MBM270366",NA,NA,NA,NA,NA,"3152","18958","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","2020-12-21 16:35:50-03","MBM","MBM","234458","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Hatschbach, G.; Spichiger, R.; Loizeau, P.A.; Spichiger, R.; Loizeau, P.A.",NA,NA,NA,"Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"MBM234458","MBM234458","Hatschbach, G.",NA,NA,NA,NA,"68830","38300","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","2020-12-21 16:35:50-03","MBM","MBM","75258","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Hatschbach, G.","1982","04","23","Brazil","Paraná","Antonina","Rio Curitibaíba","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"MBM075258","MBM075258","Berg, C.C.",NA,NA,NA,NA,"44864","38300","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","2020-12-21 16:35:50-03","MBM","MBM","33732","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Hatschbach, G.","1973","10","12","Brazil","Paraná","Antonina","Rio do Nunes","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"MBM033732","MBM033732","Berg, C.C.",NA,NA,NA,NA,"32674","38300","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","2020-12-21 16:35:50-03","MBM","MBM","78342","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Hatschbach, G.","1982","09","22","Brazil","Paraná","Antonina","Rio Xaxim","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"MBM078342","MBM078342","Hatschbach, G.",NA,NA,NA,NA,"45417","38300","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","2020-12-21 16:35:49-03","MBM","MBM","10097","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Hatschbach, G.","1968","12","11","Brazil","Paraná","Bocaiúva do Sul","Sesmaria, Rio Capivari","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,"MBM010097","MBM010097","Berg, C.C.",NA,NA,NA,NA,"20253","61623","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","2020-12-21 16:35:50-03","MBM","MBM","144286","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Ziller, S.R.","1990","05","19","Brazil","Paraná","Guaraqueçaba","Batuva","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"MBM144286","MBM144286","Hatschbach, G.",NA,NA,NA,NA,"137","37295","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","2020-12-21 16:35:50-03","MBM","MBM","226921","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Dombrowski, L.T.",NA,NA,NA,"Brazil","Paraná","Guaraqueçaba","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"MBM226921",NA,"Dombrowski, L.T.",NA,NA,NA,NA,"11843","37295","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","2020-12-21 16:35:50-03","MBM","MBM","226919","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Dombrowski, L.T.",NA,NA,NA,"Brazil","Paraná","Guaraqueçaba","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"MBM226919",NA,"Dombrowski, L.T.",NA,NA,NA,NA,"9775","37295","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","2020-12-21 16:46:44-03","MBM","MBM","323088","PreservedSpecimen","Plantae","Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini","Borgo, M.","2003","01","16","Brazil","Paraná","Guaraqueçaba","Reserva Natural Itaqui, Triha do Poço Preto","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"MBM323088","MBM323088","Hatschbach, G.","Hemiepífita com 12m de altura, inflorescência esverdeada.; Floresta Ombrófila Densa Submontana.","2007",NA,NA,"2385","37295","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","2020-12-21 16:35:50-03","MBM","MBM","298468","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Cervi, A.C.; et al.; et al.","2001","01","13","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"MBM298468","MBM298468","Hatschbach, G.",NA,NA,NA,NA,"8127","37295","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","2020-12-21 16:35:50-03","MBM","MBM","15642","PreservedSpecimen","Plantae","Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.","Hatschbach, G.","1968","03","08","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"MBM015642","MBM015642","Berg, C.C.",NA,NA,NA,NA,"18680","37295","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
