"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean"
"11","2021-03-04 11:04:45-03","UFRB","HURB","13684","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb & Voll.","M.Machado","Mendes, D. B.; Machado, M.","76","2015","11","14","Brasil","Minas Gerais","Grão Mogol","Sul da cidade, estradinha de terra margeando o Rio Itacambiruçu, saíndo para leste um pouco acima do entroncamento da MG-307 sentido Cristália com a estrada para Grão Mongol","-42.892","-16.587028",NA,"No mesmo local também havia: Discocatus pseudoinsignis, Micranthocereus auriazureus, Pilosocereus fulvilanatus.","HURB000013684","HURB000013684",NA,"2017","11","01",NA,"42º53'31,2W","16º35'13,3S","656","656",NA
"12","2020-06-15 15:29:43-03","UNESP-RC","HRCB","13924","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll",NA,"Taylor, N. P.","1505","1991","01","31","Brasil","Minas Gerais","Grão Mogol","Serra da Bocaina","-42.8897018432617","-16.5594005584717","67219","Plants very woody with a well-developed woody cylinder.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,"930","930",NA
"13","2019-11-13 11:17:17-03","USP","SPF","70724","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Anônimo","Pirani, JR","CFCR13292","1990","09","05","Brasil","Minas Gerais","Grão Mogol",NA,"-42.916667","-16.6",NA,NA,"SPF00070724",NA,NA,NA,NA,NA,NA,"-42.916667","-16.6","670","670",NA
"14","2019-11-13 11:17:17-03","USP","SPF","80854","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Anônimo","Harley, RM","25069","1988","10","15","Brasil","Minas Gerais","Grão Mogol",NA,"-42.933333","-16.616667",NA,NA,"SPF00080854",NA,NA,NA,NA,NA,NA,"-42.933333","-16.616667","900","900",NA
"15","2019-11-13 11:17:17-03","USP","SPF","80988","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Taylor, NP","Cordeiro, I","CFCR11355","1987","11","02","Brasil","Minas Gerais","Grão Mogol",NA,"-42.963333","-16.583333",NA,NA,"SPF00080988",NA,NA,"1993","11","30",NA,"-42.963333","-16.583333","750","800",NA
"16","2019-11-13 11:17:17-03","USP","SPF","164575","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Zappi, DC","Arruda, ECP","15","2004","08","22","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,"SPF00164575",NA,"auto","2004","08",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-13 11:17:17-03","USP","SPF","43731","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Zappi, DC","Zappi, DC","CFCR9829","1986","07","23","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,"SPF00043731",NA,"auto","1987","03",NA,NA,NA,NA,"740","740",NA
"18","2019-11-13 11:17:17-03","USP","SPF","44583","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Zappi, DC","Mello-Silva, R","CFCR10118","1986","09","04","Brasil","Minas Gerais","Grão Mogol","Vale do Ribeirão das Mortes","-42.8897018432617","-16.5594005584717","67219",NA,"SPF00044583",NA,"auto","1987","03",NA,NA,NA,NA,NA,NA,NA
"19","2020-04-29 16:29:40-03","UFVJM","HDJF","5286","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Soffiatti, P","Fantinati, MR; Soffiatti, P","168","2017","01","17","Brasil","Minas Gerais","Grão Mogol","Ao longo do Rio Itacambiraçu","-42.898333","-16.583911",NA,NA,"HDJF005286","HDJF005286_01",NA,"2017","01","17","Dicotyledoneae","-42.898333","-16.583911","708","708","Southern America"
"20","2019-11-01 14:55:53-03","UnB","UB","118974","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll",NA,"Irwin, HS","23684","1969","02","21","Brasil","Minas Gerais",NA,"Ca. 18km west of Grão Mogol",NA,NA,NA,"Stems 1m.",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Southern America"
